Date,Open,High,Low,Close,Volume
2014-01-02,42.81,43.02,42.37,42.58,2.882
2014-01-03,42.58,42.8,42.14,42.35,2.331
2014-01-06,42.93,43.61,42.69,42.75,3.715
2014-01-07,42.53,43.09,42.53,42.9,2.477
2014-01-08,43.37,43.47,42.92,43.1,3.078
2014-01-09,43.32,43.54,42.77,42.92,2.031
2014-01-10,42.94,43.1,42.63,43.06,2.43
2014-01-13,42.83,43.05,42.12,42.24,2.383
2014-01-14,42.4,42.82,42.35,42.79,2.687
2014-01-15,42.71,43.24,42.65,43.21,1.842
2014-01-16,43.07,43.17,42.83,43.14,2.105
2014-01-17,43.19,43.39,43.03,43.33,2.87
2014-01-21,43.29,44.06,43.03,43.32,1.753
2014-01-22,43.2,43.38,42.99,43.28,2.33
2014-01-23,43.06,43.27,42.24,42.44,2.764
2014-01-24,42.04,42.2,41.26,41.26,2.538
2014-01-27,41.32,41.78,41.08,41.29,2.511
2014-01-28,41.36,41.94,41.35,41.83,2.394
2014-01-29,41.38,42.1,41.31,41.56,2.141
2014-01-30,41.78,41.84,41.36,41.54,3.684
2014-01-31,41.54,42.9,40.99,42.4,6.191
2014-02-03,42.58,42.79,41.34,41.41,3.724
2014-02-04,41.71,41.94,41.26,41.81,2.936
2014-02-05,41.62,42.3,41.38,42.16,3.886
2014-02-06,42.24,42.9,42.21,42.74,2.439
2014-02-07,42.93,43.63,42.74,43.51,2.831
2014-02-10,43.5,43.55,43.16,43.35,2.786
2014-02-11,43.4,43.77,43.26,43.57,2.108
2014-02-12,43.64,43.9,43.23,43.4,1.743
2014-02-13,43.31,43.78,43.04,43.71,1.92
2014-02-14,43.56,44.19,43.45,43.91,2.821
2014-02-18,44.13,44.3,44.01,44.17,1.657
2014-02-19,43.98,44.39,43.62,43.73,2.149
2014-02-20,43.81,44.38,43.5,44.24,2.806
2014-02-21,44.37,44.61,44.18,44.28,2.36
2014-02-24,44.36,44.93,44.36,44.55,3.134
2014-02-25,44.52,44.65,44.34,44.45,3.875
2014-02-26,44.48,44.9,44.4,44.63,2.446
2014-02-27,44.4,44.68,44.31,44.46,2.467
2014-02-28,44.58,44.62,43.96,44.17,2.608
2014-03-03,44.42,45.18,44.17,45.05,3.846
2014-03-04,45.74,45.77,45.08,45.46,3.532
2014-03-05,45.59,45.91,45.29,45.74,2.432
2014-03-06,45.8,46.05,45.75,45.87,1.913
2014-03-07,45.98,46.18,45.71,45.88,2.315
2014-03-10,45.68,46.03,45.3,45.73,2.248
2014-03-11,45.84,45.9,44.87,44.93,2.034
2014-03-12,44.69,45.03,44.48,44.96,2.936
2014-03-13,45.12,45.39,44.39,44.65,3.403
2014-03-14,44.66,45.03,44.59,44.91,2.744
2014-03-17,45.08,45.7,45.08,45.46,2.687
2014-03-18,45.46,45.62,44.69,44.92,3.472
2014-03-19,44.93,45.1,44.17,44.35,3.214
2014-03-20,44.35,44.51,44.08,44.37,1.606
2014-03-21,44.71,44.92,44.42,44.72,3.96
2014-03-24,44.79,45.01,43.81,43.92,2.424
2014-03-25,44.21,44.41,43.88,44.16,1.923
2014-03-26,44.35,44.67,44.27,44.36,3.554
2014-03-27,44.34,44.42,43.57,43.64,3.392
2014-03-28,43.84,44.25,43.7,43.78,2.351
2014-03-31,43.98,44.52,43.75,44.4,2.374
2014-04-01,44.63,45.02,44.5,44.96,2.899
2014-04-02,44.92,45.08,44.43,44.44,3.881
2014-04-03,44.61,44.82,44.37,44.6,5.541
2014-04-04,44.81,45.03,44.16,44.27,1.805
2014-04-07,44.16,44.22,42.88,42.99,2.715
2014-04-08,42.94,43.34,42.43,43.29,3.071
2014-04-09,43.48,43.61,43.06,43.46,5.915
2014-04-10,43.47,43.99,42.89,42.91,3.414
2014-04-11,42.75,43.01,42.48,42.53,2.189
2014-04-14,42.74,43.06,42.32,42.65,2.535
2014-04-15,42.82,43.3,42.44,42.85,2.964
2014-04-16,43.11,43.52,42.93,43.52,2.573
2014-04-17,43.39,44.51,43.39,44.21,3.77
2014-04-21,44.24,44.52,44.23,44.5,1.688
2014-04-22,44.48,44.74,44.28,44.62,1.626
2014-04-23,44.5,44.88,44.31,44.4,2.535
2014-04-24,44.61,44.61,44.1,44.2,2.446
2014-04-25,43.48,44.06,42.82,43.24,8.268
2014-04-28,43.33,43.48,42.05,42.76,4.909
2014-04-29,42.88,43.13,42.61,42.92,2.65
2014-04-30,42.95,43.26,42.64,42.83,3.365
2014-05-01,42.89,43.02,42.51,42.69,2.31
2014-05-02,42.73,43.18,42.62,42.73,2.192
2014-05-05,42.45,42.7,42.04,42.64,3.543
2014-05-06,42.61,42.83,42.43,42.52,2.614
2014-05-07,42.67,42.99,42.5,42.97,2.823
2014-05-08,42.97,43.53,42.85,43.2,2.554
2014-05-09,43.17,43.68,43.05,43.55,2.905
2014-05-12,43.88,45.3,43.86,45.08,6.438
2014-05-13,45.06,45.47,44.94,44.96,2.421
2014-05-14,44.98,45.09,44.72,44.75,2.02
2014-05-15,44.59,44.61,44.0,44.46,1.541
2014-05-16,44.37,44.69,44.23,44.67,1.877
2014-05-19,44.54,45.28,44.47,45.2,1.763
2014-05-20,45.13,45.3,44.6,44.77,2.208
2014-05-21,44.97,45.18,44.48,44.64,2.948
2014-05-22,44.71,45.1,44.63,44.79,3.425
2014-05-23,44.88,45.42,44.75,45.33,1.705
2014-05-27,45.54,45.83,45.42,45.71,1.91
2014-05-28,45.83,46.35,45.75,45.78,2.681
2014-05-29,45.79,45.93,45.4,45.76,2.683
2014-05-30,45.7,45.87,45.59,45.7,3.044
2014-06-02,45.7,46.0,45.32,45.8,2.698
2014-06-03,45.59,45.8,45.14,45.32,3.237
2014-06-04,45.32,46.0,45.21,45.79,2.863
2014-06-05,45.94,46.17,45.62,45.95,2.242
2014-06-06,46.17,46.53,46.17,46.52,2.592
2014-06-09,46.61,47.12,46.51,46.95,1.724
2014-06-10,46.87,47.03,46.53,46.68,2.314
2014-06-11,46.58,46.86,46.41,46.76,1.92
2014-06-12,46.77,46.97,46.58,46.71,2.617
2014-06-13,46.73,46.95,46.45,46.86,1.714
2014-06-16,46.82,47.74,46.82,47.51,3.569
2014-06-17,47.38,48.25,47.34,48.17,3.517
2014-06-18,48.0,48.44,47.77,48.38,2.598
2014-06-19,48.36,48.84,48.16,48.65,3.907
2014-06-20,48.77,48.77,48.25,48.41,4.834
2014-06-23,48.41,48.47,47.96,48.14,3.317
2014-06-24,48.08,48.26,47.7,47.74,3.027
2014-06-25,47.59,48.06,47.21,47.99,3.793
2014-06-26,48.02,48.02,47.47,47.78,3.342
2014-06-27,47.8,48.19,47.01,47.52,25.377
2014-06-30,47.34,47.9,46.95,47.75,6.731
2014-07-01,47.84,48.26,47.78,48.04,2.051
2014-07-02,47.87,48.15,47.54,47.77,2.372
2014-07-03,47.82,48.23,47.81,48.12,1.357
2014-07-07,47.94,47.94,47.35,47.47,2.258
2014-07-08,47.39,47.56,47.09,47.16,3.363
2014-07-09,47.3,47.71,47.18,47.2,3.164
2014-07-10,46.83,47.16,46.64,46.93,2.528
2014-07-11,46.97,47.56,46.97,47.43,2.203
2014-07-14,47.64,47.92,47.37,47.4,2.236
2014-07-15,47.41,47.82,47.29,47.54,2.517
2014-07-16,47.72,47.88,47.43,47.59,2.17
2014-07-17,47.18,47.62,46.73,46.76,2.23
2014-07-18,46.9,47.39,46.8,47.37,1.517
2014-07-21,47.36,47.57,47.05,47.5,2.145
2014-07-22,47.79,48.0,47.43,47.45,2.558
2014-07-23,47.25,47.39,46.98,47.04,2.528
