Date,Open,High,Low,Close,Volume
2014-01-02,58.85,59.21,57.89,58.16,0.307
2014-01-03,58.3,59.0,57.55,58.98,0.264
2014-01-06,59.17,59.34,58.71,58.9,0.296
2014-01-07,59.09,59.33,58.85,59.18,0.269
2014-01-08,59.03,59.84,58.73,59.79,0.306
2014-01-09,59.99,60.3,59.55,59.77,0.287
2014-01-10,59.83,60.34,59.37,59.79,0.192
2014-01-13,59.67,59.76,58.33,58.47,0.313
2014-01-14,58.59,59.11,58.31,59.09,0.198
2014-01-15,59.25,59.37,58.96,59.14,0.22
2014-01-16,59.14,59.49,58.96,59.04,0.291
2014-01-17,58.88,59.12,58.3,58.36,0.323
2014-01-21,58.84,58.99,58.35,58.78,0.375
2014-01-22,58.93,59.4,58.87,59.38,0.308
2014-01-23,59.28,59.28,58.69,59.22,0.414
2014-01-24,58.99,58.99,57.48,57.49,0.347
2014-01-27,57.6,58.13,55.78,55.78,0.605
2014-01-28,55.98,56.66,55.92,56.62,0.326
2014-01-29,56.12,56.76,55.54,55.68,0.308
2014-01-30,56.27,56.84,55.76,56.7,0.313
2014-01-31,55.99,56.29,55.51,55.78,0.364
2014-02-03,55.86,56.02,53.55,53.69,0.716
2014-02-04,54.03,54.69,53.55,54.67,0.68
2014-02-05,54.35,56.22,53.59,54.56,0.404
2014-02-06,54.74,55.18,54.19,55.0,0.494
2014-02-07,55.33,56.42,55.33,56.2,0.441
2014-02-10,56.22,56.78,55.11,56.39,0.521
2014-02-11,56.6,57.13,56.02,56.92,0.486
2014-02-12,56.96,57.45,56.93,57.37,0.444
2014-02-13,57.2,57.65,56.93,57.6,0.356
2014-02-14,57.63,57.75,57.02,57.61,0.258
2014-02-18,58.02,58.48,57.31,57.93,0.299
2014-02-19,57.79,58.28,57.52,57.96,0.434
2014-02-20,58.19,58.32,57.72,58.15,0.367
2014-02-21,58.25,58.56,57.97,58.36,0.378
2014-02-24,58.38,58.99,57.89,58.6,0.389
