Date,Open,High,Low,Close,Volume
2014-01-02,58.31,58.5,57.97,58.21,15.628
2014-01-03,58.29,58.95,58.21,58.66,14.214
2014-01-06,59.16,59.47,58.83,59.0,17.551
2014-01-07,59.29,59.43,58.11,58.32,17.851
2014-01-08,58.54,58.91,58.3,58.87,14.687
2014-01-09,58.98,59.0,58.33,58.76,13.242
2014-01-10,58.67,58.76,58.18,58.49,12.695
2014-01-13,58.51,58.67,57.53,57.7,20.712
2014-01-14,58.3,58.58,57.56,57.74,30.272
2014-01-15,57.73,59.65,57.73,59.49,35.187
2014-01-16,58.79,59.82,58.74,58.99,21.689
2014-01-17,59.21,59.23,58.03,58.11,20.998
2014-01-21,58.09,58.44,57.58,58.17,19.548
2014-01-22,58.33,58.33,57.42,57.59,15.434
2014-01-23,57.09,57.1,56.21,56.47,26.235
2014-01-24,56.0,56.36,55.09,55.09,26.833
2014-01-27,55.08,55.8,54.69,55.09,23.935
2014-01-28,55.39,56.34,55.24,55.74,18.041
2014-01-29,54.96,55.87,54.85,55.53,25.459
2014-01-30,56.07,56.39,55.63,56.0,17.031
2014-01-31,55.5,56.11,55.18,55.36,18.174
2014-02-03,55.5,55.92,54.2,54.31,28.55
2014-02-04,54.72,55.35,54.6,54.95,20.709
2014-02-05,55.1,55.45,54.58,55.21,19.492
2014-02-06,55.35,56.55,55.2,56.48,20.882
2014-02-07,56.65,56.93,56.26,56.62,23.388
2014-02-10,56.77,56.92,56.39,56.74,14.715
2014-02-11,56.61,57.57,56.58,57.43,18.774
2014-02-12,57.34,57.71,57.16,57.52,13.438
2014-02-13,57.07,58.1,56.96,58.03,16.606
2014-02-14,57.89,58.23,57.75,58.15,13.067
2014-02-18,58.02,58.65,57.9,58.49,14.984
2014-02-19,58.36,58.54,57.22,57.26,18.67
2014-02-20,57.53,57.97,57.27,57.58,12.457
2014-02-21,57.59,57.84,57.37,57.61,16.79
2014-02-24,57.62,58.23,57.58,58.03,16.151
2014-02-25,57.9,57.98,56.92,57.03,17.992
2014-02-26,57.37,57.38,56.22,56.75,23.662
2014-02-27,56.78,56.89,56.14,56.69,16.278
2014-02-28,56.57,57.45,56.39,56.82,18.599
2014-03-03,56.3,56.42,55.69,56.21,19.151
2014-03-04,56.95,57.36,56.64,57.26,17.157
2014-03-05,57.48,58.29,57.36,58.16,17.762
2014-03-06,58.51,59.09,58.4,58.9,19.421
2014-03-07,59.35,59.8,59.07,59.4,18.602
2014-03-10,59.14,59.48,58.87,59.2,16.945
2014-03-11,59.42,59.45,58.13,58.19,19.42
2014-03-12,57.7,57.96,57.42,57.92,17.932
2014-03-13,58.0,58.34,57.19,57.42,17.192
2014-03-14,57.11,57.53,56.62,56.8,18.636
2014-03-17,57.21,57.7,57.05,57.58,13.581
2014-03-18,57.82,58.16,57.62,58.06,12.555
2014-03-19,57.99,58.93,57.89,58.3,21.451
2014-03-20,58.36,60.49,58.13,60.11,33.736
2014-03-21,60.96,61.2,60.0,60.17,35.144
2014-03-24,60.37,61.19,60.35,61.07,25.81
2014-03-25,61.11,61.48,60.56,60.93,24.054
2014-03-26,61.24,61.4,59.89,59.9,22.745
2014-03-27,59.94,60.55,59.02,59.92,24.633
2014-03-28,60.21,60.59,59.68,60.04,14.709
2014-03-31,60.83,61.02,60.6,60.71,15.217
2014-04-01,60.95,61.29,60.37,60.67,14.584
2014-04-02,60.37,60.77,60.2,60.48,14.012
2014-04-03,60.65,60.8,60.28,60.66,11.925
2014-04-04,61.02,61.06,59.8,59.81,16.967
2014-04-07,59.69,60.0,58.84,59.0,18.686
2014-04-08,58.8,59.02,58.25,58.85,16.956
2014-04-09,59.1,59.45,58.5,59.27,15.308
2014-04-10,59.35,59.39,57.38,57.4,29.977
2014-04-11,55.18,56.05,54.55,55.3,47.241
2014-04-14,55.85,55.94,54.48,54.96,31.082
2014-04-15,55.09,55.64,54.35,54.8,26.691
2014-04-16,55.0,55.35,54.69,55.26,27.049
2014-04-17,55.34,55.57,55.01,55.22,17.955
2014-04-21,55.26,55.41,54.99,55.03,12.385
2014-04-22,55.04,56.08,54.94,55.81,16.258
2014-04-23,55.8,56.12,55.56,56.05,11.379
2014-04-24,56.07,56.26,55.61,56.19,15.361
2014-04-25,56.31,56.35,55.64,55.7,15.938
2014-04-28,55.63,55.7,54.68,55.49,21.394
2014-04-29,55.73,56.31,55.57,56.1,13.453
2014-04-30,56.24,56.35,55.72,55.98,14.388
2014-05-01,55.92,56.19,55.5,55.72,12.745
2014-05-02,55.83,56.37,55.44,55.58,15.154
2014-05-05,53.88,54.74,53.7,54.22,25.232
2014-05-06,54.04,54.06,53.32,53.34,25.327
2014-05-07,53.55,54.12,53.24,54.05,18.503
2014-05-08,54.2,54.53,54.06,54.36,16.091
2014-05-09,54.22,54.31,53.68,54.01,12.366
2014-05-12,54.27,54.7,54.03,54.65,12.826
2014-05-13,54.74,54.83,54.5,54.62,12.311
2014-05-14,54.64,54.7,54.3,54.36,10.326
2014-05-15,54.2,54.2,53.35,53.51,19.763
2014-05-16,53.42,53.51,52.97,53.31,19.992
2014-05-19,53.08,53.91,53.06,53.83,12.069
2014-05-20,53.72,54.04,53.41,53.72,16.888
2014-05-21,54.05,54.6,53.98,54.12,13.21
2014-05-22,54.17,54.6,54.02,54.55,11.801
2014-05-23,54.55,54.59,54.16,54.53,10.876
2014-05-27,54.75,55.43,54.69,55.14,14.504
2014-05-28,55.09,55.6,55.0,55.45,11.375
2014-05-29,55.75,55.92,55.39,55.72,11.741
2014-05-30,55.58,55.88,55.31,55.57,11.992
2014-06-02,55.65,55.65,55.02,55.35,9.44
2014-06-03,55.09,55.66,55.09,55.6,9.132
2014-06-04,55.52,55.73,55.25,55.68,9.728
2014-06-05,55.91,56.66,55.49,56.63,16.803
2014-06-06,56.76,57.13,56.65,56.97,15.4
2014-06-09,56.91,57.67,56.9,57.42,12.0
2014-06-10,57.47,57.94,57.39,57.9,11.609
2014-06-11,57.48,57.79,56.98,57.27,14.232
2014-06-12,57.07,57.42,56.87,57.04,11.67
2014-06-13,57.03,57.67,56.88,57.04,12.041
2014-06-16,56.85,56.95,56.33,56.87,11.199
2014-06-17,56.79,57.59,56.68,57.42,11.2
2014-06-18,57.29,57.81,56.95,57.78,13.729
2014-06-19,57.69,57.69,57.21,57.3,11.624
2014-06-20,57.69,57.77,57.35,57.55,17.125
2014-06-23,57.54,58.22,57.24,58.19,16.008
2014-06-24,57.88,58.12,57.3,57.42,12.323
2014-06-25,57.22,57.74,56.87,57.53,14.837
2014-06-26,57.34,57.49,56.6,57.39,11.854
2014-06-27,57.33,57.7,57.24,57.53,10.179
2014-06-30,57.44,57.78,57.38,57.62,11.549
2014-07-01,57.15,57.99,57.08,57.57,14.472
2014-07-02,57.27,57.48,56.82,56.97,19.19
2014-07-03,57.23,57.65,57.0,57.05,12.6
2014-07-07,56.89,56.99,56.4,56.67,13.916
2014-07-08,56.35,56.47,55.63,55.76,18.343
2014-07-09,55.88,56.12,55.61,56.02,10.914
2014-07-10,55.06,55.81,54.96,55.56,12.437
2014-07-11,55.29,55.91,55.19,55.8,10.23
2014-07-14,56.53,56.84,56.2,56.29,14.004
2014-07-15,57.95,58.69,57.76,58.27,36.178
2014-07-16,58.51,58.98,58.31,58.71,20.508
2014-07-17,58.56,58.86,57.76,57.86,17.014
2014-07-18,58.33,58.48,57.9,58.23,12.803
2014-07-21,58.12,58.41,57.9,58.24,9.141
2014-07-22,58.42,58.8,58.37,58.67,10.375
2014-07-23,58.76,59.19,58.52,59.0,11.122
2014-07-24,59.07,59.35,58.99,59.17,9.844
2014-07-25,58.92,59.27,58.84,59.01,10.501
2014-07-28,58.94,59.26,58.67,59.19,12.383
2014-07-29,59.13,59.13,58.44,58.64,13.499
2014-07-30,59.02,59.28,58.61,58.91,11.816
2014-07-31,58.65,58.68,57.66,57.67,15.956
2014-08-01,57.39,57.49,55.97,56.48,23.915
2014-08-04,56.91,56.98,56.34,56.65,13.544
2014-08-05,56.43,56.6,55.6,56.06,16.863
2014-08-06,55.89,56.69,55.83,56.23,12.191
2014-08-07,56.63,56.69,55.68,55.91,11.744
2014-08-08,55.89,56.36,55.64,56.34,12.213
2014-08-11,56.54,56.58,56.17,56.32,9.067
2014-08-12,56.23,56.55,56.13,56.35,11.29
2014-08-13,56.69,56.84,56.51,56.72,7.013
2014-08-14,56.77,57.0,56.7,56.98,8.276
2014-08-15,57.24,57.5,56.39,56.75,12.727
2014-08-18,56.86,57.43,56.76,57.23,8.881
2014-08-19,57.6,57.72,57.34,57.56,9.04
2014-08-20,57.42,57.85,57.39,57.64,8.121
2014-08-21,57.66,58.77,57.6,58.5,12.746
2014-08-22,58.44,59.08,58.33,58.49,10.229
2014-08-25,58.98,59.83,58.86,59.34,13.997
2014-08-26,59.57,59.95,59.39,59.74,10.281
2014-08-27,59.85,59.95,59.53,59.59,11.411
2014-08-28,59.25,59.37,58.81,59.16,9.096
2014-08-29,59.34,59.65,59.23,59.45,8.898
2014-09-02,59.46,59.71,59.15,59.67,8.671
2014-09-03,60.02,60.37,59.46,59.7,11.792
2014-09-04,59.63,60.14,59.43,59.71,9.812
2014-09-05,59.62,59.91,59.22,59.91,9.601
2014-09-08,59.84,60.22,59.74,59.89,8.09
2014-09-09,59.63,59.68,58.78,59.06,14.869
2014-09-10,59.15,59.56,58.92,59.22,9.154
2014-09-11,59.18,59.84,58.97,59.76,11.467
2014-09-12,59.8,60.41,59.75,60.03,14.359
2014-09-15,59.78,59.99,59.45,59.94,10.686
2014-09-16,59.71,60.2,59.62,59.99,10.948
2014-09-17,59.95,60.59,59.82,60.31,15.092
2014-09-18,60.54,61.4,60.54,61.32,16.974
