Date,Open,High,Low,Close,Volume
2014-01-02,57.26,57.5,56.85,57.1,1.949
2014-01-03,57.27,57.35,56.85,56.88,1.506
2014-01-06,57.08,57.08,56.23,56.57,2.118
2014-01-07,56.92,57.26,56.69,57.09,1.877
2014-01-08,57.06,57.06,56.37,56.51,2.193
2014-01-09,56.54,56.78,56.19,56.6,1.625
2014-01-10,56.7,57.13,56.7,57.07,1.115
2014-01-13,56.95,57.52,56.69,56.74,1.845
2014-01-14,56.85,57.48,56.82,57.17,1.966
2014-01-15,57.3,57.62,56.88,57.37,1.541
2014-01-16,57.14,57.56,57.06,57.55,1.621
2014-01-17,57.53,57.53,56.69,56.78,2.251
2014-01-21,57.24,57.38,56.86,57.05,1.218
2014-01-22,57.05,57.38,56.59,57.29,1.618
2014-01-23,57.07,57.12,56.57,56.81,1.093
2014-01-24,56.68,56.88,56.18,56.18,2.066
2014-01-27,56.18,56.57,56.1,56.21,1.491
2014-01-28,56.33,56.7,56.08,56.37,2.034
2014-01-29,56.23,56.23,54.57,54.81,3.337
2014-01-30,55.11,55.26,54.4,54.58,3.025
2014-01-31,54.13,54.83,54.0,54.44,2.531
2014-02-03,54.47,54.6,53.34,53.43,2.714
2014-02-04,53.62,53.92,53.41,53.77,2.629
2014-02-05,53.71,54.23,53.52,53.87,3.341
2014-02-06,53.52,54.29,52.29,54.22,6.693
2014-02-07,54.46,55.0,54.23,54.8,3.333
2014-02-10,54.8,55.73,54.78,55.71,3.522
2014-02-11,55.26,56.26,55.26,56.22,3.715
2014-02-12,56.12,56.44,55.58,55.78,2.975
2014-02-13,55.62,55.88,55.49,55.85,2.83
2014-02-14,56.07,56.58,55.92,56.52,1.735
2014-02-18,56.52,56.6,56.08,56.45,1.448
2014-02-19,56.49,56.59,56.0,56.08,2.573
2014-02-20,55.98,56.65,55.81,56.56,1.904
2014-02-21,56.47,56.74,56.27,56.29,1.378
2014-02-24,56.8,57.21,56.47,57.0,2.158
2014-02-25,57.06,57.52,56.96,57.11,2.826
2014-02-26,57.15,57.38,56.63,56.65,2.251
2014-02-27,56.46,56.71,56.14,56.49,2.293
2014-02-28,56.58,57.26,56.49,56.99,1.994
2014-03-03,56.66,57.05,56.43,56.97,2.14
2014-03-04,56.85,57.59,56.82,57.52,2.671
2014-03-05,57.54,57.7,57.2,57.54,2.271
2014-03-06,57.55,57.74,57.34,57.68,2.276
2014-03-07,57.72,57.84,57.47,57.84,1.735
2014-03-10,57.84,58.01,57.56,57.92,1.418
2014-03-11,57.89,58.16,57.77,57.93,1.531
2014-03-12,57.75,58.32,57.62,58.28,1.455
2014-03-13,58.39,58.45,57.96,58.2,1.665
2014-03-14,57.83,58.01,57.15,57.18,2.51
2014-03-17,57.52,57.73,57.11,57.14,1.916
2014-03-18,57.34,58.23,57.18,58.08,2.857
2014-03-19,58.08,58.52,57.82,57.96,3.601
2014-03-20,57.88,58.22,57.77,58.1,1.351
2014-03-21,58.53,58.62,57.8,57.82,1.861
2014-03-24,57.92,58.15,57.63,57.65,1.182
2014-03-25,57.94,58.21,57.36,57.87,1.133
2014-03-26,58.3,58.3,57.84,57.92,0.912
2014-03-27,58.13,58.24,57.91,57.99,0.943
2014-03-28,58.22,58.45,58.08,58.34,0.985
2014-03-31,58.55,58.92,58.38,58.88,1.467
2014-04-01,58.66,58.93,58.51,58.8,1.657
2014-04-02,58.68,58.98,58.63,58.83,1.321
2014-04-03,59.02,62.69,58.89,62.34,8.538
2014-04-04,61.91,62.63,59.71,59.88,7.216
2014-04-07,59.9,61.8,59.79,61.09,3.954
2014-04-08,61.35,61.46,60.07,60.43,2.867
2014-04-09,61.21,62.08,61.13,62.07,4.304
2014-04-10,61.97,62.46,61.33,61.61,3.041
2014-04-11,61.43,62.11,61.21,61.67,2.213
2014-04-14,61.99,61.99,61.27,61.54,2.308
2014-04-15,61.62,61.75,60.97,61.23,2.028
2014-04-16,61.5,61.99,61.46,61.95,3.418
2014-04-17,61.88,62.33,61.87,62.29,1.98
2014-04-21,61.97,62.18,61.53,61.95,1.738
2014-04-22,61.96,62.33,61.67,62.23,2.558
2014-04-23,62.17,62.58,62.17,62.48,2.149
2014-04-24,62.33,62.51,61.86,62.47,1.276
2014-04-25,62.24,62.68,62.08,62.64,1.312
2014-04-28,62.84,63.37,62.7,63.18,1.857
2014-04-29,62.94,63.37,62.85,62.93,1.654
2014-04-30,62.61,62.94,62.22,62.75,3.131
2014-05-01,62.85,63.14,61.05,61.38,4.244
2014-05-02,61.38,61.62,60.95,61.6,3.198
2014-05-05,61.5,61.54,60.85,61.08,2.353
2014-05-06,61.26,61.71,61.14,61.35,2.817
2014-05-07,61.54,62.11,61.49,62.04,2.492
2014-05-08,61.96,62.22,61.79,62.0,1.246
2014-05-09,62.22,63.12,61.93,63.11,2.477
2014-05-12,63.3,64.6,63.25,64.24,4.511
2014-05-13,63.99,64.19,63.54,63.95,3.228
2014-05-14,63.94,63.94,63.42,63.46,1.136
2014-05-15,64.01,64.24,62.99,63.13,1.544
2014-05-16,62.9,63.45,62.89,63.42,1.8
2014-05-19,63.25,63.5,62.91,63.47,1.673
2014-05-20,63.43,63.74,62.96,63.65,2.031
2014-05-21,63.77,63.77,63.14,63.65,1.125
2014-05-22,63.51,63.62,63.21,63.52,0.804
2014-05-23,63.71,63.71,63.19,63.44,0.852
2014-05-27,63.83,64.04,63.58,63.83,1.604
2014-05-28,63.85,64.02,63.68,63.87,1.135
2014-05-29,63.54,64.67,63.42,64.54,1.972
2014-05-30,64.57,64.79,64.11,64.77,2.301
2014-06-02,64.79,65.14,64.79,64.9,1.894
2014-06-03,64.58,64.89,64.48,64.86,2.98
2014-06-04,64.75,65.16,64.73,65.15,1.521
2014-06-05,65.26,65.26,64.57,64.64,1.332
2014-06-06,64.57,64.76,64.25,64.7,1.555
2014-06-09,64.41,64.69,63.87,63.96,1.704
2014-06-10,63.75,64.27,63.75,63.91,1.489
2014-06-11,63.91,64.15,63.28,63.48,1.567
2014-06-12,63.61,63.85,62.97,63.13,1.189
2014-06-13,63.07,63.28,62.79,63.11,1.154
2014-06-16,63.23,63.42,63.0,63.32,1.188
2014-06-17,63.33,63.45,62.56,62.63,1.909
2014-06-18,62.24,62.79,61.71,62.76,3.059
2014-06-19,62.88,63.18,62.65,62.85,1.231
2014-06-20,62.99,63.31,62.85,63.14,2.558
2014-06-23,63.07,63.09,62.06,62.38,1.859
2014-06-24,62.35,62.35,61.83,61.85,1.16
2014-06-25,61.48,61.48,60.56,60.94,2.345
2014-06-26,61.02,61.13,60.54,60.86,1.865
2014-06-27,60.83,61.04,60.65,61.0,1.428
2014-06-30,61.22,61.72,60.87,61.69,2.548
2014-07-01,61.48,61.95,61.16,61.84,2.271
2014-07-02,61.78,62.13,61.75,62.02,1.385
2014-07-03,62.32,62.66,62.15,62.36,1.317
2014-07-07,62.29,62.41,61.73,61.84,1.915
2014-07-08,61.87,62.26,61.7,62.03,1.896
2014-07-09,62.13,62.4,61.83,62.07,1.507
2014-07-10,61.61,61.96,61.58,61.86,1.28
2014-07-11,61.88,62.02,61.53,61.92,1.139
2014-07-14,62.23,62.39,61.97,62.16,1.078
2014-07-15,61.34,61.71,61.16,61.56,3.3
2014-07-16,61.74,61.99,61.46,61.99,1.374
2014-07-17,61.92,62.12,61.7,61.89,1.584
2014-07-18,62.01,62.3,61.77,62.13,1.454
2014-07-21,61.77,62.19,61.76,62.07,1.001
2014-07-22,62.11,62.44,62.03,62.23,1.152
2014-07-23,62.34,62.38,61.37,61.45,1.49
2014-07-24,61.58,61.81,61.47,61.67,0.943
2014-07-25,61.58,61.7,61.21,61.38,0.772
2014-07-28,61.43,61.56,61.15,61.45,1.27
2014-07-29,61.63,61.72,60.93,60.93,1.192
2014-07-30,61.21,61.3,59.57,59.84,2.724
2014-07-31,59.15,59.25,56.13,56.18,9.578
2014-08-01,56.02,57.97,56.01,57.69,5.468
2014-08-04,57.73,58.28,57.46,58.27,2.784
2014-08-05,57.92,58.21,57.55,57.65,1.761
2014-08-06,57.53,59.12,57.53,58.95,4.501
2014-08-07,59.07,59.26,58.19,58.57,1.883
2014-08-08,58.54,59.42,58.08,59.38,1.711
2014-08-11,59.43,60.2,59.41,59.92,2.001
2014-08-12,59.58,59.76,59.26,59.58,1.499
2014-08-13,59.73,60.09,59.58,60.08,1.373
2014-08-14,60.09,60.14,59.82,60.09,1.149
2014-08-15,60.16,60.54,60.09,60.36,2.173
2014-08-18,60.52,60.6,60.24,60.38,1.527
2014-08-19,60.42,60.86,60.36,60.54,1.052
2014-08-20,60.44,61.21,60.07,60.86,1.914
2014-08-21,61.0,61.25,60.9,60.92,0.973
2014-08-22,61.06,61.12,60.31,60.38,1.754
2014-08-25,60.77,61.1,60.69,60.89,1.262
2014-08-26,60.94,61.39,60.71,60.8,1.696
2014-08-27,60.79,61.31,60.64,61.3,1.697
2014-08-28,60.47,60.94,60.34,60.8,1.44
2014-08-29,60.78,61.17,60.66,61.0,1.266
2014-09-02,60.97,61.31,60.73,60.84,1.458
2014-09-03,61.06,61.3,60.82,60.84,1.275
2014-09-04,60.87,61.39,60.81,60.97,1.616
2014-09-05,60.83,61.23,60.57,61.22,0.957
2014-09-08,60.97,61.17,60.43,60.51,1.408
2014-09-09,60.49,60.73,60.2,60.39,1.512
2014-09-10,60.39,60.53,60.1,60.51,1.452
2014-09-11,60.3,60.83,60.24,60.74,1.11
2014-09-12,60.61,60.75,59.93,59.99,2.127
2014-09-15,60.09,60.13,59.7,59.84,1.844
2014-09-16,59.67,60.35,59.65,59.97,2.241
2014-09-17,59.31,59.66,58.71,58.97,3.265
2014-09-18,59.21,59.22,58.67,59.05,2.153
2014-09-19,59.27,59.41,58.81,58.84,2.677
2014-09-22,58.84,58.95,58.46,58.49,1.576
2014-09-23,58.42,58.59,57.85,57.86,1.668
2014-09-24,57.93,58.63,57.93,58.54,1.65
2014-09-25,58.24,58.42,57.77,57.92,1.343
2014-09-26,57.93,58.12,57.59,57.98,1.005
2014-09-29,57.63,58.14,57.58,58.04,1.452
2014-09-30,57.14,58.11,56.85,57.84,3.401
2014-10-01,56.81,57.33,56.74,56.95,2.423
2014-10-02,57.1,57.21,56.44,57.01,2.133
2014-10-03,57.28,57.77,57.16,57.46,1.585
2014-10-06,57.69,57.82,57.08,57.23,1.49
2014-10-07,57.04,57.36,56.5,56.51,1.739
2014-10-08,56.51,57.44,56.46,57.39,1.928
2014-10-09,57.37,57.77,56.74,56.97,2.136
2014-10-10,57.09,57.51,56.59,56.62,2.243
2014-10-13,56.65,56.89,56.06,56.06,1.974
2014-10-14,56.3,57.04,56.19,56.52,1.179
2014-10-15,55.96,56.42,55.48,56.25,2.531
2014-10-16,55.49,56.39,55.24,56.1,1.809
2014-10-17,56.5,57.41,56.18,57.2,1.956
2014-10-20,56.76,58.0,56.76,57.99,2.269
2014-10-21,58.01,58.11,57.8,57.93,2.595
2014-10-22,58.54,58.69,58.02,58.25,1.541
2014-10-23,58.6,58.66,57.87,57.97,1.65
2014-10-24,58.03,58.35,57.84,58.16,1.606
2014-10-27,58.16,58.64,57.9,58.31,2.104
2014-10-28,58.61,58.92,58.4,58.92,1.611
2014-10-29,58.78,58.85,57.69,58.66,2.975
2014-10-30,58.47,60.86,58.31,60.13,4.42
2014-10-31,60.56,60.79,59.75,60.06,2.204
2014-11-03,59.76,60.35,59.76,60.19,1.628
2014-11-04,60.03,60.43,59.64,59.81,1.777
2014-11-05,60.38,60.63,59.78,59.94,1.312
2014-11-06,60.09,60.61,59.89,60.59,1.654
2014-11-07,59.84,59.93,59.25,59.77,2.458
2014-11-10,59.69,60.08,59.28,60.0,1.831
2014-11-11,60.09,60.13,59.7,59.86,0.958
2014-11-12,59.51,59.84,59.3,59.79,1.467
2014-11-13,59.68,60.08,59.68,59.91,1.1
2014-11-14,59.91,60.11,59.76,59.92,1.092
2014-11-17,60.08,61.18,60.01,61.16,2.18
2014-11-18,61.22,62.15,61.14,61.6,2.987
2014-11-19,61.62,61.95,61.39,61.87,2.267
2014-11-20,61.6,62.16,61.46,61.63,1.793
2014-11-21,62.19,62.57,61.31,61.47,4.031
2014-11-24,61.61,61.73,61.01,61.15,1.776
2014-11-25,61.09,61.49,61.03,61.16,1.35
2014-11-26,60.85,61.03,60.75,60.97,1.472
2014-11-28,61.26,62.26,61.26,62.21,1.572
2014-12-01,61.83,62.4,61.78,62.06,1.735
2014-12-02,62.07,62.67,62.04,62.52,2.65
2014-12-03,62.36,62.55,62.01,62.33,1.89
2014-12-04,62.31,62.34,61.77,62.06,2.298
2014-12-05,61.96,62.35,61.87,62.35,1.221
2014-12-08,62.29,62.38,61.85,62.05,2.014
2014-12-09,61.88,62.22,61.55,61.8,2.38
2014-12-10,61.71,62.04,60.79,60.84,1.657
2014-12-11,61.37,63.29,61.09,63.0,4.097
2014-12-12,62.63,62.87,61.6,61.62,2.237
2014-12-15,61.78,61.8,60.11,60.18,2.772
2014-12-16,60.23,61.62,60.1,60.19,1.805
2014-12-17,60.52,61.08,59.78,60.88,1.72
2014-12-18,61.4,62.02,61.4,61.99,1.936
2014-12-19,62.22,63.01,61.92,62.74,2.673
2014-12-22,62.68,62.94,62.42,62.77,1.387
2014-12-23,62.85,63.32,62.68,63.14,0.983
2014-12-24,63.23,63.24,62.93,62.93,0.401
2014-12-26,62.99,63.14,62.82,62.92,0.409
2014-12-29,62.82,63.15,62.5,62.87,0.619
2014-12-30,62.79,62.96,62.52,62.55,0.491
2014-12-31,62.26,62.65,61.35,61.45,1.348
2015-01-02,61.62,62.1,61.12,61.48,0.902
2015-01-05,61.26,61.38,60.23,60.34,1.449
2015-01-06,60.59,61.12,60.29,60.52,2.341
2015-01-07,61.13,62.06,61.1,61.98,1.793
2015-01-08,62.42,63.15,62.32,63.11,1.515
2015-01-09,63.05,63.05,62.29,62.38,1.44
2015-01-12,61.95,62.39,61.37,61.48,1.454
2015-01-13,61.92,62.51,61.43,61.94,1.464
2015-01-14,61.62,62.81,61.3,62.66,2.802
2015-01-15,62.93,64.12,62.68,63.61,2.436
2015-01-16,63.4,64.13,63.38,63.96,2.388
2015-01-20,64.01,64.8,63.65,64.76,2.676
2015-01-21,64.52,64.93,64.11,64.82,5.623
2015-01-22,64.97,65.62,64.75,65.58,2.405
2015-01-23,65.2,65.22,64.43,64.49,2.242
2015-01-26,64.86,64.86,64.03,64.68,1.525
2015-01-27,64.12,64.66,63.91,64.25,1.434
2015-01-28,64.44,64.66,63.18,63.27,1.824
2015-01-29,63.17,63.33,62.24,63.23,2.019
2015-01-30,62.97,63.05,61.49,61.58,3.013
2015-02-02,61.64,62.44,61.04,62.41,1.479
2015-02-03,62.66,62.88,62.23,62.58,1.553
2015-02-04,62.5,63.21,62.34,62.57,1.619
2015-02-05,63.0,63.08,62.59,62.94,1.391
2015-02-06,62.67,62.77,61.95,62.21,1.923
2015-02-09,62.03,62.43,61.69,61.78,1.625
2015-02-10,62.11,62.47,61.88,62.26,1.537
2015-02-11,62.36,62.7,61.95,62.25,1.355
2015-02-12,59.03,60.38,58.68,59.44,5.838
2015-02-13,58.78,59.44,58.05,59.34,4.268
2015-02-17,59.0,59.52,58.53,59.35,2.97
2015-02-18,59.02,60.08,58.95,59.9,2.321
2015-02-19,59.77,60.25,59.68,59.9,2.551
2015-02-20,59.85,60.46,59.62,60.18,1.651
2015-02-23,60.03,60.47,59.86,60.37,1.972
2015-02-24,60.07,60.32,59.6,60.12,2.002
2015-02-25,60.12,61.01,60.01,60.83,2.4
2015-02-26,60.8,60.98,60.59,60.72,2.363
2015-02-27,60.58,61.06,60.53,60.54,2.202
2015-03-02,60.44,60.76,60.23,60.37,1.357
2015-03-03,60.13,60.86,59.79,60.81,3.009
2015-03-04,60.52,60.94,60.35,60.77,5.482
2015-03-05,60.77,60.97,59.92,60.14,2.861
2015-03-06,59.76,59.88,58.46,58.66,2.994
2015-03-09,58.73,59.03,58.57,58.78,1.722
2015-03-10,58.53,58.94,58.17,58.79,2.647
2015-03-11,58.78,58.8,58.0,58.19,1.943
2015-03-12,58.2,58.58,58.2,58.51,1.685
2015-03-13,58.38,58.54,57.94,58.36,1.556
2015-03-16,58.51,59.01,58.34,59.0,2.177
2015-03-17,58.53,58.71,58.22,58.45,1.903
2015-03-18,58.4,59.34,57.77,59.21,2.311
2015-03-19,58.97,59.4,58.8,58.98,2.084
2015-03-20,59.14,60.17,59.14,60.17,4.715
2015-03-23,60.02,60.36,59.89,60.05,1.698
2015-03-24,60.09,60.19,59.09,59.1,1.879
2015-03-25,59.65,60.08,58.81,59.3,5.833
2015-03-26,59.58,59.64,58.65,59.15,2.677
2015-03-27,59.26,59.97,59.15,59.94,1.981
2015-03-30,60.0,61.5,59.77,61.5,3.85
2015-03-31,61.16,62.33,61.07,61.92,4.203
2015-04-01,61.68,62.21,61.02,62.14,3.836
2015-04-02,61.89,62.57,61.79,62.33,2.601
2015-04-06,62.49,62.91,62.0,62.0,4.23
2015-04-07,61.92,62.14,61.62,61.73,1.71
2015-04-08,61.82,61.82,61.25,61.59,2.077
2015-04-09,61.51,61.64,61.27,61.49,1.738
2015-04-10,61.65,61.95,61.39,61.72,1.644
2015-04-13,61.74,61.82,61.42,61.46,1.031
2015-04-14,61.44,61.85,61.28,61.58,1.802
2015-04-15,61.69,62.01,61.14,61.19,1.477
2015-04-16,61.13,61.37,60.85,61.08,1.333
2015-04-17,60.68,60.84,60.21,60.46,1.593
2015-04-20,60.88,61.47,60.28,60.62,1.73
2015-04-21,60.68,60.86,59.88,59.96,1.867
2015-04-22,60.13,60.37,59.84,60.08,1.232
2015-04-23,59.96,60.2,59.73,59.95,0.995
2015-04-24,60.1,60.28,59.74,59.84,1.275
2015-04-27,59.78,59.98,59.43,59.73,1.531
2015-04-28,59.77,59.92,59.47,59.78,1.676
2015-04-29,59.73,60.06,59.44,59.51,1.32
2015-04-30,59.6,59.66,59.18,59.46,1.419
2015-05-01,59.55,60.07,59.52,59.99,1.719
2015-05-04,59.97,60.5,59.95,60.22,2.342
2015-05-05,60.97,61.11,58.77,59.32,3.357
2015-05-06,59.52,59.62,58.65,59.16,1.759
2015-05-07,59.17,59.79,59.11,59.68,1.351
2015-05-08,60.09,60.44,59.69,59.73,1.669
2015-05-11,59.47,60.28,59.47,59.89,1.514
2015-05-12,59.62,59.82,59.34,59.78,1.428
2015-05-13,59.8,60.19,59.62,59.84,1.477
2015-05-14,60.22,60.8,60.0,60.64,1.933
2015-05-15,60.68,61.63,60.6,61.25,3.311
2015-05-18,61.11,61.11,60.56,60.69,1.852
2015-05-19,60.84,60.84,60.17,60.27,1.854
2015-05-20,60.38,60.67,60.29,60.31,1.481
2015-05-21,60.23,60.41,59.9,60.06,1.089
2015-05-22,60.02,60.24,59.77,59.79,1.042
2015-05-26,59.66,59.77,59.03,59.15,1.206
2015-05-27,59.3,59.44,59.08,59.38,1.52
2015-05-28,58.8,59.0,58.44,58.74,1.808
2015-05-29,58.88,59.05,58.59,58.94,2.125
2015-06-01,58.78,59.15,58.34,58.73,1.952
2015-06-02,58.52,58.64,58.25,58.38,2.348
2015-06-03,58.46,58.58,57.97,58.47,3.817
2015-06-04,58.23,58.64,58.16,58.46,3.367
2015-06-05,58.18,58.32,57.46,57.7,1.687
2015-06-08,57.72,57.9,57.4,57.57,1.84
2015-06-09,57.71,58.31,57.56,57.76,1.59
2015-06-10,57.98,58.38,57.77,58.26,1.183
2015-06-11,58.38,58.61,58.31,58.42,1.377
2015-06-12,58.14,58.37,58.0,58.34,1.094
2015-06-15,58.1,58.33,57.91,57.92,1.581
2015-06-16,58.03,58.71,57.91,58.66,1.125
2015-06-17,58.59,59.1,58.38,58.99,1.768
2015-06-18,58.93,59.56,58.85,59.25,1.471
2015-06-19,59.24,59.98,59.21,59.47,2.086
2015-06-22,59.65,59.95,59.4,59.53,0.858
2015-06-23,59.51,59.71,59.26,59.6,1.774
2015-06-24,59.37,59.85,59.31,59.54,1.271
2015-06-25,59.51,59.76,58.92,59.03,1.309
2015-06-26,59.15,59.35,58.79,59.2,4.338
2015-06-29,58.87,59.28,58.75,58.78,1.656
2015-06-30,59.03,59.35,58.59,58.87,2.057
2015-07-01,58.87,59.22,58.21,59.16,2.063
2015-07-02,59.43,59.68,59.1,59.29,1.238
2015-07-06,59.05,59.5,58.66,58.91,1.267
2015-07-07,59.06,60.32,58.85,60.21,1.854
2015-07-08,60.03,60.39,59.77,59.79,1.61
2015-07-09,60.37,60.45,59.71,59.71,1.084
2015-07-10,59.85,60.07,59.68,59.86,1.252
2015-07-13,60.2,60.36,60.01,60.26,0.756
2015-07-14,60.18,60.3,60.0,60.21,0.687
2015-07-15,59.79,60.31,59.72,59.79,0.845
2015-07-16,60.03,60.69,60.03,60.56,1.393
2015-07-17,60.35,60.56,59.96,60.42,1.601
2015-07-20,60.36,60.49,60.06,60.23,0.634
2015-07-21,60.36,60.36,59.98,60.11,0.715
2015-07-22,60.12,60.77,59.99,60.46,0.736
2015-07-23,60.38,60.74,60.12,60.4,1.158
2015-07-24,60.25,60.8,60.12,60.6,1.413
2015-07-27,60.32,60.87,60.08,60.73,1.531
2015-07-28,60.99,61.17,60.45,61.08,1.195
2015-07-29,61.12,61.61,61.07,61.44,0.957
2015-07-30,61.23,62.2,61.15,62.06,1.216
2015-07-31,62.4,62.4,61.83,62.13,1.327
2015-08-03,61.91,62.35,61.46,62.04,2.025
2015-08-04,61.79,63.82,61.69,63.38,2.677
2015-08-05,63.85,64.69,63.84,64.47,3.004
2015-08-06,63.94,64.99,63.79,64.66,2.473
2015-08-07,64.66,64.85,64.34,64.71,1.75
2015-08-10,64.67,65.15,64.43,64.79,1.585
2015-08-11,64.45,65.01,64.23,64.98,1.294
2015-08-12,64.43,64.85,63.55,64.69,2.136
2015-08-13,64.58,64.98,64.38,64.69,1.402
2015-08-14,64.76,65.59,64.56,65.51,1.414
2015-08-17,65.22,65.57,64.99,65.35,2.237
2015-08-18,65.26,65.58,64.86,65.07,1.669
2015-08-19,64.9,65.3,64.32,64.74,2.78
2015-08-20,64.31,65.08,64.18,64.53,1.839
2015-08-21,64.13,64.37,63.32,63.34,2.296
2015-08-24,60.87,61.73,59.64,61.73,4.335
2015-08-25,62.69,62.91,61.1,61.13,3.654
2015-08-26,62.17,63.02,61.57,62.85,2.883
2015-08-27,63.41,63.74,62.41,63.25,2.443
2015-08-28,62.7,62.99,62.37,62.95,1.973
2015-08-31,62.72,62.87,62.05,62.23,2.214
2015-09-01,61.32,62.47,61.03,61.7,3.278
2015-09-02,62.07,62.69,61.9,62.67,2.031
2015-09-03,62.61,63.46,62.39,63.22,1.552
2015-09-04,62.66,62.83,62.06,62.52,1.557
2015-09-08,63.43,63.52,62.78,63.4,2.063
2015-09-09,63.67,63.83,62.0,62.12,2.091
2015-09-10,61.99,62.69,61.93,62.3,1.559
2015-09-11,62.13,62.92,61.94,62.9,1.468
2015-09-14,62.9,62.91,62.51,62.66,1.049
2015-09-15,62.57,63.46,62.36,63.34,1.505
2015-09-16,63.33,64.39,63.33,64.22,1.892
2015-09-17,64.2,65.34,63.95,64.67,1.82
2015-09-18,63.6,64.53,63.2,63.33,3.509
2015-09-21,63.7,63.94,63.4,63.53,1.722
2015-09-22,62.85,63.27,62.49,62.94,1.85
2015-09-23,62.97,63.29,62.54,63.18,1.119
2015-09-24,62.88,63.24,62.37,63.11,2.78
2015-09-25,63.56,64.91,63.31,64.06,1.592
2015-09-28,63.57,63.91,62.38,62.45,2.117
2015-09-29,62.44,62.59,61.96,62.39,2.728
