Date,Open,High,Low,Close,Volume
2014-01-02,13.43,13.44,13.26,13.29,6.354
2014-01-03,13.32,13.44,13.26,13.32,5.571
2014-01-06,13.4,13.62,13.4,13.44,12.966
2014-01-07,13.54,13.67,13.45,13.54,11.581
2014-01-08,13.49,13.68,13.41,13.63,12.566
2014-01-09,13.64,13.84,13.64,13.76,16.9
2014-01-10,13.74,13.75,13.53,13.63,9.48
2014-01-13,13.64,13.65,13.41,13.47,6.564
2014-01-14,13.56,13.65,13.51,13.57,11.504
2014-01-15,13.63,13.75,13.61,13.68,7.548
2014-01-16,13.68,13.69,13.47,13.53,7.825
2014-01-17,13.56,13.73,13.52,13.54,7.585
2014-01-21,13.68,14.01,13.66,14.01,16.871
2014-01-22,14.06,14.14,13.91,14.14,13.923
2014-01-23,13.85,14.0,13.39,13.68,25.811
2014-01-24,13.61,13.61,12.9,12.93,29.808
2014-01-27,12.98,13.1,12.76,12.86,18.337
2014-01-28,12.85,13.03,12.81,12.96,13.179
2014-01-29,12.85,13.02,12.79,12.87,13.728
2014-01-30,12.97,13.0,12.73,12.97,11.892
2014-01-31,12.75,12.9,12.71,12.76,11.633
2014-02-03,12.75,12.78,12.28,12.31,12.92
2014-02-04,12.39,12.57,12.25,12.48,9.69
2014-02-05,12.4,12.47,12.28,12.38,13.708
2014-02-06,12.41,12.66,12.41,12.65,7.244
2014-02-07,12.72,12.87,12.62,12.74,9.321
2014-02-10,12.76,12.81,12.56,12.67,8.234
2014-02-11,12.69,12.84,12.56,12.81,11.112
2014-02-12,12.8,13.18,12.8,12.91,9.328
2014-02-13,12.78,12.9,12.66,12.88,8.505
2014-02-14,12.89,13.04,12.86,12.92,8.688
2014-02-18,12.95,12.99,12.79,12.92,9.2
2014-02-19,12.84,12.88,12.6,12.64,11.037
2014-02-20,12.64,12.79,12.51,12.76,9.388
2014-02-21,12.77,12.93,12.77,12.85,7.328
2014-02-24,12.87,13.1,12.84,12.97,8.096
2014-02-25,12.98,12.98,12.85,12.9,9.095
2014-02-26,12.95,13.05,12.9,13.01,8.021
2014-02-27,12.99,13.07,12.94,13.01,7.004
2014-02-28,12.97,13.22,12.95,13.17,10.416
2014-03-03,13.06,13.11,12.93,13.04,10.158
2014-03-04,13.19,13.43,13.17,13.41,8.153
2014-03-05,13.4,13.42,13.31,13.36,8.695
2014-03-06,13.41,13.66,13.34,13.64,14.97
2014-03-07,13.78,14.04,13.76,13.9,17.785
2014-03-10,13.88,14.01,13.81,13.98,14.355
2014-03-11,13.98,14.01,13.74,13.78,13.019
2014-03-12,13.72,13.79,13.63,13.77,8.602
2014-03-13,13.81,13.92,13.7,13.74,12.367
2014-03-14,13.71,13.92,13.69,13.79,12.983
2014-03-17,13.85,13.98,13.81,13.95,9.096
2014-03-18,13.96,14.04,13.89,13.97,9.412
2014-03-19,14.0,14.3,13.96,14.2,18.784
2014-03-20,14.13,14.58,14.13,14.43,21.758
2014-03-21,14.57,14.7,14.34,14.36,18.389
2014-03-24,14.46,14.58,14.17,14.26,11.702
2014-03-25,14.31,14.43,14.2,14.4,10.055
2014-03-26,14.46,14.5,14.2,14.21,18.218
2014-03-27,14.29,14.41,13.93,13.98,13.122
2014-03-28,14.04,14.26,13.94,14.14,8.082
2014-03-31,14.21,14.37,14.21,14.24,9.541
2014-04-01,14.32,14.41,14.25,14.37,8.622
2014-04-02,14.41,14.42,14.24,14.34,9.774
2014-04-03,14.36,14.48,14.3,14.45,7.09
2014-04-04,14.52,14.59,14.19,14.21,8.337
2014-04-07,14.18,14.2,13.76,13.88,12.414
2014-04-08,13.89,14.01,13.77,13.94,8.002
2014-04-09,13.98,14.02,13.79,14.01,9.032
2014-04-10,13.99,14.0,13.48,13.5,10.742
2014-04-11,13.28,13.43,12.94,13.18,19.747
2014-04-14,13.35,13.45,13.14,13.31,8.386
2014-04-15,13.33,13.55,13.25,13.45,10.568
2014-04-16,13.59,13.61,13.39,13.51,12.356
2014-04-17,13.7,13.9,13.42,13.56,13.772
2014-04-21,13.59,13.78,13.57,13.63,7.115
2014-04-22,13.56,13.96,13.55,13.91,10.105
2014-04-23,13.9,13.92,13.65,13.89,12.317
2014-04-24,13.91,13.92,13.58,13.62,10.516
2014-04-25,13.6,13.67,13.51,13.54,9.184
2014-04-28,13.51,13.57,13.19,13.34,13.507
2014-04-29,13.43,13.54,13.36,13.48,10.465
2014-04-30,13.48,13.66,13.42,13.64,8.595
2014-05-01,13.62,13.71,13.46,13.53,8.827
2014-05-02,13.57,13.94,13.56,13.67,7.998
