Date,Open,High,Low,Close,Volume
2014-01-02,64.0,64.11,63.13,63.38,0.983
2014-01-03,63.36,63.91,63.09,63.47,0.766
2014-01-06,63.42,63.42,62.23,62.36,1.068
2014-01-07,62.44,62.78,62.08,62.33,1.9
2014-01-08,62.57,62.76,61.98,62.3,1.445
2014-01-09,62.5,63.5,62.25,62.49,1.917
2014-01-10,62.78,63.78,62.24,63.62,0.997
2014-01-13,63.97,64.0,62.17,62.31,1.308
2014-01-14,62.44,64.3,62.42,63.86,1.802
2014-01-15,63.75,64.22,63.6,63.88,1.605
2014-01-16,63.4,63.72,62.75,63.06,1.066
2014-01-17,62.83,63.0,62.34,62.74,1.446
2014-01-21,63.22,63.27,62.33,62.44,1.101
2014-01-22,62.56,63.79,62.53,63.66,1.64
2014-01-23,63.4,63.83,62.76,63.53,1.872
2014-01-24,63.47,63.47,61.55,62.07,2.5
2014-01-27,62.22,62.37,61.18,61.7,1.393
2014-01-28,61.69,62.3,61.2,61.61,1.812
2014-01-29,61.44,61.92,61.13,61.52,1.389
2014-01-30,62.14,62.37,61.25,61.68,1.498
2014-01-31,60.69,61.66,60.62,61.47,1.638
2014-02-03,60.23,60.92,59.51,59.73,2.006
2014-02-04,60.0,60.36,59.44,60.29,1.67
2014-02-05,60.16,61.36,59.85,60.93,1.557
2014-02-06,60.91,62.64,60.9,61.83,1.743
2014-02-07,62.01,62.36,61.51,62.24,0.893
2014-02-10,62.01,62.38,61.88,62.33,0.924
2014-02-11,62.26,63.79,62.26,63.61,1.07
2014-02-12,63.49,64.19,63.47,63.79,1.124
2014-02-13,62.73,64.45,62.64,64.44,1.288
2014-02-14,64.1,65.44,64.1,65.28,1.411
2014-02-18,65.22,65.49,64.43,64.49,1.35
2014-02-19,64.4,64.69,64.07,64.4,1.433
2014-02-20,64.6,64.97,64.36,64.65,1.155
2014-02-21,64.94,65.64,64.51,64.97,1.64
2014-02-24,65.5,66.03,65.04,65.35,0.985
2014-02-25,65.35,65.46,64.64,65.27,1.079
2014-02-26,65.55,66.12,65.05,65.24,0.871
2014-02-27,65.07,65.36,64.5,64.97,0.872
2014-02-28,65.12,65.58,64.57,65.15,1.159
2014-03-03,64.46,64.83,63.9,64.32,0.758
2014-03-04,65.06,65.62,64.72,65.22,1.097
2014-03-05,65.29,65.56,64.88,65.46,0.602
2014-03-06,65.44,66.24,65.29,66.13,0.831
2014-03-07,66.42,67.16,66.12,66.85,1.314
2014-03-10,66.94,67.13,65.91,66.14,1.168
2014-03-11,66.53,67.5,65.95,66.37,1.207
2014-03-12,65.84,67.67,65.79,67.63,1.768
2014-03-13,67.63,67.81,66.41,66.75,2.131
2014-03-14,66.46,67.22,66.46,66.88,1.429
2014-03-17,67.13,67.83,67.01,67.78,1.637
2014-03-18,67.57,68.65,67.53,68.55,1.21
2014-03-19,68.67,69.13,68.08,68.6,1.277
2014-03-20,68.08,69.96,67.96,69.94,1.791
2014-03-21,70.74,70.77,69.76,70.02,2.401
2014-03-24,70.34,70.55,69.26,69.58,1.89
2014-03-25,69.81,70.0,69.36,69.81,1.354
2014-03-26,70.26,70.78,68.97,68.99,1.367
2014-03-27,69.03,69.03,68.22,68.5,1.399
2014-03-28,68.66,69.82,68.43,68.75,0.811
2014-03-31,69.06,69.85,68.86,69.14,1.172
2014-04-01,69.56,70.04,69.07,70.02,1.28
2014-04-02,70.25,70.95,69.74,70.89,1.698
2014-04-03,70.53,71.93,70.53,71.22,1.651
2014-04-04,71.59,71.65,69.17,69.4,2.416
2014-04-07,69.39,69.39,68.05,68.81,2.562
2014-04-08,68.31,68.53,67.61,68.03,1.712
2014-04-09,68.36,68.96,67.71,68.87,1.08
2014-04-10,68.99,69.02,66.55,66.68,1.81
2014-04-11,66.13,66.87,65.33,65.5,2.064
2014-04-14,66.01,66.48,65.31,65.91,1.162
2014-04-15,66.0,66.37,65.02,66.15,1.23
2014-04-16,65.02,65.78,63.96,65.78,1.924
2014-04-17,65.61,66.63,65.59,66.11,1.294
2014-04-21,66.58,66.84,65.92,66.4,0.708
2014-04-22,66.14,67.02,65.91,66.76,0.926
2014-04-23,66.59,67.12,66.31,66.72,1.554
2014-04-24,68.02,68.59,66.5,67.74,2.463
2014-04-25,63.0,65.0,62.59,62.91,4.479
2014-04-28,63.29,63.8,62.17,63.45,2.245
2014-04-29,63.94,64.93,63.41,64.27,2.534
2014-04-30,64.1,64.88,63.82,63.99,3.011
2014-05-01,63.99,64.31,62.75,62.92,2.399
2014-05-02,63.05,63.56,62.75,63.2,1.073
2014-05-05,62.52,63.12,62.47,62.71,1.215
2014-05-06,62.82,62.85,62.06,62.3,1.004
2014-05-07,62.29,62.93,61.94,62.9,1.428
2014-05-08,62.43,63.84,62.4,62.59,1.195
2014-05-09,62.44,63.23,61.99,63.11,1.117
2014-05-12,63.5,64.45,63.33,64.12,1.07
2014-05-13,64.21,64.28,63.03,63.1,1.528
2014-05-14,62.34,63.34,62.34,62.99,0.986
2014-05-15,62.51,62.56,61.43,62.38,1.455
2014-05-16,62.12,63.63,62.12,63.15,1.552
2014-05-19,63.0,63.98,63.0,63.67,1.082
2014-05-20,63.76,63.8,62.98,63.22,1.046
2014-05-21,63.52,63.87,63.22,63.56,0.604
2014-05-22,63.72,64.05,63.45,63.64,0.827
2014-05-23,63.9,64.3,63.67,64.18,0.886
2014-05-27,64.39,65.24,64.11,65.24,1.184
2014-05-28,65.42,65.52,64.8,65.42,1.062
2014-05-29,65.48,65.71,65.04,65.65,1.172
2014-05-30,65.75,65.88,65.15,65.52,0.767
2014-06-02,65.73,66.14,65.25,65.58,0.562
2014-06-03,65.17,66.11,65.17,65.85,1.033
2014-06-04,65.7,66.36,65.67,66.25,1.088
2014-06-05,66.21,66.7,65.79,66.45,0.97
2014-06-06,66.93,67.0,66.59,66.97,0.666
2014-06-09,67.0,68.07,66.98,68.02,1.288
2014-06-10,68.11,68.25,67.42,68.11,1.021
2014-06-11,67.26,68.6,67.26,68.12,0.888
2014-06-12,67.93,68.5,67.65,67.85,1.527
2014-06-13,68.26,68.74,67.97,68.57,0.792
2014-06-16,67.95,69.0,67.95,68.7,0.574
2014-06-17,68.46,69.29,68.4,69.14,0.698
2014-06-18,69.23,69.3,68.19,69.04,0.708
2014-06-19,69.08,69.28,68.22,68.92,1.01
2014-06-20,69.2,70.02,69.07,70.0,1.964
2014-06-23,70.0,70.35,69.73,70.31,0.956
2014-06-24,70.0,70.31,69.28,69.44,1.406
2014-06-25,69.67,69.92,68.97,69.8,1.484
2014-06-26,69.8,69.96,69.14,69.96,1.15
2014-06-27,70.0,71.17,69.73,70.97,4.251
2014-06-30,71.96,72.78,71.49,72.64,1.972
2014-07-01,72.73,73.59,72.51,73.07,1.81
2014-07-02,72.78,73.45,72.74,73.24,1.756
2014-07-03,73.63,74.7,73.46,74.62,1.51
2014-07-07,74.73,75.07,73.83,74.03,2.511
2014-07-08,74.31,74.95,72.91,74.09,4.082
2014-07-09,74.05,75.01,73.68,74.86,2.931
2014-07-10,73.77,75.4,73.71,74.72,2.034
2014-07-11,74.86,74.86,74.22,74.61,0.91
2014-07-14,75.22,75.27,74.61,74.9,1.037
2014-07-15,74.78,75.14,73.86,74.23,1.774
2014-07-16,74.36,75.38,73.85,74.12,2.968
2014-07-17,73.77,74.54,73.54,74.01,2.266
2014-07-18,74.25,74.79,73.97,74.5,0.969
2014-07-21,73.98,74.9,73.96,74.62,0.77
2014-07-22,74.81,75.0,74.41,74.52,1.35
2014-07-23,74.63,74.63,73.08,73.26,2.646
2014-07-24,73.46,73.89,72.81,73.02,2.282
2014-07-25,70.38,72.34,70.1,71.6,4.968
2014-07-28,71.52,72.06,70.73,71.83,1.612
2014-07-29,72.07,72.53,71.31,71.4,1.33
2014-07-30,72.09,72.39,71.38,71.89,1.22
2014-07-31,71.55,71.91,71.07,71.49,1.584
2014-08-01,71.37,72.12,71.21,71.63,1.381
2014-08-04,71.41,72.4,71.36,72.17,1.265
2014-08-05,71.54,72.28,71.3,71.6,1.766
2014-08-06,70.91,72.37,70.91,71.88,1.307
2014-08-07,72.3,72.3,71.33,71.63,1.541
2014-08-08,71.72,72.4,71.52,72.34,0.99
2014-08-11,72.44,73.43,72.4,72.6,0.974
2014-08-12,72.32,72.98,72.21,72.82,1.08
2014-08-13,72.85,73.29,72.66,72.93,1.265
2014-08-14,72.46,73.11,72.27,73.04,0.804
2014-08-15,73.33,74.41,73.25,74.07,1.564
2014-08-18,74.44,74.52,73.88,74.37,0.989
2014-08-19,74.3,75.07,72.33,74.96,0.708
2014-08-20,74.68,75.08,74.48,74.7,0.694
2014-08-21,74.85,75.3,74.6,75.14,0.577
2014-08-22,75.15,75.49,74.85,74.98,0.603
2014-08-25,75.3,75.66,75.2,75.51,0.75
2014-08-26,75.73,76.09,75.51,75.97,1.203
2014-08-27,75.84,76.45,75.84,76.43,0.917
2014-08-28,76.27,76.44,75.93,76.33,0.794
2014-08-29,76.64,76.73,76.16,76.42,0.832
2014-09-02,76.54,77.3,76.47,77.15,1.329
2014-09-03,77.27,77.91,77.08,77.72,1.145
2014-09-04,77.72,78.14,77.34,77.6,1.532
2014-09-05,77.45,78.33,77.4,78.31,1.274
2014-09-08,78.31,79.02,78.15,78.65,1.857
2014-09-09,78.39,79.07,78.03,78.57,2.836
2014-09-10,78.8,79.05,78.27,78.67,1.755
2014-09-11,78.38,78.78,78.12,78.64,1.121
2014-09-12,78.64,78.64,78.2,78.28,1.466
2014-09-15,78.08,78.48,77.24,77.33,2.361
2014-09-16,77.11,78.4,76.96,78.28,1.249
2014-09-17,78.31,79.77,78.02,79.57,1.324
2014-09-18,79.57,80.89,79.44,80.86,1.402
2014-09-19,81.23,81.27,80.52,80.77,2.297
2014-09-22,80.52,80.78,79.89,80.09,1.899
2014-09-23,79.92,80.52,79.61,80.0,1.818
2014-09-24,79.99,80.53,79.9,80.52,1.402
2014-09-25,80.33,80.51,78.89,79.53,1.844
2014-09-26,79.51,80.19,79.41,80.06,0.839
