Date,Open,High,Low,Close,Volume
2014-01-02,100.02,100.31,99.25,99.56,1.495
2014-01-03,100.01,100.59,99.66,100.05,1.402
2014-01-06,100.46,100.97,99.8,100.06,1.647
2014-01-07,99.1,100.54,98.57,99.69,1.755
2014-01-08,99.6,99.61,98.81,99.02,1.934
2014-01-09,99.23,99.81,99.05,99.45,1.514
2014-01-10,99.76,100.55,99.62,100.54,1.755
2014-01-13,100.09,101.23,99.91,100.41,1.956
2014-01-14,100.42,101.33,100.12,101.08,2.056
2014-01-15,101.11,101.33,100.38,101.04,1.526
2014-01-16,100.84,101.7,100.22,101.68,1.35
2014-01-17,102.08,102.1,101.09,101.11,2.863
2014-01-21,101.5,102.44,101.0,102.04,2.058
2014-01-22,101.97,102.42,101.55,101.64,1.703
2014-01-23,101.17,101.84,100.8,101.07,2.382
2014-01-24,103.66,105.87,102.35,102.97,3.493
2014-01-27,103.38,103.73,102.45,103.02,2.098
2014-01-28,103.02,104.29,102.82,104.17,1.957
2014-01-29,102.99,103.37,101.68,102.6,2.862
2014-01-30,103.15,104.29,103.05,103.93,2.396
2014-01-31,102.84,105.23,102.15,104.86,3.294
2014-02-03,104.51,105.04,100.96,101.14,2.789
2014-02-04,101.76,102.11,100.6,101.21,2.598
2014-02-05,100.86,101.69,100.63,101.25,1.839
2014-02-06,101.7,101.98,101.21,101.97,1.791
2014-02-07,102.14,102.83,102.1,102.49,1.614
2014-02-10,102.49,103.2,102.09,103.17,1.897
2014-02-11,103.17,104.44,102.73,104.11,1.778
2014-02-12,104.19,104.33,102.67,103.51,1.855
2014-02-13,103.2,104.36,103.0,104.27,1.505
2014-02-14,104.25,105.89,103.84,105.7,1.547
2014-02-18,105.46,105.59,104.34,105.21,1.62
2014-02-19,104.92,105.47,104.19,104.3,1.704
2014-02-20,104.62,106.12,104.51,105.44,1.853
2014-02-21,105.79,106.7,105.23,105.32,1.717
2014-02-24,105.83,106.65,105.49,105.62,1.913
2014-02-25,105.72,106.17,105.35,105.46,1.385
2014-02-26,105.66,105.94,104.06,104.08,1.806
2014-02-27,103.97,104.88,103.58,104.41,1.869
2014-02-28,104.51,106.31,104.36,105.8,2.044
2014-03-03,105.15,105.15,104.07,104.54,1.473
2014-03-04,105.27,106.61,105.05,106.29,1.829
2014-03-05,104.15,105.18,103.85,104.16,1.545
2014-03-06,104.43,105.35,104.27,104.88,1.77
2014-03-07,105.38,105.46,103.83,104.46,1.807
2014-03-10,104.48,105.14,104.31,104.67,1.218
2014-03-11,104.6,104.94,104.23,104.55,1.335
