Date,Open,High,Low,Close,Volume
2014-01-02,47.02,47.25,46.57,46.9,1.325
2014-01-03,46.84,46.91,46.11,46.44,1.458
2014-01-06,46.55,46.63,45.56,45.81,2.399
2014-01-07,46.44,46.45,44.63,45.34,4.123
2014-01-08,45.22,45.39,44.7,45.25,2.675
2014-01-09,45.35,45.7,44.97,45.1,2.434
2014-01-10,45.1,46.1,44.63,45.97,4.28
2014-01-13,45.7,45.97,45.12,45.22,2.312
2014-01-14,45.46,46.05,45.39,45.67,1.579
2014-01-15,45.7,45.77,44.77,44.86,2.186
2014-01-16,44.74,44.94,43.9,44.66,3.553
2014-01-17,44.78,45.31,44.68,45.19,2.449
2014-01-21,45.25,45.47,44.82,45.03,1.445
2014-01-22,45.03,45.2,44.65,44.93,1.668
2014-01-23,44.75,45.01,44.57,44.77,3.031
2014-01-24,44.44,44.76,44.33,44.57,2.866
2014-01-27,44.58,44.97,44.38,44.81,2.505
2014-01-28,44.72,45.06,44.66,44.95,1.921
2014-01-29,44.76,45.12,44.68,44.73,3.5
2014-01-30,44.97,45.19,44.77,45.05,1.999
2014-01-31,44.51,45.36,44.5,45.11,1.897
2014-02-03,45.37,46.9,45.29,45.76,5.084
2014-02-04,45.83,46.1,45.43,45.7,1.943
2014-02-05,45.38,46.32,45.1,46.2,1.903
2014-02-06,46.09,47.23,45.93,47.15,2.011
2014-02-07,47.22,47.55,47.07,47.54,1.763
2014-02-10,47.42,47.54,46.91,47.22,1.42
2014-02-11,47.04,47.65,47.02,47.52,1.313
2014-02-12,47.52,47.72,46.9,47.02,0.958
2014-02-13,46.79,47.44,46.43,47.36,1.189
2014-02-14,47.22,47.61,47.17,47.29,0.918
2014-02-18,47.29,47.64,47.08,47.23,1.203
2014-02-19,47.38,48.0,47.34,47.37,1.28
2014-02-20,47.39,47.71,46.9,47.33,1.632
2014-02-21,47.24,47.37,46.89,47.05,1.994
2014-02-24,47.05,48.08,47.05,47.89,1.482
2014-02-25,47.9,48.41,47.79,48.18,1.023
2014-02-26,48.26,48.58,47.9,48.29,1.55
2014-02-27,47.99,48.69,47.86,48.68,1.301
2014-02-28,48.63,48.75,48.1,48.43,0.92
2014-03-03,47.96,48.32,47.69,48.13,0.821
2014-03-04,48.64,49.44,48.64,49.43,1.424
2014-03-05,49.31,49.68,48.95,49.1,1.308
2014-03-06,49.15,49.24,48.65,48.95,1.819
2014-03-07,49.11,49.43,48.39,48.6,1.797
2014-03-10,48.6,49.05,48.31,48.84,1.879
2014-03-11,48.89,49.04,48.48,48.53,1.78
2014-03-12,47.74,48.25,47.36,47.64,2.334
2014-03-13,47.87,48.15,46.94,47.14,1.183
2014-03-14,47.09,47.39,46.89,47.21,1.544
2014-03-17,47.48,47.79,47.36,47.56,0.942
2014-03-18,47.55,48.01,47.53,47.91,0.837
2014-03-19,48.01,48.29,47.02,47.35,1.037
2014-03-20,46.99,47.54,46.93,47.39,0.93
2014-03-21,47.73,48.55,47.55,48.42,1.989
2014-03-24,48.5,48.67,47.31,47.52,1.184
2014-03-25,47.73,47.77,46.41,46.54,1.448
2014-03-26,46.65,46.66,45.13,45.32,2.6
2014-03-27,45.37,45.56,44.9,45.45,1.574
2014-03-28,45.49,46.02,45.41,45.67,1.101
2014-03-31,45.81,47.2,45.75,46.8,2.346
2014-04-01,47.0,47.63,46.97,47.5,1.101
2014-04-02,47.47,48.14,47.4,47.88,1.315
2014-04-03,47.91,48.3,47.14,47.56,3.006
2014-04-04,46.0,46.84,45.24,45.56,4.239
2014-04-07,45.45,45.64,43.38,43.68,2.965
2014-04-08,43.52,44.69,43.4,44.46,1.737
2014-04-09,44.46,45.2,44.46,45.04,1.504
2014-04-10,45.01,45.46,43.68,43.76,2.4
2014-04-11,43.4,43.68,42.66,42.88,2.923
2014-04-14,43.24,43.91,42.98,43.32,2.192
2014-04-15,43.34,43.48,42.54,43.37,1.793
2014-04-16,43.65,44.03,43.51,43.81,1.064
2014-04-17,43.76,44.66,43.76,44.44,1.555
2014-04-21,44.28,44.58,43.69,43.72,1.442
2014-04-22,43.74,44.17,43.49,43.51,1.709
2014-04-23,43.49,43.92,43.2,43.25,1.582
2014-04-24,43.38,43.7,43.05,43.54,1.647
2014-04-25,43.42,43.49,42.79,42.98,0.937
2014-04-28,43.24,43.51,42.82,43.17,2.517
2014-04-29,43.19,43.84,43.14,43.68,1.234
2014-04-30,43.64,43.83,43.4,43.78,1.278
2014-05-01,43.87,44.58,43.81,44.48,1.744
2014-05-02,44.5,45.05,44.5,44.86,1.127
2014-05-05,44.54,45.02,44.24,44.3,1.181
