Date,Open,High,Low,Close,Volume
2014-01-02,78.5,78.72,77.36,77.52,1.234
2014-01-03,77.61,78.91,77.59,77.98,0.637
2014-01-06,78.31,78.53,77.29,77.62,1.081
2014-01-07,77.46,79.22,77.07,79.19,1.595
2014-01-08,79.29,79.63,77.61,78.79,2.03
2014-01-09,78.79,80.32,78.67,79.53,1.507
2014-01-10,79.3,79.67,78.71,79.02,1.369
2014-01-13,78.81,79.04,77.8,77.92,1.338
2014-01-14,78.11,78.31,77.26,78.15,1.826
2014-01-15,78.48,78.67,78.17,78.25,1.038
2014-01-16,78.25,78.78,78.25,78.61,0.846
2014-01-17,78.68,79.33,78.46,78.87,1.089
2014-01-21,78.87,79.09,78.06,78.41,0.904
2014-01-22,78.77,79.03,78.4,78.92,0.827
2014-01-23,78.68,78.86,77.74,78.48,0.697
2014-01-24,78.34,78.48,77.3,77.41,0.898
2014-01-27,77.43,77.85,77.04,77.23,0.805
2014-01-28,77.16,78.26,76.92,77.58,1.003
2014-01-29,77.2,77.8,76.55,76.67,0.951
2014-01-30,77.33,78.37,76.11,76.51,1.322
2014-01-31,77.49,77.49,76.38,77.17,1.939
2014-02-03,77.32,77.57,75.44,75.48,2.015
2014-02-04,75.64,76.89,74.96,76.43,1.685
2014-02-05,75.82,76.68,75.33,76.23,1.278
2014-02-06,76.23,77.73,75.79,77.59,1.432
2014-02-07,75.6,78.51,75.19,76.59,2.662
2014-02-10,77.8,78.52,77.39,78.48,2.271
2014-02-11,78.31,78.93,78.31,78.71,1.88
2014-02-12,78.99,79.35,78.08,78.16,1.162
2014-02-13,77.6,78.97,77.27,78.87,0.998
2014-02-14,78.81,80.03,78.74,78.99,1.005
2014-02-18,78.87,79.73,78.86,79.34,1.029
2014-02-19,79.21,79.55,78.95,79.12,1.084
2014-02-20,79.21,80.08,78.82,79.63,0.886
2014-02-21,79.66,80.55,79.41,80.38,1.86
2014-02-24,80.55,81.31,80.33,80.55,0.952
2014-02-25,80.46,80.46,79.25,80.01,0.851
2014-02-26,79.96,80.57,79.6,79.94,0.625
2014-02-27,79.31,80.17,79.12,79.97,0.896
2014-02-28,80.27,81.36,79.96,80.36,1.115
2014-03-03,79.97,80.74,79.47,79.62,0.622
2014-03-04,80.58,80.86,79.87,79.95,0.706
2014-03-05,79.98,80.42,79.73,80.38,0.612
2014-03-06,80.64,81.18,80.44,80.8,0.606
2014-03-07,81.18,82.03,80.91,81.89,1.2
2014-03-10,81.32,81.53,79.81,80.42,1.393
2014-03-11,80.7,81.89,80.35,81.85,1.44
2014-03-12,81.62,82.96,81.62,82.45,1.73
2014-03-13,82.6,83.42,82.31,82.36,1.611
2014-03-14,82.12,82.37,81.74,82.16,1.1
2014-03-17,82.29,82.95,82.16,82.42,0.969
2014-03-18,82.41,84.3,82.41,84.19,0.891
2014-03-19,84.2,84.67,83.8,84.41,1.217
2014-03-20,84.14,84.78,83.02,83.26,1.155
2014-03-21,84.0,84.05,82.84,83.36,1.822
2014-03-24,83.33,83.34,81.38,81.49,1.521
2014-03-25,81.59,81.98,80.29,81.37,1.967
2014-03-26,83.97,87.63,83.76,84.74,4.918
2014-03-27,84.89,84.89,82.86,84.08,2.096
2014-03-28,84.5,85.18,84.08,84.23,0.938
2014-03-31,84.57,84.92,84.14,84.37,0.762
2014-04-01,86.05,88.19,85.69,87.86,2.823
2014-04-02,88.3,88.41,86.92,87.75,1.774
2014-04-03,88.13,88.32,87.33,88.05,1.694
2014-04-04,88.33,88.46,87.0,87.18,2.426
2014-04-07,87.21,87.4,85.06,85.34,1.499
2014-04-08,85.68,86.49,85.2,86.35,1.453
2014-04-09,86.45,86.77,85.66,86.68,1.02
2014-04-10,86.49,86.76,85.46,85.61,1.348
2014-04-11,84.57,86.32,84.16,85.44,1.329
2014-04-14,86.04,86.81,85.21,86.55,1.032
2014-04-15,86.8,87.43,86.24,87.25,1.424
2014-04-16,87.65,88.02,86.68,87.59,0.918
2014-04-17,87.27,87.36,86.24,87.04,0.811
2014-04-21,86.88,87.31,86.07,86.81,0.731
2014-04-22,86.79,87.41,86.13,86.24,0.835
2014-04-23,85.82,86.53,85.54,85.78,0.975
2014-04-24,86.41,86.75,85.77,86.27,0.957
2014-04-25,85.91,86.92,85.38,85.47,1.032
2014-04-28,83.81,87.06,81.72,85.21,2.208
2014-04-29,85.27,86.01,84.32,84.86,1.352
2014-04-30,84.53,85.89,84.39,84.79,1.263
2014-05-01,84.74,85.78,84.49,85.15,0.909
2014-05-02,85.05,85.13,84.22,84.39,0.708
2014-05-05,83.88,84.49,83.6,84.41,0.756
2014-05-06,84.2,84.49,83.66,84.37,0.737
2014-05-07,84.58,85.04,84.02,84.81,0.729
2014-05-08,84.88,85.87,84.7,85.02,0.976
2014-05-09,84.94,86.33,84.81,86.07,1.015
2014-05-12,86.12,86.7,85.57,85.82,1.505
2014-05-13,85.92,85.92,85.33,85.7,0.916
2014-05-14,85.72,85.85,85.27,85.55,0.824
2014-05-15,85.31,85.52,84.29,85.4,1.504
2014-05-16,85.46,85.56,84.97,85.34,0.804
2014-05-19,85.13,86.19,85.05,85.81,1.198
2014-05-20,85.63,85.66,85.05,85.52,0.939
2014-05-21,85.63,86.61,85.63,86.16,0.48
2014-05-22,86.13,86.57,85.84,86.16,0.885
2014-05-23,86.29,86.62,85.55,86.55,0.537
2014-05-27,86.6,86.92,86.3,86.68,0.576
2014-05-28,86.77,86.78,85.79,86.44,0.561
2014-05-29,86.74,88.41,86.39,88.4,1.016
2014-05-30,88.22,88.22,87.65,88.13,0.812
2014-06-02,88.25,88.27,87.55,87.71,0.597
2014-06-03,87.6,88.45,87.54,88.09,0.98
2014-06-04,87.9,89.76,87.9,89.66,1.221
2014-06-05,89.53,90.53,88.99,89.92,0.969
2014-06-06,90.03,90.2,88.76,88.87,0.927
2014-06-09,88.91,89.15,88.32,88.51,0.529
2014-06-10,88.45,88.89,88.13,88.26,0.572
2014-06-11,87.96,87.96,87.01,87.67,0.562
2014-06-12,87.33,88.43,86.78,87.45,0.665
2014-06-13,87.35,87.58,86.9,87.43,0.442
2014-06-16,87.26,87.33,86.44,86.6,0.578
2014-06-17,86.79,86.91,85.67,85.9,1.009
2014-06-18,86.01,86.49,85.57,86.19,0.83
2014-06-19,86.51,86.76,85.96,86.69,1.9
2014-06-20,86.8,87.86,86.33,87.82,2.018
2014-06-23,88.09,88.22,87.29,88.08,1.282
2014-06-24,88.02,88.36,87.28,87.8,0.535
2014-06-25,87.76,88.66,86.86,86.93,1.172
2014-06-26,86.9,86.91,85.67,86.24,0.774
2014-06-27,85.82,87.41,85.37,87.39,1.812
2014-06-30,87.2,88.35,87.17,87.97,1.513
2014-07-01,88.62,90.0,87.43,89.8,1.214
2014-07-02,89.8,90.48,89.13,90.47,0.973
2014-07-03,90.46,91.06,90.45,91.0,0.703
2014-07-07,90.4,90.9,89.65,90.14,0.745
2014-07-08,90.04,90.21,89.2,89.25,0.774
2014-07-09,89.24,89.76,88.58,89.73,0.737
2014-07-10,88.99,89.61,88.76,89.32,0.654
2014-07-11,89.24,89.98,88.65,89.85,0.551
2014-07-14,90.46,91.02,90.06,90.29,0.924
2014-07-15,90.52,91.79,90.19,90.33,0.64
2014-07-16,90.99,91.69,90.69,91.43,0.76
2014-07-17,91.75,92.29,90.37,90.57,1.738
2014-07-18,90.21,91.22,87.32,88.91,2.183
2014-07-21,89.22,90.21,88.55,90.12,1.041
2014-07-22,90.44,91.13,90.13,90.72,0.608
2014-07-23,90.65,90.85,89.9,90.75,0.581
2014-07-24,90.94,91.56,90.44,91.15,0.705
2014-07-25,91.13,91.55,90.03,91.12,0.552
2014-07-28,90.91,91.12,90.46,90.82,0.488
2014-07-29,90.81,91.49,90.45,90.53,0.466
2014-07-30,90.9,91.27,90.39,90.95,0.619
2014-07-31,90.65,90.79,89.06,89.08,0.758
2014-08-01,88.77,89.64,87.8,88.68,0.812
2014-08-04,88.67,89.52,88.2,89.44,0.51
2014-08-05,89.4,89.6,88.2,88.43,0.542
2014-08-06,88.1,88.82,87.81,88.45,0.551
2014-08-07,88.54,89.05,87.49,87.64,0.516
2014-08-08,87.6,88.72,87.52,88.61,0.633
2014-08-11,88.68,89.06,88.22,88.36,0.571
2014-08-12,88.38,88.72,88.15,88.34,0.411
2014-08-13,88.66,89.36,88.33,89.05,1.065
2014-08-14,89.12,90.51,89.12,90.16,0.737
2014-08-15,90.37,90.59,88.94,89.3,0.54
2014-08-18,89.71,90.79,89.42,90.51,0.639
2014-08-19,90.43,91.07,90.21,90.89,0.408
2014-08-20,90.55,91.34,90.21,91.19,0.512
2014-08-21,91.24,91.86,90.91,91.77,0.453
2014-08-22,91.6,91.6,90.88,91.25,0.553
2014-08-25,91.49,92.23,91.07,91.86,0.404
2014-08-26,91.92,92.16,91.07,91.43,0.419
2014-08-27,91.65,92.5,90.8,90.87,0.692
2014-08-28,90.8,91.06,90.21,90.54,0.493
2014-08-29,90.46,92.2,90.46,92.12,0.489
2014-09-02,92.14,92.51,91.35,91.54,0.561
2014-09-03,91.78,93.01,91.78,92.89,0.697
2014-09-04,92.89,93.37,92.3,92.77,0.678
2014-09-05,92.61,93.05,92.52,92.77,0.531
2014-09-08,92.77,93.12,92.44,92.9,0.43
2014-09-09,92.97,93.45,92.64,93.0,0.449
2014-09-10,93.09,93.25,91.72,92.06,0.4
2014-09-11,91.7,92.16,91.32,92.16,0.362
2014-09-12,91.94,92.13,91.16,91.37,0.651
2014-09-15,91.61,91.78,90.72,90.95,0.364
2014-09-16,91.12,92.3,90.72,91.93,0.483
2014-09-17,91.81,92.2,90.95,91.17,0.503
2014-09-18,91.19,91.65,90.56,91.12,0.507
2014-09-19,91.56,91.72,91.05,91.17,0.631
2014-09-22,91.0,91.1,89.55,89.78,0.58
2014-09-23,89.63,89.72,88.33,88.45,0.776
2014-09-24,88.27,89.29,88.17,89.24,0.608
2014-09-25,89.1,89.11,87.65,87.65,0.468
2014-09-26,87.87,88.47,87.42,88.32,0.821
