Date,Open,High,Low,Close,Volume
2014-01-02,69.63,69.65,68.08,68.48,0.602
2014-01-03,68.61,69.5,68.4,69.3,0.502
2014-01-06,69.13,69.75,68.7,68.8,0.69
2014-01-07,68.75,69.39,67.65,69.01,1.118
2014-01-08,68.73,68.91,67.01,67.91,2.2
2014-01-09,68.26,68.59,67.81,68.37,0.717
2014-01-10,68.64,68.98,68.39,68.96,0.433
2014-01-13,68.63,69.28,67.83,67.95,0.509
2014-01-14,67.81,69.3,67.81,69.29,0.471
2014-01-15,69.25,70.14,69.06,70.04,0.508
2014-01-16,69.76,70.7,69.45,70.59,1.32
2014-01-17,70.65,70.85,70.08,70.54,0.568
2014-01-21,71.0,71.4,70.2,70.5,0.689
2014-01-22,70.5,70.91,69.93,70.84,0.397
2014-01-23,70.34,70.73,69.37,69.76,0.631
2014-01-24,69.44,69.6,68.03,68.06,0.495
2014-01-27,68.31,69.2,68.07,68.7,0.96
2014-01-28,72.25,72.33,69.62,70.44,1.098
2014-01-29,70.17,70.79,69.92,70.48,0.993
2014-01-30,69.0,69.92,68.72,69.77,0.898
2014-01-31,69.03,69.88,68.89,69.34,0.981
2014-02-03,69.34,69.34,67.01,67.24,1.22
2014-02-04,67.46,67.6,66.39,67.33,1.024
2014-02-05,67.17,68.18,66.34,67.97,0.904
2014-02-06,68.05,68.94,68.04,68.91,0.377
2014-02-07,69.08,70.98,68.86,70.92,0.864
2014-02-10,70.7,71.11,70.51,71.07,0.738
2014-02-11,70.79,71.5,70.63,71.3,0.716
2014-02-12,71.56,72.23,71.15,71.57,0.581
2014-02-13,71.26,71.74,70.8,71.69,0.571
2014-02-14,71.69,72.12,71.65,72.0,0.532
2014-02-18,72.0,74.22,72.0,73.96,1.314
2014-02-19,73.57,73.77,72.44,72.57,0.687
2014-02-20,72.74,73.43,72.32,72.64,0.813
2014-02-21,72.9,73.54,72.79,72.85,0.558
2014-02-24,72.89,73.21,72.58,72.67,0.532
2014-02-25,72.63,72.83,72.14,72.27,0.453
2014-02-26,72.63,72.95,72.12,72.47,0.677
2014-02-27,72.48,74.19,72.48,74.07,1.278
2014-02-28,74.05,74.23,73.28,73.82,0.616
2014-03-03,73.03,73.8,72.61,73.79,0.481
2014-03-04,74.71,75.3,74.34,74.7,0.531
2014-03-05,74.75,75.07,74.31,74.56,0.334
2014-03-06,74.7,75.09,74.49,74.81,0.704
2014-03-07,74.5,75.14,74.37,74.72,0.477
2014-03-10,74.51,75.2,74.02,75.03,0.526
2014-03-11,75.03,75.33,74.41,74.62,0.476
2014-03-12,73.98,74.26,73.61,74.14,0.743
2014-03-13,74.37,74.66,73.01,73.24,0.761
2014-03-14,73.06,73.58,72.51,72.56,0.691
2014-03-17,72.28,73.82,72.2,73.59,0.515
2014-03-18,73.57,74.24,73.32,73.91,0.33
2014-03-19,73.87,74.9,73.54,74.06,0.472
2014-03-20,73.93,74.49,73.64,74.3,0.495
2014-03-21,75.11,75.2,73.46,73.55,1.462
2014-03-24,73.84,73.87,72.47,72.63,0.442
2014-03-25,73.42,73.65,72.67,73.17,0.536
2014-03-26,73.66,73.92,72.29,72.29,0.569
2014-03-27,72.29,73.01,71.84,71.96,0.434
2014-03-28,72.22,72.8,71.78,71.88,0.288
2014-03-31,73.3,73.83,72.94,73.16,0.579
2014-04-01,73.25,73.96,73.07,73.82,0.626
2014-04-02,73.83,75.2,73.76,74.87,0.492
2014-04-03,75.03,75.26,73.3,74.19,0.727
2014-04-04,74.61,74.79,72.26,72.43,0.773
2014-04-07,72.36,72.55,70.9,71.35,0.551
2014-04-08,71.25,71.58,70.39,71.46,0.48
2014-04-09,71.67,72.38,71.45,72.34,0.459
2014-04-10,72.2,72.38,69.91,69.91,0.552
2014-04-11,69.67,70.86,69.37,69.58,0.48
2014-04-14,70.0,70.2,68.63,69.34,0.487
2014-04-15,69.69,70.57,69.02,70.47,0.566
2014-04-16,70.93,71.42,70.64,71.41,0.299
2014-04-17,71.39,72.65,71.02,72.22,0.424
2014-04-21,72.55,72.92,71.9,72.37,0.332
2014-04-22,72.46,73.26,72.46,72.75,0.388
2014-04-23,72.9,73.08,72.34,72.76,0.301
2014-04-24,73.02,73.27,71.6,72.14,0.498
2014-04-25,72.01,72.19,71.35,71.62,0.448
2014-04-28,72.03,72.48,70.71,71.38,0.885
2014-04-29,73.06,73.48,71.99,72.64,0.575
2014-04-30,72.77,73.56,72.72,73.52,0.793
2014-05-01,73.34,74.1,73.02,73.48,0.767
2014-05-02,73.55,74.11,73.22,73.37,0.727
2014-05-05,73.13,73.68,72.74,73.55,0.481
2014-05-06,73.67,74.19,73.32,73.71,0.593
2014-05-07,73.91,74.89,73.76,74.87,0.906
2014-05-08,74.7,75.43,74.53,74.94,0.555
2014-05-09,74.61,74.92,74.17,74.84,0.438
2014-05-12,75.13,75.95,75.08,75.85,0.364
2014-05-13,75.75,76.13,75.49,75.89,0.559
2014-05-14,75.88,76.22,75.43,75.57,1.403
2014-05-15,75.17,75.37,74.32,74.89,0.555
2014-05-16,74.78,75.28,74.41,75.24,0.562
2014-05-19,74.91,75.53,74.77,75.41,0.289
