Date,Open,High,Low,Close,Volume
2014-01-02,32.84,32.9,32.29,32.4,0.791
2014-01-03,32.48,32.67,32.18,32.26,0.602
2014-01-06,32.31,32.44,31.64,31.66,1.305
2014-01-07,31.89,32.12,31.69,31.99,1.358
2014-01-08,32.03,32.37,31.64,32.29,1.392
2014-01-09,32.34,32.44,31.82,32.04,0.902
2014-01-10,32.6,32.6,32.02,32.53,0.998
2014-01-13,32.4,32.89,32.04,32.26,1.247
2014-01-14,32.46,32.79,32.19,32.29,1.396
2014-01-15,31.5,32.2,26.25,29.46,23.211
2014-01-16,29.81,29.86,28.38,29.29,7.264
2014-01-17,29.3,29.39,27.75,27.93,6.995
2014-01-21,28.05,28.38,25.74,25.94,10.946
2014-01-22,25.72,26.79,25.27,26.71,8.769
2014-01-23,26.6,26.74,26.29,26.55,4.894
2014-01-24,26.4,26.52,26.15,26.16,4.273
2014-01-27,26.13,26.71,25.95,26.24,5.039
2014-01-28,26.37,26.68,26.2,26.62,2.383
2014-01-29,26.27,27.09,26.27,26.52,3.123
2014-01-30,26.74,27.43,26.48,27.32,2.72
2014-01-31,26.94,27.16,26.73,27.07,3.945
2014-02-03,26.58,27.25,26.5,26.63,5.918
2014-02-04,26.6,26.83,26.35,26.46,3.432
2014-02-05,26.35,26.54,25.86,26.18,2.925
2014-02-06,26.37,27.05,26.26,26.97,2.753
2014-02-07,27.21,28.26,27.08,28.09,3.309
2014-02-10,27.99,28.35,27.33,27.35,2.196
2014-02-11,27.3,27.65,27.21,27.48,1.398
2014-02-12,27.45,27.81,27.35,27.63,1.003
2014-02-13,27.35,28.57,27.35,28.5,1.985
2014-02-14,28.41,28.91,27.99,28.84,2.146
2014-02-18,28.94,29.37,28.61,28.92,2.683
2014-02-19,28.87,29.29,28.75,28.98,1.956
2014-02-20,28.91,29.14,28.75,29.09,1.578
2014-02-21,29.22,29.68,29.0,29.52,1.768
2014-02-24,29.64,29.69,29.35,29.51,2.034
2014-02-25,29.5,29.58,29.04,29.06,1.733
2014-02-26,29.25,29.42,28.97,29.07,2.951
2014-02-27,27.3,28.61,26.25,26.96,11.244
2014-02-28,27.29,27.95,27.0,27.89,3.859
2014-03-03,27.59,27.85,27.2,27.79,1.99
2014-03-04,28.11,28.65,27.84,28.5,2.462
2014-03-05,28.57,28.82,28.31,28.43,2.46
2014-03-06,28.29,28.5,27.23,27.57,4.171
2014-03-07,27.71,27.98,27.51,27.83,2.463
2014-03-10,27.83,27.93,27.4,27.56,2.022
2014-03-11,27.57,27.72,27.09,27.25,1.565
2014-03-12,27.11,27.49,27.0,27.24,2.128
2014-03-13,27.38,27.48,26.77,26.96,2.997
2014-03-14,26.91,27.01,26.16,26.28,3.49
2014-03-17,26.46,26.76,25.83,26.01,4.017
2014-03-18,26.11,26.19,25.65,25.74,3.254
