Date,Open,High,Low,Close,Volume
2014-01-02,50.97,51.09,50.56,50.73,3.176
2014-01-03,50.78,51.2,50.67,51.1,4.006
2014-01-06,51.18,51.94,51.17,51.53,7.898
2014-01-07,51.53,52.08,51.15,51.19,7.359
2014-01-08,50.83,51.15,50.52,51.11,7.517
2014-01-09,51.24,51.74,51.19,51.68,6.352
2014-01-10,51.49,52.11,51.25,51.93,5.399
2014-01-13,52.03,52.52,51.91,52.07,5.406
2014-01-14,52.14,52.55,51.87,52.44,4.994
2014-01-15,52.65,53.58,52.42,53.41,8.427
2014-01-16,53.59,55.64,53.59,55.3,12.158
2014-01-17,55.35,55.45,54.86,55.16,7.851
2014-01-21,55.35,55.79,54.89,55.59,5.624
2014-01-22,55.74,55.78,55.27,55.6,3.342
2014-01-23,55.38,55.38,54.62,55.15,5.13
2014-01-24,54.71,54.98,54.0,54.12,5.944
2014-01-27,54.22,54.67,53.81,54.13,6.378
2014-01-28,54.26,54.53,53.86,54.23,5.771
2014-01-29,54.19,54.22,53.57,53.91,7.314
2014-01-30,54.09,54.56,53.03,53.27,7.278
2014-01-31,53.12,54.06,52.87,54.01,8.215
2014-02-03,54.11,54.38,52.51,52.66,6.998
2014-02-04,52.85,53.2,52.4,53.1,6.002
2014-02-05,53.06,53.48,52.46,52.72,4.467
2014-02-06,52.92,52.98,52.45,52.72,4.494
2014-02-07,52.81,53.55,52.75,53.21,4.489
2014-02-10,52.75,53.99,52.29,53.97,4.22
2014-02-11,53.82,54.63,53.66,54.51,5.87
2014-02-12,54.15,54.15,53.12,53.32,6.05
2014-02-13,53.04,53.7,52.89,53.48,3.769
2014-02-14,53.41,54.37,53.33,54.2,3.97
2014-02-18,54.14,55.34,54.03,55.25,6.845
2014-02-19,57.3,58.2,56.55,58.09,16.112
2014-02-20,57.85,58.52,57.4,58.05,8.992
2014-02-21,58.1,58.76,57.77,57.96,6.617
2014-02-24,58.1,58.9,57.89,58.03,4.142
2014-02-25,57.99,58.84,57.93,58.48,5.464
2014-02-26,58.47,58.89,58.38,58.66,4.598
2014-02-27,58.55,59.65,58.45,59.54,5.659
2014-02-28,59.53,60.12,59.33,59.61,5.882
2014-03-03,58.95,59.5,58.81,59.03,4.088
2014-03-04,59.55,60.1,59.55,59.85,5.599
2014-03-05,59.94,59.97,59.22,59.43,3.539
2014-03-06,59.45,59.92,58.69,58.72,5.075
2014-03-07,58.89,59.08,58.15,58.59,4.289
2014-03-10,58.51,58.92,58.2,58.9,3.978
2014-03-11,58.92,59.02,58.32,58.43,3.439
2014-03-12,58.16,59.21,58.12,59.2,4.546
2014-03-13,59.24,59.33,58.23,58.34,4.104
2014-03-14,58.31,58.98,58.23,58.87,4.202
2014-03-17,59.12,59.29,58.65,58.87,3.016
2014-03-18,58.91,59.7,58.81,59.4,4.083
2014-03-19,59.35,59.74,58.63,59.05,2.866
2014-03-20,58.88,58.89,58.3,58.57,3.546
2014-03-21,58.88,59.75,57.76,57.78,7.41
2014-03-24,57.78,57.99,56.81,57.4,5.911
2014-03-25,57.45,57.84,56.94,57.21,6.41
2014-03-26,57.39,58.3,57.24,57.48,6.628
2014-03-27,57.5,58.12,57.17,57.53,5.472
2014-03-28,57.67,58.47,57.4,57.61,3.118
2014-03-31,57.94,59.13,57.81,58.86,5.099
2014-04-01,59.13,59.91,58.51,58.82,6.344
