Date,Open,High,Low,Close,Volume
2014-01-02,25.81,25.81,25.34,25.39,1.103
2014-01-03,25.47,25.5,25.21,25.34,0.894
2014-01-06,25.09,25.29,25.0,25.25,1.693
2014-01-07,25.29,25.52,25.29,25.49,0.923
2014-01-08,25.51,25.51,25.25,25.4,1.418
2014-01-09,25.52,25.77,25.33,25.65,1.172
2014-01-10,25.66,25.99,25.5,25.93,0.976
2014-01-13,25.89,25.91,25.62,25.67,0.673
2014-01-14,25.75,25.82,25.57,25.75,0.879
2014-01-15,25.84,25.92,25.57,25.64,0.905
2014-01-16,25.55,25.78,25.55,25.72,0.619
2014-01-17,25.76,25.82,25.59,25.65,0.874
2014-01-21,25.75,25.96,25.7,25.96,1.04
2014-01-22,25.9,25.99,25.75,25.9,1.514
2014-01-23,25.82,25.91,25.72,25.84,1.282
2014-01-24,25.77,25.82,25.37,25.38,1.365
2014-01-27,25.4,25.6,25.32,25.49,0.976
2014-01-28,25.57,25.59,25.48,25.58,0.916
2014-01-29,25.25,25.57,25.25,25.39,1.027
2014-01-30,25.57,25.9,25.46,25.88,0.742
2014-01-31,25.67,26.09,25.51,25.98,0.829
2014-02-03,26.02,26.26,25.45,25.48,2.1
2014-02-04,25.6,25.64,25.32,25.51,1.667
2014-02-05,25.47,25.48,25.19,25.3,1.022
2014-02-06,25.3,25.55,25.19,25.44,0.526
2014-02-07,25.52,25.68,25.4,25.65,0.543
2014-02-10,25.62,25.88,25.44,25.82,0.671
2014-02-11,25.8,26.31,25.75,26.28,0.797
2014-02-12,26.39,26.51,26.25,26.32,1.497
2014-02-13,26.24,26.6,26.24,26.57,0.796
2014-02-14,26.58,26.84,26.47,26.83,0.788
2014-02-18,26.92,27.0,26.83,26.93,0.847
2014-02-19,26.82,26.98,26.58,26.6,0.711
2014-02-20,26.6,26.94,26.58,26.85,0.614
2014-02-21,26.89,27.17,26.81,26.88,0.767
2014-02-24,26.91,27.06,26.74,26.75,0.948
2014-02-25,26.71,27.12,26.51,26.9,0.957
2014-02-26,27.1,27.1,26.84,26.89,0.949
2014-02-27,27.06,27.16,26.72,26.83,0.764
2014-02-28,26.87,27.23,26.75,27.12,0.824
2014-03-03,26.99,27.09,26.69,26.75,0.683
2014-03-04,27.05,27.16,26.97,27.15,0.907
2014-03-05,27.14,27.18,26.8,26.88,0.467
2014-03-06,26.89,26.96,26.67,26.69,0.692
2014-03-07,26.69,26.86,26.5,26.86,0.632
2014-03-10,26.83,26.97,26.72,26.84,0.494
2014-03-11,26.82,26.83,26.58,26.66,0.435
2014-03-12,26.61,27.12,26.61,27.08,1.117
2014-03-13,27.16,27.48,27.03,27.35,0.762
2014-03-14,27.27,27.57,27.17,27.35,0.801
2014-03-17,27.48,27.74,27.32,27.59,0.915
2014-03-18,27.58,27.66,27.5,27.62,0.835
2014-03-19,27.62,27.62,27.03,27.12,0.671
2014-03-20,27.09,27.22,26.77,26.96,1.557
2014-03-21,27.0,27.39,26.99,27.18,2.037
2014-03-24,27.25,27.48,27.05,27.25,1.325
2014-03-25,27.34,27.51,27.27,27.43,0.83
2014-03-26,27.85,28.02,27.6,27.83,2.421
2014-03-27,27.84,27.89,27.71,27.85,1.186
2014-03-28,27.89,28.01,27.79,27.95,0.679
2014-03-31,28.05,28.5,28.02,28.41,1.139
2014-04-01,28.44,28.49,28.13,28.28,1.048
2014-04-02,28.26,28.43,28.18,28.35,0.896
2014-04-03,28.37,28.48,28.26,28.28,0.646
2014-04-04,28.38,28.64,28.2,28.22,0.887
2014-04-07,28.2,28.28,28.0,28.02,1.969
2014-04-08,28.02,28.38,27.74,28.16,2.387
2014-04-09,28.19,28.26,27.84,28.18,1.137
2014-04-10,28.27,28.68,28.15,28.26,1.259
2014-04-11,28.12,28.46,28.12,28.38,2.015
2014-04-14,28.48,28.69,28.31,28.55,1.188
2014-04-15,28.6,28.98,28.55,28.95,1.189
2014-04-16,29.05,29.18,28.92,29.17,0.62
2014-04-17,29.17,29.25,28.86,28.86,1.219
2014-04-21,28.93,29.02,28.63,28.73,0.568
2014-04-22,28.77,28.83,28.58,28.78,0.842
2014-04-23,28.76,29.13,28.76,28.91,0.983
2014-04-24,29.0,29.05,28.7,28.94,1.435
2014-04-25,29.0,29.4,28.88,29.38,2.052
2014-04-28,29.14,29.3,28.91,29.18,1.829
2014-04-29,29.21,29.33,29.03,29.07,0.905
2014-04-30,29.14,29.27,29.02,29.24,1.189
2014-05-01,29.33,29.44,28.98,29.39,1.588
2014-05-02,29.27,30.06,28.72,28.85,1.618
2014-05-05,28.76,29.26,28.76,29.22,1.494
2014-05-06,29.23,29.23,28.92,29.0,1.378
2014-05-07,29.05,29.41,28.95,29.41,1.266
2014-05-08,29.42,29.55,29.12,29.16,1.254
2014-05-09,29.12,29.17,28.71,28.75,0.952
2014-05-12,28.86,28.91,28.56,28.59,0.873
2014-05-13,28.67,28.82,28.56,28.67,0.935
2014-05-14,28.67,28.97,28.64,28.78,0.538
2014-05-15,28.78,28.85,28.53,28.67,0.837
2014-05-16,28.64,28.78,28.49,28.77,0.725
2014-05-19,28.68,28.72,28.32,28.34,0.8
2014-05-20,28.33,28.49,28.05,28.24,0.871
2014-05-21,28.35,28.38,28.17,28.28,0.652
2014-05-22,28.32,28.51,28.25,28.49,0.713
2014-05-23,28.51,28.58,28.38,28.55,0.694
2014-05-27,28.72,28.79,28.61,28.69,0.539
2014-05-28,28.72,28.99,28.65,28.97,0.891
