Date,Open,High,Low,Close,Volume
2014-01-02,49.55,49.86,49.15,49.44,5.458
2014-01-03,49.41,49.53,48.83,48.95,4.258
2014-01-06,48.97,49.1,48.04,48.26,4.923
2014-01-07,48.4,48.82,48.0,48.38,5.542
2014-01-08,48.28,48.75,48.25,48.55,4.876
2014-01-09,48.75,48.88,48.36,48.75,4.941
2014-01-10,48.92,49.78,48.88,49.68,5.736
2014-01-13,49.4,49.91,48.5,48.66,6.404
2014-01-14,48.61,48.93,48.37,48.9,5.499
2014-01-15,48.98,49.03,48.1,48.29,6.225
2014-01-16,48.11,48.28,47.77,48.18,4.146
2014-01-17,48.1,48.14,47.56,47.61,5.764
2014-01-21,47.59,47.86,47.26,47.82,7.43
2014-01-22,47.84,47.85,47.18,47.75,7.917
2014-01-23,47.55,48.22,47.25,48.15,6.939
2014-01-24,47.78,48.3,47.73,47.83,9.086
2014-01-27,47.78,48.32,47.34,48.0,8.05
2014-01-28,46.75,47.38,46.58,46.96,13.364
2014-01-29,46.57,46.89,45.78,45.97,9.922
2014-01-30,46.31,46.78,45.96,46.5,5.773
2014-01-31,46.01,46.8,45.62,46.29,6.767
2014-02-03,46.26,46.53,45.48,45.6,7.755
2014-02-04,45.55,45.73,44.78,44.9,8.399
2014-02-05,44.82,45.67,44.45,45.53,8.036
2014-02-06,45.67,46.64,45.6,46.58,6.486
2014-02-07,46.11,46.26,45.44,46.07,9.641
2014-02-10,46.11,46.42,45.91,46.12,7.343
2014-02-11,45.98,46.94,45.97,46.76,6.922
2014-02-12,46.78,47.09,46.56,46.68,6.788
2014-02-13,46.47,46.81,46.03,46.64,5.052
2014-02-14,46.6,47.39,46.46,47.28,3.46
2014-02-18,47.5,47.68,46.69,46.93,5.454
2014-02-19,46.81,47.17,46.51,46.54,5.461
2014-02-20,46.67,47.09,46.6,46.66,7.724
2014-02-21,46.66,47.3,46.66,47.06,7.675
2014-02-24,47.21,47.78,47.21,47.22,7.787
2014-02-25,47.84,48.37,47.76,48.11,10.095
2014-02-26,50.2,51.28,48.81,50.72,18.638
2014-02-27,50.58,51.02,50.39,50.82,7.249
2014-02-28,50.88,50.89,49.47,50.03,9.573
2014-03-03,48.6,50.58,48.6,50.19,7.203
2014-03-04,50.42,50.78,50.27,50.63,6.39
2014-03-05,50.74,50.78,50.3,50.35,5.217
2014-03-06,49.73,50.25,49.69,50.09,4.381
2014-03-07,50.5,50.53,50.02,50.42,4.34
2014-03-10,50.28,50.5,49.98,49.99,5.132
2014-03-11,50.1,50.2,49.28,49.46,4.553
2014-03-12,49.31,49.39,48.94,49.38,4.436
2014-03-13,49.53,49.75,48.62,48.71,5.587
2014-03-14,49.09,49.62,48.96,49.09,5.299
2014-03-17,49.25,49.82,49.21,49.48,4.965
2014-03-18,49.49,49.93,49.35,49.83,3.911
2014-03-19,49.94,50.28,49.28,49.58,4.316
2014-03-20,49.41,49.61,49.23,49.55,4.146
2014-03-21,49.84,50.07,49.19,49.25,7.778
2014-03-24,49.32,49.58,48.75,49.18,5.388
2014-03-25,49.27,49.36,48.19,48.36,5.956
2014-03-26,48.46,48.83,48.16,48.53,7.082
2014-03-27,48.39,48.57,48.22,48.54,5.301
2014-03-28,48.84,49.02,48.63,48.92,4.016
2014-03-31,49.11,49.14,48.76,48.9,6.694
2014-04-01,49.07,49.79,49.05,49.43,3.571
2014-04-02,49.39,49.97,49.29,49.52,4.846
2014-04-03,49.5,49.59,48.89,49.05,4.766
2014-04-04,49.21,49.24,48.18,48.44,5.952
2014-04-07,48.45,48.52,46.58,46.77,8.818
2014-04-08,46.75,46.91,46.41,46.73,6.888
2014-04-09,46.82,47.61,46.51,47.54,6.023
2014-04-10,47.49,47.86,46.75,46.79,6.203
2014-04-11,46.66,46.72,46.19,46.31,4.932
2014-04-14,46.64,47.14,46.27,46.64,4.698
2014-04-15,46.96,46.96,45.79,46.71,5.438
2014-04-16,46.97,47.18,46.56,46.73,4.271
2014-04-17,46.51,47.08,46.29,46.8,4.281
2014-04-21,46.66,46.88,46.51,46.68,3.141
2014-04-22,46.75,47.88,46.67,47.54,4.687
2014-04-23,47.53,47.68,46.19,46.22,7.862
2014-04-24,46.46,47.18,46.34,47.16,4.675
2014-04-25,46.98,47.01,46.35,46.38,4.589
2014-04-28,46.6,47.2,45.67,46.38,7.024
2014-04-29,46.48,46.58,46.14,46.43,3.888
2014-04-30,46.3,46.37,45.65,45.91,6.619
2014-05-01,46.05,46.69,45.89,46.37,4.367
2014-05-02,46.38,47.34,46.38,46.98,4.732
2014-05-05,46.68,46.84,46.13,46.29,3.985
2014-05-06,46.19,46.25,45.31,45.39,4.587
2014-05-07,45.6,45.79,44.68,45.11,5.148
2014-05-08,45.07,45.79,44.78,45.02,3.718
2014-05-09,45.01,45.73,44.89,45.71,4.024
2014-05-12,45.83,46.45,45.82,46.28,2.82
2014-05-13,46.3,46.63,45.51,45.76,3.962
2014-05-14,45.68,45.7,44.99,45.17,5.48
2014-05-15,44.91,44.91,44.13,44.63,7.721
2014-05-16,44.77,45.4,44.77,45.36,5.727
2014-05-19,45.24,45.69,45.0,45.55,4.568
2014-05-20,46.01,46.29,45.25,45.52,8.853
2014-05-21,45.4,45.84,44.31,45.41,8.572
2014-05-22,45.2,47.15,45.2,46.89,8.781
2014-05-23,46.82,47.14,46.73,47.06,5.096
2014-05-27,47.18,47.83,47.15,47.78,5.534
2014-05-28,46.91,47.24,46.57,46.71,6.89
2014-05-29,46.86,47.15,46.45,47.01,3.948
2014-05-30,46.97,47.11,46.57,47.08,4.289
2014-06-02,47.09,47.41,46.89,47.01,4.071
2014-06-03,46.82,47.38,46.8,47.22,3.561
2014-06-04,47.09,47.4,46.86,47.17,4.502
2014-06-05,47.34,47.61,47.06,47.4,4.3
