Date,Open,High,Low,Close,Volume
2014-01-02,54.04,54.33,53.69,53.95,1.053
2014-01-03,54.03,54.28,53.65,53.94,0.892
2014-01-06,53.8,53.9,53.08,53.25,1.122
2014-01-07,53.38,54.22,53.06,53.91,1.348
2014-01-08,53.92,54.4,53.61,54.18,1.284
2014-01-09,54.03,54.85,54.01,54.2,1.261
2014-01-10,54.43,54.99,54.27,54.88,1.139
2014-01-13,54.68,55.37,54.34,54.58,1.953
2014-01-14,54.7,56.0,54.7,55.89,2.625
2014-01-15,55.82,56.52,55.56,55.95,2.305
2014-01-16,55.95,56.21,54.87,54.9,2.003
2014-01-17,54.85,55.1,54.05,54.23,1.843
2014-01-21,54.8,54.99,54.05,54.45,1.212
2014-01-22,54.99,55.5,54.55,55.38,2.33
2014-01-23,55.26,55.3,53.96,54.04,2.84
2014-01-24,53.45,53.45,51.26,51.27,4.53
2014-01-27,51.32,51.5,50.33,50.96,3.197
2014-01-28,51.07,51.42,50.68,51.22,3.07
2014-01-29,51.01,51.58,50.71,51.25,3.34
2014-01-30,52.8,52.9,50.17,51.26,5.246
2014-01-31,50.37,51.13,50.37,50.61,3.127
2014-02-03,49.85,50.03,48.45,48.58,4.447
2014-02-04,49.0,49.46,48.58,49.46,2.822
2014-02-05,49.36,50.3,48.96,49.95,2.417
2014-02-06,50.15,51.21,50.01,51.05,3.856
2014-02-07,51.3,51.93,50.7,51.85,2.701
2014-02-10,51.7,52.01,51.27,51.6,1.568
2014-02-11,51.79,52.97,51.53,52.64,2.464
2014-02-12,52.75,53.07,52.45,52.67,1.522
2014-02-13,51.74,52.06,50.35,51.91,3.334
2014-02-14,52.02,52.59,51.32,52.48,2.482
2014-02-18,52.66,52.69,51.07,51.76,1.928
2014-02-19,51.64,52.18,51.56,51.99,2.091
2014-02-20,52.1,52.58,51.68,52.35,1.426
2014-02-21,52.43,52.58,52.11,52.27,2.393
2014-02-24,52.35,52.96,52.35,52.62,1.424
2014-02-25,52.69,52.77,51.81,52.56,1.694
2014-02-26,52.58,53.47,52.53,52.63,1.722
2014-02-27,52.52,52.52,51.52,51.83,1.62
2014-02-28,51.98,52.25,51.25,51.73,2.284
2014-03-03,51.33,51.38,50.5,51.12,1.384
2014-03-04,51.73,51.74,50.81,50.96,2.848
2014-03-05,50.84,52.11,50.75,52.03,2.855
2014-03-06,52.01,53.52,51.85,53.35,3.119
2014-03-07,53.56,53.92,53.17,53.35,1.804
2014-03-10,53.37,53.5,52.84,53.08,1.671
2014-03-11,53.29,53.62,52.7,52.94,1.641
2014-03-12,52.59,53.7,52.14,53.65,1.536
2014-03-13,53.76,54.16,52.4,52.93,1.879
2014-03-14,52.99,53.09,52.5,52.6,1.916
2014-03-17,53.02,53.59,53.02,53.27,1.28
2014-03-18,53.3,54.85,53.2,54.83,1.759
2014-03-19,54.83,55.24,54.03,54.49,1.554
2014-03-20,54.5,56.45,54.13,56.43,2.404
2014-03-21,56.9,56.9,55.99,56.37,2.961
2014-03-24,56.71,56.89,55.54,56.4,1.889
2014-03-25,56.63,57.16,56.28,56.59,1.834
2014-03-26,56.98,57.13,55.1,55.15,2.323
2014-03-27,55.11,55.39,54.3,54.46,1.475
2014-03-28,54.63,55.44,54.34,54.49,2.211
2014-03-31,55.03,55.33,54.7,55.0,1.327
2014-04-01,55.13,55.73,54.79,55.62,1.328
2014-04-02,55.76,57.08,55.44,56.97,2.842
2014-04-03,57.05,58.94,57.0,57.68,3.739
2014-04-04,58.0,58.1,55.69,56.0,1.889
2014-04-07,55.82,56.15,54.34,54.83,1.514
2014-04-08,55.05,55.25,54.01,54.51,1.774
2014-04-09,54.81,56.02,54.46,56.0,2.27
2014-04-10,55.93,56.06,52.93,53.07,3.695
2014-04-11,52.89,53.86,52.5,52.63,2.457
2014-04-14,53.24,53.65,52.11,52.64,1.659
2014-04-15,52.76,53.0,51.05,52.37,2.931
2014-04-16,51.16,52.18,50.54,52.11,3.532
2014-04-17,52.17,53.02,52.06,52.74,2.246
2014-04-21,53.02,53.14,52.05,52.77,1.771
