Date,Open,High,Low,Close,Volume
2014-01-02,59.08,59.52,58.41,58.59,2.515
2014-01-03,58.83,59.14,58.51,58.78,1.921
2014-01-06,58.93,59.15,57.43,57.78,3.055
2014-01-07,59.01,59.08,57.81,58.28,3.168
2014-01-08,58.29,58.5,57.36,58.02,2.563
2014-01-09,58.09,58.18,57.01,57.35,3.071
2014-01-10,58.3,59.84,57.29,59.6,5.217
2014-01-13,51.56,51.75,49.0,49.7,24.029
2014-01-14,49.89,49.94,48.89,49.26,6.312
2014-01-15,50.03,50.28,49.28,49.65,4.702
2014-01-16,49.91,49.91,48.5,48.79,4.6
2014-01-17,48.55,48.92,47.15,47.49,5.916
2014-01-21,47.04,48.25,46.5,47.85,5.209
2014-01-22,47.78,47.85,47.3,47.46,4.64
2014-01-23,47.2,47.4,46.35,47.15,5.384
2014-01-24,46.8,48.17,46.75,47.62,7.198
2014-01-27,47.47,47.6,45.54,46.27,4.565
2014-01-28,46.1,47.18,46.1,46.71,2.034
2014-01-29,46.18,46.48,45.4,45.68,2.472
2014-01-30,46.22,47.24,45.41,46.82,3.651
2014-01-31,45.84,46.37,45.54,45.69,2.717
2014-02-03,46.0,46.09,44.46,44.78,3.052
2014-02-04,44.92,46.11,44.68,44.98,3.047
2014-02-05,44.8,45.31,44.32,44.53,2.363
2014-02-06,44.45,45.58,44.36,45.45,3.424
2014-02-07,46.79,48.09,46.52,47.38,6.567
2014-02-10,47.84,48.0,46.81,47.53,2.846
2014-02-11,47.65,48.5,47.57,48.27,2.82
2014-02-12,48.76,49.76,48.22,49.4,4.288
2014-02-13,49.34,50.79,49.03,50.09,3.898
2014-02-14,50.32,51.41,49.94,51.05,3.505
2014-02-18,52.3,52.69,51.27,51.42,4.268
2014-02-19,51.26,52.29,50.33,51.21,3.92
2014-02-20,51.42,51.73,50.67,51.14,2.255
2014-02-21,51.21,51.82,51.12,51.39,1.582
2014-02-24,51.29,52.15,51.22,51.62,2.054
2014-02-25,51.82,51.98,50.45,51.52,2.836
2014-02-26,51.79,52.75,51.68,52.33,2.733
2014-02-27,52.45,53.39,52.07,52.91,2.211
2014-02-28,51.52,51.88,49.68,50.31,5.679
2014-03-03,49.5,50.69,49.14,49.56,3.3
2014-03-04,50.01,50.35,49.6,50.01,2.305
2014-03-05,50.15,50.47,49.71,49.88,1.856
2014-03-06,50.0,50.17,48.85,49.12,3.106
2014-03-07,49.57,50.2,49.22,49.61,2.432
2014-03-10,49.37,49.74,48.71,49.11,2.25
2014-03-11,49.0,49.47,48.61,48.7,2.164
2014-03-12,48.45,48.48,46.71,47.13,4.858
2014-03-13,47.45,47.5,46.43,46.78,2.019
2014-03-14,46.46,47.6,46.4,46.78,2.017
2014-03-17,47.11,48.29,47.01,48.04,2.194
2014-03-18,48.04,49.54,47.88,49.01,2.957
2014-03-19,49.59,50.94,49.08,50.23,3.944
2014-03-20,50.02,50.12,48.55,48.74,2.865
2014-03-21,48.73,48.95,47.49,47.63,4.077
2014-03-24,47.7,49.6,47.65,49.32,4.243
2014-03-25,49.46,49.97,47.8,47.99,3.89
2014-03-26,48.49,49.33,48.2,48.23,4.777
2014-03-27,50.03,52.98,49.82,51.2,11.868
2014-03-28,51.27,52.57,50.25,51.89,6.767
2014-03-31,53.03,53.2,51.99,52.59,3.949
2014-04-01,52.67,53.0,52.15,52.98,2.598
2014-04-02,52.97,54.63,52.53,54.41,3.77
2014-04-03,54.73,55.45,53.7,54.14,3.463
2014-04-04,54.85,55.18,53.75,54.18,3.825
2014-04-07,54.06,54.15,51.64,52.62,3.487
2014-04-08,52.61,53.74,52.37,53.16,1.848
2014-04-09,53.24,54.74,52.67,54.56,2.557
2014-04-10,53.8,54.41,52.13,52.57,2.788
2014-04-11,52.06,52.54,51.17,52.08,2.465
2014-04-14,52.39,53.68,52.02,52.39,2.541
2014-04-15,52.87,53.49,51.48,52.51,1.906
2014-04-16,52.85,53.33,52.21,52.71,1.57
2014-04-17,52.68,53.18,51.62,51.71,2.689
2014-04-21,51.7,51.7,47.91,49.07,7.219
2014-04-22,49.19,49.19,47.94,48.27,4.223
2014-04-23,48.35,48.64,47.41,47.51,3.086
2014-04-24,47.85,47.98,46.7,47.1,2.539
2014-04-25,47.32,47.38,45.49,45.5,3.884
2014-04-28,45.5,45.51,43.34,45.23,6.543
2014-04-29,45.2,45.94,44.84,45.58,2.876
2014-04-30,45.47,46.34,45.11,45.93,2.398
2014-05-01,45.72,46.19,44.72,44.99,2.611
2014-05-02,45.09,45.9,44.9,45.45,1.69
2014-05-05,45.45,45.89,45.01,45.57,1.357
2014-05-06,45.35,45.5,44.52,44.6,2.334
2014-05-07,44.5,44.6,42.28,43.7,3.967
2014-05-08,43.09,44.16,43.0,43.21,1.742
2014-05-09,43.37,44.14,42.9,43.77,1.776
2014-05-12,44.0,45.04,44.0,44.77,2.323
2014-05-13,45.47,46.78,45.23,45.38,3.562
2014-05-14,45.01,45.4,44.47,45.2,1.618
2014-05-15,44.95,45.23,44.05,44.67,1.966
2014-05-16,44.5,45.24,44.4,45.15,1.066
2014-05-19,44.85,45.8,44.85,45.67,0.979
2014-05-20,45.4,45.96,44.33,44.45,1.44
2014-05-21,44.41,45.1,44.26,44.79,1.374
2014-05-22,44.77,45.44,44.51,45.15,0.792
2014-05-23,45.12,45.64,44.76,45.3,1.23
2014-05-27,45.62,45.64,44.59,44.86,1.935
2014-05-28,44.94,45.15,43.98,44.69,2.028
2014-05-29,45.0,45.25,44.32,44.43,1.392
2014-05-30,44.73,45.0,44.0,44.63,1.848
2014-06-02,44.6,44.62,43.14,43.49,3.134
2014-06-03,43.67,43.89,43.22,43.27,2.282
2014-06-04,43.19,43.49,42.62,42.98,2.557
2014-06-05,43.87,44.2,42.79,42.87,3.566
2014-06-06,43.26,44.63,42.9,44.42,3.972
2014-06-09,44.89,45.35,44.63,44.99,3.74
2014-06-10,45.23,46.29,45.12,45.48,3.539
2014-06-11,45.75,45.79,44.08,44.3,5.858
2014-06-12,37.23,38.5,37.0,37.25,36.568
2014-06-13,37.15,37.64,36.26,37.61,13.793
2014-06-16,37.5,38.3,37.44,38.25,5.504
2014-06-17,38.08,39.06,38.0,38.71,5.025
2014-06-18,39.4,40.3,38.92,39.88,5.506
2014-06-19,40.2,40.47,39.99,40.27,4.052
2014-06-20,40.2,40.43,39.98,40.23,2.694
2014-06-23,41.74,41.94,41.04,41.25,6.328
2014-06-24,41.02,41.66,40.71,41.11,3.328
2014-06-25,41.0,41.56,40.8,41.12,1.899
2014-06-26,41.11,41.25,40.15,40.49,2.405
2014-06-27,40.34,40.66,40.01,40.42,1.904
2014-06-30,39.9,40.67,39.52,40.48,2.442
2014-07-01,40.38,40.75,39.9,40.27,2.267
2014-07-02,40.28,41.69,40.27,41.4,2.566
2014-07-03,43.06,43.71,42.16,42.6,4.048
2014-07-07,42.04,42.16,40.73,40.82,2.21
2014-07-08,41.31,41.31,40.05,40.75,1.778
2014-07-09,40.56,41.07,40.17,40.29,1.834
2014-07-10,39.89,40.24,39.26,39.98,2.025
2014-07-11,39.79,40.25,39.71,40.17,1.462
2014-07-14,40.38,40.38,38.81,38.87,2.529
2014-07-15,39.11,39.19,38.57,38.66,1.801
2014-07-16,39.04,39.04,37.83,38.11,2.772
2014-07-17,37.94,38.94,37.76,37.98,2.441
2014-07-18,38.36,38.36,37.52,38.15,2.498
2014-07-21,38.06,38.06,37.26,37.51,2.01
2014-07-22,37.74,37.83,37.46,37.53,1.584
2014-07-23,37.59,37.76,37.28,37.56,2.155
2014-07-24,37.93,39.64,37.81,39.51,4.198
2014-07-25,39.13,39.56,38.84,39.03,1.582
2014-07-28,38.98,39.55,38.55,39.45,1.264
2014-07-29,39.5,39.71,38.75,39.17,1.521
2014-07-30,39.51,39.67,39.1,39.45,1.378
2014-07-31,39.46,39.97,38.41,38.47,3.12
2014-08-01,38.68,39.31,38.12,38.3,2.035
2014-08-04,38.4,38.63,37.89,38.5,1.214
2014-08-05,38.19,39.03,38.1,38.7,2.472
2014-08-06,38.6,40.35,38.6,39.97,3.964
2014-08-07,40.41,40.49,38.91,39.03,2.799
2014-08-08,40.01,40.39,39.45,40.11,7.147
2014-08-11,40.29,40.57,39.63,40.38,1.946
2014-08-12,40.41,40.7,39.23,39.29,1.731
2014-08-13,39.46,39.53,38.52,38.77,1.725
2014-08-14,38.92,39.04,38.29,38.75,1.377
2014-08-15,38.58,38.97,37.9,38.37,1.576
2014-08-18,38.68,38.96,38.52,38.79,1.631
2014-08-19,39.01,40.09,38.91,39.99,2.769
2014-08-20,39.94,40.25,39.61,40.0,2.223
2014-08-21,40.02,40.25,39.67,39.8,1.586
2014-08-22,39.92,40.66,39.5,40.45,2.472
2014-08-25,40.81,41.0,40.3,40.83,1.77
2014-08-26,40.87,42.14,40.77,41.67,2.347
2014-08-27,41.67,41.94,41.28,41.49,1.372
2014-08-28,40.64,41.0,40.34,40.59,1.799
2014-08-29,40.63,40.63,39.7,39.93,2.075
2014-09-02,40.07,40.28,39.65,40.11,1.948
2014-09-03,40.2,40.32,39.1,39.13,2.713
2014-09-04,39.23,39.54,38.97,39.04,2.336
2014-09-05,38.85,39.21,38.51,39.14,1.925
2014-09-08,39.16,39.43,39.02,39.07,2.616
2014-09-09,39.02,39.1,38.55,38.68,2.52
2014-09-10,38.65,38.72,37.81,38.39,5.105
2014-09-11,43.7,45.49,42.65,43.73,28.29
2014-09-12,43.68,45.5,43.62,45.19,8.978
2014-09-15,44.65,45.08,43.71,44.2,3.445
2014-09-16,43.94,44.3,43.17,43.44,3.033
2014-09-17,43.42,44.27,43.38,44.01,2.645
2014-09-18,44.02,44.71,43.86,44.3,1.97
2014-09-19,44.51,44.77,42.85,43.24,3.291
2014-09-22,43.47,43.55,41.62,41.73,2.264
2014-09-23,41.63,42.49,41.52,41.96,3.22
2014-09-24,42.0,42.83,41.83,42.66,1.925
2014-09-25,42.45,42.75,41.66,42.23,1.512
2014-09-26,42.27,43.13,42.05,42.99,2.036
2014-09-29,42.56,42.66,42.04,42.27,1.491
2014-09-30,42.15,42.46,41.63,42.01,1.934
2014-10-01,41.82,42.01,41.19,41.46,2.2
2014-10-02,41.43,42.66,40.07,42.36,4.868
2014-10-03,42.58,43.0,41.87,42.07,1.857
2014-10-06,42.39,42.39,41.07,41.33,1.375
2014-10-07,40.91,41.24,40.65,41.0,1.436
2014-10-08,41.17,42.32,40.91,42.23,1.942
2014-10-09,41.96,42.0,40.93,41.07,1.83
2014-10-10,41.08,41.33,40.05,40.35,1.496
2014-10-13,40.37,40.66,39.01,39.08,2.511
2014-10-14,39.22,40.2,39.15,39.44,3.898
2014-10-15,38.99,39.85,37.86,39.6,2.234
2014-10-16,38.67,40.07,38.26,40.0,2.593
2014-10-17,40.27,40.37,38.67,38.84,1.653
2014-10-20,38.87,40.6,38.75,40.49,2.779
2014-10-21,40.74,41.28,40.62,41.2,1.224
2014-10-22,41.2,42.09,40.85,40.85,1.453
2014-10-23,41.51,42.37,40.94,41.41,1.484
2014-10-24,41.39,41.73,40.8,41.4,0.85
2014-10-27,41.12,41.84,40.37,41.51,1.182
2014-10-28,41.5,41.77,40.75,41.73,1.207
2014-10-29,41.5,41.68,40.75,41.18,1.239
2014-10-30,40.56,42.06,40.48,41.68,1.06
2014-10-31,42.13,42.24,41.43,41.65,1.082
2014-11-03,41.77,42.18,41.52,41.93,1.143
2014-11-04,41.77,41.77,40.87,41.52,1.27
2014-11-05,41.58,41.71,41.13,41.29,0.905
2014-11-06,41.21,42.99,41.21,42.78,1.873
2014-11-07,42.45,43.89,42.36,43.76,1.8
2014-11-10,43.69,44.55,42.81,43.3,1.553
2014-11-11,43.18,43.35,42.66,43.18,1.411
2014-11-12,43.18,45.95,43.15,45.66,3.81
2014-11-13,45.77,46.25,44.87,45.19,3.557
2014-11-14,44.27,45.34,44.15,44.99,1.98
2014-11-17,44.98,45.08,44.24,44.42,1.502
2014-11-18,45.3,45.97,44.73,44.8,3.126
2014-11-19,44.97,45.69,44.62,45.6,1.55
2014-11-20,45.6,47.18,45.3,45.88,2.911
2014-11-21,46.6,47.15,45.94,46.91,2.402
2014-11-24,46.9,47.32,46.3,46.93,3.845
2014-11-25,47.39,49.34,47.15,48.67,5.254
2014-11-26,49.08,49.2,47.86,48.34,1.75
2014-11-28,48.63,48.93,48.12,48.19,0.968
2014-12-01,48.19,48.23,46.82,47.04,2.826
2014-12-02,46.49,47.0,45.81,46.06,2.138
2014-12-03,46.06,46.59,45.39,45.71,2.407
2014-12-04,45.9,47.18,45.6,45.92,3.486
2014-12-05,45.94,46.11,44.97,45.51,3.049
2014-12-08,45.53,45.7,44.36,44.93,3.617
2014-12-09,45.72,47.88,45.71,47.73,5.861
2014-12-10,48.09,48.72,46.49,46.7,7.332
2014-12-11,49.89,52.17,49.65,50.96,15.884
2014-12-12,51.09,53.88,50.93,52.95,9.102
2014-12-15,52.91,54.41,52.65,53.87,4.582
2014-12-16,53.44,53.84,52.35,52.5,3.204
2014-12-17,52.57,53.35,52.39,53.24,2.303
2014-12-18,54.0,54.1,52.57,53.15,2.581
2014-12-19,53.14,53.63,52.54,53.5,2.826
2014-12-22,53.89,54.41,53.55,53.96,1.776
2014-12-23,53.95,55.16,53.91,54.56,1.933
2014-12-24,54.35,55.0,54.08,54.4,0.51
2014-12-26,54.36,55.03,54.31,54.77,0.963
2014-12-29,54.92,56.4,54.72,55.38,2.633
2014-12-30,54.5,55.92,54.32,55.75,1.545
2014-12-31,55.63,56.93,55.34,55.79,1.783
2015-01-02,56.01,56.8,54.65,55.34,1.648
2015-01-05,56.34,57.48,55.68,55.96,3.15
2015-01-06,55.84,56.15,54.42,55.57,3.406
2015-01-07,56.27,58.01,56.16,57.65,5.048
2015-01-08,58.25,59.65,58.0,59.07,5.225
2015-01-09,58.87,59.22,57.85,58.63,2.238
2015-01-12,62.4,63.8,61.36,62.59,10.327
2015-01-13,62.7,64.27,62.69,63.06,3.62
2015-01-14,62.32,63.4,61.5,63.4,3.442
2015-01-15,63.47,63.9,62.05,62.51,2.428
2015-01-16,62.25,63.05,61.36,63.0,2.406
2015-01-20,63.0,63.23,62.29,63.0,1.698
2015-01-21,63.0,63.59,62.52,62.86,1.686
2015-01-22,63.03,64.28,62.37,63.76,1.996
2015-01-23,65.77,66.71,65.4,66.2,4.608
2015-01-26,65.94,66.76,65.18,66.76,2.095
2015-01-27,66.13,67.71,65.55,67.48,1.9
2015-01-28,67.55,67.69,66.04,66.16,1.665
2015-01-29,65.98,67.46,65.82,67.19,2.094
2015-01-30,66.9,67.04,65.85,66.24,2.604
2015-02-02,66.24,66.47,64.83,65.52,2.318
2015-02-03,65.59,66.74,65.22,66.49,2.051
2015-02-04,66.4,66.95,65.58,65.66,1.764
2015-02-05,65.74,65.99,64.91,65.29,1.625
2015-02-06,65.23,65.46,64.04,64.44,1.96
2015-02-09,64.29,65.67,64.21,65.43,1.311
2015-02-10,65.54,66.15,65.18,65.76,0.978
2015-02-11,65.13,65.85,64.85,65.59,0.973
2015-02-12,65.63,66.4,64.7,66.04,1.145
2015-02-13,66.2,66.63,65.67,65.98,1.133
2015-02-17,65.51,66.24,64.85,66.0,1.141
2015-02-18,65.77,66.99,65.5,66.42,1.076
2015-02-19,66.42,67.9,66.42,66.89,1.299
2015-02-20,67.06,67.55,66.36,67.37,1.039
2015-02-23,67.0,67.25,65.97,66.08,1.216
2015-02-24,66.1,66.69,65.77,66.1,0.808
2015-02-25,66.16,67.69,65.83,67.09,1.335
2015-02-26,67.2,67.47,66.3,66.48,1.123
2015-02-27,66.65,68.69,66.42,68.44,2.117
2015-03-02,68.59,68.99,66.54,67.49,1.734
2015-03-03,67.17,67.47,65.47,65.87,1.664
2015-03-04,65.7,66.33,64.86,65.52,1.46
2015-03-05,65.64,68.0,64.73,64.85,2.183
2015-03-06,62.16,62.59,60.55,62.3,5.404
2015-03-09,62.3,62.49,61.38,62.24,2.137
2015-03-10,62.16,62.59,61.6,62.08,1.483
2015-03-11,61.93,62.68,61.75,62.27,0.892
2015-03-12,62.39,63.22,61.66,62.82,1.389
2015-03-13,63.13,64.1,62.71,63.12,1.746
2015-03-16,63.23,64.0,63.21,63.61,0.824
2015-03-17,63.5,64.5,63.37,64.42,1.094
2015-03-18,64.4,64.64,63.43,64.4,1.28
2015-03-19,63.75,64.54,63.67,64.4,1.236
2015-03-20,64.47,66.18,64.31,65.74,3.123
2015-03-23,64.53,64.55,62.59,63.71,3.78
2015-03-24,63.31,64.36,63.17,63.3,2.279
2015-03-25,63.3,63.4,60.69,60.96,4.822
2015-03-26,62.54,66.89,61.8,63.97,8.889
2015-03-27,63.74,64.5,62.63,64.32,2.902
2015-03-30,64.43,65.85,64.43,64.83,1.835
2015-03-31,65.5,65.55,64.01,64.02,1.816
2015-04-01,64.3,64.3,62.62,63.1,1.608
2015-04-02,62.84,64.06,62.76,63.35,1.169
2015-04-06,63.59,65.16,63.4,64.41,1.704
2015-04-07,64.46,67.33,64.11,66.41,3.184
2015-04-08,68.0,69.94,67.9,68.71,4.912
2015-04-09,68.25,69.9,68.08,69.77,2.672
2015-04-10,69.71,70.0,68.84,68.86,2.025
2015-04-13,68.87,69.12,68.01,68.2,1.161
2015-04-14,68.0,68.14,66.93,67.65,1.988
2015-04-15,67.58,68.22,67.26,67.39,1.005
2015-04-16,67.36,68.08,67.1,67.5,0.871
2015-04-17,66.91,67.18,66.42,66.7,1.241
2015-04-20,65.97,66.41,65.52,66.19,1.506
2015-04-21,65.99,66.68,65.73,66.35,0.78
2015-04-22,66.36,66.5,65.63,65.67,0.686
2015-04-23,65.5,66.82,65.35,66.48,0.856
2015-04-24,66.43,67.39,66.16,66.94,0.845
2015-04-27,67.5,67.66,65.52,65.57,1.125
2015-04-28,65.36,65.57,63.96,64.66,1.22
2015-04-29,64.58,65.06,63.72,64.7,1.364
2015-04-30,64.48,65.09,63.55,63.64,1.807
2015-05-01,63.9,64.73,63.41,63.57,2.271
2015-05-04,64.1,64.91,63.42,64.76,2.053
2015-05-05,64.57,65.1,64.03,64.31,1.237
2015-05-06,64.72,65.14,64.05,65.04,1.356
2015-05-07,64.87,66.0,64.57,65.31,1.089
2015-05-08,65.57,66.28,65.32,65.49,0.837
2015-05-11,65.49,66.18,64.83,65.67,1.161
2015-05-12,65.53,65.6,63.83,64.7,1.254
2015-05-13,64.69,65.14,64.05,64.41,1.089
2015-05-14,64.41,65.65,63.58,65.2,1.186
2015-05-15,65.32,65.56,64.45,64.49,0.996
2015-05-18,64.13,65.36,64.1,64.58,1.344
2015-05-19,64.31,64.95,62.97,63.0,1.962
2015-05-20,62.87,62.93,60.96,61.91,2.35
2015-05-21,61.44,61.57,60.07,60.5,3.706
2015-05-22,60.52,61.49,59.54,61.16,2.901
2015-05-26,60.32,61.31,59.79,60.27,2.049
2015-05-27,59.75,61.73,59.3,61.12,1.986
2015-05-28,61.16,61.75,60.91,61.23,1.266
2015-05-29,61.09,61.65,59.6,59.79,2.755
2015-06-01,60.29,60.99,59.71,59.98,2.097
2015-06-02,60.33,60.65,58.25,59.8,3.877
2015-06-03,60.02,61.77,59.32,61.27,2.323
2015-06-04,60.7,61.84,60.05,61.35,1.396
2015-06-05,61.93,64.05,61.8,63.8,3.549
2015-06-08,63.5,63.73,60.78,61.52,5.436
2015-06-09,65.71,68.35,64.81,68.27,16.031
2015-06-10,68.55,68.62,65.7,66.77,5.547
2015-06-11,65.55,66.18,64.76,66.07,4.76
2015-06-12,65.6,66.77,65.51,66.48,1.946
2015-06-15,66.29,67.46,65.82,66.82,1.831
2015-06-16,67.0,67.63,66.61,67.26,1.412
2015-06-17,67.24,67.55,66.64,66.93,1.555
2015-06-18,67.08,67.64,66.59,66.61,1.468
2015-06-19,66.0,66.75,65.7,65.99,3.001
2015-06-22,66.37,66.91,66.0,66.34,1.754
2015-06-23,66.72,68.83,66.72,68.8,4.439
2015-06-24,68.83,68.88,67.36,67.42,1.639
2015-06-25,67.67,68.13,67.2,67.56,1.416
2015-06-26,67.14,68.48,66.6,67.09,10.089
2015-06-29,66.5,66.71,64.73,64.8,1.617
2015-06-30,65.46,65.47,64.25,65.3,1.688
2015-07-01,65.69,65.99,64.75,65.05,1.463
2015-07-02,64.92,65.45,63.95,65.18,1.366
2015-07-06,64.87,65.55,63.95,64.3,1.855
2015-07-07,64.73,65.94,63.17,65.68,2.142
2015-07-08,65.04,65.63,63.83,63.97,1.399
2015-07-09,64.81,65.2,62.39,62.46,2.206
2015-07-10,63.23,63.48,62.17,63.0,2.09
2015-07-13,63.44,64.48,63.39,64.11,1.312
2015-07-14,64.21,64.4,63.68,63.92,1.127
2015-07-15,63.77,64.1,63.31,63.42,1.429
2015-07-16,63.31,63.57,62.28,62.78,1.372
2015-07-17,62.9,63.17,62.26,62.94,1.36
2015-07-20,62.9,63.73,62.77,63.36,0.889
2015-07-21,63.43,63.74,62.34,62.77,1.416
2015-07-22,62.45,63.28,62.22,62.86,1.463
2015-07-23,63.29,64.82,61.9,62.0,1.954
2015-07-24,62.07,62.75,60.48,61.24,1.992
2015-07-27,60.79,61.44,59.86,61.17,2.211
2015-07-28,61.29,63.73,61.25,63.22,2.048
2015-07-29,63.17,63.86,62.45,63.74,1.355
2015-07-30,63.67,63.83,62.84,63.07,1.615
2015-07-31,63.29,63.58,62.59,62.86,1.487
2015-08-03,62.78,62.96,61.13,61.87,1.654
2015-08-04,62.26,63.24,61.85,62.57,1.454
2015-08-05,62.43,63.13,62.43,62.69,1.434
2015-08-06,62.91,62.98,61.94,62.27,1.608
2015-08-07,62.16,62.48,61.34,62.37,1.327
2015-08-10,63.05,64.4,62.62,63.99,1.626
2015-08-11,63.34,64.75,62.76,64.45,1.52
2015-08-12,63.72,64.12,61.38,63.02,2.099
2015-08-13,63.3,64.95,63.2,64.5,1.317
2015-08-14,64.27,65.37,64.15,65.17,1.196
2015-08-17,65.15,66.5,64.57,66.37,1.712
2015-08-18,66.35,66.98,66.15,66.7,1.713
2015-08-19,66.43,66.43,65.05,65.36,1.388
2015-08-20,64.81,64.88,62.8,62.96,1.679
2015-08-21,62.37,63.06,60.62,61.95,2.08
2015-08-24,58.4,60.8,55.16,59.07,3.46
2015-08-25,61.5,61.9,58.69,58.7,1.86
2015-08-26,60.33,60.77,59.05,60.31,2.525
2015-08-27,61.6,63.7,61.3,62.64,2.906
2015-08-28,62.62,63.48,61.97,63.17,1.456
2015-08-31,63.08,64.43,63.08,64.01,2.125
2015-09-01,62.82,63.76,62.22,63.07,1.859
2015-09-02,63.85,65.48,63.66,65.36,3.224
2015-09-03,66.05,66.88,64.6,64.95,3.006
2015-09-04,64.59,66.11,64.32,65.68,2.223
2015-09-08,66.33,66.99,65.33,65.89,3.117
2015-09-09,66.39,66.44,61.22,64.05,4.525
2015-09-10,60.07,60.8,52.88,53.54,31.695
