Date,Open,High,Low,Close,Volume
2014-01-02,18.85,19.09,18.78,18.88,4.556
2014-01-03,18.95,19.51,18.95,19.42,8.708
2014-01-06,19.48,19.63,19.07,19.15,8.125
2014-01-07,19.24,19.67,19.24,19.53,7.228
2014-01-08,19.54,20.21,19.41,20.18,11.519
2014-01-09,20.41,20.87,20.34,20.76,12.104
2014-01-10,20.77,21.15,20.6,21.03,6.997
2014-01-13,21.17,21.2,20.64,20.72,6.695
2014-01-14,20.8,21.45,20.8,21.43,11.58
2014-01-15,21.92,21.98,20.92,21.16,9.842
2014-01-16,21.18,21.49,21.14,21.46,8.01
2014-01-17,21.57,21.74,21.17,21.22,6.087
2014-01-21,21.67,21.84,21.25,21.3,8.166
2014-01-22,21.67,21.8,21.42,21.77,8.149
2014-01-23,21.97,22.1,20.82,21.24,15.071
2014-01-24,21.3,21.42,20.72,20.84,11.234
2014-01-27,20.84,20.99,20.22,20.61,8.326
2014-01-28,20.93,21.44,20.84,21.31,9.88
2014-01-29,21.08,21.57,20.51,20.61,12.385
2014-01-30,20.8,21.33,20.79,21.22,11.463
2014-01-31,20.97,21.26,20.88,20.95,9.51
2014-02-03,20.98,21.02,20.34,20.43,11.374
2014-02-04,20.63,20.76,20.29,20.65,7.686
2014-02-05,20.6,20.67,20.23,20.61,9.161
2014-02-06,20.6,21.1,20.56,20.96,7.159
2014-02-07,20.99,21.53,20.92,21.43,10.395
2014-02-10,21.42,21.53,20.94,21.02,8.429
2014-02-11,21.13,21.4,20.96,21.32,8.625
2014-02-12,21.34,21.38,20.96,21.21,7.781
2014-02-13,21.08,21.32,21.0,21.2,7.052
2014-02-14,21.16,21.43,21.09,21.3,5.358
2014-02-18,21.42,21.57,20.97,21.03,7.443
2014-02-19,21.01,21.17,20.88,20.95,7.691
2014-02-20,21.04,21.76,20.97,21.7,8.85
2014-02-21,21.7,21.92,21.61,21.76,8.897
2014-02-24,21.76,22.28,21.73,22.16,9.63
2014-02-25,22.18,22.55,22.15,22.3,8.942
2014-02-26,22.48,22.63,22.25,22.42,7.267
2014-02-27,22.37,22.62,22.3,22.46,5.728
2014-02-28,22.33,22.56,22.16,22.44,6.994
2014-03-03,22.15,22.39,21.82,22.3,7.919
2014-03-04,22.7,23.0,22.58,22.83,10.437
2014-03-05,22.92,23.23,22.83,23.03,7.478
2014-03-06,23.12,23.35,23.03,23.12,7.33
2014-03-07,23.26,23.27,22.87,23.1,7.067
2014-03-10,23.14,23.67,23.1,23.6,7.949
2014-03-11,23.6,24.03,23.42,23.78,7.451
2014-03-12,23.92,24.15,23.72,23.9,8.014
2014-03-13,23.95,23.98,23.49,23.6,8.094
2014-03-14,23.59,24.14,23.44,23.92,8.198
2014-03-17,24.09,24.11,23.75,23.98,6.5
2014-03-18,24.01,24.17,23.88,23.9,6.802
2014-03-19,23.91,24.04,23.59,23.77,5.973
2014-03-20,23.69,23.89,23.59,23.88,5.591
2014-03-21,24.09,24.11,23.18,23.18,12.407
2014-03-24,23.38,23.57,23.05,23.37,5.548
2014-03-25,23.5,23.82,23.48,23.7,3.968
2014-03-26,23.82,23.87,23.4,23.44,5.13
2014-03-27,23.39,23.39,22.78,23.16,6.001
2014-03-28,23.14,23.66,23.05,23.16,5.707
2014-03-31,23.3,23.71,23.28,23.61,4.551
2014-04-01,23.73,23.94,23.67,23.94,5.625
2014-04-02,24.01,24.45,23.94,24.07,9.2
2014-04-03,24.09,24.3,23.81,24.01,4.467
2014-04-04,24.16,24.25,23.7,23.81,5.741
2014-04-07,23.8,24.09,23.27,23.43,7.304
2014-04-08,23.5,23.62,22.89,23.51,9.138
2014-04-09,23.6,24.22,23.47,24.15,7.008
2014-04-10,24.24,24.25,23.09,23.13,9.456
2014-04-11,23.1,23.44,22.68,22.75,8.275
2014-04-14,23.1,23.15,22.35,22.51,7.449
2014-04-15,22.89,23.22,22.43,22.9,8.621
2014-04-16,23.11,23.56,22.95,23.54,7.362
2014-04-17,23.67,23.7,23.03,23.49,6.265
2014-04-21,23.54,23.61,23.26,23.59,4.973
2014-04-22,23.66,24.05,23.63,23.93,5.231
2014-04-23,24.38,24.39,23.76,24.08,7.799
2014-04-24,24.33,24.45,23.51,24.27,8.362
2014-04-25,24.05,24.43,23.85,23.95,4.998
2014-04-28,24.04,24.18,23.5,23.84,4.886
2014-04-29,23.89,24.22,23.62,24.19,4.532
2014-04-30,24.22,24.35,23.96,24.17,4.911
2014-05-01,24.17,24.63,24.17,24.33,5.752
2014-05-02,24.38,24.39,23.99,24.18,6.013
2014-05-05,24.06,24.31,23.88,24.26,4.366
2014-05-06,24.34,24.39,24.11,24.2,6.246
2014-05-07,24.28,24.4,23.85,24.2,5.861
2014-05-08,24.09,24.63,24.09,24.46,6.57
2014-05-09,24.39,24.44,24.02,24.36,3.996
2014-05-12,24.46,24.97,24.46,24.94,4.955
2014-05-13,24.9,25.07,24.73,24.98,5.296
2014-05-14,24.94,24.97,24.7,24.91,7.214
2014-05-15,24.86,24.94,24.47,24.76,5.425
2014-05-16,24.76,24.8,24.41,24.61,4.916
2014-05-19,24.6,25.21,24.55,25.12,3.911
2014-05-20,25.09,25.19,24.79,24.95,3.741
2014-05-21,24.99,25.21,24.95,25.11,3.514
2014-05-22,25.11,25.35,25.1,25.27,2.918
2014-05-23,25.35,25.83,25.33,25.79,4.453
2014-05-27,25.88,25.99,25.76,25.87,3.772
2014-05-28,25.94,26.53,25.91,26.43,5.545
2014-05-29,26.45,26.59,26.13,26.44,4.107
2014-05-30,26.4,26.64,26.36,26.45,7.038
2014-06-02,26.48,26.78,26.18,26.71,4.974
2014-06-03,26.75,27.22,26.74,27.2,8.114
2014-06-04,27.02,27.39,26.92,27.36,5.161
2014-06-05,27.49,27.65,27.22,27.28,8.612
2014-06-06,27.32,27.59,27.27,27.59,4.103
2014-06-09,27.64,27.7,27.23,27.45,5.693
2014-06-10,27.5,27.51,27.06,27.29,5.622
2014-06-11,27.04,27.19,26.78,26.94,9.001
2014-06-12,26.67,26.68,25.47,25.72,13.575
2014-06-13,25.7,26.44,25.68,26.3,9.711
2014-06-16,26.2,26.33,25.92,26.1,6.514
2014-06-17,26.48,26.7,26.28,26.63,7.454
2014-06-18,26.62,26.73,26.19,26.67,5.878
2014-06-19,26.77,27.08,26.73,27.08,6.861
2014-06-20,27.21,27.38,27.12,27.29,8.723
2014-06-23,27.28,27.37,26.79,26.92,4.5
2014-06-24,26.9,27.12,26.63,26.64,4.208
2014-06-25,26.62,27.06,26.44,26.97,4.006
2014-06-26,27.01,27.1,26.75,27.06,3.241
2014-06-27,26.99,27.21,26.89,27.14,9.31
2014-06-30,27.15,27.24,26.79,26.86,4.876
2014-07-01,27.18,27.83,27.05,27.73,7.24
2014-07-02,27.47,27.65,27.07,27.47,7.541
2014-07-03,27.59,27.78,27.55,27.71,3.05
2014-07-07,27.68,27.71,27.08,27.17,6.376
2014-07-08,26.88,26.88,25.86,26.7,12.063
2014-07-09,27.5,27.65,26.84,27.21,8.355
2014-07-10,27.01,27.44,26.93,27.27,8.868
2014-07-11,27.34,27.62,27.24,27.44,4.8
2014-07-14,27.57,27.83,27.46,27.6,4.127
2014-07-15,27.75,27.99,27.5,27.9,6.971
2014-07-16,28.03,28.16,27.85,28.03,4.628
2014-07-17,27.81,28.11,27.31,27.51,5.427
2014-07-18,27.59,27.99,27.58,27.81,4.957
2014-07-21,27.79,27.88,27.55,27.66,4.335
2014-07-22,27.73,28.07,27.73,28.05,4.351
2014-07-23,28.18,28.97,28.17,28.87,7.096
2014-07-24,29.25,29.5,28.36,28.68,10.02
2014-07-25,28.8,29.7,28.75,29.24,8.058
2014-07-28,29.36,29.38,28.74,29.21,6.244
2014-07-29,29.31,29.36,28.68,28.71,5.896
2014-07-30,28.85,29.1,28.68,28.84,4.345
2014-07-31,28.6,28.73,28.21,28.28,6.355
2014-08-01,28.21,28.54,27.84,28.43,5.731
2014-08-04,28.67,28.77,28.1,28.43,4.427
2014-08-05,28.23,28.5,27.96,28.13,6.221
2014-08-06,27.87,28.26,27.54,28.12,4.816
2014-08-07,28.28,28.49,27.87,28.06,5.226
2014-08-08,27.99,28.3,27.42,28.28,4.343
2014-08-11,28.48,28.86,28.36,28.64,3.807
2014-08-12,28.68,28.8,28.47,28.7,4.276
2014-08-13,28.8,29.37,28.76,29.26,4.042
2014-08-14,29.33,29.76,29.22,29.75,5.538
2014-08-15,29.88,29.97,29.34,29.76,6.429
2014-08-18,30.01,30.85,29.87,30.82,6.438
2014-08-19,30.89,30.92,30.53,30.75,4.898
2014-08-20,30.92,31.71,30.88,31.57,5.81
2014-08-21,31.64,31.73,31.18,31.24,4.598
2014-08-22,31.32,32.12,31.29,31.87,6.441
2014-08-25,32.19,32.25,31.82,32.14,4.148
2014-08-26,32.16,32.25,31.85,31.92,3.94
2014-08-27,31.97,32.43,31.83,32.23,4.29
2014-08-28,32.09,32.17,31.9,32.05,3.66
2014-08-29,32.1,32.14,31.76,32.01,3.444
2014-09-02,32.08,32.92,32.03,32.91,6.136
2014-09-03,32.77,32.77,32.25,32.58,6.176
2014-09-04,32.74,33.14,32.51,32.62,5.551
2014-09-05,32.64,32.92,32.32,32.83,3.732
2014-09-08,33.0,33.1,32.77,32.86,5.769
2014-09-09,32.73,33.44,32.53,32.91,7.971
2014-09-10,33.2,33.77,32.75,33.62,8.362
2014-09-11,33.7,33.91,33.27,33.64,6.826
2014-09-12,33.6,34.35,33.45,33.87,7.038
2014-09-15,33.99,34.5,33.82,33.86,8.911
2014-09-16,33.94,34.6,33.54,34.53,6.712
2014-09-17,34.57,34.7,34.13,34.43,5.564
2014-09-18,34.64,35.31,34.59,35.23,6.413
2014-09-19,35.49,35.49,34.56,34.56,17.039
2014-09-22,34.71,34.82,34.12,34.15,6.692
2014-09-23,33.93,33.94,33.05,33.26,10.274
2014-09-24,33.38,34.45,33.37,34.33,8.324
2014-09-25,34.15,34.19,33.6,33.64,6.814
2014-09-26,33.79,33.99,33.52,33.91,4.758
2014-09-29,33.44,33.89,33.35,33.67,4.476
2014-09-30,33.71,34.28,33.3,33.77,6.78
2014-10-01,32.97,33.06,32.42,32.55,10.966
