Date,Open,High,Low,Close,Volume
2014-01-02,78.63,80.0,78.51,79.58,3.861
2014-01-03,79.58,79.67,77.81,78.35,3.673
2014-01-06,78.62,78.79,76.76,77.27,4.754
2014-01-07,78.04,79.42,77.99,78.98,4.349
2014-01-08,79.72,81.24,79.0,81.18,5.799
2014-01-09,81.57,81.85,80.35,80.61,4.813
2014-01-10,79.93,80.73,79.74,80.59,3.616
2014-01-13,80.24,81.1,79.0,79.17,3.787
2014-01-14,79.16,80.64,78.59,80.3,3.411
2014-01-15,80.66,81.14,80.17,81.01,2.634
2014-01-16,80.53,81.15,80.19,80.87,5.505
2014-01-17,81.01,81.96,80.51,81.93,4.401
2014-01-21,82.32,82.48,81.6,82.03,5.106
2014-01-22,80.83,80.94,79.73,80.47,6.121
2014-01-23,79.38,79.38,77.3,78.72,5.625
2014-01-24,77.67,77.86,73.85,73.91,10.522
2014-01-27,74.86,75.55,72.69,73.4,6.934
2014-01-28,74.0,75.4,73.89,75.26,4.913
2014-01-29,74.44,75.2,73.53,73.93,7.135
2014-01-30,73.21,78.46,73.04,77.91,9.04
2014-01-31,76.93,77.98,76.27,76.52,6.509
2014-02-03,76.6,77.02,73.44,74.51,8.075
2014-02-04,74.75,75.7,74.32,75.03,4.04
2014-02-05,71.24,75.06,69.15,73.98,11.488
2014-02-06,75.09,76.52,75.09,76.28,4.81
2014-02-07,76.07,77.18,75.65,76.97,3.4
2014-02-10,76.79,77.04,75.8,76.04,3.989
2014-02-11,76.6,78.69,76.6,78.32,5.615
2014-02-12,78.53,79.27,77.99,78.78,4.43
2014-02-13,77.75,79.33,77.61,78.79,4.442
2014-02-14,78.89,80.38,78.66,80.15,4.569
2014-02-18,80.0,81.13,79.69,80.74,5.051
2014-02-19,80.33,80.7,79.43,79.69,4.465
2014-02-20,79.73,81.2,79.42,80.59,3.643
2014-02-21,80.75,81.32,80.05,80.89,3.627
2014-02-24,81.02,85.32,80.88,84.41,8.025
2014-02-25,84.41,84.99,82.88,83.29,4.713
2014-02-26,83.75,84.48,82.87,83.16,3.03
2014-02-27,83.23,85.86,83.23,85.13,4.611
2014-02-28,85.14,85.49,84.38,85.25,3.816
2014-03-03,83.23,86.25,83.09,85.97,4.542
2014-03-04,86.65,87.42,86.53,87.11,4.149
2014-03-05,87.15,88.04,86.65,87.22,3.617
2014-03-06,87.26,88.05,87.11,87.81,2.648
2014-03-07,87.97,88.28,86.6,87.03,3.097
2014-03-10,86.72,87.1,84.91,85.51,3.885
2014-03-11,85.7,86.8,84.1,84.39,4.167
2014-03-12,84.2,85.5,83.2,85.12,3.813
2014-03-13,85.14,85.2,81.6,82.19,5.757
2014-03-14,81.54,82.74,80.98,82.25,6.131
2014-03-17,82.54,84.06,82.53,83.86,4.989
2014-03-18,83.66,84.43,83.12,83.56,3.863
2014-03-19,83.25,83.52,81.25,81.83,3.686
2014-03-20,81.43,82.24,80.5,81.42,3.99
2014-03-21,81.66,82.56,80.75,81.42,3.889
2014-03-24,82.13,82.21,79.04,80.39,4.232
2014-03-25,80.82,81.33,78.78,78.8,5.043
2014-03-26,79.15,79.16,77.23,77.27,5.575
2014-03-27,77.16,77.51,74.71,77.29,7.482
2014-03-28,77.76,78.92,77.35,78.25,5.305
2014-03-31,79.27,81.05,79.27,80.78,6.563
2014-04-01,84.03,84.24,82.36,82.75,6.795
2014-04-02,83.1,83.4,82.21,82.87,3.167
2014-04-03,82.9,83.38,81.01,81.48,4.175
2014-04-04,82.79,82.9,77.76,78.31,6.955
2014-04-07,77.07,77.1,74.29,75.26,9.676
2014-04-08,75.26,76.69,74.2,76.6,6.944
2014-04-09,78.19,78.25,76.74,77.62,5.643
2014-04-10,78.58,79.25,75.22,75.66,6.568
2014-04-11,73.99,76.58,73.72,74.62,4.407
2014-04-14,75.1,76.41,73.71,74.66,4.448
2014-04-15,74.69,74.69,71.09,73.18,9.28
2014-04-16,74.14,76.39,73.98,76.39,6.38
2014-04-17,75.96,77.02,75.61,76.46,4.184
2014-04-21,76.65,76.65,75.22,75.73,4.074
2014-04-22,77.85,80.29,77.25,80.06,7.712
2014-04-23,80.25,80.25,77.55,77.95,5.262
2014-04-24,79.59,79.93,77.85,79.48,6.233
2014-04-25,79.45,79.48,75.73,77.0,12.336
2014-04-28,76.84,77.71,73.01,74.39,13.529
2014-04-29,74.92,78.88,74.74,78.62,8.988
2014-04-30,77.45,79.35,77.13,79.13,5.263
2014-05-01,78.93,79.9,77.91,79.35,4.086
2014-05-02,80.68,81.25,80.0,80.6,5.368
2014-05-05,79.5,79.94,77.96,79.74,4.795
2014-05-06,79.04,79.95,78.65,78.92,3.769
2014-05-07,79.01,79.24,76.93,77.75,10.835
2014-05-08,74.23,77.63,73.5,74.76,11.342
2014-05-09,76.16,76.2,74.09,74.68,6.185
2014-05-12,75.46,77.0,75.38,75.93,4.964
2014-05-13,76.0,76.97,75.41,75.9,4.206
2014-05-14,75.96,76.09,73.49,73.69,7.566
2014-05-15,73.9,73.95,71.71,73.41,6.828
2014-05-16,73.23,73.45,72.03,73.16,4.984
2014-05-19,72.22,74.4,72.0,74.3,5.871
2014-05-20,74.21,74.3,72.17,72.48,5.073
2014-05-21,72.91,73.98,72.83,73.88,3.628
2014-05-22,74.07,75.19,74.07,74.78,4.189
2014-05-23,74.77,75.06,73.81,74.9,2.903
2014-05-27,75.31,75.95,74.53,75.94,4.923
2014-05-28,76.39,76.4,74.98,75.97,5.466
2014-05-29,76.49,77.12,75.99,77.01,3.99
2014-05-30,76.98,77.23,75.95,76.52,5.479
2014-06-02,76.92,77.57,76.08,77.43,3.493
2014-06-03,75.3,75.68,74.2,75.44,8.992
2014-06-04,75.03,76.49,74.45,76.18,3.758
2014-06-05,76.37,76.59,75.0,75.15,4.071
2014-06-06,75.07,75.07,74.09,74.45,4.315
2014-06-09,73.16,73.45,71.5,72.84,7.998
2014-06-10,71.7,73.04,71.1,73.03,8.359
2014-06-11,73.3,74.68,73.3,73.8,5.033
2014-06-12,73.95,73.95,72.51,72.73,2.829
2014-06-13,73.13,74.04,72.72,73.77,2.987
2014-06-16,73.09,73.27,72.57,73.19,4.407
2014-06-17,73.01,74.07,72.7,73.67,3.988
2014-06-18,73.04,74.46,72.35,74.16,5.119
2014-06-19,74.44,75.55,74.43,74.91,4.111
