Date,Open,High,Low,Close,Volume
2014-01-02,83.74,83.8,83.01,83.41,7.214
2014-01-03,83.41,83.58,82.6,83.08,6.438
2014-01-06,83.2,83.39,82.47,82.67,7.022
2014-01-07,83.1,83.92,83.1,83.71,7.635
2014-01-08,83.73,84.4,83.6,83.68,6.936
2014-01-09,84.0,84.42,83.62,84.36,7.025
2014-01-10,84.68,84.75,83.16,83.48,8.211
2014-01-13,83.55,83.8,80.76,81.0,12.354
2014-01-14,81.28,82.3,80.41,82.17,10.869
2014-01-15,82.51,82.98,82.12,82.34,7.75
2014-01-16,82.48,82.8,82.24,82.55,4.965
2014-01-17,82.5,83.4,80.79,81.84,13.33
2014-01-21,82.3,82.66,81.4,81.85,10.103
2014-01-22,82.21,83.9,82.0,83.3,7.221
2014-01-23,83.8,83.81,81.92,82.36,6.59
2014-01-24,81.78,81.98,78.5,78.51,9.46
2014-01-27,78.95,78.98,74.95,76.05,13.708
2014-01-28,76.7,79.09,76.58,78.83,7.735
2014-01-29,78.19,78.67,77.01,77.7,7.908
2014-01-30,80.45,80.55,78.24,79.76,8.702
2014-01-31,75.51,76.99,71.75,75.68,23.253
2014-02-03,76.05,76.41,73.85,73.91,9.828
2014-02-04,74.22,74.35,72.8,73.12,11.378
2014-02-05,72.76,73.5,72.11,72.84,7.768
2014-02-06,73.23,74.91,73.14,74.9,6.805
2014-02-07,75.67,76.93,75.13,76.31,8.438
2014-02-10,76.66,77.34,75.85,76.35,4.886
2014-02-11,76.8,76.83,76.0,76.19,5.323
2014-02-12,76.44,76.93,75.67,75.97,4.775
2014-02-13,75.48,76.64,75.13,76.53,4.912
2014-02-14,76.58,77.66,76.48,77.39,4.732
2014-02-18,78.46,78.49,77.2,77.49,5.812
2014-02-19,77.34,78.01,76.53,76.65,6.033
2014-02-20,76.88,76.88,74.85,75.86,8.711
2014-02-21,75.86,76.35,75.5,75.7,6.552
2014-02-24,75.57,76.97,75.56,75.96,7.942
2014-02-25,76.0,76.97,75.52,76.74,7.436
2014-02-26,76.83,77.41,76.61,77.36,7.437
2014-02-27,77.34,78.01,77.0,77.76,4.931
2014-02-28,78.2,78.67,76.95,77.72,5.916
2014-03-03,76.53,77.09,75.65,76.73,6.155
2014-03-04,77.81,78.8,77.41,78.5,5.303
2014-03-05,78.67,78.88,77.83,78.2,4.23
2014-03-06,78.4,78.71,77.57,77.63,4.593
2014-03-07,78.07,78.25,77.52,77.94,4.134
2014-03-10,77.8,77.94,77.27,77.39,3.315
2014-03-11,77.49,78.45,76.89,77.9,4.834
2014-03-12,77.22,78.34,76.8,78.34,4.74
2014-03-13,78.38,78.77,76.54,76.62,6.521
2014-03-14,76.51,77.22,76.23,76.34,4.857
2014-03-17,76.75,77.84,76.74,77.83,3.911
2014-03-18,78.1,78.98,77.54,78.92,4.524
2014-03-19,78.94,79.6,77.92,78.31,5.929
2014-03-20,78.21,78.65,77.61,78.41,5.198
2014-03-21,79.34,79.83,75.9,75.99,15.078
2014-03-24,76.48,77.71,75.87,77.39,8.817
