Date,Open,High,Low,Close,Volume
2014-01-02,60.74,61.43,60.47,61.06,0.345
2014-01-03,61.16,61.94,61.07,61.71,0.282
2014-01-06,61.8,62.18,61.41,61.84,0.497
2014-01-07,61.83,62.24,61.65,61.79,0.459
2014-01-08,61.66,61.84,60.57,61.71,0.586
2014-01-09,61.77,61.9,61.08,61.61,0.339
2014-01-10,61.8,62.55,61.75,62.44,0.293
2014-01-13,61.55,61.89,61.27,61.41,0.409
2014-01-14,61.39,62.2,61.2,61.85,0.516
2014-01-15,62.24,62.24,61.92,61.95,0.51
2014-01-16,61.9,62.25,61.9,62.07,0.399
2014-01-17,62.23,62.51,62.11,62.46,0.525
2014-01-21,62.69,63.06,62.22,62.99,0.289
2014-01-22,63.08,63.38,62.85,63.0,0.4
2014-01-23,62.8,63.17,62.39,63.04,0.449
2014-01-24,62.94,63.39,62.43,62.64,0.334
2014-01-27,62.63,62.88,62.08,62.22,0.443
2014-01-28,62.25,63.01,62.21,62.82,0.448
2014-01-29,62.49,63.0,62.19,62.26,0.619
2014-01-30,62.56,64.04,62.27,63.84,0.87
2014-01-31,63.45,64.84,63.16,64.54,0.746
2014-02-03,64.46,64.61,63.17,63.37,1.025
2014-02-04,63.52,64.66,63.18,64.62,1.059
2014-02-05,64.5,65.13,64.21,64.76,0.948
2014-02-06,65.97,65.97,63.65,65.44,1.017
2014-02-07,65.49,66.71,64.9,66.63,0.698
2014-02-10,66.63,67.18,66.2,66.96,0.606
2014-02-11,66.87,67.67,66.47,67.44,0.732
2014-02-12,67.36,67.65,67.05,67.42,0.616
2014-02-13,67.01,67.78,67.01,67.5,0.558
2014-02-14,67.62,67.81,67.34,67.64,0.382
2014-02-18,67.63,68.23,67.4,67.95,0.344
2014-02-19,67.89,68.72,67.86,68.08,0.457
2014-02-20,68.36,68.81,68.01,68.07,0.613
2014-02-21,68.09,68.41,67.75,67.79,0.378
2014-02-24,67.93,68.28,67.62,67.63,0.473
2014-02-25,67.83,68.7,67.43,68.69,0.551
2014-02-26,68.73,69.32,68.19,68.39,0.693
2014-02-27,68.39,68.52,67.35,67.4,0.415
2014-02-28,67.38,67.94,67.16,67.64,0.983
2014-03-03,67.38,68.18,67.07,68.12,0.402
2014-03-04,68.65,68.92,68.25,68.64,0.347
2014-03-05,68.6,68.85,67.74,68.13,0.399
