Date,Open,High,Low,Close,Volume
2014-01-02,49.03,49.26,48.57,48.96,2.127
2014-01-03,49.0,49.17,48.64,48.65,1.248
2014-01-06,48.83,48.9,48.25,48.45,2.163
2014-01-07,48.65,49.13,48.48,48.66,1.766
2014-01-08,48.76,49.19,48.73,49.13,2.037
2014-01-09,49.13,49.21,48.81,48.99,1.264
2014-01-10,49.14,49.29,48.74,49.28,0.924
2014-01-13,49.63,49.63,48.59,48.75,2.818
2014-01-14,48.78,49.43,48.57,49.34,1.806
2014-01-15,49.36,49.89,48.85,49.82,1.943
2014-01-16,49.89,50.6,49.53,50.57,4.603
2014-01-17,50.32,50.86,50.22,50.62,3.095
2014-01-21,51.44,51.5,50.76,50.79,3.179
2014-01-22,51.01,51.53,50.8,51.17,3.422
2014-01-23,50.61,51.16,50.32,50.58,2.394
2014-01-24,50.37,50.49,49.75,49.76,3.32
2014-01-27,49.75,50.68,48.92,49.05,3.031
2014-01-28,49.12,49.97,49.0,49.7,1.837
2014-01-29,49.47,49.65,48.79,48.86,2.278
2014-01-30,49.18,49.49,49.02,49.31,1.425
2014-01-31,48.51,49.69,48.51,49.3,2.054
2014-02-03,49.45,49.52,47.35,47.47,3.841
2014-02-04,47.5,48.17,47.35,47.98,2.472
2014-02-05,47.94,48.0,47.21,47.89,2.1
2014-02-06,47.6,48.96,47.6,48.76,2.018
2014-02-07,49.02,49.35,48.73,49.24,1.695
2014-02-10,49.07,49.61,49.07,49.36,1.144
2014-02-11,49.35,50.0,49.28,49.69,1.949
2014-02-12,49.88,50.17,49.55,49.65,1.912
2014-02-13,49.36,50.2,49.02,50.11,2.136
2014-02-14,49.91,51.58,49.91,51.52,3.112
2014-02-18,51.52,51.74,51.07,51.38,2.56
2014-02-19,50.59,51.98,50.58,51.54,3.159
2014-02-20,50.57,51.84,50.52,51.79,3.579
2014-02-21,51.91,52.72,51.58,52.51,3.231
2014-02-24,52.52,53.97,52.52,53.47,3.118
2014-02-25,53.31,53.92,53.31,53.86,1.945
2014-02-26,53.89,54.24,53.23,53.44,2.618
2014-02-27,53.22,53.88,53.22,53.86,2.089
2014-02-28,53.9,54.41,53.61,54.23,2.272
2014-03-03,53.85,53.92,52.99,53.29,3.224
2014-03-04,53.71,54.01,53.49,53.83,2.841
2014-03-05,53.73,53.94,53.31,53.89,2.315
2014-03-06,53.9,54.8,53.9,54.6,2.335
2014-03-07,54.65,55.03,54.54,54.79,2.638
2014-03-10,54.52,54.91,53.88,54.19,1.638
2014-03-11,54.31,54.76,53.86,54.04,1.457
2014-03-12,53.67,54.07,53.4,54.03,1.145
2014-03-13,54.23,54.29,53.4,53.71,1.909
2014-03-14,53.57,54.28,53.54,53.88,2.1
2014-03-17,54.33,54.62,53.83,54.08,1.942
2014-03-18,54.06,54.52,54.01,54.42,1.753
2014-03-19,54.33,54.63,53.84,54.23,1.34
2014-03-20,53.97,54.45,53.69,54.0,1.51
2014-03-21,54.8,55.25,54.5,55.25,5.579
2014-03-24,55.41,55.81,54.77,55.15,3.415
2014-03-25,55.24,55.53,55.14,55.48,2.997
2014-03-26,55.7,56.15,55.38,55.58,5.368
2014-03-27,55.58,55.58,54.57,54.76,4.149
2014-03-28,54.76,55.66,54.76,55.44,3.41
