Date,Open,High,Low,Close,Volume
2014-01-02,19.97,20.13,19.87,19.94,2.652
2014-01-03,20.01,20.39,19.96,20.35,3.628
2014-01-06,20.43,20.53,19.94,20.07,3.961
2014-01-07,20.13,20.31,20.0,20.08,3.303
2014-01-08,19.96,20.39,19.82,20.24,4.119
2014-01-09,20.3,20.46,20.04,20.32,2.812
2014-01-10,20.41,20.74,20.33,20.62,3.01
2014-01-13,20.48,20.52,19.92,19.95,4.085
2014-01-14,20.14,20.39,19.98,20.39,3.877
2014-01-15,20.38,20.45,20.18,20.36,2.475
2014-01-16,20.27,20.38,19.99,20.28,4.289
2014-01-17,20.32,20.38,19.33,19.42,12.708
2014-01-21,19.46,19.49,18.98,19.35,5.603
2014-01-22,19.36,19.7,19.2,19.67,3.439
2014-01-23,19.53,19.65,19.33,19.54,3.284
2014-01-24,19.42,19.42,18.62,18.85,5.889
2014-01-27,18.9,19.22,18.33,19.09,7.081
2014-01-28,19.17,19.53,19.05,19.13,4.427
2014-01-29,18.91,19.12,18.68,18.82,3.347
2014-01-30,19.02,19.11,18.52,18.65,3.976
2014-01-31,18.3,18.85,18.25,18.59,5.426
2014-02-03,18.58,18.73,18.14,18.24,6.104
2014-02-04,18.37,18.49,18.13,18.37,4.902
2014-02-05,18.25,18.42,18.1,18.22,3.503
2014-02-06,18.31,18.88,18.29,18.81,2.851
2014-02-07,18.9,19.37,18.85,19.35,5.154
2014-02-10,19.33,19.38,18.7,19.07,9.627
2014-02-11,19.7,19.95,19.54,19.73,9.58
2014-02-12,19.73,19.82,19.37,19.69,6.136
2014-02-13,19.49,19.7,19.25,19.54,4.266
2014-02-14,19.46,19.85,19.45,19.74,3.107
2014-02-18,19.73,19.9,19.46,19.59,3.604
2014-02-19,19.49,19.75,19.3,19.35,4.403
2014-02-20,19.39,19.63,19.25,19.6,2.926
2014-02-21,19.64,19.83,19.48,19.72,3.39
2014-02-24,19.73,20.05,19.56,19.57,2.798
2014-02-25,19.59,20.05,19.44,19.95,4.514
2014-02-26,20.21,20.65,19.94,20.55,6.278
2014-02-27,20.47,20.56,20.28,20.48,3.381
2014-02-28,20.51,20.64,20.27,20.52,3.529
2014-03-03,20.14,20.25,19.82,20.12,3.401
2014-03-04,20.43,20.58,20.27,20.49,3.109
2014-03-05,20.46,20.65,20.4,20.62,3.651
2014-03-06,20.64,20.77,20.51,20.76,3.341
2014-03-07,20.84,20.85,20.46,20.54,4.782
2014-03-10,20.46,20.46,20.19,20.32,3.715
2014-03-11,20.38,20.53,20.28,20.51,4.587
2014-03-12,20.43,20.69,20.33,20.47,6.204
2014-03-13,20.54,20.63,19.78,19.95,5.557
2014-03-14,19.9,20.16,19.83,20.0,4.517
2014-03-17,20.11,20.32,19.83,20.01,5.695
2014-03-18,20.07,20.44,19.92,20.36,5.089
2014-03-19,20.67,20.76,20.16,20.28,4.806
2014-03-20,20.2,20.3,19.51,19.55,6.102
2014-03-21,19.73,19.93,19.19,19.24,7.974
2014-03-24,19.22,19.42,19.02,19.06,5.455
2014-03-25,19.16,19.39,19.1,19.31,3.617
2014-03-26,19.51,19.63,19.17,19.17,5.369
2014-03-27,19.08,19.38,18.98,19.16,3.275
2014-03-28,19.22,19.46,19.08,19.37,4.785
2014-03-31,19.44,19.71,19.31,19.52,4.075
2014-04-01,19.6,20.02,19.57,19.74,3.832
2014-04-02,19.77,20.21,19.68,20.11,3.543
2014-04-03,20.13,20.28,20.0,20.11,4.535
2014-04-04,20.22,20.58,19.82,19.96,5.575
2014-04-07,19.88,19.94,19.19,19.25,5.936
2014-04-08,19.25,19.41,18.79,19.21,7.54
2014-04-09,19.19,19.54,18.96,19.38,4.784
2014-04-10,19.34,19.41,18.95,18.97,5.057
2014-04-11,18.84,18.95,18.65,18.76,4.007
2014-04-14,18.91,19.01,18.78,18.92,3.827
2014-04-15,18.92,19.09,18.59,18.85,4.525
2014-04-16,18.96,19.35,18.89,19.32,3.294
2014-04-17,19.38,19.48,19.25,19.38,3.069
2014-04-21,19.74,19.75,19.08,19.3,2.627
2014-04-22,19.34,19.75,19.25,19.58,4.248
2014-04-23,19.53,19.64,19.28,19.46,3.457
2014-04-24,19.54,19.82,19.31,19.73,4.357
2014-04-25,18.15,18.71,17.5,18.26,19.399
2014-04-28,18.4,18.48,17.93,18.2,8.447
2014-04-29,18.21,18.21,17.77,17.78,6.893
2014-04-30,17.76,17.89,17.53,17.65,7.703
2014-05-01,17.58,17.95,17.54,17.66,10.1
2014-05-02,18.13,18.32,17.93,18.06,8.924
2014-05-05,17.9,17.95,17.57,17.73,4.82
2014-05-06,17.69,17.69,17.14,17.17,8.244
2014-05-07,17.21,17.45,17.14,17.32,5.771
2014-05-08,17.31,17.74,17.26,17.34,4.772
2014-05-09,17.31,17.57,17.23,17.57,4.87
2014-05-12,17.6,18.17,17.58,18.11,5.686
