Date,Open,High,Low,Close,Volume
2014-01-02,96.81,97.03,96.26,96.41,2.926
2014-01-03,96.9,97.03,96.5,96.54,2.965
2014-01-06,96.62,96.62,95.52,95.85,5.023
2014-01-07,96.38,97.08,96.13,96.38,4.882
2014-01-08,95.55,95.71,95.0,95.41,7.67
2014-01-09,96.24,96.35,95.25,95.46,7.709
2014-01-10,95.83,96.22,95.64,95.8,5.512
2014-01-13,95.83,95.83,94.59,94.83,5.753
2014-01-14,94.81,95.4,94.8,95.22,3.842
2014-01-15,95.49,95.67,95.15,95.46,3.561
2014-01-16,95.4,96.3,95.19,96.06,5.058
2014-01-17,96.02,96.13,94.77,94.93,5.975
2014-01-21,95.36,95.96,95.01,95.08,6.463
2014-01-22,95.07,95.32,94.69,94.88,4.976
2014-01-23,94.55,95.95,94.5,95.32,7.146
2014-01-24,94.73,95.96,94.39,94.43,6.945
2014-01-27,94.29,94.68,93.92,94.07,6.608
2014-01-28,94.33,94.64,94.1,94.18,3.683
2014-01-29,93.96,94.3,92.87,93.15,8.014
2014-01-30,93.39,94.0,92.93,93.8,4.987
2014-01-31,93.05,94.55,92.95,94.17,5.972
2014-02-03,94.54,94.74,92.91,93.02,6.905
2014-02-04,92.86,93.47,92.59,93.09,6.3
2014-02-05,92.8,93.84,92.22,93.58,4.959
2014-02-06,93.87,95.19,93.69,94.94,5.357
2014-02-07,95.09,95.95,94.62,95.92,6.591
2014-02-10,95.75,95.93,94.52,94.86,6.968
2014-02-11,95.06,95.84,94.83,95.34,5.344
2014-02-12,95.44,95.67,94.79,94.89,4.269
2014-02-13,94.69,95.58,94.5,95.46,3.618
2014-02-14,95.3,95.97,95.11,95.78,3.533
2014-02-18,96.03,96.57,95.54,96.02,5.454
2014-02-19,95.78,96.66,95.46,95.55,4.506
2014-02-20,95.66,96.11,95.49,95.75,2.975
2014-02-21,96.04,97.0,96.04,96.45,5.284
2014-02-24,96.43,96.94,96.24,96.5,4.472
2014-02-25,96.46,96.72,95.89,96.62,4.234
