Date,Open,High,Low,Close,Volume
2014-01-02,22.28,22.28,22.0,22.08,2.301
2014-01-03,22.17,22.33,22.09,22.27,2.266
2014-01-06,22.25,22.34,22.17,22.23,2.725
2014-01-07,22.35,22.53,22.23,22.35,3.036
2014-01-08,22.38,22.68,22.27,22.65,3.902
2014-01-09,22.64,22.75,22.43,22.61,2.863
2014-01-10,22.69,22.74,22.44,22.53,3.14
2014-01-13,22.49,22.92,22.48,22.58,4.461
2014-01-14,22.7,23.07,22.63,23.06,3.778
2014-01-15,23.05,23.2,22.99,23.17,2.446
2014-01-16,23.16,23.18,23.0,23.14,11.765
2014-01-17,23.0,23.36,22.98,23.1,4.823
2014-01-21,23.3,23.32,23.0,23.12,2.83
2014-01-22,23.15,23.25,23.01,23.03,4.629
2014-01-23,22.99,23.06,22.45,22.5,7.145
2014-01-24,22.39,22.45,22.02,22.04,4.076
2014-01-27,22.09,22.24,21.93,22.03,2.68
2014-01-28,22.08,22.53,22.01,22.52,4.595
2014-01-29,22.33,22.68,22.25,22.31,4.02
2014-01-30,22.51,22.82,22.38,22.68,5.854
2014-01-31,22.43,22.64,22.04,22.43,5.76
2014-02-03,22.48,22.5,21.71,21.81,12.269
2014-02-04,21.86,21.9,21.59,21.81,13.09
2014-02-05,21.74,21.93,21.57,21.85,2.811
2014-02-06,21.88,22.03,21.77,21.85,12.92
2014-02-07,22.02,22.24,21.91,22.22,14.069
2014-02-10,22.31,22.44,22.22,22.38,2.539
2014-02-11,22.23,22.47,22.08,22.42,3.758
2014-02-12,23.5,23.5,22.43,22.77,3.701
2014-02-13,22.67,22.92,22.6,22.91,2.868
2014-02-14,22.88,22.97,22.77,22.88,2.741
2014-02-18,22.67,22.8,22.6,22.75,3.327
2014-02-19,22.37,22.68,22.33,22.45,3.457
2014-02-20,22.47,22.62,22.3,22.6,4.713
2014-02-21,22.62,22.74,22.51,22.63,2.809
2014-02-24,22.7,22.83,22.62,22.64,4.449
2014-02-25,22.7,22.76,22.41,22.67,6.561
2014-02-26,22.69,23.02,22.56,22.76,4.614
2014-02-27,22.73,22.86,22.0,22.81,3.758
2014-02-28,22.84,22.92,22.6,22.77,2.124
2014-03-03,22.58,22.65,22.26,22.48,2.285
2014-03-04,22.48,23.17,22.4,23.16,6.208
2014-03-05,23.08,23.31,23.04,23.27,4.349
2014-03-06,23.26,23.49,23.21,23.33,2.457
2014-03-07,23.42,23.43,23.23,23.29,3.002
2014-03-10,23.28,23.36,23.1,23.25,1.688
2014-03-11,23.3,23.36,23.02,23.1,1.324
2014-03-12,23.02,23.31,22.9,23.21,2.134
2014-03-13,23.33,23.42,23.01,23.08,6.321
2014-03-14,23.08,23.17,22.97,23.03,3.759
2014-03-17,23.08,23.42,23.08,23.34,2.149
2014-03-18,23.4,23.7,23.3,23.69,2.083
2014-03-19,23.62,23.84,23.5,23.64,2.347
2014-03-20,23.58,24.06,23.51,24.05,2.423
2014-03-21,24.24,24.24,23.71,23.73,4.167
2014-03-24,23.83,23.84,23.52,23.77,2.465
2014-03-25,23.84,24.0,23.72,23.83,2.445
2014-03-26,23.92,24.05,23.53,23.58,2.69
2014-03-27,23.54,23.61,23.13,23.23,3.432
2014-03-28,23.3,23.63,23.24,23.46,1.571
2014-03-31,23.64,23.94,23.64,23.88,3.042
2014-04-01,23.99,24.02,23.81,23.92,2.907
2014-04-02,23.92,24.15,23.8,24.14,3.465
2014-04-03,24.25,24.51,24.15,24.28,3.357
2014-04-04,24.5,24.5,23.5,23.59,3.383
2014-04-07,23.58,23.75,23.32,23.45,3.109
2014-04-08,23.45,23.86,23.42,23.8,2.227
2014-04-09,23.94,24.18,23.87,24.16,2.575
2014-04-10,24.16,24.22,23.48,23.48,2.83
2014-04-11,23.28,23.53,23.17,23.23,3.224
2014-04-14,23.49,23.75,23.08,23.3,2.671
2014-04-15,23.33,23.65,23.2,23.58,2.414
2014-04-16,23.61,23.61,22.83,23.23,3.745
2014-04-17,23.27,23.8,23.25,23.67,2.688
2014-04-21,23.63,23.89,23.48,23.8,1.979
2014-04-22,23.94,24.03,23.81,23.95,2.127
2014-04-23,23.97,24.12,23.89,24.02,2.107
2014-04-24,24.16,24.23,23.93,24.19,4.879
2014-04-25,24.09,24.17,23.52,23.58,5.131
