Date,Open,High,Low,Close,Volume
2014-01-02,77.86,77.96,76.42,77.32,0.951
2014-01-03,77.22,78.07,76.77,77.83,0.906
2014-01-06,78.12,78.74,77.43,77.83,0.823
2014-01-07,77.88,78.21,77.49,77.89,0.809
2014-01-08,77.9,78.04,75.72,76.28,1.875
2014-01-09,76.46,76.6,75.48,76.56,0.958
2014-01-10,76.64,77.38,76.49,76.75,0.921
2014-01-13,76.64,76.86,74.85,75.08,0.677
2014-01-14,75.5,76.49,75.28,76.03,0.888
2014-01-15,76.29,76.74,75.9,76.46,0.876
2014-01-16,76.4,76.7,75.47,76.1,0.654
2014-01-17,75.52,76.65,75.52,75.75,0.8
2014-01-21,76.48,77.0,75.75,76.22,0.544
2014-01-22,76.35,76.97,76.01,76.59,0.623
2014-01-23,75.96,76.18,75.39,75.47,0.737
2014-01-24,74.26,75.5,72.97,72.97,1.098
2014-01-27,72.96,74.16,72.65,73.67,0.903
2014-01-28,73.65,75.19,73.65,74.7,0.775
2014-01-29,73.82,74.68,72.92,73.29,0.844
2014-01-30,73.86,75.38,73.86,75.17,0.641
2014-01-31,73.71,75.2,73.3,74.58,0.751
2014-02-03,74.47,74.86,72.61,72.65,1.297
2014-02-04,73.04,75.0,72.57,74.87,1.252
2014-02-05,74.76,75.1,73.93,74.55,0.84
2014-02-06,74.7,77.58,74.62,76.77,1.238
2014-02-07,84.17,85.7,79.72,80.02,3.926
2014-02-10,80.17,80.17,79.09,79.34,0.979
2014-02-11,79.07,79.72,78.46,79.5,1.136
2014-02-12,79.39,79.85,79.25,79.58,1.035
2014-02-13,78.89,79.67,78.89,79.45,0.953
2014-02-14,79.31,79.72,78.78,79.53,0.953
2014-02-18,79.58,79.77,79.03,79.42,1.056
2014-02-19,79.17,80.06,78.96,79.21,1.0
2014-02-20,79.33,79.5,78.51,78.93,1.306
2014-02-21,78.74,79.39,78.7,78.8,1.066
2014-02-24,78.75,79.33,78.4,78.76,1.517
2014-02-25,78.99,79.64,78.21,78.35,0.995
2014-02-26,78.6,79.17,78.31,78.9,1.338
2014-02-27,78.87,79.18,78.44,78.89,1.102
2014-02-28,78.8,79.27,78.52,79.0,1.429
2014-03-03,78.0,79.17,77.67,78.66,1.332
2014-03-04,79.34,81.24,79.31,81.14,1.52
2014-03-05,80.97,82.38,80.55,82.01,1.37
2014-03-06,82.12,82.95,82.06,82.85,0.84
2014-03-07,82.86,83.26,81.99,82.78,1.024
2014-03-10,82.61,83.1,82.11,83.03,0.589
2014-03-11,83.22,83.51,82.71,83.18,0.912
2014-03-12,82.82,83.62,81.99,83.58,1.258
2014-03-13,83.48,83.58,79.18,79.46,2.326
2014-03-14,79.31,80.9,79.01,80.69,1.582
2014-03-17,81.53,82.54,81.36,81.68,1.101
2014-03-18,81.66,82.56,81.18,81.95,0.933
2014-03-19,80.03,82.59,80.03,81.68,1.214
2014-03-20,80.95,81.48,79.24,80.93,1.111
2014-03-21,81.39,82.76,81.08,81.09,1.517
2014-03-24,81.43,81.72,80.11,80.29,1.202
2014-03-25,80.66,80.81,79.53,79.74,0.698
2014-03-26,80.24,80.66,78.67,78.68,0.774
2014-03-27,78.18,78.69,77.38,77.76,1.267
2014-03-28,78.11,78.52,77.12,77.57,0.888
2014-03-31,78.28,79.47,78.22,79.32,0.86
2014-04-01,79.64,80.86,79.42,80.8,0.85
2014-04-02,81.64,83.3,79.95,80.28,0.898
2014-04-03,80.56,81.12,79.92,80.19,0.718
2014-04-04,80.51,81.52,79.54,79.62,1.068
2014-04-07,79.53,79.86,77.4,77.97,1.228
2014-04-08,78.29,78.75,77.85,78.33,1.126
2014-04-09,78.35,79.69,77.71,79.68,1.03
2014-04-10,79.66,79.89,76.6,76.6,1.077
2014-04-11,75.24,76.36,74.36,74.49,1.572
2014-04-14,75.34,76.59,75.29,75.82,2.035
2014-04-15,76.1,76.85,74.7,75.51,1.664
2014-04-16,75.95,77.66,75.56,77.65,1.255
2014-04-17,77.66,79.44,77.62,78.85,0.944
2014-04-21,78.53,79.25,78.44,78.85,0.482
2014-04-22,78.81,80.08,78.63,79.68,0.926
2014-04-23,79.74,80.85,79.57,79.88,0.971
2014-04-24,81.51,81.67,79.31,79.65,0.998
2014-04-25,79.9,81.47,78.87,79.13,2.297
2014-04-28,79.28,79.6,77.69,78.35,1.66
2014-04-29,78.62,79.3,78.27,78.4,0.86
2014-04-30,77.46,78.85,77.46,78.5,1.177
2014-05-01,78.31,78.72,77.54,78.26,0.96
2014-05-02,78.5,79.13,78.04,78.58,0.462
2014-05-05,77.87,80.21,77.39,79.74,1.237
2014-05-06,79.6,82.29,79.31,81.32,1.872
2014-05-07,81.5,82.06,80.57,81.98,1.284
2014-05-08,82.01,83.26,81.57,81.82,1.128
2014-05-09,81.79,82.86,81.56,82.8,0.759
2014-05-12,83.2,83.91,83.08,83.86,0.979
2014-05-13,83.73,83.94,83.14,83.24,0.582
2014-05-14,83.05,83.6,82.43,83.08,0.995
2014-05-15,82.61,82.74,80.53,81.07,2.051
2014-05-16,80.94,81.61,80.69,81.37,1.457
2014-05-19,81.29,81.95,81.12,81.47,1.212
2014-05-20,81.4,81.69,80.36,80.72,0.776
2014-05-21,81.16,81.82,81.09,81.51,0.959
2014-05-22,81.5,82.05,81.48,81.89,1.033
2014-05-23,81.82,82.65,81.44,82.5,1.09
2014-05-27,82.7,85.88,82.7,85.68,2.31
2014-05-28,86.01,86.48,85.62,85.96,2.168
2014-05-29,86.0,86.04,84.98,85.09,1.641
2014-05-30,84.99,85.61,84.78,85.54,1.45
2014-06-02,85.54,86.15,85.52,85.8,0.715
2014-06-03,85.36,85.6,84.96,85.17,0.87
2014-06-04,85.21,85.81,85.0,85.52,0.598
2014-06-05,85.58,86.48,85.34,86.32,0.562
2014-06-06,86.42,87.47,86.35,87.0,0.68
2014-06-09,86.97,87.3,86.73,87.29,0.552
2014-06-10,86.94,87.49,86.69,86.92,0.561
2014-06-11,86.28,86.75,86.11,86.61,0.447
2014-06-12,85.41,86.77,85.41,85.83,0.524
2014-06-13,86.0,86.01,85.14,85.76,0.435
2014-06-16,84.48,85.81,84.48,85.52,0.557
2014-06-17,85.56,86.22,85.26,85.83,0.49
2014-06-18,86.67,86.67,85.54,86.49,0.477
2014-06-19,88.41,89.08,84.54,85.7,0.61
2014-06-20,84.76,86.63,84.76,86.44,0.88
2014-06-23,86.36,87.06,85.89,86.98,0.607
2014-06-24,86.58,87.63,86.43,86.94,0.706
2014-06-25,86.54,87.0,86.17,86.75,1.191
2014-06-26,86.67,87.06,85.95,86.99,0.641
2014-06-27,86.99,88.04,86.99,87.91,0.708
2014-06-30,87.63,87.98,86.86,87.66,1.063
2014-07-01,87.76,90.2,87.76,90.05,0.833
2014-07-02,89.77,90.19,88.81,89.04,1.167
2014-07-03,89.52,90.12,89.23,90.02,0.488
2014-07-07,89.93,89.95,88.98,89.58,0.624
2014-07-08,89.19,89.38,88.52,89.06,0.699
2014-07-09,88.57,88.95,87.91,88.79,0.527
2014-07-10,87.59,88.65,87.52,88.5,0.575
2014-07-11,88.61,89.4,88.32,89.18,0.533
2014-07-14,89.9,90.19,89.6,89.74,0.585
2014-07-15,89.6,90.31,89.42,90.14,0.647
2014-07-16,90.5,90.71,89.72,90.2,0.494
2014-07-17,89.87,90.43,89.05,89.15,0.52
2014-07-18,89.27,90.56,89.21,90.44,0.462
2014-07-21,89.82,90.55,89.29,90.34,0.411
2014-07-22,90.57,91.21,90.32,91.1,0.541
2014-07-23,91.16,91.76,90.84,91.61,0.551
2014-07-24,91.75,92.54,90.81,92.48,0.884
2014-07-25,94.3,95.0,90.56,91.62,1.495
2014-07-28,91.67,91.77,90.74,91.0,0.905
2014-07-29,91.43,91.43,89.95,90.13,1.006
2014-07-30,90.8,90.8,89.42,89.91,1.105
2014-07-31,89.45,89.66,86.89,87.0,1.201
2014-08-01,86.82,88.14,86.79,86.99,1.866
2014-08-04,87.15,88.46,86.97,88.2,0.594
2014-08-05,87.72,88.18,86.54,86.86,0.647
2014-08-06,86.57,87.79,86.5,87.33,0.574
2014-08-07,87.8,87.97,86.67,86.93,1.015
2014-08-08,87.13,88.07,86.78,87.9,0.945
2014-08-11,88.39,89.77,87.88,89.31,0.986
