Date,Open,High,Low,Close,Volume
2014-01-02,106.72,107.37,103.07,103.41,0.769
2014-01-03,104.04,104.93,102.96,103.93,0.318
2014-01-06,105.18,105.18,101.03,101.49,0.632
2014-01-07,100.5,101.26,97.1,99.11,1.04
2014-01-08,99.09,100.88,98.98,99.47,0.532
2014-01-09,100.55,101.13,97.74,98.52,0.573
2014-01-10,97.67,99.4,97.28,99.13,0.632
2014-01-13,98.61,99.36,93.89,94.57,0.623
2014-01-14,94.86,98.15,94.34,97.5,0.687
2014-01-15,97.13,98.28,95.74,97.76,0.48
2014-01-16,98.43,109.22,97.06,107.47,1.699
2014-01-17,107.5,108.83,104.23,104.98,0.774
2014-01-21,105.99,107.48,103.38,105.06,0.507
2014-01-22,105.06,108.0,103.32,106.35,0.632
2014-01-23,105.83,105.85,97.5,100.53,2.005
2014-01-24,97.5,98.0,94.57,95.05,1.572
2014-01-27,91.57,98.72,91.0,95.27,1.873
2014-01-28,95.16,99.3,94.82,97.87,1.077
2014-01-29,95.42,98.65,94.08,94.52,1.361
2014-01-30,95.32,97.64,94.66,96.9,1.152
2014-01-31,95.23,99.98,94.77,96.49,1.006
2014-02-03,95.87,96.48,91.71,92.09,0.731
2014-02-04,92.88,93.65,91.11,91.5,0.726
2014-02-05,91.45,94.43,91.11,93.33,1.236
2014-02-06,93.85,95.48,93.34,93.99,0.586
2014-02-07,94.75,96.59,94.05,95.27,0.921
2014-02-10,95.42,96.0,94.39,94.93,0.392
2014-02-11,94.87,96.17,94.6,95.33,0.511
2014-02-12,95.71,96.71,92.5,93.09,0.449
2014-02-13,92.14,96.5,92.01,95.97,0.507
2014-02-14,95.25,97.59,94.23,95.31,0.562
2014-02-18,95.15,96.72,93.29,93.55,0.758
2014-02-19,93.96,94.54,91.86,92.67,0.776
2014-02-20,92.59,94.01,91.61,92.95,0.858
2014-02-21,93.26,93.26,90.57,91.0,0.492
2014-02-24,91.0,92.69,90.5,91.07,0.738
2014-02-25,90.96,91.24,87.88,89.47,1.569
2014-02-26,90.0,96.9,89.13,93.98,1.402
2014-02-27,93.69,95.41,93.02,94.23,1.651
2014-02-28,108.57,112.88,100.24,104.18,3.988
2014-03-03,102.39,103.91,100.15,102.19,0.961
2014-03-04,103.31,106.25,102.9,105.73,0.776
2014-03-05,105.99,106.88,102.72,105.84,0.639
2014-03-06,105.98,107.29,102.87,103.22,0.576
2014-03-07,104.01,104.87,99.23,101.18,0.727
2014-03-10,100.65,101.35,99.76,100.07,0.623
2014-03-11,100.34,101.15,99.76,100.51,0.722
2014-03-12,100.21,100.4,98.04,99.65,0.627
2014-03-13,100.83,101.39,95.81,96.42,0.458
2014-03-14,97.06,97.83,94.53,97.0,0.668
2014-03-17,97.73,98.78,97.52,98.5,0.542
2014-03-18,98.35,99.44,96.91,98.82,0.409
2014-03-19,99.26,100.69,95.66,96.4,0.236
