Date,Open,High,Low,Close,Volume
2014-01-02,47.73,47.75,47.14,47.41,4.353
2014-01-03,48.0,48.16,47.58,47.96,4.132
2014-01-06,47.67,48.15,47.46,47.75,6.439
2014-01-07,48.16,48.33,47.42,47.57,4.634
2014-01-08,47.98,48.57,47.7,48.3,5.713
2014-01-09,48.34,48.73,48.23,48.62,5.969
2014-01-10,48.62,48.75,47.78,48.22,5.251
2014-01-13,48.04,48.48,47.14,47.21,6.72
2014-01-14,47.71,47.91,47.13,47.76,4.659
2014-01-15,47.89,48.48,47.85,48.41,5.627
2014-01-16,48.32,48.32,47.55,47.65,4.382
2014-01-17,47.66,47.74,47.06,47.2,5.422
2014-01-21,47.62,47.65,46.86,46.94,7.253
2014-01-22,47.0,47.22,46.64,46.78,3.928
2014-01-23,46.45,46.45,45.59,45.84,6.526
2014-01-24,45.44,45.48,44.08,44.13,10.482
2014-01-27,44.13,44.34,43.08,43.6,12.445
2014-01-28,43.98,44.51,43.93,44.23,5.662
2014-01-29,43.72,44.23,43.44,43.54,5.211
2014-01-30,43.94,44.55,43.87,44.37,4.408
2014-01-31,43.5,44.29,43.26,43.72,6.838
2014-02-03,43.73,43.82,41.87,41.94,10.782
2014-02-04,42.11,42.88,42.0,42.58,7.025
2014-02-05,42.48,42.65,41.94,42.5,6.38
2014-02-06,42.67,43.32,42.25,43.31,7.505
2014-02-07,43.59,43.81,43.1,43.77,6.322
2014-02-10,43.74,43.79,43.03,43.28,5.116
2014-02-11,43.24,44.5,43.24,44.35,8.948
2014-02-12,44.51,45.14,44.12,44.46,7.368
2014-02-13,44.46,44.61,43.54,44.57,7.434
2014-02-14,44.45,45.05,44.24,44.91,4.977
2014-02-18,44.9,45.61,44.85,45.52,8.121
2014-02-19,45.47,46.13,45.11,45.24,8.288
2014-02-20,45.31,45.45,44.63,45.2,6.175
2014-02-21,45.2,45.46,45.02,45.03,5.116
2014-02-24,45.03,45.59,44.98,45.34,6.24
2014-02-25,45.29,45.31,44.81,45.04,4.725
2014-02-26,43.98,45.04,43.98,44.54,7.411
2014-02-27,44.47,45.04,43.95,45.04,8.605
2014-02-28,45.01,45.8,44.83,45.16,11.121
2014-03-03,44.47,44.85,44.26,44.63,6.833
2014-03-04,45.45,45.78,45.26,45.62,6.702
2014-03-05,45.58,46.61,45.48,46.43,6.895
2014-03-06,46.69,47.03,46.66,46.68,6.128
2014-03-07,47.16,47.78,47.1,47.37,6.4
2014-03-10,47.75,47.9,47.24,47.56,7.5
2014-03-11,47.66,47.7,47.06,47.22,6.23
2014-03-12,46.86,46.96,46.49,46.96,8.156
2014-03-13,47.15,47.31,46.05,46.11,6.135
2014-03-14,45.99,46.36,45.8,46.09,4.653
2014-03-17,46.6,46.84,46.03,46.19,5.583
2014-03-18,46.27,46.72,46.17,46.66,4.872
2014-03-19,46.7,47.58,46.63,47.33,9.135
2014-03-20,47.26,48.1,47.23,47.82,6.231
2014-03-21,48.3,48.44,47.56,47.61,9.238
2014-03-24,47.89,48.16,47.34,47.69,5.792
2014-03-25,48.41,48.57,47.65,48.37,8.639
2014-03-26,48.64,48.84,47.64,47.75,8.203
2014-03-27,47.57,47.63,46.49,46.67,6.65
2014-03-28,46.79,47.19,46.43,46.84,5.317
2014-03-31,47.17,47.51,46.93,47.06,5.9
2014-04-01,48.51,48.51,47.42,47.63,6.657
2014-04-02,47.69,48.16,47.48,47.81,6.552
2014-04-03,47.84,48.15,47.59,48.06,6.236
2014-04-04,48.4,48.53,47.02,47.09,6.408
2014-04-07,47.01,47.05,45.51,45.78,11.487
2014-04-08,45.62,46.24,45.2,46.09,9.167
2014-04-09,46.27,46.68,45.62,46.67,5.28
2014-04-10,46.69,46.74,44.89,44.89,8.228
2014-04-11,44.55,44.89,43.81,43.84,11.843
2014-04-14,44.4,44.78,43.45,44.0,9.414
2014-04-15,44.16,44.65,43.62,44.46,6.744
2014-04-16,44.88,45.06,44.32,45.05,6.231
2014-04-17,45.0,45.99,44.93,45.63,5.984
2014-04-21,45.2,45.67,45.2,45.59,5.084
2014-04-22,45.58,46.45,45.43,46.26,7.072
2014-04-23,46.19,46.54,46.16,46.27,4.753
2014-04-24,46.51,46.62,45.83,46.3,5.469
2014-04-25,46.21,46.27,45.3,45.53,6.592
2014-04-28,45.86,45.92,44.72,45.42,9.518
2014-04-29,45.8,46.27,45.62,46.2,6.233
2014-04-30,46.2,46.88,45.84,46.66,6.194
2014-05-01,45.53,46.45,45.38,45.96,9.713
2014-05-02,46.19,46.76,45.81,46.25,7.759
2014-05-05,45.89,46.14,45.59,45.93,3.374
2014-05-06,45.77,45.79,44.48,44.51,9.088
2014-05-07,44.43,45.0,44.23,44.65,7.222
2014-05-08,44.63,46.02,44.63,45.99,12.456
2014-05-09,45.84,45.96,45.35,45.72,6.404
2014-05-12,46.02,46.42,45.86,46.36,6.642
2014-05-13,46.44,46.54,46.02,46.36,5.302
2014-05-14,46.19,46.2,45.23,45.38,7.944
2014-05-15,45.14,45.17,43.73,44.17,12.949
2014-05-16,44.3,44.38,43.73,44.06,8.661
