Date,Open,High,Low,Close,Volume
2014-01-02,54.83,55.22,54.19,54.71,43.196
2014-01-03,55.02,55.65,54.53,54.56,38.246
2014-01-06,54.42,57.26,54.05,57.2,68.853
2014-01-07,57.7,58.55,57.22,57.92,77.207
2014-01-08,57.6,58.41,57.23,58.23,56.682
2014-01-09,58.65,58.96,56.65,57.22,92.253
2014-01-10,57.13,58.3,57.06,57.94,42.45
2014-01-13,57.91,58.25,55.38,55.91,63.011
2014-01-14,56.46,57.78,56.1,57.74,37.504
2014-01-15,57.98,58.57,57.27,57.6,33.663
2014-01-16,57.26,58.02,56.83,57.19,34.542
2014-01-17,57.3,57.82,56.07,56.3,40.849
2014-01-21,56.6,58.58,56.5,58.51,48.669
2014-01-22,58.85,59.31,57.1,57.51,61.353
2014-01-23,56.37,56.68,55.69,56.63,47.952
2014-01-24,56.15,56.42,54.4,54.45,55.201
2014-01-27,54.73,54.94,51.85,53.55,73.924
2014-01-28,54.02,55.28,54.0,55.14,48.191
2014-01-29,54.61,54.95,53.19,53.53,92.996
2014-01-30,62.12,62.5,60.46,61.08,150.179
2014-01-31,60.47,63.37,60.17,62.57,87.795
2014-02-03,63.03,63.77,60.7,61.48,74.867
2014-02-04,62.05,63.14,61.82,62.75,45.986
2014-02-05,62.74,63.16,61.27,62.19,51.685
2014-02-06,61.46,62.78,61.46,62.16,42.086
2014-02-07,62.27,64.57,62.22,64.32,60.704
2014-02-10,64.3,64.49,63.47,63.55,43.666
2014-02-11,63.75,65.0,63.35,64.85,45.676
2014-02-12,64.92,65.06,64.05,64.45,47.282
2014-02-13,64.18,67.33,64.05,67.33,61.912
2014-02-14,67.5,67.58,66.72,67.09,36.695
2014-02-18,66.94,67.54,66.07,67.3,43.81
2014-02-19,67.05,69.08,67.0,68.06,62.087
2014-02-20,67.73,70.11,65.73,69.63,130.929
2014-02-21,69.69,69.96,68.45,68.59,70.932
2014-02-24,68.74,71.44,68.54,70.78,76.62
2014-02-25,70.95,71.0,69.45,69.85,52.077
2014-02-26,70.19,71.22,68.85,69.26,55.323
2014-02-27,69.34,70.01,68.87,68.94,41.654
2014-02-28,69.47,69.88,67.38,68.46,66.784
2014-03-03,66.96,68.05,66.51,67.41,56.824
2014-03-04,68.66,68.9,67.62,68.8,42.014
2014-03-05,69.69,71.97,69.62,71.57,74.568
2014-03-06,71.88,71.89,70.25,70.84,46.026
2014-03-07,71.08,71.18,69.47,69.8,38.927
