Date,Open,High,Low,Close,Volume
2014-01-02,23.54,23.94,23.32,23.72,8.409
2014-01-03,23.83,23.89,23.25,23.45,5.951
2014-01-06,23.86,24.1,23.38,23.48,15.38
2014-01-07,23.98,24.66,23.91,24.51,17.874
2014-01-08,24.82,24.96,24.57,24.73,12.72
2014-01-09,24.9,24.99,24.43,24.98,13.69
2014-01-10,24.9,25.39,24.76,25.36,11.585
2014-01-13,25.71,26.11,25.22,25.25,18.586
2014-01-14,25.31,25.87,24.83,25.78,12.968
2014-01-15,26.01,26.25,25.55,25.72,11.637
2014-01-16,25.55,25.86,25.5,25.78,8.326
2014-01-17,25.88,26.7,25.88,26.41,14.783
2014-01-21,26.61,26.65,26.13,26.36,15.499
2014-01-22,25.77,25.87,25.38,25.74,15.957
2014-01-23,25.45,25.5,24.8,25.18,14.264
2014-01-24,24.62,24.85,23.67,23.78,20.352
2014-01-27,23.87,24.09,23.09,23.78,13.562
2014-01-28,23.78,24.49,23.77,24.05,14.577
2014-01-29,23.79,23.97,23.16,23.28,12.003
2014-01-30,23.83,24.26,23.64,24.11,12.138
2014-01-31,23.86,24.58,23.79,24.36,11.066
2014-02-03,24.37,24.64,23.57,23.86,12.941
2014-02-04,24.0,24.38,23.9,24.2,7.488
2014-02-05,23.74,23.81,23.04,23.67,13.322
2014-02-06,23.99,24.55,23.96,24.29,9.101
2014-02-07,24.44,24.92,24.34,24.8,7.925
2014-02-10,24.7,24.9,24.52,24.64,9.223
2014-02-11,24.81,25.27,24.75,25.25,10.758
2014-02-12,25.37,25.55,25.12,25.32,7.707
2014-02-13,25.46,25.63,25.15,25.58,7.611
2014-02-14,25.56,26.03,25.51,26.02,9.227
2014-02-18,26.12,26.34,25.77,25.85,11.191
2014-02-19,25.74,26.68,25.05,25.75,23.962
2014-02-20,26.14,26.93,26.14,26.83,15.366
2014-02-21,26.93,27.33,26.88,27.05,9.74
2014-02-24,27.11,27.98,27.11,27.84,10.158
2014-02-25,28.01,28.2,27.42,27.54,9.547
2014-02-26,27.7,28.03,27.18,27.49,11.588
2014-02-27,27.41,28.16,27.38,27.86,10.857
2014-02-28,27.9,27.97,27.25,27.55,9.264
2014-03-03,27.16,28.2,27.0,27.6,9.908
2014-03-04,27.98,28.38,27.96,28.29,12.372
2014-03-05,28.38,28.57,28.16,28.22,9.222
2014-03-06,28.35,28.56,28.27,28.39,6.773
2014-03-07,28.67,28.75,28.03,28.29,11.343
2014-03-10,28.15,28.34,27.48,27.71,9.287
2014-03-11,27.82,28.13,26.89,27.05,11.524
2014-03-12,26.92,27.5,26.8,26.95,10.364
2014-03-13,27.04,27.31,26.29,26.5,10.147
2014-03-14,26.35,26.59,26.15,26.27,7.603
2014-03-17,26.4,26.95,26.4,26.61,6.537
2014-03-18,26.7,27.11,26.65,26.79,6.656
2014-03-19,26.84,26.98,26.32,26.58,5.191
2014-03-20,26.47,26.57,25.99,26.38,8.036
2014-03-21,26.59,26.62,26.12,26.18,6.485
