Date,Open,High,Low,Close,Volume
2014-01-02,34.44,34.48,34.04,34.17,0.941
2014-01-03,34.25,34.41,34.17,34.28,0.696
2014-01-06,34.38,34.47,34.02,34.13,0.824
2014-01-07,34.17,34.55,34.17,34.44,1.211
2014-01-08,34.38,34.46,33.83,34.07,2.074
2014-01-09,34.08,34.49,33.99,34.44,1.249
2014-01-10,34.53,34.77,34.42,34.72,1.013
2014-01-13,34.54,34.9,34.51,34.62,1.223
2014-01-14,34.62,34.99,34.53,34.97,1.378
2014-01-15,34.92,35.01,34.71,34.88,2.19
2014-01-16,33.97,34.83,33.97,34.79,1.809
2014-01-17,34.77,34.77,34.32,34.47,1.878
2014-01-21,34.65,35.03,34.53,34.97,2.38
2014-01-22,35.07,35.21,34.92,35.01,1.148
2014-01-23,34.8,34.92,34.54,34.72,1.445
2014-01-24,34.57,35.04,34.47,34.49,1.718
2014-01-27,34.51,34.85,34.47,34.56,1.972
2014-01-28,34.53,34.88,34.53,34.81,2.156
2014-01-29,33.35,33.55,32.23,32.65,6.827
2014-01-30,32.52,32.53,31.9,32.37,4.185
2014-01-31,32.01,32.23,31.73,32.09,2.563
2014-02-03,32.03,32.17,31.44,31.51,2.738
2014-02-04,31.58,31.85,31.52,31.76,2.142
2014-02-05,31.59,31.85,31.54,31.72,2.693
2014-02-06,31.81,31.88,31.42,31.53,3.234
2014-02-07,31.66,31.92,31.38,31.52,2.417
2014-02-10,31.52,31.98,31.44,31.96,1.961
2014-02-11,31.92,32.33,31.79,32.29,1.823
2014-02-12,32.27,32.49,32.1,32.15,1.317
2014-02-13,32.05,32.51,32.04,32.49,1.46
2014-02-14,32.38,32.86,32.3,32.75,2.01
2014-02-18,32.75,33.16,32.73,33.07,1.787
2014-02-19,32.94,33.06,32.69,32.72,1.474
2014-02-20,32.65,33.1,32.65,33.06,1.074
2014-02-21,33.04,33.2,32.94,32.99,0.89
2014-02-24,33.08,33.33,33.04,33.12,1.067
2014-02-25,33.17,33.24,32.92,33.1,1.288
2014-02-26,33.17,33.3,32.8,32.81,1.187
2014-02-27,32.79,32.97,32.56,32.97,1.326
2014-02-28,32.96,33.26,32.92,33.2,1.229
2014-03-03,32.9,33.24,32.77,33.06,1.523
