Date,Open,High,Low,Close,Volume
2014-01-02,66.44,66.77,65.31,65.4,0.148
2014-01-03,65.49,67.44,65.49,67.16,0.135
2014-01-06,67.49,67.57,64.89,65.11,0.196
2014-01-07,65.17,66.25,65.17,65.73,0.153
2014-01-08,65.85,66.25,64.26,64.33,0.187
2014-01-09,64.62,65.17,63.0,63.41,0.192
2014-01-10,63.4,64.01,62.65,63.84,0.145
2014-01-13,63.9,64.28,61.24,62.45,0.169
2014-01-14,62.58,64.22,62.45,63.49,0.177
2014-01-15,63.6,64.14,62.74,63.07,0.1
2014-01-16,63.08,63.57,62.51,62.98,0.109
2014-01-17,63.08,63.46,61.71,61.92,0.237
2014-01-21,62.57,63.75,62.53,63.32,0.126
2014-01-22,63.6,63.98,62.57,62.81,0.157
2014-01-23,62.36,62.76,60.97,62.14,0.243
2014-01-24,61.57,62.94,60.55,61.19,0.182
2014-01-27,61.21,61.87,59.69,59.77,0.124
2014-01-28,59.68,61.72,59.35,61.54,0.222
2014-01-29,60.87,61.93,57.95,60.24,0.239
2014-01-30,60.94,64.51,60.23,63.31,0.311
2014-01-31,61.99,64.01,61.99,62.74,0.283
2014-02-03,62.7,63.7,60.23,60.64,0.231
2014-02-04,60.81,63.13,60.29,61.83,0.244
2014-02-05,61.46,62.28,61.16,61.47,0.34
2014-02-06,61.67,62.16,61.04,61.15,0.124
2014-02-07,61.14,61.9,60.8,61.28,0.154
2014-02-10,61.24,61.74,59.84,60.34,0.309
2014-02-11,60.1,60.83,59.31,60.41,0.141
2014-02-12,60.3,60.8,59.54,59.96,0.154
2014-02-13,59.29,60.13,58.74,59.95,0.177
2014-02-14,59.86,60.28,58.78,59.71,0.197
2014-02-18,59.93,60.57,59.17,60.18,0.231
2014-02-19,59.81,60.08,58.57,59.06,0.199
2014-02-20,59.14,60.29,58.16,59.7,0.165
2014-02-21,60.01,60.06,59.05,59.37,0.175
2014-02-24,59.37,60.72,59.03,59.75,0.202
2014-02-25,59.74,60.24,58.76,58.9,0.148
2014-02-26,59.05,60.1,58.7,59.22,0.214
2014-02-27,58.9,59.46,57.8,59.06,0.276
2014-02-28,59.13,60.06,58.62,59.04,0.263
2014-03-03,58.51,59.88,57.64,59.39,0.238
2014-03-04,60.27,63.26,59.56,63.12,0.345
2014-03-05,62.92,64.17,62.43,63.76,0.37
2014-03-06,63.74,64.6,63.74,64.34,0.224
2014-03-07,64.88,65.17,63.99,64.51,0.193
2014-03-10,64.51,64.79,63.71,64.44,0.134
2014-03-11,64.33,64.33,61.84,62.71,0.287
2014-03-12,62.54,63.77,61.67,63.54,0.164
2014-03-13,63.97,64.42,62.0,62.83,0.167
2014-03-14,62.44,63.7,62.01,62.22,0.214
2014-03-17,62.77,63.77,62.6,63.44,0.151
2014-03-18,63.33,64.14,62.51,62.95,0.218
2014-03-19,62.97,63.51,61.1,62.32,0.211
2014-03-20,62.16,63.58,61.66,62.92,0.128
2014-03-21,63.24,63.68,61.79,62.17,0.278
2014-03-24,62.35,62.79,61.34,62.17,0.176
2014-03-25,62.45,63.08,61.25,61.63,0.143
2014-03-26,61.91,61.91,59.57,59.57,0.208
2014-03-27,59.7,60.05,58.12,58.72,0.166
2014-03-28,58.7,59.95,57.86,57.99,0.195
2014-03-31,58.5,59.54,57.78,59.22,0.32
2014-04-01,59.46,59.92,58.25,59.65,0.219
2014-04-02,59.61,60.24,58.81,59.3,0.16
2014-04-03,58.91,58.99,56.59,56.89,0.202
2014-04-04,57.19,57.19,54.34,55.04,0.616
2014-04-07,54.81,55.64,54.09,54.26,0.374
2014-04-08,54.32,54.97,53.67,54.48,0.303
2014-04-09,54.55,55.43,54.03,55.0,0.191
2014-04-10,54.95,55.34,53.84,54.45,0.228
2014-04-11,54.06,54.24,53.05,53.08,0.226
2014-04-14,53.74,54.34,53.11,53.74,0.199
2014-04-15,53.79,54.67,53.21,54.22,0.221
2014-04-16,54.73,55.41,54.26,55.13,0.158
2014-04-17,55.03,56.2,54.8,55.59,0.165
2014-04-21,55.76,56.37,55.52,55.99,0.13
2014-04-22,56.07,56.98,55.53,56.64,0.182
2014-04-23,56.51,58.69,54.96,55.02,0.314
2014-04-24,55.13,55.89,54.71,54.99,0.257
2014-04-25,55.0,55.38,54.72,54.75,0.378
2014-04-28,54.8,55.4,53.1,53.69,0.405
2014-04-29,54.0,54.64,53.24,53.28,0.314
2014-04-30,53.4,54.36,53.16,53.83,0.33
2014-05-01,53.91,54.67,53.46,54.64,0.353
2014-05-02,54.89,55.41,54.2,54.55,0.186
2014-05-05,54.15,55.28,53.51,54.73,0.186
2014-05-06,54.12,54.79,53.79,54.3,0.275
2014-05-07,54.3,54.95,53.79,54.47,0.253
2014-05-08,54.19,55.15,53.97,54.41,0.238
2014-05-09,54.12,54.68,53.88,54.48,0.152
2014-05-12,54.81,56.05,54.03,55.58,0.206
2014-05-13,55.5,55.97,54.37,54.66,0.259
2014-05-14,54.39,54.88,53.0,53.11,0.246
