Date,Open,High,Low,Close,Volume
2014-01-02,99.54,100.18,98.74,99.54,0.393
2014-01-03,99.45,100.57,99.12,99.38,0.156
2014-01-06,100.22,100.22,98.63,98.7,0.285
2014-01-07,99.34,100.79,98.93,100.79,0.461
2014-01-08,100.95,103.52,100.3,103.43,0.936
2014-01-09,103.38,105.17,102.08,105.01,0.722
2014-01-10,105.15,105.86,104.98,105.84,0.504
2014-01-13,106.0,106.82,104.75,105.25,0.779
2014-01-14,105.5,107.24,104.39,106.88,0.55
2014-01-15,107.11,109.06,106.75,108.06,0.635
2014-01-16,107.92,109.24,107.92,108.59,0.418
2014-01-17,108.75,108.94,107.8,108.15,0.456
2014-01-21,108.67,109.57,108.2,109.47,0.487
2014-01-22,109.66,109.74,108.39,108.42,0.399
2014-01-23,107.8,110.31,107.8,109.17,0.536
2014-01-24,109.39,115.0,102.26,104.32,2.851
2014-01-27,104.03,104.78,101.92,102.78,1.158
2014-01-28,104.98,109.68,104.05,106.75,4.498
2014-01-29,109.71,109.71,104.81,108.0,1.113
2014-01-30,108.99,109.11,106.12,107.77,1.066
2014-01-31,105.85,110.22,105.83,109.01,1.273
2014-02-03,108.4,109.0,104.05,104.42,1.263
2014-02-04,105.39,107.3,104.5,106.13,0.979
2014-02-05,104.96,107.14,104.76,106.42,0.535
2014-02-06,106.68,113.24,106.68,112.56,1.703
2014-02-07,112.94,113.21,111.39,112.54,0.79
2014-02-10,112.45,116.07,112.1,113.79,1.236
2014-02-11,113.8,115.14,113.34,114.85,0.678
2014-02-12,115.0,116.47,114.91,115.61,0.671
2014-02-13,114.58,116.67,114.35,115.9,0.513
2014-02-14,115.67,118.5,115.26,118.48,0.68
2014-02-18,119.09,120.03,117.44,118.53,0.574
2014-02-19,118.42,120.58,115.71,115.93,0.575
2014-02-20,116.63,117.18,115.68,116.89,0.511
2014-02-21,117.15,118.06,116.7,117.28,0.281
2014-02-24,117.34,118.1,116.71,116.71,0.411
2014-02-25,117.03,118.74,116.23,118.16,0.406
2014-02-26,119.71,123.0,118.37,121.51,0.785
2014-02-27,119.64,122.89,119.64,122.63,0.448
2014-02-28,122.51,123.69,121.23,121.98,0.633
2014-03-03,120.65,122.28,120.5,122.0,0.422
2014-03-04,123.16,124.01,120.67,121.95,1.086
2014-03-05,121.47,121.99,120.56,121.04,0.62
2014-03-06,121.39,121.96,120.63,120.9,0.565
2014-03-07,121.37,123.98,120.3,123.92,0.686
2014-03-10,123.13,123.43,121.65,122.95,0.484
2014-03-11,122.66,123.92,121.73,122.25,0.343
2014-03-12,121.4,123.19,121.25,123.09,0.424
2014-03-13,123.78,123.78,120.71,121.45,0.291
2014-03-14,121.45,123.15,120.76,122.3,0.27
2014-03-17,123.12,123.99,122.67,123.07,0.26
2014-03-18,123.76,126.42,123.01,126.34,0.638
2014-03-19,127.11,127.76,126.1,126.72,0.712
2014-03-20,126.05,127.31,125.72,126.98,0.517
2014-03-21,128.17,128.59,125.41,126.49,0.948
2014-03-24,127.32,127.32,122.87,123.63,0.622
2014-03-25,124.63,126.83,124.33,126.77,0.511
2014-03-26,127.36,127.99,125.18,125.43,0.572
2014-03-27,125.05,126.34,123.72,125.63,0.356
2014-03-28,126.11,128.81,126.11,126.95,0.586
2014-03-31,127.81,128.95,127.42,128.35,0.602
2014-04-01,128.76,129.48,127.27,128.1,0.76
2014-04-02,128.08,128.4,126.11,126.89,0.934
2014-04-03,127.52,128.99,124.68,124.7,1.415
2014-04-04,124.77,130.0,124.77,127.7,1.645
2014-04-07,126.98,127.88,120.28,122.05,1.428
2014-04-08,122.23,123.89,121.26,122.93,1.413
2014-04-09,123.27,127.11,123.08,126.5,1.515
2014-04-10,126.8,128.65,125.56,126.81,2.139
2014-04-11,125.25,126.9,123.76,124.41,0.602
2014-04-14,125.21,126.8,124.06,125.05,0.573
2014-04-15,125.05,126.04,123.1,124.98,0.64
2014-04-16,125.84,126.7,124.89,126.34,0.444
2014-04-17,126.34,126.45,125.32,125.55,0.556
2014-04-21,125.88,127.18,125.07,126.74,0.913
2014-04-22,126.26,128.44,126.23,128.03,0.716
2014-04-23,127.95,127.95,126.01,126.83,0.403
2014-04-24,128.11,128.11,124.59,126.64,0.454
2014-04-25,126.15,126.15,122.89,123.64,0.433
2014-04-28,123.06,123.64,115.49,116.89,1.804
2014-04-29,118.95,124.48,115.65,124.37,1.197
2014-04-30,123.99,125.5,122.34,124.33,0.792
2014-05-01,124.13,129.14,124.13,125.51,0.608
2014-05-02,125.55,127.85,125.52,126.25,0.748
2014-05-05,124.92,126.11,123.68,125.78,0.74
2014-05-06,125.21,127.05,123.99,124.09,0.607
2014-05-07,124.22,124.95,121.56,122.43,0.642
2014-05-08,122.31,123.73,119.65,119.93,0.762
2014-05-09,119.53,120.0,117.6,118.91,0.643
2014-05-12,119.87,123.46,119.02,122.48,0.462
2014-05-13,121.99,123.22,120.41,120.52,0.328
2014-05-14,120.36,120.77,118.88,118.96,0.302
2014-05-15,118.93,118.93,115.56,118.02,0.544
2014-05-16,118.34,120.28,117.78,119.33,0.331
2014-05-19,118.67,120.81,118.47,119.57,0.436
2014-05-20,118.97,119.72,115.92,117.52,0.488
2014-05-21,118.0,119.57,117.61,118.66,0.569
2014-05-22,118.86,121.19,118.29,121.0,0.401
2014-05-23,120.77,123.84,120.49,123.72,0.401
2014-05-27,123.93,125.2,123.9,124.27,0.28
2014-05-28,124.91,125.95,123.59,123.64,0.311
2014-05-29,125.32,125.32,121.9,123.58,0.345
2014-05-30,123.77,123.85,121.66,122.8,0.401
2014-06-02,122.77,124.25,121.74,122.68,0.368
2014-06-03,122.0,122.64,120.64,121.37,0.398
2014-06-04,120.9,122.72,120.44,122.64,0.418
2014-06-05,122.84,127.94,122.49,126.9,0.693
2014-06-06,127.66,129.03,126.63,128.68,0.348
2014-06-09,128.34,129.55,127.35,127.97,0.301
2014-06-10,127.96,130.81,127.54,130.67,0.378
2014-06-11,129.95,131.0,128.57,129.11,0.29
2014-06-12,129.32,130.12,127.91,128.06,0.379
2014-06-13,128.37,132.12,127.94,132.1,0.65
2014-06-16,131.33,133.44,130.38,130.99,0.441
2014-06-17,131.51,132.11,129.69,130.75,0.55
2014-06-18,131.01,134.8,130.32,134.11,0.749
2014-06-19,134.17,134.46,132.75,134.07,0.264
2014-06-20,133.98,134.96,132.74,134.91,0.654
2014-06-23,135.97,136.36,133.5,133.81,0.603
2014-06-24,133.04,133.57,131.0,131.39,0.673
2014-06-25,131.42,131.9,130.63,130.93,0.449
2014-06-26,131.31,131.44,129.31,130.13,0.369
2014-06-27,129.44,132.6,129.44,132.23,0.76
2014-06-30,134.0,134.0,130.04,132.05,4.976
2014-07-01,133.3,134.64,132.0,132.0,18.482
2014-07-02,130.0,130.0,126.3,127.06,2.403
2014-07-03,127.85,128.86,126.43,126.67,1.104
2014-07-07,125.7,126.42,124.44,125.2,1.463
2014-07-08,124.77,127.35,124.62,126.42,1.436
2014-07-09,126.59,127.8,125.72,127.77,1.415
2014-07-10,127.34,129.6,126.9,129.3,1.27
2014-07-11,131.34,131.34,127.75,129.12,0.906
2014-07-14,129.41,129.67,128.32,129.52,0.609
2014-07-15,129.38,130.11,129.25,129.52,0.663
2014-07-16,130.0,130.0,128.56,129.74,0.86
2014-07-17,128.74,129.86,127.89,128.17,0.574
2014-07-18,128.14,131.63,127.59,130.52,1.164
