Date,Open,High,Low,Close,Volume
2014-01-02,48.01,48.15,47.61,47.72,1.383
2014-01-03,47.7,48.06,47.61,47.85,1.598
2014-01-06,48.06,48.13,47.52,47.6,1.255
2014-01-07,47.62,48.07,47.62,47.94,1.547
2014-01-08,47.83,48.18,47.67,48.15,1.938
2014-01-09,48.22,48.58,48.2,48.55,1.479
2014-01-10,48.55,48.71,47.84,48.19,1.698
2014-01-13,47.46,48.17,47.3,47.39,2.587
2014-01-14,47.48,48.19,47.4,48.17,1.8
2014-01-15,48.26,48.34,48.06,48.33,2.05
2014-01-16,48.3,48.57,48.22,48.54,1.518
2014-01-17,48.58,48.73,48.41,48.5,1.624
2014-01-21,48.63,48.83,48.1,48.52,2.495
2014-01-22,48.71,48.75,48.33,48.64,2.277
2014-01-23,48.19,48.46,47.58,47.71,1.867
2014-01-24,47.33,47.55,46.37,46.37,2.708
2014-01-27,46.04,46.23,45.67,45.67,3.316
2014-01-28,45.89,46.18,45.69,45.92,2.588
2014-01-29,45.62,46.09,45.46,45.71,1.924
2014-01-30,46.11,46.41,45.79,46.31,2.717
2014-01-31,45.64,46.13,45.45,45.71,3.318
2014-02-03,45.72,45.75,44.47,44.53,2.321
2014-02-04,44.88,44.88,44.36,44.57,2.741
2014-02-05,44.54,44.7,44.29,44.56,3.327
2014-02-06,44.72,44.86,44.25,44.4,4.096
2014-02-07,44.71,45.9,44.63,45.88,3.971
2014-02-10,45.81,45.91,45.39,45.88,2.181
2014-02-11,45.81,46.88,45.42,46.72,2.017
2014-02-12,46.7,47.06,46.56,46.86,2.227
2014-02-13,46.41,47.33,46.41,47.29,1.365
2014-02-14,47.3,47.69,47.27,47.67,1.731
2014-02-18,47.41,47.98,47.3,47.8,2.028
2014-02-19,47.68,48.11,47.54,47.57,1.917
2014-02-20,47.61,48.15,47.58,48.1,2.041
2014-02-21,48.13,48.19,47.81,47.96,1.977
2014-02-24,47.99,48.48,47.84,48.07,2.177
2014-02-25,48.02,48.15,47.74,47.82,1.504
2014-02-26,47.85,48.0,47.56,47.59,2.029
2014-02-27,47.51,48.11,47.5,48.01,2.53
2014-02-28,47.86,48.48,47.81,48.16,2.613
2014-03-03,47.3,47.95,47.02,47.67,2.138
2014-03-04,48.09,48.97,48.07,48.89,2.346
2014-03-05,48.7,49.0,48.69,48.92,2.696
2014-03-06,49.0,49.35,48.86,49.28,2.26
2014-03-07,49.52,49.7,49.32,49.56,2.028
2014-03-10,49.54,49.89,49.45,49.8,2.468
2014-03-11,49.83,50.12,49.48,49.6,2.128
2014-03-12,49.32,49.51,49.08,49.27,2.77
2014-03-13,49.39,49.47,49.01,49.32,3.877
2014-03-14,49.3,49.67,49.06,49.11,3.346
2014-03-17,49.47,50.16,49.39,49.98,2.057
2014-03-18,50.14,50.33,49.99,50.14,2.101
2014-03-19,50.04,50.14,49.34,49.58,2.483
2014-03-20,49.46,49.83,49.29,49.73,2.052
2014-03-21,50.12,50.48,49.94,49.96,2.794
2014-03-24,50.12,50.29,49.1,49.22,2.755
2014-03-25,49.51,49.54,49.11,49.28,1.499
2014-03-26,49.55,49.61,48.95,48.95,1.624
2014-03-27,48.97,49.11,48.54,48.62,2.382
2014-03-28,48.26,49.16,48.19,48.59,1.386
2014-03-31,48.94,49.32,48.91,49.3,2.318
2014-04-01,50.45,50.45,49.35,49.5,1.568
2014-04-02,49.51,49.99,49.47,49.79,1.86
