Date,Open,High,Low,Close,Volume
2014-01-02,138.05,139.0,137.61,138.13,3.052
2014-01-03,138.37,138.88,138.03,138.45,2.133
2014-01-06,138.75,139.29,137.48,137.63,2.712
2014-01-07,137.45,138.2,137.13,137.65,2.526
2014-01-08,137.48,137.75,136.34,136.63,3.123
2014-01-09,137.02,137.43,136.2,136.45,2.54
2014-01-10,136.95,137.19,135.68,136.18,3.254
2014-01-13,135.81,137.06,134.57,134.68,2.633
2014-01-14,135.11,137.41,134.74,137.41,2.48
2014-01-15,137.77,138.82,137.56,138.44,3.026
2014-01-16,137.74,138.5,137.63,138.16,1.793
2014-01-17,137.98,138.75,136.98,137.31,2.328
2014-01-21,138.45,138.95,136.3,136.99,2.706
2014-01-22,137.35,137.49,136.33,136.48,2.119
2014-01-23,135.64,135.66,133.95,134.71,2.72
2014-01-24,133.73,133.73,130.22,130.22,3.776
2014-01-27,130.02,130.59,128.66,128.96,3.313
2014-01-28,129.43,130.01,129.1,129.81,2.734
2014-01-29,130.1,131.27,129.0,130.25,3.584
2014-01-30,129.96,129.96,126.53,128.05,4.103
2014-01-31,126.6,129.2,126.42,128.19,3.715
2014-02-03,128.22,128.59,123.61,123.9,4.245
2014-02-04,126.09,127.64,124.12,126.72,7.412
2014-02-05,128.01,128.76,125.92,127.36,4.96
2014-02-06,127.6,129.2,127.1,128.9,3.828
2014-02-07,129.57,130.39,128.81,130.33,3.263
2014-02-10,129.65,130.41,129.02,129.7,3.317
2014-02-11,129.7,131.49,129.65,130.98,2.604
2014-02-12,130.34,131.0,130.01,130.44,2.101
2014-02-13,129.29,130.38,128.66,130.14,2.851
2014-02-14,129.77,132.19,129.5,132.12,3.03
2014-02-18,132.31,132.75,131.64,131.8,2.876
2014-02-19,131.33,132.71,130.46,130.56,2.719
2014-02-20,130.65,132.03,130.05,131.56,2.156
2014-02-21,131.56,132.33,131.3,131.57,2.574
2014-02-24,131.89,133.46,131.44,132.2,2.454
2014-02-25,132.27,133.43,131.86,132.93,2.863
2014-02-26,133.13,133.46,132.28,132.86,2.771
2014-02-27,132.63,134.58,132.0,134.34,3.124
2014-02-28,134.19,135.2,133.92,134.73,3.179
2014-03-03,133.07,133.81,131.67,132.21,2.814
2014-03-04,131.92,133.08,131.58,132.68,6.976
2014-03-05,132.66,134.03,132.19,133.85,3.551
2014-03-06,134.37,134.74,134.02,134.08,2.237
2014-03-07,134.88,135.0,133.71,134.11,2.381
2014-03-10,133.98,134.08,133.1,133.56,1.966
2014-03-11,133.73,133.84,132.23,132.51,1.929
2014-03-12,132.07,132.76,131.59,132.57,2.637
2014-03-13,133.19,133.67,130.64,130.81,2.521
2014-03-14,130.08,131.11,129.7,129.83,2.975
2014-03-17,130.66,132.69,130.66,132.27,2.529
2014-03-18,132.49,133.23,132.25,132.74,2.033
2014-03-19,132.75,132.85,130.58,131.23,2.141
2014-03-20,131.15,132.85,130.86,132.43,2.578
2014-03-21,133.58,134.24,132.9,133.12,5.92
2014-03-24,133.32,133.7,131.88,132.42,2.794
2014-03-25,133.66,134.53,132.9,134.06,2.898
2014-03-26,134.66,134.89,133.09,133.09,2.319
2014-03-27,132.82,133.49,132.18,132.84,2.402
2014-03-28,133.58,134.97,133.18,134.2,1.906
2014-03-31,134.61,135.87,134.58,135.66,2.712
2014-04-01,135.88,136.65,135.67,136.53,2.371
2014-04-02,135.99,136.25,135.33,136.0,3.281
2014-04-03,136.22,137.19,135.7,136.14,2.676
2014-04-04,136.9,137.77,135.77,135.86,2.735
2014-04-07,135.81,136.25,134.39,134.4,2.808
2014-04-08,134.44,135.15,133.43,134.84,2.894
2014-04-09,135.0,135.87,134.5,135.84,2.672
2014-04-10,135.73,136.43,133.9,133.97,2.857
2014-04-11,133.37,133.84,132.39,132.39,2.368
2014-04-14,133.45,133.52,132.02,133.15,2.058
2014-04-15,133.27,134.35,132.02,134.09,2.119
2014-04-16,135.17,136.78,134.81,136.77,2.135
2014-04-17,137.3,138.25,137.25,137.73,2.646
2014-04-21,137.25,138.71,137.18,138.62,1.781
2014-04-22,138.5,139.52,138.13,138.89,2.252
2014-04-23,138.81,138.89,137.89,137.99,2.848
2014-04-24,136.38,136.99,135.0,136.65,2.848
2014-04-25,136.5,136.96,135.69,136.56,2.093
2014-04-28,137.43,138.35,135.97,137.23,2.244
2014-04-29,137.87,137.9,136.56,137.55,1.821
2014-04-30,137.63,139.2,137.33,139.09,2.904
2014-05-01,139.5,141.49,139.12,140.81,3.997
2014-05-02,141.63,141.83,139.87,140.12,5.758
2014-05-05,139.14,141.05,138.65,140.61,2.711
2014-05-06,140.28,140.43,139.17,139.29,2.3
2014-05-07,139.98,141.25,139.18,141.14,2.238
2014-05-08,140.88,142.12,140.51,140.83,1.939
2014-05-09,140.56,141.37,140.25,141.34,2.093
2014-05-12,141.78,142.94,141.71,142.82,2.972
2014-05-13,143.0,143.37,142.32,142.43,1.695
2014-05-14,142.48,142.77,141.41,141.6,2.113
2014-05-15,141.56,141.74,140.02,140.98,2.388
2014-05-16,140.93,141.2,139.91,141.13,1.902
2014-05-19,140.07,142.0,139.98,141.67,1.529
2014-05-20,141.6,141.9,139.89,140.23,1.845
2014-05-21,139.77,140.79,139.77,140.66,1.641
2014-05-22,140.71,140.96,140.26,140.31,1.55
2014-05-23,140.23,141.18,140.05,141.14,1.209
2014-05-27,141.5,141.6,141.13,141.44,1.512
2014-05-28,141.81,141.9,141.06,141.43,1.566
2014-05-29,141.5,142.43,141.19,142.39,1.624
2014-05-30,142.11,142.67,141.78,142.55,3.908
2014-06-02,142.27,142.91,141.69,142.32,1.682
2014-06-03,142.08,143.13,141.61,142.89,2.062
2014-06-04,142.91,143.0,142.26,142.26,1.336
2014-06-05,142.76,143.74,141.9,143.71,1.542
2014-06-06,143.99,144.64,143.53,144.64,1.769
2014-06-09,144.64,145.53,144.61,145.32,1.801
2014-06-10,144.97,145.21,144.46,144.97,1.7
2014-06-11,144.66,144.97,144.19,144.41,1.49
2014-06-12,144.95,144.95,142.78,143.07,1.839
2014-06-13,143.19,143.75,142.83,143.36,1.376
2014-06-16,142.93,143.53,142.6,143.32,1.274
2014-06-17,143.01,143.99,142.64,143.69,1.209
2014-06-18,143.93,144.39,142.77,144.33,1.341
2014-06-19,144.53,144.72,143.99,144.49,1.56
2014-06-20,144.54,145.3,144.2,145.16,4.205
2014-06-23,145.1,145.3,144.01,144.09,1.39
2014-06-24,143.71,144.62,143.05,143.09,1.404
2014-06-25,143.0,144.38,142.88,143.65,1.322
2014-06-26,143.75,143.99,142.56,143.73,1.491
2014-06-27,143.17,144.07,143.06,143.69,1.982
2014-06-30,143.92,143.93,143.06,143.24,1.878
2014-07-01,143.41,144.82,143.38,144.56,1.768
2014-07-02,144.23,145.3,143.56,145.23,1.621
2014-07-03,145.25,145.73,145.0,145.41,1.142
2014-07-07,145.48,145.58,144.5,144.91,1.258
2014-07-08,145.22,145.4,144.48,144.56,1.597
2014-07-09,144.78,145.04,144.03,144.68,1.522
2014-07-10,143.5,144.2,143.24,143.89,2.07
2014-07-11,144.14,144.49,143.54,144.31,1.908
2014-07-14,144.99,145.71,144.75,145.0,2.115
2014-07-15,145.0,145.48,144.36,145.06,1.956
2014-07-16,145.28,146.25,145.03,146.17,1.969
2014-07-17,145.33,145.67,143.45,143.54,2.776
2014-07-18,143.83,145.06,143.54,144.83,2.133
2014-07-21,144.66,144.87,143.65,144.3,1.521
2014-07-22,144.89,145.67,144.89,145.12,1.608
2014-07-23,145.34,145.45,144.53,144.68,1.849
2014-07-24,145.51,146.43,144.47,145.13,2.58
2014-07-25,145.66,145.94,144.59,145.12,1.602
2014-07-28,144.92,145.63,143.78,145.53,2.002
2014-07-29,145.22,146.27,143.99,144.02,2.287
2014-07-30,144.26,144.78,143.52,143.74,2.458
2014-07-31,143.33,143.55,140.6,140.89,3.571
2014-08-01,140.15,141.04,139.08,140.11,2.506
2014-08-04,140.15,140.98,139.21,140.75,2.494
2014-08-05,140.62,141.12,139.34,139.78,2.168
2014-08-06,139.14,139.94,138.43,139.55,2.679
2014-08-07,140.05,140.37,138.96,139.13,1.892
2014-08-08,139.3,140.89,138.89,140.85,2.703
2014-08-11,140.93,141.5,140.54,140.58,1.919
2014-08-12,140.62,141.21,140.43,140.88,2.176
2014-08-13,141.35,141.83,140.92,141.8,3.104
2014-08-14,142.0,142.39,141.85,142.34,1.587
2014-08-15,142.81,142.98,141.02,141.92,1.961
2014-08-18,142.75,144.19,142.59,144.12,1.853
2014-08-19,144.47,145.01,143.81,144.25,1.592
2014-08-20,143.86,144.82,143.5,144.6,2.299
2014-08-21,144.78,144.99,144.35,144.5,1.476
2014-08-22,144.5,144.83,144.02,144.13,1.548
2014-08-25,144.66,144.99,144.42,144.7,1.013
2014-08-26,145.0,145.39,144.57,144.6,1.808
2014-08-27,144.43,144.86,143.63,143.94,1.402
2014-08-28,143.32,144.12,143.02,143.98,1.314
2014-08-29,144.06,144.39,143.18,144.0,1.538
2014-09-02,143.3,144.61,143.3,144.22,1.579
2014-09-03,144.47,144.72,143.55,143.82,1.534
2014-09-04,144.21,144.65,143.35,143.61,1.55
2014-09-05,143.64,144.32,143.15,144.2,1.989
2014-09-08,144.41,145.45,144.11,144.89,2.446
2014-09-09,144.7,145.26,144.25,144.46,1.745
2014-09-10,144.63,144.99,144.0,144.64,1.559
2014-09-11,143.99,144.38,143.6,144.35,1.465
2014-09-12,144.45,144.45,143.5,143.94,2.135
2014-09-15,144.17,144.69,143.66,144.48,1.868
2014-09-16,143.8,144.99,143.59,144.85,1.945
2014-09-17,144.92,145.79,144.27,145.37,2.757
2014-09-18,145.7,147.06,145.69,146.84,2.365
2014-09-19,147.42,147.87,146.52,146.69,8.106
2014-09-22,146.92,147.0,145.5,145.71,2.231
2014-09-23,145.23,145.6,144.35,144.37,2.05
2014-09-24,144.17,145.12,143.72,144.88,2.608
2014-09-25,144.41,144.46,142.07,142.48,2.764
2014-09-26,142.52,142.89,140.98,142.42,3.558
2014-09-29,140.94,142.34,140.66,142.19,2.848
2014-09-30,142.5,142.9,141.28,141.68,2.675
2014-10-01,141.16,141.67,138.72,139.18,2.926
2014-10-02,138.57,139.32,137.95,138.67,3.221
2014-10-03,139.33,140.45,138.57,140.17,3.514
2014-10-06,140.55,141.28,139.59,140.34,2.465
2014-10-07,138.82,140.18,137.66,137.68,3.145
2014-10-08,138.25,141.48,137.72,141.41,4.136
2014-10-09,141.15,141.5,138.33,138.64,3.768
2014-10-10,139.33,139.6,133.82,133.83,7.366
2014-10-13,134.26,135.35,131.01,132.9,4.583
2014-10-14,133.65,135.94,133.21,134.18,3.644
2014-10-15,132.56,134.64,130.6,134.22,4.795
2014-10-16,133.42,135.97,132.75,135.05,3.497
2014-10-17,135.75,137.85,135.75,137.4,3.746
2014-10-20,137.15,137.75,136.76,137.6,2.782
2014-10-21,138.4,141.1,138.34,140.93,3.078
2014-10-22,140.9,141.09,138.7,138.95,4.294
2014-10-23,141.92,147.92,141.92,145.05,7.424
2014-10-24,145.0,148.79,144.81,148.59,4.481
2014-10-27,148.09,149.71,147.34,149.56,2.84
2014-10-28,149.83,151.13,149.56,151.06,2.359
2014-10-29,151.39,151.73,150.2,151.01,2.061
2014-10-30,150.49,152.4,150.0,152.1,1.836
2014-10-31,153.83,154.44,153.09,153.77,3.016
2014-11-03,153.14,154.39,152.98,153.3,2.368
2014-11-04,153.92,155.23,153.24,155.05,3.129
2014-11-05,155.68,156.24,154.14,155.69,2.77
2014-11-06,155.69,156.68,155.21,156.05,2.067
2014-11-07,156.15,156.62,155.48,156.55,1.883
