Date,Open,High,Low,Close,Volume
2014-01-02,11.31,11.33,11.11,11.13,9.181
2014-01-03,11.38,11.38,11.21,11.25,9.709
2014-01-06,11.24,11.29,11.07,11.08,13.118
2014-01-07,11.21,11.44,11.19,11.29,11.219
2014-01-08,11.36,11.59,11.35,11.4,15.685
2014-01-09,11.44,11.46,11.18,11.26,8.236
2014-01-10,11.27,11.73,11.22,11.64,19.736
2014-01-13,11.74,11.75,11.52,11.62,16.213
2014-01-14,11.64,11.64,11.46,11.54,7.801
2014-01-15,11.52,11.56,11.38,11.52,5.227
2014-01-16,11.56,11.64,11.49,11.59,3.86
2014-01-17,11.45,11.58,11.45,11.52,5.018
2014-01-21,11.59,11.72,11.54,11.63,7.51
2014-01-22,11.63,11.69,11.57,11.65,4.761
2014-01-23,11.55,11.62,11.4,11.51,5.485
2014-01-24,11.45,11.45,11.16,11.26,6.771
2014-01-27,11.29,11.35,11.19,11.29,9.028
2014-01-28,11.31,11.54,11.26,11.49,9.422
2014-01-29,11.43,11.44,11.27,11.3,7.229
2014-01-30,11.35,11.53,11.32,11.44,7.294
2014-01-31,11.16,11.41,11.05,11.32,7.919
2014-02-03,11.35,11.4,11.07,11.16,10.997
2014-02-04,11.21,11.27,11.09,11.23,8.44
2014-02-05,11.15,11.23,11.09,11.11,10.925
2014-02-06,11.16,11.41,11.1,11.34,9.532
2014-02-07,11.35,11.57,11.16,11.41,9.872
2014-02-10,11.3,11.8,11.19,11.78,8.363
2014-02-11,11.82,12.21,11.81,12.16,15.079
2014-02-12,12.22,12.22,11.93,11.97,10.946
2014-02-13,11.88,11.92,11.72,11.89,8.887
2014-02-14,11.83,11.98,11.8,11.93,5.589
2014-02-18,12.0,12.04,11.84,12.0,6.724
2014-02-19,11.97,12.2,11.91,12.19,7.809
2014-02-20,12.2,12.51,12.2,12.45,11.912
2014-02-21,12.53,12.57,12.38,12.47,10.288
2014-02-24,12.5,12.6,12.41,12.42,11.507
2014-02-25,12.26,12.29,11.86,11.9,15.132
2014-02-26,11.93,11.98,11.82,11.83,8.216
2014-02-27,12.01,12.01,11.78,11.86,12.623
2014-02-28,12.45,12.58,12.13,12.33,25.474
2014-03-03,12.22,12.32,12.03,12.1,12.388
2014-03-04,12.14,12.43,12.14,12.41,14.382
2014-03-05,12.36,12.37,12.22,12.24,7.624
