Date,Open,High,Low,Close,Volume
2014-01-02,38.27,38.38,37.78,37.9,6.325
2014-01-03,37.97,38.11,37.65,37.72,5.361
2014-01-06,37.77,37.82,37.19,37.28,10.718
2014-01-07,37.46,37.7,37.26,37.28,7.043
2014-01-08,37.27,37.42,36.96,37.13,13.397
2014-01-09,37.14,37.38,37.06,37.25,5.976
2014-01-10,37.6,37.65,37.15,37.26,7.15
2014-01-13,37.25,37.3,37.0,37.09,9.797
2014-01-14,37.12,37.25,36.76,36.98,9.231
2014-01-15,36.91,37.06,36.77,36.9,6.057
2014-01-16,36.84,37.33,36.82,37.3,6.286
2014-01-17,37.29,37.33,36.91,37.03,8.391
2014-01-21,37.19,37.37,37.0,37.37,10.032
2014-01-22,37.4,37.63,37.28,37.5,5.495
2014-01-23,37.36,37.41,36.95,37.37,8.266
2014-01-24,37.15,37.48,37.03,37.3,13.594
2014-01-27,37.32,37.32,36.7,36.83,10.823
2014-01-28,36.88,36.88,36.57,36.85,8.115
2014-01-29,36.68,36.69,36.16,36.43,14.367
2014-01-30,36.24,36.24,35.16,35.35,18.66
2014-01-31,35.0,35.53,34.33,35.22,15.457
2014-02-03,35.17,35.18,34.08,34.11,16.108
2014-02-04,34.3,34.58,34.15,34.43,9.864
2014-02-05,34.15,34.33,33.8,34.0,15.803
2014-02-06,34.1,34.74,34.05,34.71,18.469
2014-02-07,34.92,35.34,34.78,35.3,11.611
2014-02-10,35.41,35.5,35.05,35.19,7.508
2014-02-11,35.1,35.25,34.78,35.14,9.589
2014-02-12,35.25,35.26,34.81,34.93,10.044
2014-02-13,34.75,35.28,34.74,35.28,8.232
2014-02-14,35.18,35.62,35.05,35.57,6.584
2014-02-18,35.55,35.7,35.37,35.46,5.701
2014-02-19,35.4,35.5,35.1,35.16,6.337
2014-02-20,35.18,35.62,35.11,35.53,5.979
2014-02-21,35.55,35.58,35.27,35.37,7.104
2014-02-24,35.34,35.7,35.28,35.38,6.287
2014-02-25,35.39,35.87,35.38,35.57,7.845
2014-02-26,35.63,35.8,35.4,35.44,5.787
2014-02-27,35.49,35.94,35.48,35.87,5.596
2014-02-28,35.97,36.41,35.97,36.26,8.773
2014-03-03,36.07,36.9,36.0,36.45,12.824
2014-03-04,36.87,37.33,36.82,37.07,11.932
2014-03-05,37.05,37.3,36.85,36.95,7.816
2014-03-06,37.03,37.03,36.63,36.89,10.801
2014-03-07,37.0,37.03,36.58,36.81,6.629
2014-03-10,36.81,36.93,36.67,36.86,5.163
2014-03-11,37.0,37.15,36.66,36.76,7.792
2014-03-12,36.23,36.25,35.98,36.14,7.221
2014-03-13,36.28,36.38,35.91,35.97,7.924
2014-03-14,35.86,36.56,35.86,36.34,7.843
2014-03-17,36.45,36.6,36.25,36.38,5.416
2014-03-18,36.37,36.67,36.25,36.59,4.94
2014-03-19,36.59,36.71,35.86,36.02,7.322
2014-03-20,35.94,36.38,35.84,36.35,6.575
2014-03-21,36.54,36.91,36.4,36.45,11.002
2014-03-24,36.55,36.73,36.44,36.69,7.089
2014-03-25,36.83,37.0,36.7,36.91,6.761
2014-03-26,36.95,37.35,36.91,37.25,10.929
2014-03-27,37.17,37.44,37.07,37.23,8.328
2014-03-28,37.31,37.36,36.97,37.12,5.252
2014-03-31,37.25,37.49,37.14,37.43,5.336
2014-04-01,37.45,37.59,37.13,37.39,5.613
2014-04-02,37.42,37.64,37.28,37.58,7.72
2014-04-03,37.7,37.75,37.42,37.59,4.668
2014-04-04,37.75,37.9,37.51,37.57,6.234
2014-04-07,37.57,37.97,37.57,37.65,8.816
2014-04-08,37.6,38.12,37.55,37.89,8.756
2014-04-09,37.87,38.18,37.82,38.14,7.739
2014-04-10,38.27,38.56,37.77,37.82,12.592
2014-04-11,37.71,38.19,37.56,37.65,8.73
2014-04-14,37.88,38.26,37.74,38.25,6.864
2014-04-15,38.25,38.34,38.05,38.21,7.912
2014-04-16,38.36,38.56,38.23,38.36,6.616
2014-04-17,38.23,38.46,37.94,38.45,8.498
2014-04-21,38.36,38.46,37.88,38.42,4.582
2014-04-22,38.38,38.66,38.27,38.64,8.907
2014-04-23,38.54,38.59,38.15,38.31,9.972
2014-04-24,38.34,38.8,38.07,38.4,8.668
2014-04-25,38.4,39.11,38.2,39.11,8.561
2014-04-28,39.22,40.15,39.22,39.93,13.563
2014-04-29,40.02,40.24,39.88,40.12,8.536
2014-04-30,39.65,40.16,39.6,40.11,10.221
2014-05-01,40.16,40.34,39.8,39.83,11.871
2014-05-02,39.75,40.07,39.73,39.97,7.622
2014-05-05,39.81,39.98,39.6,39.89,5.746
2014-05-06,39.85,39.92,39.73,39.76,4.302
2014-05-07,39.94,40.18,39.87,40.06,7.257
2014-05-08,40.1,40.2,39.97,40.11,6.997
2014-05-09,40.02,40.24,39.99,40.2,4.93
2014-05-12,40.43,40.57,40.23,40.37,5.029
2014-05-13,40.44,40.64,40.3,40.61,9.944
2014-05-14,40.55,40.57,40.23,40.33,6.106
2014-05-15,40.17,40.3,39.97,40.05,7.215
2014-05-16,40.07,40.69,40.01,40.69,8.204
2014-05-19,40.29,40.44,40.0,40.21,10.647
2014-05-20,40.18,40.28,39.96,40.03,5.96
2014-05-21,40.1,40.77,40.01,40.64,7.953
2014-05-22,40.59,40.99,40.43,40.68,8.388
2014-05-23,40.71,40.83,40.58,40.68,4.294
2014-05-27,40.75,40.85,40.63,40.77,4.079
2014-05-28,40.8,40.89,40.66,40.77,3.866
2014-05-29,40.84,41.37,40.77,41.31,5.591
2014-05-30,41.19,41.62,41.1,41.56,7.32
2014-06-02,41.63,41.64,41.25,41.25,4.502
2014-06-03,41.2,41.36,41.15,41.24,4.386
2014-06-04,41.2,41.32,41.1,41.23,3.35
2014-06-05,41.23,41.48,41.15,41.29,4.116
2014-06-06,41.29,41.44,41.26,41.39,3.964
2014-06-09,41.32,41.64,41.28,41.61,5.174
2014-06-10,41.54,42.39,41.48,42.35,11.194
2014-06-11,42.22,42.71,42.16,42.59,12.157
2014-06-12,42.05,42.19,41.23,41.28,8.391
2014-06-13,41.34,41.62,41.19,41.45,5.47
2014-06-16,41.44,41.97,41.26,41.81,5.134
2014-06-17,41.69,41.8,41.52,41.68,4.496
2014-06-18,41.69,42.37,41.52,42.35,8.34
2014-06-19,42.42,43.15,42.38,43.07,10.498
2014-06-20,43.23,43.38,42.95,43.12,12.357
2014-06-23,43.01,43.02,42.5,42.69,5.75
2014-06-24,42.5,42.5,42.04,42.35,8.292
2014-06-25,42.14,42.2,41.9,42.03,6.984
2014-06-26,41.98,42.0,41.52,41.9,7.161
2014-06-27,41.79,41.86,41.13,41.82,12.78
2014-06-30,41.76,42.28,41.56,41.94,9.323
2014-07-01,41.87,42.0,41.52,41.83,5.198
2014-07-02,41.85,41.97,41.72,41.87,3.579
2014-07-03,42.02,42.58,41.99,42.39,5.82
2014-07-07,42.25,42.78,42.25,42.62,5.212
2014-07-08,42.65,42.81,42.51,42.71,5.145
2014-07-09,42.85,43.05,42.72,42.8,5.904
2014-07-10,42.61,42.95,42.61,42.95,7.555
2014-07-11,43.53,43.6,43.02,43.43,9.916
2014-07-14,43.61,43.7,43.26,43.35,8.341
2014-07-15,43.0,43.08,41.75,41.76,18.024
2014-07-16,42.08,42.36,41.7,41.82,7.922
2014-07-17,41.71,41.98,41.55,41.58,6.507
2014-07-18,41.79,42.26,41.6,42.17,6.8
2014-07-21,41.54,42.05,41.45,42.01,8.637
2014-07-22,41.78,42.25,41.15,41.93,8.836
2014-07-23,41.99,42.0,41.65,41.72,6.524
2014-07-24,41.87,42.15,41.79,42.04,6.824
2014-07-25,41.88,42.02,41.52,41.74,4.83
2014-07-28,41.73,41.86,41.37,41.65,4.502
2014-07-29,41.59,41.82,41.47,41.54,8.604
2014-07-30,41.83,41.89,41.06,41.12,7.224
2014-07-31,40.93,41.04,40.59,40.6,7.194
2014-08-01,40.37,40.8,40.26,40.5,6.193
2014-08-04,40.47,40.83,40.4,40.73,6.302
2014-08-05,40.72,40.96,40.41,40.57,4.396
2014-08-06,40.47,41.55,40.47,41.43,7.964
2014-08-07,41.44,41.52,40.91,41.15,7.828
2014-08-08,41.2,41.66,41.13,41.63,4.408
2014-08-11,41.82,42.31,41.64,42.01,6.135
2014-08-12,41.9,42.01,41.72,41.96,3.844
2014-08-13,42.08,42.28,41.89,42.07,3.725
2014-08-14,42.11,42.26,42.01,42.26,2.977
2014-08-15,42.39,42.47,41.93,42.2,4.737
2014-08-18,42.3,42.59,42.3,42.5,3.987
2014-08-19,42.6,42.71,42.3,42.7,4.321
2014-08-20,42.71,42.72,42.32,42.46,4.539
2014-08-21,42.47,42.68,42.34,42.58,4.83
2014-08-22,42.59,42.7,42.43,42.59,3.797
2014-08-25,42.74,42.93,42.66,42.77,3.279
2014-08-26,42.91,42.98,42.71,42.86,4.468
2014-08-27,42.8,42.86,42.58,42.82,3.489
2014-08-28,42.7,43.0,42.64,42.91,3.196
2014-08-29,43.0,43.12,42.93,43.08,3.645
2014-09-02,43.16,43.68,43.05,43.19,4.573
2014-09-03,43.39,43.46,43.11,43.22,3.497
2014-09-04,43.22,43.48,43.05,43.14,4.583
2014-09-05,43.13,43.41,43.08,43.39,4.95
2014-09-08,43.38,43.6,43.36,43.49,6.455
2014-09-09,43.61,43.66,43.46,43.65,8.571
2014-09-10,43.7,44.05,43.49,43.86,8.282
2014-09-11,43.33,43.47,42.92,43.19,6.329
2014-09-12,43.19,43.3,42.96,43.16,7.313
2014-09-15,43.6,44.5,43.37,44.27,11.428
2014-09-16,44.07,44.5,44.03,44.36,6.637
2014-09-17,44.39,44.8,44.17,44.61,6.738
2014-09-18,44.8,44.8,44.46,44.74,4.925
