Date,Open,High,Low,Close,Volume
2014-01-02,35.0,36.59,34.89,36.15,1.154
2014-01-03,36.17,36.91,35.78,36.61,0.979
2014-01-06,36.68,36.68,35.91,36.22,0.624
2014-01-07,36.26,37.24,36.2,36.97,0.576
2014-01-08,36.8,37.46,36.66,37.42,0.594
2014-01-09,37.48,38.07,37.36,37.68,0.804
2014-01-10,37.7,37.74,36.8,37.23,0.64
2014-01-13,37.26,37.57,36.85,37.25,0.507
2014-01-14,37.06,37.91,36.9,37.79,1.211
2014-01-15,37.82,38.37,37.63,38.17,0.683
2014-01-16,37.97,39.21,37.56,38.06,0.846
2014-01-17,37.97,38.72,37.53,37.63,0.444
2014-01-21,37.98,38.0,37.51,37.99,0.345
2014-01-22,37.97,37.98,37.12,37.4,0.625
2014-01-23,37.34,37.62,37.21,37.47,0.643
2014-01-24,37.32,37.34,36.45,36.7,0.384
2014-01-27,36.68,36.68,35.89,36.45,0.534
2014-01-28,36.46,36.76,35.95,35.98,0.412
2014-01-29,35.56,36.36,35.34,35.79,0.382
2014-01-30,36.1,36.78,35.86,36.41,0.288
2014-01-31,35.77,36.4,35.75,36.0,0.341
2014-02-03,35.98,36.08,34.98,35.43,0.472
2014-02-04,35.52,35.52,34.94,35.48,0.35
2014-02-05,36.11,37.12,35.88,36.11,0.976
2014-02-06,36.14,36.28,35.68,36.16,0.437
2014-02-07,36.17,36.49,35.91,36.13,0.482
2014-02-10,36.1,36.11,35.51,35.84,0.649
2014-02-11,35.27,35.27,33.29,33.81,2.303
2014-02-12,33.71,33.74,32.41,32.73,1.527
2014-02-13,33.13,35.37,33.13,35.36,1.682
2014-02-14,35.14,36.34,34.93,36.15,0.807
2014-02-18,36.15,36.58,35.74,36.24,0.669
2014-02-19,36.25,36.93,35.97,36.22,0.518
2014-02-20,36.24,37.25,36.02,36.6,0.532
2014-02-21,36.6,36.85,36.38,36.57,0.41
2014-02-24,36.59,37.44,36.59,37.4,0.396
2014-02-25,37.33,37.33,36.59,36.82,0.349
2014-02-26,36.83,37.93,36.53,37.45,0.515
2014-02-27,37.49,37.66,37.15,37.39,0.28
2014-02-28,37.5,38.12,37.5,37.68,0.32
2014-03-03,37.42,37.59,36.78,37.41,0.331
2014-03-04,37.6,38.01,37.5,37.7,0.434
2014-03-05,37.72,37.88,37.5,37.65,0.249
2014-03-06,37.67,37.85,37.23,37.27,0.249
2014-03-07,37.37,37.84,37.12,37.6,0.403
2014-03-10,37.57,37.97,37.5,37.7,0.627
2014-03-11,37.75,37.94,36.96,37.27,0.495
2014-03-12,37.03,37.46,37.03,37.14,0.306
2014-03-13,37.34,37.34,36.33,36.4,0.326
