Date,Open,High,Low,Close,Volume
2014-01-02,47.25,47.65,46.96,47.0,1.649
2014-01-03,47.13,47.21,46.79,46.83,1.69
2014-01-06,47.1,47.18,46.47,46.58,2.204
2014-01-07,46.62,46.68,46.0,46.35,2.49
2014-01-08,46.36,47.59,46.36,46.94,4.079
2014-01-09,47.28,47.31,46.03,46.13,3.353
2014-01-10,46.25,46.74,45.9,46.55,2.904
2014-01-13,46.51,46.81,46.11,46.15,1.506
2014-01-14,46.26,48.17,46.24,48.03,5.179
2014-01-15,48.85,49.67,48.59,49.31,8.27
2014-01-16,49.32,49.6,49.05,49.32,3.574
2014-01-17,49.23,49.27,48.34,48.54,4.044
2014-01-21,48.64,48.78,48.05,48.32,2.581
2014-01-22,47.27,47.81,46.8,47.77,4.19
2014-01-23,47.32,47.53,46.51,47.02,3.882
2014-01-24,46.74,46.8,45.19,45.38,4.919
2014-01-27,45.13,45.35,44.48,44.7,3.98
2014-01-28,44.75,45.31,44.52,45.15,2.182
2014-01-29,44.85,45.61,44.48,44.68,3.605
2014-01-30,44.65,44.99,43.58,44.93,5.196
2014-01-31,44.17,45.02,44.1,44.66,4.096
2014-02-03,44.83,45.64,44.54,44.65,4.349
2014-02-04,44.72,45.43,44.69,45.12,3.414
2014-02-05,45.06,45.13,44.31,44.86,3.462
2014-02-06,45.41,46.32,45.3,46.21,4.44
2014-02-07,46.74,46.86,46.14,46.45,4.221
2014-02-10,46.41,47.16,46.27,46.82,4.072
2014-02-11,47.8,48.35,47.4,47.96,4.442
2014-02-12,47.97,48.85,47.8,47.98,4.377
2014-02-13,47.85,48.22,47.43,47.63,3.254
2014-02-14,47.55,47.98,47.31,47.78,2.057
2014-02-18,47.97,48.23,47.52,47.91,2.312
2014-02-19,47.85,48.33,47.37,47.45,2.932
2014-02-20,47.63,48.43,47.61,48.37,2.514
2014-02-21,48.36,48.99,47.98,48.03,4.086
2014-02-24,48.07,48.88,48.0,48.0,2.762
2014-02-25,48.08,48.37,47.84,48.01,2.159
2014-02-26,48.07,48.37,47.75,48.13,1.762
2014-02-27,48.12,48.53,47.77,48.38,2.726
2014-02-28,48.46,49.15,48.02,48.86,3.291
2014-03-03,48.49,49.41,48.15,48.98,3.792
2014-03-04,49.1,49.24,48.69,48.97,4.223
2014-03-05,48.99,50.25,48.62,49.85,4.443
2014-03-06,50.11,50.63,49.92,50.0,5.509
2014-03-07,49.91,50.17,49.48,49.73,3.37
2014-03-10,49.71,49.94,49.06,49.89,2.513
2014-03-11,49.94,49.94,48.46,48.81,3.598
2014-03-12,48.5,48.76,48.17,48.29,2.911
2014-03-13,48.5,48.68,47.38,47.66,3.087
2014-03-14,47.63,48.37,47.5,47.9,2.794
2014-03-17,48.25,48.49,47.93,48.02,2.16
2014-03-18,47.97,48.72,47.97,48.54,2.246
2014-03-19,48.44,49.09,48.44,48.93,3.209
2014-03-20,48.75,49.04,48.49,49.04,2.314
2014-03-21,49.75,49.75,48.49,48.65,4.408
2014-03-24,48.65,48.87,48.19,48.43,2.284
2014-03-25,48.65,49.16,48.64,48.69,2.024
2014-03-26,48.95,49.46,48.52,48.52,2.673
2014-03-27,48.39,48.99,48.13,48.7,1.87
2014-03-28,48.92,49.49,48.8,49.17,1.755
2014-03-31,49.37,50.07,49.05,50.0,3.416
2014-04-01,49.96,50.41,49.03,49.8,3.574
2014-04-02,49.6,49.77,48.85,49.52,3.084
2014-04-03,49.51,49.65,49.13,49.42,1.809
2014-04-04,49.72,49.91,49.0,49.17,2.083
2014-04-07,49.1,49.16,47.99,48.28,2.732
2014-04-08,48.33,48.6,48.05,48.29,1.532
2014-04-09,48.24,48.76,48.11,48.48,1.342
2014-04-10,48.55,48.68,47.76,48.08,2.149
2014-04-11,47.85,47.86,47.09,47.2,2.195
2014-04-14,47.44,47.86,47.12,47.44,2.012
2014-04-15,47.82,48.46,47.63,48.37,2.575
2014-04-16,48.62,48.88,48.4,48.64,1.814
2014-04-17,48.6,48.95,48.48,48.72,1.917
2014-04-21,48.9,49.2,48.59,48.89,1.518
2014-04-22,49.0,49.3,48.84,49.04,1.322
2014-04-23,49.0,49.19,48.76,48.84,1.461
2014-04-24,49.07,49.12,48.37,48.79,1.378
2014-04-25,48.71,49.54,48.57,49.42,2.378
2014-04-28,49.6,50.0,49.27,49.74,3.073
2014-04-29,49.86,50.13,49.75,49.94,1.881
2014-04-30,49.98,50.25,49.81,50.04,2.02
2014-05-01,50.01,50.23,49.62,49.82,1.254
2014-05-02,49.86,50.2,49.8,49.93,2.039
2014-05-05,49.84,49.88,49.46,49.71,1.72
2014-05-06,48.78,49.0,48.1,48.66,3.731
2014-05-07,48.69,48.86,48.39,48.75,2.038
2014-05-08,48.51,49.1,48.43,48.6,1.61
2014-05-09,48.6,48.6,48.21,48.46,1.506
2014-05-12,48.56,48.95,48.51,48.72,1.66
2014-05-13,48.85,49.54,48.75,49.26,2.151
2014-05-14,49.43,50.42,49.29,50.0,4.976
2014-05-15,49.92,50.0,48.9,49.3,2.998
2014-05-16,49.32,49.5,48.8,49.31,1.899
2014-05-19,49.22,49.72,49.14,49.5,1.319
2014-05-20,49.34,49.96,49.34,49.68,2.656
2014-05-21,49.62,50.03,49.35,50.0,2.345
2014-05-22,49.69,50.03,49.39,49.48,2.955
2014-05-23,49.56,49.65,49.2,49.53,1.736
