Date,Open,High,Low,Close,Volume
2014-01-02,34.49,34.49,33.45,34.03,0.258
2014-01-03,34.07,34.51,33.82,34.27,0.295
2014-01-06,34.43,34.47,33.72,33.75,0.226
2014-01-07,33.97,34.08,33.57,33.89,0.207
2014-01-08,33.95,34.29,33.73,34.28,0.399
2014-01-09,34.31,34.31,33.62,33.71,0.157
2014-01-10,33.82,34.01,33.52,33.65,0.196
2014-01-13,33.5,33.7,32.95,33.07,0.278
2014-01-14,33.19,33.78,32.97,33.78,0.327
2014-01-15,33.77,34.36,33.77,34.11,0.261
2014-01-16,33.94,34.39,33.71,33.99,0.313
2014-01-17,33.82,34.44,33.77,34.39,0.199
2014-01-21,34.54,34.58,34.17,34.43,0.148
2014-01-22,34.45,34.75,34.21,34.62,0.203
2014-01-23,34.42,34.69,34.03,34.68,0.21
2014-01-24,34.52,34.55,33.35,33.63,0.208
2014-01-27,33.59,33.86,33.14,33.52,0.21
2014-01-28,33.45,33.6,33.04,33.41,0.178
2014-01-29,33.12,33.75,32.99,33.13,0.138
2014-01-30,33.43,33.91,33.07,33.45,0.153
2014-01-31,32.81,33.41,32.6,32.69,0.375
2014-02-03,32.66,32.87,32.04,32.38,0.316
2014-02-04,32.19,32.41,31.42,31.58,0.43
2014-02-05,31.48,31.48,30.79,31.36,0.274
2014-02-06,31.27,32.41,31.27,32.41,0.769
2014-02-07,33.0,34.93,32.01,33.99,0.5
2014-02-10,33.2,34.23,33.2,34.08,0.339
2014-02-11,34.22,34.94,34.1,34.35,0.321
2014-02-12,34.33,34.89,34.09,34.74,0.215
2014-02-13,34.54,35.29,34.54,35.18,0.387
2014-02-14,35.2,35.3,34.92,35.09,0.229
2014-02-18,35.04,35.3,34.86,35.03,0.221
2014-02-19,34.84,35.18,34.29,34.36,0.324
2014-02-20,34.36,35.07,34.09,34.96,0.154
2014-02-21,35.19,35.19,34.45,34.59,0.173
2014-02-24,34.73,35.97,34.73,35.75,0.505
2014-02-25,35.86,36.14,35.49,35.79,0.299
2014-02-26,35.86,36.89,35.86,36.41,0.376
2014-02-27,36.15,36.49,36.03,36.25,0.165
2014-02-28,36.29,36.72,35.71,35.84,0.268
2014-03-03,35.53,35.8,34.98,35.49,0.255
2014-03-04,35.95,37.41,35.95,37.08,0.462
2014-03-05,37.09,37.49,36.71,37.03,0.187
2014-03-06,37.24,37.27,36.68,36.98,0.326
2014-03-07,37.21,37.24,36.59,36.93,0.158
2014-03-10,36.92,37.17,36.37,36.8,0.216
2014-03-11,37.04,37.16,36.37,36.6,0.148
2014-03-12,36.69,37.28,36.65,37.0,0.251
2014-03-13,37.25,37.72,36.68,37.0,0.279
2014-03-14,37.06,38.38,37.06,37.83,0.426
2014-03-17,37.96,38.94,37.96,38.38,0.215
2014-03-18,38.45,38.93,37.95,38.86,0.356
2014-03-19,38.92,38.92,38.07,38.41,0.278
2014-03-20,38.23,39.16,38.21,38.57,0.302
2014-03-21,38.74,38.74,37.76,37.85,0.489
2014-03-24,37.85,38.11,36.56,37.19,0.481
2014-03-25,37.5,37.93,37.05,37.32,0.277
2014-03-26,37.72,37.85,36.98,37.26,0.356
2014-03-27,37.39,37.92,37.05,37.42,0.273
2014-03-28,37.5,38.09,37.01,37.12,0.197
2014-03-31,37.4,38.83,37.3,38.77,0.684
2014-04-01,38.97,39.8,38.87,39.78,0.333
2014-04-02,39.78,39.78,38.64,39.23,0.296
2014-04-03,39.13,39.69,38.79,39.25,0.25
2014-04-04,39.61,39.64,36.45,37.57,0.531
2014-04-07,37.37,37.94,36.27,36.71,0.376
2014-04-08,36.62,37.52,36.37,37.17,0.472
2014-04-09,37.38,37.71,37.08,37.52,0.174
2014-04-10,37.55,37.77,36.28,36.32,0.26
2014-04-11,35.97,36.63,35.11,35.14,0.408
2014-04-14,35.58,36.21,35.18,35.62,0.299
2014-04-15,35.77,36.22,34.97,35.71,0.245
2014-04-16,35.98,36.0,35.07,35.93,0.178
2014-04-17,35.79,36.61,35.52,36.33,0.275
2014-04-21,36.25,36.85,35.99,36.67,0.25
2014-04-22,36.75,37.34,36.13,37.09,0.376
2014-04-23,37.13,37.29,36.71,37.05,0.216
2014-04-24,37.31,38.19,36.84,38.09,0.664
2014-04-25,38.5,39.5,36.97,37.57,0.495
2014-04-28,37.81,38.5,35.7,37.01,0.716
2014-04-29,37.1,37.48,36.44,37.13,0.407
2014-04-30,36.99,37.4,36.39,37.1,0.532
2014-05-01,36.98,37.5,36.17,36.71,0.371
2014-05-02,36.65,37.26,36.39,36.71,0.376
2014-05-05,36.25,37.2,36.09,36.72,0.27
2014-05-06,36.41,37.13,36.38,36.47,0.358
2014-05-07,36.62,36.93,35.82,36.84,0.539
2014-05-08,36.43,37.72,36.31,36.52,0.314
2014-05-09,36.32,37.29,36.09,37.18,0.365
2014-05-12,37.32,39.16,37.1,38.85,0.381
2014-05-13,38.76,38.9,37.92,37.93,0.263
2014-05-14,38.29,38.42,37.07,37.36,0.338
2014-05-15,37.29,37.29,36.26,37.0,0.219
2014-05-16,36.92,37.57,36.36,37.56,0.354
2014-05-19,37.46,38.5,37.46,37.9,0.223
2014-05-20,37.86,38.27,37.04,37.66,0.422
2014-05-21,38.06,38.56,37.56,37.94,0.282
2014-05-22,37.95,38.7,37.7,38.37,0.175
2014-05-23,38.39,39.01,38.27,38.99,0.243
2014-05-27,39.48,39.93,39.1,39.76,0.331
2014-05-28,39.77,40.0,39.2,39.47,0.264
2014-05-29,39.69,40.0,39.25,39.48,0.212
2014-05-30,39.58,39.74,39.07,39.29,0.184
2014-06-02,39.54,39.58,38.77,39.05,0.229
2014-06-03,38.89,39.21,38.6,38.88,0.286
2014-06-04,38.56,39.37,38.51,39.18,0.23
2014-06-05,39.37,40.12,38.88,39.69,0.297
2014-06-06,39.99,40.87,39.72,40.19,0.233
2014-06-09,40.57,41.68,40.25,41.53,0.552
2014-06-10,41.44,41.86,41.13,41.76,0.398
2014-06-11,41.68,42.09,41.33,41.41,0.238
2014-06-12,41.24,42.09,40.6,41.36,0.56
2014-06-13,41.64,41.96,41.09,41.73,0.339
2014-06-16,41.78,42.0,41.44,41.92,0.307
2014-06-17,41.71,42.73,41.71,42.36,0.283
2014-06-18,42.27,42.37,41.81,42.34,0.136
2014-06-19,42.41,42.62,41.7,42.07,0.208
2014-06-20,42.02,42.43,41.84,42.21,0.444
2014-06-23,42.08,42.65,42.08,42.48,0.184
2014-06-24,42.29,42.86,41.52,41.55,0.271
2014-06-25,41.35,42.0,41.14,41.9,0.22
2014-06-26,41.81,41.85,41.12,41.62,0.116
2014-06-27,41.26,42.3,41.13,42.13,0.371
2014-06-30,41.9,42.8,41.9,42.35,0.406
2014-07-01,42.5,43.49,42.5,42.63,0.273
2014-07-02,42.55,43.02,42.22,42.48,0.18
2014-07-03,42.67,43.42,42.52,43.1,0.134
2014-07-07,43.13,43.13,42.15,42.18,0.15
2014-07-08,42.0,42.29,41.36,41.7,0.195
2014-07-09,41.62,42.4,41.5,42.1,0.224
2014-07-10,41.11,41.96,40.78,41.55,0.171
2014-07-11,41.38,41.9,41.25,41.5,0.097
2014-07-14,42.0,42.15,41.48,41.76,0.159
2014-07-15,41.86,42.07,40.81,41.36,0.234
2014-07-16,41.74,41.8,41.13,41.47,0.209
2014-07-17,41.09,41.64,40.73,40.88,0.145
2014-07-18,40.73,42.32,40.73,42.14,0.239
2014-07-21,42.02,42.47,41.77,42.25,0.189
2014-07-22,42.36,42.84,42.14,42.72,0.202
2014-07-23,43.07,43.07,40.69,40.77,0.369
2014-07-24,40.74,43.0,40.46,41.1,0.514
2014-07-25,44.33,44.77,41.58,41.71,1.086
2014-07-28,41.6,42.47,40.5,41.92,0.38
2014-07-29,41.83,43.07,41.54,42.31,0.439
2014-07-30,42.51,42.95,42.37,42.91,0.287
2014-07-31,42.34,42.51,41.09,41.24,0.453
2014-08-01,41.33,41.81,40.88,41.5,0.165
2014-08-04,41.41,41.72,40.71,41.54,0.413
2014-08-05,41.12,42.49,41.12,42.4,0.38
2014-08-06,41.85,42.79,41.85,42.36,0.3
2014-08-07,42.4,42.7,41.82,42.19,0.412
2014-08-08,42.04,42.8,41.87,42.39,0.244
2014-08-11,42.51,42.79,42.25,42.47,0.235
2014-08-12,42.41,43.31,42.14,43.28,0.319
2014-08-13,43.66,44.34,43.5,44.1,0.24
2014-08-14,44.3,44.3,43.58,43.7,0.14
2014-08-15,44.22,44.64,43.52,44.06,0.231
2014-08-18,44.47,44.58,43.95,44.49,0.221
2014-08-19,44.63,45.5,44.41,45.41,0.295
2014-08-20,45.33,46.61,45.07,46.02,0.492
2014-08-21,46.02,46.09,44.88,45.7,0.355
2014-08-22,45.5,46.55,45.14,46.3,0.281
2014-08-25,46.58,46.61,45.63,45.76,0.272
2014-08-26,46.0,47.75,46.0,46.94,0.609
2014-08-27,46.85,47.05,46.29,46.81,0.228
2014-08-28,46.54,46.98,46.3,46.76,0.162
2014-08-29,46.78,47.85,46.78,47.78,0.255
2014-09-02,47.8,48.24,47.34,47.68,0.484
2014-09-03,47.84,48.0,46.79,46.92,0.3
2014-09-04,47.13,47.63,46.73,46.91,0.226
2014-09-05,46.72,47.57,46.67,47.24,0.246
2014-09-08,46.99,47.74,46.81,47.01,0.157
2014-09-09,46.84,47.34,45.86,45.88,0.3
2014-09-10,45.96,46.21,45.16,45.72,0.341
2014-09-11,45.35,46.24,45.35,46.12,0.15
2014-09-12,46.26,46.26,45.48,46.08,0.267
2014-09-15,45.99,45.99,45.14,45.35,0.162
2014-09-16,45.17,46.07,45.0,45.81,0.36
2014-09-17,45.78,46.71,45.78,46.22,0.246
2014-09-18,46.26,47.65,46.26,47.26,0.246
2014-09-19,47.0,47.0,45.1,45.45,0.69
2014-09-22,45.26,45.52,44.52,44.56,0.261
2014-09-23,44.51,45.2,44.08,44.43,0.296
2014-09-24,44.42,45.28,44.41,44.87,0.181
2014-09-25,44.85,44.85,44.08,44.3,0.297
2014-09-26,44.32,44.77,44.32,44.65,0.189
2014-09-29,44.02,44.62,44.02,44.61,0.219
2014-09-30,44.54,44.76,44.05,44.05,0.389
2014-10-01,44.15,44.27,43.3,43.48,0.391
2014-10-02,43.36,44.2,43.23,44.1,0.249
2014-10-03,44.17,44.56,43.81,43.89,0.258
2014-10-06,44.11,44.27,43.65,44.06,0.259
2014-10-07,43.67,44.19,42.56,42.7,0.531
2014-10-08,42.51,43.64,41.69,43.59,0.465
2014-10-09,43.45,43.67,41.51,41.98,0.319
2014-10-10,40.0,40.0,35.62,35.62,1.269
2014-10-13,35.66,36.22,34.25,34.69,0.954
2014-10-14,34.92,36.15,34.39,34.47,0.611
2014-10-15,34.5,36.5,33.99,36.17,0.668
2014-10-16,35.58,38.33,35.29,38.02,0.863
2014-10-17,38.59,39.45,37.49,38.03,0.551
2014-10-20,37.89,38.91,37.76,38.3,0.485
2014-10-21,38.57,39.61,38.45,39.39,0.733
2014-10-22,39.63,39.9,39.13,39.21,0.446
2014-10-23,39.65,39.96,39.37,39.59,0.415
2014-10-24,39.7,40.63,39.23,40.47,0.419
2014-10-27,40.47,40.94,39.89,40.0,0.569
2014-10-28,45.55,46.0,41.37,42.51,0.955
2014-10-29,42.32,42.6,41.37,41.98,0.555
2014-10-30,41.73,42.22,40.81,42.17,0.462
2014-10-31,43.37,44.53,43.37,44.19,0.55
2014-11-03,44.48,45.37,43.8,44.1,0.271
2014-11-04,43.7,44.71,43.62,43.74,0.322
2014-11-05,43.81,44.48,43.58,44.41,0.237
2014-11-06,44.26,45.09,44.2,44.82,0.477
2014-11-07,44.67,44.88,43.86,44.69,0.321
2014-11-10,44.46,44.99,44.41,44.86,0.193
2014-11-11,44.78,45.0,44.37,44.89,0.165
2014-11-12,44.93,45.66,44.92,45.38,0.283
2014-11-13,45.31,45.65,44.6,44.87,0.189
2014-11-14,44.96,45.7,44.26,45.46,0.263
2014-11-17,45.24,45.72,44.68,44.98,0.302
2014-11-18,44.1,46.76,44.1,46.41,0.426
2014-11-19,46.41,46.41,45.51,45.86,0.263
2014-11-20,45.49,46.23,45.12,46.19,0.25
2014-11-21,46.92,47.0,46.19,46.63,0.268
2014-11-24,46.64,47.48,46.6,47.19,0.218
2014-11-25,47.2,47.55,46.68,47.11,0.212
2014-11-26,46.99,48.5,46.73,48.21,0.184
2014-11-28,48.31,48.49,47.73,48.13,0.158
2014-12-01,47.82,48.26,46.63,47.12,0.255
2014-12-02,47.22,48.17,46.75,48.11,0.2
2014-12-03,48.0,49.47,48.0,49.15,0.213
2014-12-04,49.54,49.65,48.52,49.16,0.283
2014-12-05,49.18,49.8,48.87,49.67,0.176
2014-12-08,49.41,50.0,47.98,48.5,0.212
2014-12-09,47.76,49.81,47.29,49.71,0.224
2014-12-10,49.47,49.9,48.75,49.0,0.247
2014-12-11,49.17,49.74,48.94,49.14,0.274
2014-12-12,48.49,49.2,48.04,48.56,0.14
2014-12-15,48.71,49.77,47.67,48.03,0.218
2014-12-16,48.0,48.34,46.95,47.46,0.251
2014-12-17,47.45,48.03,46.46,47.77,0.449
2014-12-18,48.76,49.37,48.22,48.81,0.167
2014-12-19,48.71,48.85,47.94,48.73,0.588
2014-12-22,48.67,49.69,48.39,49.5,0.218
2014-12-23,49.68,50.63,48.64,49.13,0.19
2014-12-24,50.07,50.43,48.84,50.0,0.119
2014-12-26,50.01,50.66,49.83,50.44,0.098
2014-12-29,50.26,50.62,49.8,50.06,0.163
2014-12-30,49.72,50.29,49.55,49.81,0.121
2014-12-31,49.87,50.36,49.4,49.74,0.234
2015-01-02,49.9,50.2,47.93,48.62,0.203
2015-01-05,48.18,48.82,47.47,47.67,0.204
2015-01-06,47.69,47.98,45.64,46.09,0.321
2015-01-07,46.48,47.44,46.18,46.76,0.209
2015-01-08,47.3,48.7,46.96,48.38,0.184
2015-01-09,48.51,48.72,47.48,48.09,0.173
2015-01-12,48.02,48.27,46.74,47.13,0.169
2015-01-13,47.6,48.43,46.31,46.94,0.211
2015-01-14,46.43,47.3,46.35,46.79,0.171
2015-01-15,46.85,47.31,45.45,45.8,0.236
2015-01-16,45.63,46.98,45.02,46.81,0.268
2015-01-20,46.89,47.5,46.03,46.65,0.259
2015-01-21,46.39,47.06,45.92,46.46,0.242
2015-01-22,46.65,47.14,45.48,47.01,0.279
2015-01-23,47.03,48.45,46.9,48.0,0.226
2015-01-26,47.82,48.48,47.53,47.84,0.215
2015-01-27,47.3,48.32,46.69,47.73,0.17
2015-01-28,48.18,49.12,47.77,47.84,0.299
2015-01-29,47.93,48.94,47.34,48.88,0.225
2015-01-30,48.57,49.44,47.47,47.49,0.235
2015-02-02,47.8,48.06,46.64,47.43,0.315
2015-02-03,47.21,48.83,47.21,48.53,0.312
2015-02-04,48.07,48.48,47.25,47.8,0.536
2015-02-05,49.71,50.3,45.76,47.53,0.658
2015-02-06,47.39,48.49,47.09,48.21,0.442
2015-02-09,47.56,47.95,46.92,47.37,0.286
2015-02-10,47.87,49.16,47.62,49.1,0.468
2015-02-11,49.1,50.08,49.1,49.51,0.71
2015-02-12,49.75,50.3,49.17,50.16,0.282
2015-02-13,50.41,50.82,49.79,50.32,0.244
2015-02-17,50.05,50.75,50.02,50.61,0.241
2015-02-18,50.21,50.52,49.84,50.45,0.152
2015-02-19,50.31,51.22,50.2,51.04,0.391
2015-02-20,50.93,52.29,50.61,51.99,0.464
2015-02-23,52.37,52.67,51.72,52.22,0.586
