Date,Open,High,Low,Close,Volume
2014-01-02,47.6,47.75,47.04,47.22,8.265
2014-01-03,47.22,47.71,47.19,47.45,6.744
2014-01-06,47.53,47.84,47.24,47.46,10.408
2014-01-07,47.67,48.09,47.65,47.81,10.476
2014-01-08,47.81,47.84,47.33,47.51,14.353
2014-01-09,47.54,47.71,47.08,47.25,9.771
2014-01-10,47.55,47.78,47.23,47.6,8.534
2014-01-13,48.57,50.99,48.46,50.69,39.081
2014-01-14,50.12,50.67,49.78,50.57,22.208
2014-01-15,50.24,50.48,49.95,50.11,10.991
2014-01-16,49.76,50.55,49.71,50.1,8.143
2014-01-17,50.21,50.24,49.35,49.57,17.563
2014-01-21,49.65,49.86,49.34,49.46,11.565
2014-01-22,49.4,49.6,48.93,49.0,11.165
2014-01-23,48.86,49.38,48.53,49.24,16.64
2014-01-24,48.92,49.78,48.79,49.6,19.138
2014-01-27,50.44,51.62,50.12,50.12,32.49
2014-01-28,49.97,50.66,49.83,50.45,15.802
2014-01-29,50.29,50.42,49.41,49.82,20.275
2014-01-30,50.06,51.21,49.98,51.06,18.206
2014-01-31,50.87,51.03,50.34,50.54,17.072
2014-02-03,50.49,50.72,49.54,49.69,16.232
2014-02-04,50.18,51.07,50.0,51.06,19.055
2014-02-05,51.79,52.67,50.71,51.08,25.683
2014-02-06,50.82,51.4,50.38,51.31,12.833
2014-02-07,51.19,52.31,50.99,52.26,15.193
2014-02-10,51.8,52.48,51.74,52.38,11.119
2014-02-11,52.2,53.2,51.95,53.15,16.09
2014-02-12,52.9,53.14,52.34,52.48,14.284
2014-02-13,51.96,52.68,51.92,52.58,10.735
2014-02-14,52.43,53.07,52.43,52.9,9.099
2014-02-18,52.69,53.37,52.6,53.14,11.739
2014-02-19,52.9,53.11,52.47,52.52,10.791
2014-02-20,52.59,53.44,52.51,53.25,10.619
2014-02-21,53.29,53.76,53.26,53.46,12.227
2014-02-24,53.31,54.31,53.31,53.61,11.541
2014-02-25,53.56,53.81,53.24,53.35,8.923
2014-02-26,53.44,53.86,53.36,53.69,10.626
2014-02-27,53.66,54.07,53.44,54.06,9.49
2014-02-28,54.13,54.83,54.06,54.38,12.457
2014-03-03,53.53,54.17,53.39,53.84,10.293
2014-03-04,54.43,54.76,54.3,54.45,11.524
2014-03-05,54.77,54.81,53.93,54.27,9.476
2014-03-06,54.45,55.01,54.4,54.64,11.115
2014-03-07,54.72,54.93,54.48,54.84,11.145
2014-03-10,54.81,54.98,54.39,54.69,7.738
2014-03-11,54.77,54.81,53.98,54.09,11.408
2014-03-12,53.81,54.32,53.68,54.21,9.954
2014-03-13,54.02,54.19,53.17,53.23,10.606
2014-03-14,52.99,53.45,52.74,53.15,12.699
2014-03-17,53.39,53.86,53.39,53.68,9.966
2014-03-18,53.73,53.97,53.59,53.78,7.41
2014-03-19,54.08,54.3,53.09,53.43,10.531
2014-03-20,53.27,53.32,52.78,53.04,8.867
2014-03-21,53.91,54.01,52.12,52.16,24.549
2014-03-24,52.35,52.35,51.12,51.32,16.245
2014-03-25,51.41,52.94,51.35,52.66,14.793
2014-03-26,52.89,53.87,52.85,53.45,13.701
2014-03-27,53.33,53.54,52.8,53.18,11.658
2014-03-28,53.64,54.35,53.22,53.42,9.39
2014-03-31,53.52,54.24,53.47,54.17,14.862
2014-04-01,54.06,54.24,53.44,53.79,8.086
2014-04-02,53.89,53.97,53.48,53.87,7.399
2014-04-03,53.94,54.15,53.39,53.64,8.712
2014-04-04,54.02,54.12,53.52,53.55,10.913
2014-04-07,52.83,53.59,52.51,52.66,11.975
2014-04-08,52.75,53.06,52.19,52.52,11.284
2014-04-09,52.69,54.53,52.67,54.48,16.882
2014-04-10,55.24,55.48,53.23,53.29,18.883
2014-04-11,53.01,54.01,52.77,53.36,14.286
2014-04-14,53.65,54.13,52.43,53.02,11.305
2014-04-15,53.23,53.73,52.59,53.48,11.678
2014-04-16,53.86,54.34,53.37,53.68,10.098
2014-04-17,53.86,54.39,53.69,53.88,11.804
