Date,Open,High,Low,Close,Volume
2014-01-02,35.25,35.33,34.72,34.91,3.676
2014-01-03,34.85,35.04,34.43,34.52,3.492
2014-01-06,34.62,34.78,34.4,34.43,4.318
2014-01-07,34.45,34.89,34.27,34.88,3.869
2014-01-08,34.72,34.75,34.08,34.4,5.51
2014-01-09,34.39,34.93,34.18,34.5,4.373
2014-01-10,34.54,34.68,34.27,34.64,5.967
2014-01-13,34.67,34.74,34.02,34.11,4.57
2014-01-14,34.19,34.6,34.0,34.56,5.982
2014-01-15,34.56,34.7,34.0,34.01,6.921
2014-01-16,34.01,34.3,33.98,34.17,3.725
2014-01-17,34.34,34.4,33.95,33.96,3.687
2014-01-21,34.33,34.4,33.92,34.28,3.847
2014-01-22,34.36,34.49,34.14,34.4,4.199
2014-01-23,34.06,34.36,33.65,33.71,4.604
2014-01-24,33.51,33.53,32.97,33.0,4.768
2014-01-27,33.0,33.16,32.65,32.92,3.429
2014-01-28,32.97,33.44,32.94,33.36,3.857
2014-01-29,33.16,33.39,32.93,33.04,4.636
2014-01-30,33.18,33.36,32.92,33.04,2.969
2014-01-31,32.68,32.88,32.4,32.79,6.707
2014-02-03,32.78,32.85,31.97,32.06,8.983
2014-02-04,32.23,32.41,31.88,32.34,10.933
2014-02-05,32.35,32.42,31.59,32.1,6.534
2014-02-06,31.68,32.95,31.57,31.81,9.408
2014-02-07,31.9,32.83,31.68,32.6,8.184
2014-02-10,32.49,32.49,32.05,32.27,5.863
2014-02-11,32.35,32.9,32.3,32.7,6.14
2014-02-12,32.95,33.35,32.85,33.29,5.202
2014-02-13,33.02,33.42,32.72,33.27,6.756
2014-02-14,33.03,33.43,32.87,33.22,6.096
2014-02-18,33.28,33.6,33.11,33.54,7.382
2014-02-19,33.38,34.05,33.3,33.34,6.137
2014-02-20,33.34,33.7,33.27,33.48,4.225
2014-02-21,33.58,33.58,33.24,33.26,7.255
2014-02-24,33.49,34.33,33.48,33.89,6.83
2014-02-25,33.93,34.17,33.75,34.03,5.386
2014-02-26,33.95,34.04,33.66,33.77,4.773
2014-02-27,33.23,33.8,33.05,33.32,6.22
2014-02-28,33.4,33.8,33.23,33.5,8.611
2014-03-03,33.38,33.97,33.25,33.54,5.81
2014-03-04,33.76,34.1,33.52,33.87,5.219
2014-03-05,33.89,34.0,33.54,33.61,4.804
2014-03-06,33.71,34.19,33.57,33.82,7.479
2014-03-07,34.04,34.32,33.9,34.24,5.257
2014-03-10,34.15,34.32,34.0,34.3,4.342
2014-03-11,34.34,34.4,33.63,33.93,4.648
2014-03-12,33.66,33.72,33.29,33.46,4.876
2014-03-13,33.55,33.61,32.76,32.87,6.292
2014-03-14,32.71,33.1,32.62,33.08,7.439
2014-03-17,33.08,33.38,32.97,33.18,3.528
2014-03-18,33.24,33.74,33.13,33.65,5.95
2014-03-19,33.67,33.81,33.19,33.29,5.181
2014-03-20,33.34,33.85,33.12,33.82,4.84
2014-03-21,34.07,34.57,33.9,34.39,9.344
2014-03-24,34.34,34.76,34.1,34.23,8.145
2014-03-25,34.32,34.62,34.16,34.57,4.766
2014-03-26,34.69,34.9,34.41,34.5,5.78
2014-03-27,34.5,34.83,34.36,34.49,5.559
2014-03-28,34.66,35.26,34.59,35.22,6.257
2014-03-31,35.34,35.64,35.28,35.52,6.898
2014-04-01,35.72,35.72,35.18,35.42,4.455
2014-04-02,35.33,35.63,35.28,35.38,4.944
2014-04-03,35.53,35.81,35.4,35.71,4.356
2014-04-04,35.9,35.99,35.44,35.59,5.55
2014-04-07,35.41,35.41,34.8,34.9,6.872
2014-04-08,34.91,35.34,34.79,35.27,8.045
2014-04-09,35.37,35.65,35.0,35.47,6.266
2014-04-10,35.51,35.67,35.26,35.4,5.292
2014-04-11,35.26,35.54,34.92,35.07,5.453
2014-04-14,35.41,35.64,35.19,35.54,6.407
2014-04-15,35.54,35.98,35.42,35.9,5.316
2014-04-16,36.1,36.47,35.92,36.47,6.611
2014-04-17,36.5,36.85,36.48,36.73,8.062
2014-04-21,36.81,36.93,36.38,36.57,5.732
2014-04-22,36.46,36.61,36.1,36.37,6.09
2014-04-23,36.39,36.72,36.36,36.47,8.145
2014-04-24,36.59,36.63,36.34,36.38,10.106
2014-04-25,36.38,36.46,35.96,36.08,6.56
2014-04-28,36.24,36.31,35.91,36.21,6.817
2014-04-29,36.47,36.99,36.47,36.9,7.798
2014-04-30,36.74,36.74,36.15,36.15,6.853
2014-05-01,36.23,36.37,35.98,36.32,6.837
2014-05-02,36.29,36.7,36.24,36.54,6.211
2014-05-05,36.46,36.7,36.26,36.45,5.214
2014-05-06,36.45,36.56,36.13,36.19,5.705
2014-05-07,36.25,36.34,35.36,35.52,11.844
2014-05-08,35.66,35.8,35.49,35.7,7.721
2014-05-09,35.73,35.95,35.54,35.91,7.18
2014-05-12,36.14,36.45,36.08,36.3,7.65
2014-05-13,36.5,36.61,36.31,36.48,6.559
2014-05-14,36.62,36.72,36.47,36.58,5.261
2014-05-15,36.53,36.53,35.92,36.22,5.648
2014-05-16,36.26,36.26,35.57,35.85,5.915
2014-05-19,35.55,35.93,35.55,35.63,4.872
2014-05-20,35.63,35.67,35.35,35.4,3.38
2014-05-21,35.53,36.03,35.53,35.95,5.478
2014-05-22,35.95,36.5,35.87,36.18,5.51
2014-05-23,36.19,36.39,36.09,36.28,5.206
2014-05-27,36.31,36.42,36.18,36.29,5.957
2014-05-28,36.41,36.77,36.32,36.55,5.858
2014-05-29,36.65,36.7,36.31,36.66,3.821
2014-05-30,36.63,36.78,36.44,36.66,5.43
2014-06-02,36.75,37.09,36.28,36.44,6.976
2014-06-03,36.41,36.88,36.28,36.81,8.083
2014-06-04,36.72,36.91,36.61,36.66,3.926
2014-06-05,36.66,37.1,36.51,37.07,6.835
2014-06-06,37.14,37.49,37.12,37.31,5.614
2014-06-09,37.4,37.9,37.35,37.84,5.247
2014-06-10,37.94,38.21,37.84,38.17,5.736
2014-06-11,38.12,38.54,37.92,38.48,6.419
2014-06-12,38.7,39.35,38.58,39.15,10.01
2014-06-13,39.11,39.14,38.6,39.08,8.456
2014-06-16,39.22,39.23,38.93,39.01,4.443
2014-06-17,38.87,38.9,38.58,38.88,4.357
2014-06-18,38.87,39.18,38.63,38.94,5.618
2014-06-19,38.98,39.3,38.84,39.3,5.661
2014-06-20,39.5,39.85,39.33,39.72,10.683
2014-06-23,39.81,40.22,39.74,40.16,5.481
2014-06-24,39.99,40.07,38.94,39.03,5.523
2014-06-25,38.99,39.82,38.99,39.71,9.328
2014-06-26,39.72,39.79,39.28,39.63,5.19
2014-06-27,39.5,39.66,39.2,39.44,7.592
2014-06-30,39.55,39.94,39.4,39.92,5.466
2014-07-01,40.05,40.29,39.74,39.76,7.025
2014-07-02,39.73,39.84,39.49,39.62,5.63
2014-07-03,39.87,40.33,39.83,40.32,3.335
2014-07-07,40.03,40.12,39.57,39.57,10.598
2014-07-08,39.57,39.73,39.24,39.44,6.112
2014-07-09,39.43,39.66,39.27,39.57,3.662
2014-07-10,39.21,39.66,39.02,39.39,5.852
2014-07-11,39.32,39.46,39.1,39.14,3.123
2014-07-14,39.43,39.81,39.37,39.69,3.466
2014-07-15,39.55,39.71,39.24,39.31,4.358
2014-07-16,39.64,40.27,39.64,40.27,6.068
2014-07-17,40.02,40.38,39.5,39.52,3.8
2014-07-18,39.63,39.94,39.5,39.8,3.914
2014-07-21,39.65,39.82,39.36,39.77,2.986
2014-07-22,39.85,40.27,39.82,40.2,4.6
2014-07-23,40.25,40.7,40.21,40.48,4.697
2014-07-24,40.42,40.74,40.39,40.71,4.735
2014-07-25,40.41,40.59,40.1,40.51,2.978
2014-07-28,40.45,40.54,40.07,40.23,4.175
2014-07-29,40.14,40.26,39.94,39.94,3.816
2014-07-30,40.27,40.4,39.49,39.66,4.196
2014-07-31,39.36,39.49,38.72,38.75,5.269
2014-08-01,38.7,38.97,38.04,38.61,6.149
2014-08-04,38.77,39.4,38.43,39.22,5.703
2014-08-05,39.66,40.05,38.19,38.46,6.897
2014-08-06,38.47,39.5,38.35,38.93,7.247
2014-08-07,38.41,38.75,37.9,38.09,7.312
2014-08-08,38.16,39.12,38.02,39.08,6.961
2014-08-11,39.23,39.48,39.01,39.11,3.969
2014-08-12,39.06,39.33,38.8,39.04,5.559
2014-08-13,39.14,39.45,38.96,39.15,3.86
2014-08-14,39.34,39.43,38.97,39.0,6.96
2014-08-15,39.1,39.24,38.87,39.02,10.38
2014-08-18,39.0,39.09,38.63,38.93,4.708
2014-08-19,39.04,39.75,38.93,39.73,5.257
2014-08-20,39.65,39.94,39.47,39.92,3.805
2014-08-21,40.0,40.29,39.78,40.29,4.276
2014-08-22,39.98,40.14,39.7,40.0,4.186
2014-08-25,40.08,40.42,39.93,40.37,3.155
2014-08-26,40.48,40.84,40.48,40.67,5.001
2014-08-27,40.68,40.98,40.51,40.89,4.596
2014-08-28,40.7,40.97,40.59,40.91,4.448
2014-08-29,40.9,41.74,40.87,41.69,7.047
2014-09-02,41.7,41.75,40.71,41.02,5.391
2014-09-03,41.34,41.92,41.27,41.28,6.811
2014-09-04,41.22,41.52,40.33,40.53,8.24
2014-09-05,40.62,40.92,40.31,40.91,3.921
2014-09-08,40.74,40.74,39.87,40.21,5.041
2014-09-09,40.39,40.59,39.82,40.06,4.968
2014-09-10,39.89,40.08,39.34,40.02,6.324
2014-09-11,39.63,40.17,39.45,40.02,4.484
2014-09-12,39.87,40.01,39.47,39.58,3.888
2014-09-15,39.5,40.02,39.25,39.83,3.217
2014-09-16,39.85,40.47,39.78,40.12,5.516
2014-09-17,40.31,40.65,40.12,40.33,4.852
2014-09-18,40.41,40.5,39.32,39.32,7.757
2014-09-19,39.48,39.83,39.15,39.23,6.923
2014-09-22,39.09,39.19,38.43,38.71,4.312
2014-09-23,38.66,38.9,38.32,38.41,4.04
2014-09-24,38.33,38.93,37.88,38.69,4.365
2014-09-25,38.72,38.72,38.12,38.13,3.902
2014-09-26,38.09,38.77,37.94,38.54,3.348
2014-09-29,38.07,38.72,37.91,38.6,3.938
2014-09-30,38.51,38.59,37.31,37.59,6.082
2014-10-01,37.59,38.04,36.96,37.13,5.984
2014-10-02,36.84,37.08,35.95,36.9,5.336
2014-10-03,36.96,37.0,36.32,36.65,4.385
2014-10-06,36.75,36.96,36.38,36.63,5.474
2014-10-07,36.42,36.63,35.84,35.84,4.464
