Date,Open,High,Low,Close,Volume
2014-01-02,43.63,43.64,43.09,43.15,0.46
2014-01-03,43.13,43.49,43.07,43.17,0.313
2014-01-06,43.31,43.44,43.02,43.1,0.483
2014-01-07,43.53,43.68,43.2,43.54,0.424
2014-01-08,43.61,43.75,43.31,43.47,0.47
2014-01-09,43.54,43.91,43.21,43.62,0.287
2014-01-10,43.61,43.97,43.4,43.78,0.306
2014-01-13,43.74,43.8,43.02,43.12,0.445
2014-01-14,43.19,43.77,42.87,43.66,0.275
2014-01-15,43.8,43.93,43.38,43.43,0.566
2014-01-16,43.21,44.02,43.21,44.0,0.344
2014-01-17,43.94,44.62,43.94,44.22,0.454
2014-01-21,44.59,44.71,44.21,44.61,0.305
2014-01-22,44.79,45.0,44.48,44.95,0.288
2014-01-23,44.76,44.91,44.56,44.9,0.381
2014-01-24,44.67,44.76,42.95,42.97,1.074
2014-01-27,42.99,43.2,42.06,42.22,0.407
2014-01-28,42.22,42.63,42.12,42.34,0.307
2014-01-29,41.9,42.23,41.45,41.5,0.641
2014-01-30,41.97,42.61,41.66,42.58,0.537
2014-01-31,42.13,43.18,41.77,42.72,0.592
2014-02-03,42.7,42.75,40.93,41.01,0.948
2014-02-04,41.21,41.78,40.67,41.72,0.657
2014-02-05,41.67,41.72,41.2,41.51,0.456
2014-02-06,41.85,42.32,40.35,40.74,1.426
2014-02-07,40.45,40.7,39.78,40.28,1.525
2014-02-10,40.28,40.84,40.0,40.68,0.795
2014-02-11,41.28,41.82,40.66,41.46,0.504
2014-02-12,41.46,42.45,41.41,42.26,0.635
2014-02-13,42.68,42.75,42.16,42.45,0.529
2014-02-14,42.34,42.81,42.21,42.74,0.35
2014-02-18,42.74,44.03,42.74,43.87,0.702
2014-02-19,43.68,44.29,43.47,43.49,0.75
2014-02-20,43.51,45.01,43.45,44.98,0.862
2014-02-21,45.12,45.12,44.51,44.53,0.433
2014-02-24,44.55,44.83,44.19,44.21,0.55
2014-02-25,44.05,44.23,43.7,43.85,0.359
2014-02-26,43.99,44.39,43.82,43.83,0.47
2014-02-27,43.75,44.09,43.58,43.72,0.489
2014-02-28,43.76,44.32,43.45,43.71,1.032
2014-03-03,43.37,44.79,43.13,44.18,0.825
2014-03-04,44.79,45.65,44.79,45.6,0.618
2014-03-05,45.52,45.52,44.86,45.14,0.461
2014-03-06,45.36,45.8,45.13,45.74,0.439
2014-03-07,45.93,46.02,45.41,45.75,0.535
2014-03-10,45.66,45.87,45.23,45.74,0.416
2014-03-11,45.75,46.27,45.61,45.99,0.627
2014-03-12,45.79,46.28,45.75,46.27,0.482
2014-03-13,46.3,46.4,45.23,45.27,0.437
2014-03-14,45.2,45.59,44.76,45.21,0.43
2014-03-17,45.53,45.97,45.49,45.62,0.341
2014-03-18,45.98,45.98,44.95,45.63,0.757
2014-03-19,45.52,45.8,44.97,45.26,0.478
2014-03-20,45.16,45.78,44.98,45.48,0.482
2014-03-21,45.58,45.69,44.88,45.32,1.765
2014-03-24,45.24,45.47,44.36,44.44,0.732
2014-03-25,43.17,43.7,42.67,42.72,0.942
2014-03-26,42.89,43.04,41.72,41.77,0.803
2014-03-27,41.72,42.17,41.22,41.87,0.871
2014-03-28,41.9,42.73,41.79,42.11,0.567
2014-03-31,42.42,43.08,42.26,43.02,0.794
2014-04-01,43.03,43.82,42.83,43.81,0.829
2014-04-02,43.95,44.02,43.31,43.8,0.516
2014-04-03,43.86,43.96,43.33,43.76,0.831
2014-04-04,43.98,44.1,42.8,43.07,0.474
2014-04-07,42.93,43.19,42.19,42.28,0.696
2014-04-08,42.28,42.85,42.01,42.64,0.546
2014-04-09,42.77,43.18,42.49,43.1,0.521
2014-04-10,43.04,43.15,41.66,42.07,0.556
2014-04-11,41.7,42.18,41.43,41.72,0.566
2014-04-14,41.99,42.31,41.29,41.55,0.586
2014-04-15,41.75,41.83,40.4,41.28,0.71
2014-04-16,41.71,42.16,41.37,42.12,0.976
2014-04-17,42.16,42.51,41.88,42.17,0.376
2014-04-21,42.09,42.51,41.8,42.39,0.468
2014-04-22,42.39,42.97,42.25,42.56,0.508
2014-04-23,42.54,42.72,42.18,42.28,1.009
2014-04-24,42.59,42.82,42.22,42.28,0.493
2014-04-25,42.01,42.52,41.54,41.69,0.578
2014-04-28,41.88,42.33,41.44,41.79,0.532
2014-04-29,41.97,42.11,41.64,41.71,0.71
2014-04-30,41.29,41.65,40.26,40.54,4.041
2014-05-01,40.5,41.95,40.41,40.99,0.905
2014-05-02,41.08,42.0,40.89,41.24,0.731
2014-05-05,41.0,41.32,40.5,41.19,0.632
2014-05-06,41.23,41.4,40.94,41.26,0.602
2014-05-07,41.33,42.27,41.09,42.14,0.866
2014-05-08,42.0,42.15,41.38,41.42,0.744
2014-05-09,41.35,41.85,41.22,41.54,1.444
2014-05-12,41.64,43.65,41.6,43.34,1.467
2014-05-13,43.34,43.6,42.69,42.7,0.517
2014-05-14,42.57,42.65,42.17,42.17,0.34
2014-05-15,42.1,42.4,41.29,42.13,0.601
2014-05-16,42.12,42.42,41.72,42.28,0.323
2014-05-19,42.25,42.75,42.24,42.56,0.23
2014-05-20,42.47,42.48,41.37,41.38,0.927
2014-05-21,41.5,42.07,41.33,42.06,0.897
2014-05-22,42.06,42.68,42.01,42.56,0.384
2014-05-23,42.64,43.07,42.51,42.95,0.422
2014-05-27,43.14,43.76,43.01,43.41,0.407
2014-05-28,43.39,43.63,43.06,43.32,0.519
2014-05-29,43.45,43.49,43.1,43.48,0.25
2014-05-30,43.47,43.47,42.84,43.16,0.436
2014-06-02,43.15,43.44,42.76,43.34,0.336
2014-06-03,43.29,43.36,42.82,43.35,0.488
2014-06-04,43.25,43.48,43.02,43.45,0.399
2014-06-05,43.57,43.96,43.23,43.9,0.289
2014-06-06,44.0,44.73,43.99,44.41,0.516
2014-06-09,44.4,44.93,44.25,44.82,0.198
2014-06-10,44.61,44.87,44.52,44.7,0.173
2014-06-11,44.4,44.97,44.21,44.9,0.292
2014-06-12,44.8,45.0,44.49,44.76,0.318
2014-06-13,44.89,44.98,44.56,44.84,0.186
2014-06-16,44.8,44.94,44.41,44.77,0.182
2014-06-17,44.65,45.66,44.62,45.47,0.501
2014-06-18,45.44,45.72,44.86,45.11,0.642
2014-06-19,45.21,45.62,44.55,44.92,0.456
2014-06-20,45.04,45.33,44.56,44.58,1.193
2014-06-23,44.64,44.92,44.34,44.86,0.475
2014-06-24,44.87,45.41,44.41,44.44,0.576
2014-06-25,44.39,44.9,44.37,44.59,0.346
2014-06-26,44.52,44.71,44.16,44.46,0.32
2014-06-27,44.46,45.26,44.46,45.2,0.758
2014-06-30,45.2,45.86,45.16,45.85,0.644
2014-07-01,46.0,46.79,45.74,46.55,0.905
2014-07-02,46.4,46.8,46.3,46.52,0.393
2014-07-03,46.81,47.42,46.76,47.34,0.401
2014-07-07,47.17,47.38,46.94,47.08,0.416
2014-07-08,46.91,47.21,46.19,46.47,0.496
2014-07-09,46.41,46.7,46.0,46.32,0.311
2014-07-10,45.68,46.25,45.56,45.93,0.321
