Date,Open,High,Low,Close,Volume
2014-01-02,116.38,116.4,114.86,115.06,1.069
2014-01-03,115.24,115.65,115.04,115.21,0.742
2014-01-06,115.49,116.3,114.81,114.85,0.878
2014-01-07,115.13,115.82,114.65,115.48,0.942
2014-01-08,115.47,116.13,115.34,115.8,2.241
2014-01-09,116.38,116.85,115.99,116.52,1.796
2014-01-10,116.38,116.46,115.66,116.0,0.837
2014-01-13,115.68,116.15,113.89,114.35,1.118
2014-01-14,114.01,115.0,113.85,114.8,0.834
2014-01-15,115.1,115.81,114.97,115.02,1.002
2014-01-16,114.94,115.28,113.79,114.67,1.091
2014-01-17,113.99,114.76,110.26,111.99,2.672
2014-01-21,110.33,112.57,110.0,111.77,2.491
2014-01-22,111.83,112.67,111.65,112.6,0.94
2014-01-23,112.11,112.38,111.31,111.85,1.291
2014-01-24,111.16,112.02,110.87,111.27,1.298
2014-01-27,111.16,112.23,110.61,110.66,1.886
2014-01-28,110.98,111.35,110.25,111.25,0.986
2014-01-29,110.43,112.67,110.28,111.69,1.452
2014-01-30,112.19,113.03,111.76,112.8,0.692
2014-01-31,111.24,112.28,111.23,111.51,0.84
2014-02-03,111.36,111.83,109.16,109.3,1.397
2014-02-04,110.1,111.07,109.46,110.84,1.261
2014-02-05,110.59,111.9,110.46,111.35,0.683
2014-02-06,111.5,112.49,111.35,112.42,0.567
2014-02-07,112.81,113.84,112.41,113.0,0.765
2014-02-10,112.86,113.35,112.19,112.94,0.537
2014-02-11,112.91,114.26,112.4,113.99,0.566
2014-02-12,113.88,114.79,112.87,113.19,0.942
2014-02-13,112.59,113.54,111.7,113.36,0.823
2014-02-14,113.44,114.13,113.44,114.06,0.344
2014-02-18,114.31,114.7,113.52,113.73,0.384
2014-02-19,113.92,114.24,112.13,112.24,0.942
2014-02-20,112.45,113.1,111.3,112.43,0.71
2014-02-21,112.39,113.75,112.23,113.51,0.77
2014-02-24,113.39,115.55,113.05,114.9,0.724
2014-02-25,114.69,115.04,113.99,114.49,0.751
2014-02-26,114.69,116.27,113.81,115.72,0.659
2014-02-27,115.01,115.68,113.99,115.68,0.792
2014-02-28,115.74,117.72,115.62,116.59,0.814
2014-03-03,115.45,115.96,114.77,115.68,0.532
2014-03-04,116.39,117.98,116.39,117.84,0.702
2014-03-05,117.65,117.74,116.92,117.36,0.687
2014-03-06,117.73,119.3,117.73,118.91,0.731
2014-03-07,119.94,120.66,118.71,119.38,0.969
2014-03-10,119.06,119.93,119.0,119.35,0.591
2014-03-11,119.38,119.5,117.33,118.19,0.901
2014-03-12,117.71,118.44,117.21,118.36,0.566
2014-03-13,118.86,119.0,116.88,117.3,0.701
2014-03-14,117.01,118.18,116.92,117.43,0.658
2014-03-17,117.85,118.29,117.12,117.71,0.576
2014-03-18,118.21,118.38,117.42,118.02,0.485
2014-03-19,118.04,119.35,117.41,118.27,0.762
2014-03-20,117.89,121.07,117.47,120.96,1.175
2014-03-21,121.84,123.04,120.86,121.13,1.404
2014-03-24,121.39,122.55,120.43,121.05,0.825
2014-03-25,121.47,121.76,120.42,121.17,0.628
2014-03-26,121.6,122.13,120.92,120.98,0.68
2014-03-27,120.77,121.3,119.44,119.56,1.053
2014-03-28,120.0,120.97,119.52,120.44,0.673
2014-03-31,120.98,121.49,120.58,121.3,0.681
2014-04-01,121.8,121.91,120.68,121.77,0.621
2014-04-02,121.96,121.96,120.92,121.24,0.6
2014-04-03,121.3,121.91,120.9,121.84,0.541
2014-04-04,122.04,122.86,120.49,120.55,0.566
2014-04-07,120.54,120.59,119.4,119.9,0.651
2014-04-08,119.86,121.26,119.27,120.97,1.26
2014-04-09,121.28,121.79,120.64,121.35,0.734
2014-04-10,121.33,121.49,118.44,118.46,1.124
2014-04-11,117.49,118.89,116.1,118.22,1.197
2014-04-14,119.4,122.2,119.07,120.85,1.296
2014-04-15,121.15,122.04,119.06,120.39,1.17
2014-04-16,120.82,121.83,120.64,121.64,0.796
2014-04-17,121.5,121.93,120.8,121.54,0.701
2014-04-21,121.54,122.18,120.8,121.17,0.548
2014-04-22,121.05,122.69,120.56,121.95,0.539
2014-04-23,121.93,123.06,121.39,122.99,0.65
2014-04-24,124.0,124.16,122.4,122.91,0.879
2014-04-25,122.91,122.91,121.72,122.24,0.603
2014-04-28,122.63,122.76,120.9,121.89,0.888
2014-04-29,122.21,123.0,121.46,121.61,0.521
2014-04-30,121.51,122.11,121.02,122.01,0.674
2014-05-01,122.23,122.43,121.18,121.49,0.557
2014-05-02,121.76,122.98,121.13,121.8,0.437
2014-05-05,121.31,121.59,120.72,121.45,0.559
2014-05-06,121.11,121.3,119.29,119.41,0.596
2014-05-07,119.89,120.97,119.53,120.91,0.674
2014-05-08,120.85,121.59,120.38,120.92,0.532
2014-05-09,120.88,121.44,119.87,121.37,0.754
2014-05-12,123.3,123.44,121.66,123.05,0.777
2014-05-13,123.0,123.0,121.82,121.97,0.58
2014-05-14,122.1,122.1,119.63,119.8,0.513
2014-05-15,119.0,119.42,117.15,118.72,0.744
2014-05-16,118.62,119.14,117.75,118.56,0.797
2014-05-19,118.14,120.27,118.14,120.11,0.766
2014-05-20,120.05,120.13,118.66,119.39,0.576
2014-05-21,119.59,120.54,119.16,120.05,0.426
2014-05-22,120.04,120.77,119.89,120.77,0.869
2014-05-23,120.56,121.27,120.19,121.17,0.362
2014-05-27,121.65,122.49,121.1,121.45,0.415
2014-05-28,121.63,122.17,120.79,122.11,0.701
2014-05-29,121.0,121.42,120.08,120.64,0.997
