Date,Open,High,Low,Close,Volume
2014-01-02,241.09,243.19,239.92,241.53,0.154
2014-01-03,241.17,243.88,239.03,242.71,0.15
2014-01-06,243.17,244.78,241.15,242.42,0.184
2014-01-07,243.71,248.92,243.26,248.36,0.189
2014-01-08,247.94,249.77,246.78,249.67,0.151
2014-01-09,250.05,251.22,248.59,249.5,0.161
2014-01-10,249.94,250.53,247.85,249.99,0.089
2014-01-13,248.91,250.64,245.95,247.27,0.08
2014-01-14,248.55,252.54,245.88,252.45,0.124
2014-01-15,252.19,254.03,249.74,253.2,0.136
2014-01-16,252.49,254.73,251.83,254.07,0.068
2014-01-17,252.92,255.25,251.7,254.29,0.081
2014-01-21,254.76,256.0,252.79,255.73,0.068
2014-01-22,256.07,256.98,254.47,255.85,0.063
2014-01-23,255.59,256.94,251.59,253.59,0.138
2014-01-24,251.63,251.63,243.09,243.44,0.236
2014-01-27,243.68,243.68,240.15,241.62,0.174
2014-01-28,242.05,248.74,241.88,248.63,0.265
2014-01-29,245.86,249.96,244.0,244.67,0.192
2014-01-30,249.21,249.62,246.05,249.43,0.16
2014-01-31,243.03,247.96,243.03,246.3,0.14
2014-02-03,246.36,247.85,234.34,234.71,0.355
2014-02-04,236.63,238.9,235.23,237.81,0.5
2014-02-05,238.81,238.81,235.2,235.87,0.337
2014-02-06,242.2,254.96,242.2,254.0,0.503
2014-02-07,254.0,258.31,250.67,255.24,0.237
2014-02-10,254.47,255.79,252.91,254.44,0.19
2014-02-11,254.24,255.51,251.87,254.33,0.183
2014-02-12,254.0,255.26,249.8,251.95,0.215
2014-02-13,250.73,252.72,250.01,251.92,0.172
2014-02-14,251.03,252.78,248.5,249.64,0.209
2014-02-18,249.49,250.37,246.7,247.01,0.246
2014-02-19,246.59,248.04,243.65,243.8,0.152
2014-02-20,244.87,246.06,243.71,245.04,0.266
2014-02-21,245.14,245.64,243.14,243.18,0.165
2014-02-24,244.4,246.56,244.02,245.89,0.375
2014-02-25,246.59,246.98,244.78,246.17,0.195
2014-02-26,248.0,249.38,245.05,248.05,0.18
2014-02-27,247.09,248.47,246.51,247.28,0.13
2014-02-28,247.07,248.0,244.63,245.76,0.174
2014-03-03,245.62,245.93,240.27,241.08,0.183
