Date,Open,High,Low,Close,Volume
2014-01-02,35.16,35.4,34.46,34.64,0.428
2014-01-03,34.83,35.04,34.41,34.64,0.485
2014-01-06,34.51,34.82,33.93,33.96,0.378
2014-01-07,34.01,34.55,33.84,33.88,0.641
2014-01-08,33.86,34.48,33.78,34.32,0.224
2014-01-09,34.25,34.85,34.21,34.72,0.591
2014-01-10,34.89,35.54,34.51,35.25,0.689
2014-01-13,35.14,35.33,34.72,34.84,0.421
2014-01-14,35.16,36.43,34.77,35.85,1.165
2014-01-15,36.08,37.05,35.85,36.89,0.84
2014-01-16,36.72,37.3,36.37,36.91,0.819
2014-01-17,36.78,37.08,36.48,36.54,0.319
2014-01-21,36.45,36.79,36.03,36.22,0.708
2014-01-22,36.3,36.9,36.08,36.7,0.894
2014-01-23,36.45,37.0,35.61,36.04,1.077
2014-01-24,35.87,35.87,35.14,35.26,0.96
2014-01-27,35.49,35.92,34.39,34.74,0.903
2014-01-28,34.82,35.41,34.55,34.88,0.794
2014-01-29,34.56,34.9,34.18,34.44,0.683
2014-01-30,34.34,35.37,34.29,35.06,0.655
2014-01-31,34.66,35.29,34.36,35.02,0.603
2014-02-03,35.02,35.3,34.2,34.4,0.795
2014-02-04,34.5,35.0,34.01,34.21,0.418
2014-02-05,34.12,34.51,33.69,34.43,0.336
2014-02-06,34.54,35.23,34.44,35.08,0.434
2014-02-07,35.31,35.43,34.78,35.21,0.383
2014-02-10,35.1,35.66,34.91,35.62,0.517
2014-02-11,35.98,36.7,35.61,36.25,1.419
2014-02-12,36.14,36.37,35.26,35.89,1.248
2014-02-13,35.35,35.36,34.07,34.7,2.434
2014-02-14,34.76,35.55,34.48,35.17,1.469
2014-02-18,35.55,36.09,31.65,33.56,4.59
2014-02-19,33.06,33.9,32.96,33.35,1.439
2014-02-20,33.49,33.94,33.37,33.79,0.668
2014-02-21,33.93,34.32,33.65,34.27,1.135
2014-02-24,34.25,34.25,33.86,34.11,0.855
2014-02-25,34.25,34.41,33.59,33.63,0.518
2014-02-26,33.51,33.82,32.76,32.83,0.96
2014-02-27,32.62,33.38,32.34,33.34,1.09
2014-02-28,33.29,34.35,33.1,34.27,1.209
2014-03-03,33.88,34.03,33.4,33.68,0.871
2014-03-04,33.94,34.32,33.67,33.83,0.811
2014-03-05,32.7,33.25,32.46,32.91,6.888
2014-03-06,33.12,33.26,32.75,33.18,2.739
2014-03-07,33.38,33.69,33.05,33.37,2.333
2014-03-10,33.49,33.89,32.86,32.91,1.206
2014-03-11,33.02,33.31,32.91,33.07,1.417
2014-03-12,32.93,32.96,32.52,32.83,0.851
2014-03-13,32.86,33.32,31.95,32.0,0.976
2014-03-14,31.89,32.08,31.61,31.73,0.815
2014-03-17,31.73,32.23,31.73,32.2,1.102
2014-03-18,32.35,33.16,31.91,32.71,1.989
2014-03-19,32.79,32.97,32.4,32.74,0.803
2014-03-20,32.64,33.37,32.64,33.35,0.912
2014-03-21,33.58,33.73,33.23,33.49,1.975
2014-03-24,33.54,33.67,32.91,33.28,0.939
2014-03-25,33.27,33.33,32.4,33.1,1.866
2014-03-26,33.18,33.47,32.72,32.85,1.17
2014-03-27,32.84,33.17,32.41,32.59,0.843
2014-03-28,32.65,32.95,31.7,31.84,1.374
2014-03-31,31.89,32.37,31.81,32.27,1.03
2014-04-01,32.45,33.26,32.44,33.19,0.786
2014-04-02,33.26,33.45,32.86,33.25,0.61
2014-04-03,33.28,33.4,32.95,33.28,0.541
2014-04-04,33.3,33.39,32.19,32.57,0.873
2014-04-07,32.41,32.41,31.04,31.25,0.973
2014-04-08,31.25,31.62,31.16,31.43,0.74
2014-04-09,31.43,31.97,31.18,31.7,0.774
2014-04-10,31.75,31.91,30.89,31.03,0.459
2014-04-11,30.97,31.0,29.71,29.85,1.243
2014-04-14,30.14,30.58,29.71,29.91,0.556
2014-04-15,30.05,30.17,29.08,29.65,1.32
2014-04-16,29.74,29.83,29.43,29.81,2.143
2014-04-17,30.2,30.97,29.89,30.72,1.06
2014-04-21,30.8,31.01,30.28,30.3,0.5
2014-04-22,31.0,31.1,30.58,30.79,0.978
2014-04-23,30.83,31.03,30.73,30.84,1.177
2014-04-24,31.12,31.12,30.55,31.01,2.348
2014-04-25,31.0,31.2,30.42,30.97,2.436
2014-04-28,30.74,31.83,30.34,31.67,3.811
2014-04-29,31.15,33.66,31.07,32.94,3.23
2014-04-30,32.99,33.31,32.66,32.77,1.391
2014-05-01,32.78,32.94,32.28,32.46,1.308
2014-05-02,32.54,32.83,32.16,32.5,1.207
2014-05-05,32.2,32.71,31.74,32.04,0.784
2014-05-06,32.08,32.38,31.78,31.86,0.615
2014-05-07,31.87,32.18,31.72,31.89,0.692
2014-05-08,31.83,32.22,31.49,31.79,0.948
2014-05-09,31.82,31.86,31.16,31.46,1.811
2014-05-12,31.65,32.6,31.37,32.38,0.945
2014-05-13,32.45,32.57,32.04,32.52,0.745
2014-05-14,32.36,32.59,32.31,32.41,0.672
2014-05-15,32.46,32.7,32.28,32.65,1.437
2014-05-16,32.61,32.76,32.38,32.75,0.846
2014-05-19,32.58,33.28,32.53,33.18,0.842
2014-05-20,33.21,33.39,32.93,33.17,1.061
