Date,Open,High,Low,Close,Volume
2014-01-02,21.35,21.37,21.06,21.06,9.706
2014-01-03,21.07,21.18,20.99,21.09,6.606
2014-01-06,21.11,21.16,21.0,21.1,6.764
2014-01-07,21.15,21.33,21.12,21.25,7.369
2014-01-08,21.26,21.44,21.12,21.32,12.345
2014-01-09,21.39,21.55,21.23,21.5,8.269
2014-01-10,21.62,21.95,21.6,21.81,9.097
2014-01-13,21.71,21.89,21.58,21.67,5.863
2014-01-14,21.62,21.75,21.52,21.68,5.017
2014-01-15,21.65,21.77,21.64,21.7,6.562
2014-01-16,21.75,21.89,21.7,21.89,4.086
2014-01-17,21.95,21.96,21.81,21.92,6.519
2014-01-21,21.94,22.26,21.94,22.26,7.665
2014-01-22,22.25,22.43,22.16,22.22,9.068
2014-01-23,22.14,22.29,22.06,22.2,5.835
2014-01-24,22.01,22.11,21.76,21.76,14.687
2014-01-27,21.8,21.92,21.53,21.72,10.423
2014-01-28,21.75,22.5,21.68,22.19,14.769
2014-01-29,22.11,22.32,22.0,22.19,9.389
2014-01-30,22.29,22.81,22.26,22.74,11.596
2014-01-31,22.62,23.06,22.59,22.98,13.71
2014-02-03,23.01,23.19,22.77,22.81,12.938
2014-02-04,22.86,22.87,22.45,22.53,9.73
2014-02-05,22.48,22.55,22.31,22.34,9.333
2014-02-06,22.33,22.46,22.25,22.44,9.129
2014-02-07,22.66,22.87,22.46,22.65,10.332
2014-02-10,22.59,22.85,22.49,22.83,6.074
2014-02-11,22.78,23.17,22.75,23.0,9.687
2014-02-12,22.99,23.19,22.89,23.05,7.546
2014-02-13,22.94,23.28,22.92,23.21,5.092
2014-02-14,23.14,23.34,23.11,23.32,5.403
2014-02-18,23.33,23.51,23.29,23.34,7.306
2014-02-19,23.35,23.43,23.07,23.11,6.846
2014-02-20,23.14,23.26,23.01,23.11,8.828
2014-02-21,23.13,23.36,23.09,23.14,6.498
2014-02-24,23.18,23.19,22.94,22.94,10.504
2014-02-25,23.0,23.18,22.84,22.91,8.844
2014-02-26,22.81,22.86,22.58,22.61,9.084
2014-02-27,22.61,22.71,22.5,22.65,8.284
2014-02-28,22.62,22.92,22.59,22.85,8.697
2014-03-03,22.72,22.78,22.45,22.57,8.193
2014-03-04,22.74,23.0,22.72,22.92,10.515
2014-03-05,22.9,22.91,22.61,22.66,6.535
2014-03-06,22.75,22.79,22.57,22.68,6.531
2014-03-07,22.65,22.96,22.58,22.95,7.906
2014-03-10,22.91,22.98,22.65,22.8,7.166
2014-03-11,22.92,22.95,22.66,22.74,8.612
2014-03-12,22.7,23.06,22.67,23.05,7.14
2014-03-13,23.09,23.64,23.06,23.44,12.414
2014-03-14,23.4,23.73,23.29,23.57,8.628
2014-03-17,23.69,23.77,23.59,23.7,7.287
2014-03-18,23.78,23.82,23.61,23.62,4.871
2014-03-19,23.61,23.72,23.13,23.33,9.307
2014-03-20,23.25,23.4,22.95,23.39,7.648
2014-03-21,23.61,23.86,23.44,23.64,16.616
2014-03-24,23.71,23.78,23.38,23.52,7.062
2014-03-25,23.56,23.75,23.47,23.64,6.966
2014-03-26,23.67,23.73,23.45,23.47,6.75
2014-03-27,23.43,23.68,23.35,23.65,6.359
2014-03-28,23.61,23.72,23.52,23.68,5.884
2014-03-31,23.79,24.03,23.75,23.91,6.475
2014-04-01,23.9,23.9,23.61,23.72,4.656
2014-04-02,23.72,23.73,23.32,23.51,8.391
2014-04-03,23.67,23.81,23.61,23.65,5.134
2014-04-04,23.72,23.98,23.65,23.75,7.119
2014-04-07,23.7,23.82,23.47,23.48,8.385
2014-04-08,23.48,24.14,23.37,24.12,9.182
2014-04-09,24.15,24.33,23.92,24.11,9.736
2014-04-10,24.03,24.16,23.8,23.94,11.204
2014-04-11,23.9,24.07,23.75,23.79,8.566
2014-04-14,23.96,24.14,23.86,24.03,4.406
2014-04-15,24.01,24.32,23.99,24.31,6.876
2014-04-16,24.28,24.49,24.18,24.48,5.566
2014-04-17,24.39,24.53,24.14,24.15,10.36
2014-04-21,24.16,24.31,24.13,24.17,6.175
2014-04-22,24.14,24.23,24.01,24.09,6.027
