Date,Open,High,Low,Close,Volume
2014-01-02,23.47,24.27,23.41,23.96,12.162
2014-01-03,24.17,24.29,23.88,23.92,10.234
2014-01-06,24.25,24.54,24.0,24.08,9.276
2014-01-07,23.85,23.98,23.51,23.95,8.784
2014-01-08,23.69,23.73,23.33,23.4,8.027
2014-01-09,23.29,23.41,23.12,23.2,7.136
2014-01-10,23.68,24.04,23.56,23.8,8.472
2014-01-13,23.96,23.96,23.53,23.88,8.472
2014-01-14,23.76,24.12,23.25,23.41,9.8
2014-01-15,23.27,23.81,23.22,23.58,6.89
2014-01-16,23.85,23.96,23.55,23.95,6.368
2014-01-17,24.18,24.88,24.17,24.55,12.787
2014-01-21,24.35,25.12,24.29,24.82,10.719
2014-01-22,24.68,24.7,24.09,24.39,8.279
2014-01-23,24.81,25.5,24.75,25.17,10.907
2014-01-24,25.46,25.65,24.46,24.88,10.538
2014-01-27,24.67,24.71,24.16,24.18,9.802
2014-01-28,24.34,24.76,24.08,24.66,6.616
2014-01-29,25.08,25.22,24.32,24.87,10.61
2014-01-30,23.84,24.39,23.8,24.1,10.653
2014-01-31,23.7,23.74,21.27,21.6,35.12
2014-02-03,21.7,21.85,21.0,21.02,18.057
2014-02-04,20.92,21.31,20.9,21.18,13.731
2014-02-05,21.4,21.46,20.86,20.87,10.106
2014-02-06,20.9,21.26,20.79,21.01,9.252
2014-02-07,21.1,21.65,21.02,21.52,10.569
2014-02-10,21.79,22.43,21.75,22.2,12.04
2014-02-11,22.31,23.03,22.31,22.9,13.941
2014-02-12,22.87,22.94,22.3,22.51,11.854
2014-02-13,22.66,23.56,22.46,23.53,11.129
2014-02-14,24.11,24.23,23.41,23.83,13.664
2014-02-18,24.26,24.33,23.75,24.21,11.651
2014-02-19,24.11,24.32,23.68,23.77,9.775
2014-02-20,23.72,24.55,23.64,24.46,9.989
2014-02-21,24.03,24.09,22.71,23.38,23.007
2014-02-24,23.46,23.82,23.29,23.67,10.767
