Date,Open,High,Low,Close,Volume
2014-01-02,12.9,12.93,12.62,12.69,5.713
2014-01-03,12.71,12.8,12.64,12.75,4.443
2014-01-06,12.77,13.09,12.73,12.95,10.15
2014-01-07,12.97,13.08,12.94,12.99,10.948
2014-01-08,12.95,13.01,12.87,12.93,6.674
2014-01-09,12.95,13.03,12.89,13.0,4.77
2014-01-10,13.07,13.36,13.07,13.23,7.744
2014-01-13,13.17,13.22,13.03,13.06,6.427
2014-01-14,13.08,13.14,13.0,13.09,3.385
2014-01-15,13.14,13.19,13.0,13.1,4.858
2014-01-16,13.1,13.28,13.08,13.28,4.864
2014-01-17,13.29,13.4,13.23,13.32,5.53
2014-01-21,13.43,13.51,13.39,13.49,3.793
2014-01-22,13.5,13.63,13.47,13.49,5.255
2014-01-23,13.42,13.5,13.35,13.45,4.336
2014-01-24,13.38,13.4,13.19,13.2,6.93
2014-01-27,13.2,13.27,13.14,13.23,4.613
2014-01-28,13.24,13.43,13.21,13.43,3.392
2014-01-29,13.38,13.44,13.26,13.32,4.756
2014-01-30,13.37,13.53,13.37,13.46,4.891
2014-01-31,13.32,13.6,13.3,13.5,7.163
2014-02-03,13.5,13.65,13.27,13.34,6.976
2014-02-04,13.39,13.43,13.19,13.26,5.705
2014-02-05,13.21,13.29,13.06,13.26,4.906
2014-02-06,13.16,13.3,13.12,13.27,4.218
2014-02-07,13.3,13.42,13.29,13.36,4.259
2014-02-10,13.34,13.58,13.24,13.57,4.744
2014-02-11,13.55,13.68,13.5,13.62,3.879
2014-02-12,13.57,13.67,13.54,13.61,4.282
2014-02-13,13.54,13.72,13.52,13.66,6.101
2014-02-14,13.65,13.82,13.55,13.82,6.97
2014-02-18,14.13,14.47,13.87,13.87,8.453
2014-02-19,13.88,14.1,13.85,13.91,5.749
2014-02-20,13.91,13.99,13.84,13.87,6.653
2014-02-21,13.91,13.96,13.85,13.91,6.052
2014-02-24,13.94,14.02,13.89,13.93,4.882
2014-02-25,13.94,14.03,13.87,13.91,3.362
2014-02-26,13.94,13.98,13.71,13.72,4.461
2014-02-27,13.67,13.86,13.66,13.67,7.511
2014-02-28,13.71,13.81,13.64,13.68,5.501
2014-03-03,13.6,13.64,13.54,13.58,4.067
2014-03-04,13.69,13.8,13.69,13.76,5.791
2014-03-05,13.77,13.77,13.61,13.63,4.342
2014-03-06,13.65,13.69,13.52,13.54,5.906
2014-03-07,13.52,13.66,13.41,13.64,4.761
2014-03-10,13.61,13.67,13.51,13.54,3.539
2014-03-11,13.55,13.56,13.34,13.43,5.471
2014-03-12,13.45,13.65,13.43,13.63,3.479
2014-03-13,13.65,13.8,13.61,13.8,6.063
2014-03-14,13.8,13.92,13.74,13.87,5.998
2014-03-17,13.89,13.98,13.83,13.94,3.422
2014-03-18,13.92,14.08,13.89,14.01,4.098
2014-03-19,14.03,14.07,13.72,13.8,4.849
2014-03-20,13.71,13.74,13.6,13.71,5.319
2014-03-21,13.85,13.96,13.76,13.78,8.169
2014-03-24,13.81,13.89,13.69,13.77,2.894
2014-03-25,13.8,13.83,13.71,13.75,2.857
2014-03-26,13.76,13.88,13.75,13.75,4.248
2014-03-27,13.75,13.91,13.72,13.89,3.328
