Date,Open,High,Low,Close,Volume
2014-01-02,39.08,39.42,38.97,39.12,5.319
2014-01-03,39.08,39.31,38.98,39.01,5.597
2014-01-06,39.24,39.3,38.71,38.72,6.046
2014-01-07,38.85,39.0,38.71,38.74,6.769
2014-01-08,38.75,38.97,38.47,38.54,6.898
2014-01-09,38.71,38.73,38.38,38.54,6.263
2014-01-10,38.5,38.67,38.35,38.46,5.108
2014-01-13,38.42,38.46,37.5,37.59,8.262
2014-01-14,37.55,37.67,37.33,37.58,7.808
2014-01-15,37.62,37.87,37.57,37.72,5.852
2014-01-16,37.62,37.69,37.17,37.4,4.848
2014-01-17,37.3,37.37,36.69,36.69,9.852
2014-01-21,37.07,37.3,36.71,36.88,13.147
2014-01-22,36.98,37.03,36.75,36.75,7.424
2014-01-23,36.51,36.59,36.01,36.37,9.505
2014-01-24,36.15,36.33,35.82,35.83,9.212
2014-01-27,35.96,36.13,35.86,35.95,11.412
2014-01-28,36.15,36.58,36.08,36.35,9.069
2014-01-29,36.15,36.28,35.76,35.88,10.489
2014-01-30,36.22,37.1,36.19,36.97,10.438
2014-01-31,36.49,36.65,36.18,36.42,8.652
2014-02-03,36.38,36.4,35.39,35.44,9.516
2014-02-04,35.48,35.62,35.17,35.26,7.004
2014-02-05,35.24,35.43,34.92,35.3,7.367
2014-02-06,35.38,36.13,35.25,35.76,7.359
2014-02-07,35.96,36.42,35.88,36.35,6.747
2014-02-10,36.37,36.49,36.06,36.33,6.43
2014-02-11,36.33,37.08,36.22,36.99,8.739
2014-02-12,37.15,37.4,36.92,37.06,6.396
2014-02-13,36.92,37.48,36.87,37.44,6.161
2014-02-14,37.44,37.59,37.1,37.53,6.205
2014-02-18,37.57,37.74,37.45,37.6,5.936
2014-02-19,37.31,37.78,37.31,37.41,5.401
2014-02-20,37.49,37.88,37.43,37.79,5.582
2014-02-21,37.69,38.33,37.68,38.24,8.729
2014-02-24,38.29,39.07,38.24,38.92,11.072
2014-02-25,38.87,39.26,38.78,39.06,6.844
2014-02-26,39.15,39.53,39.15,39.21,7.917
2014-02-27,39.0,39.19,38.74,39.01,6.599
2014-02-28,38.95,39.35,38.81,39.15,6.875
2014-03-03,38.81,38.99,38.28,38.69,6.069
2014-03-04,39.28,39.53,39.18,39.31,5.661
2014-03-05,39.26,39.3,38.68,38.71,6.733
2014-03-06,38.9,39.19,38.68,39.11,5.536
2014-03-07,39.55,40.04,39.54,39.73,8.931
2014-03-10,39.58,39.68,39.22,39.49,5.344
2014-03-11,39.53,39.81,39.28,39.4,4.907
2014-03-12,39.05,39.5,39.01,39.49,4.297
2014-03-13,39.62,39.87,39.17,39.26,8.4
2014-03-14,39.15,39.5,38.9,39.16,6.086
2014-03-17,39.44,39.57,39.26,39.49,8.578
2014-03-18,39.59,40.04,39.53,39.82,8.245
2014-03-19,39.67,39.98,39.28,39.58,5.97
2014-03-20,39.47,39.63,38.88,39.63,12.441
2014-03-21,38.55,38.65,37.5,37.6,31.767
2014-03-24,37.74,37.92,37.28,37.43,9.999
2014-03-25,37.67,37.76,36.79,36.83,10.527
2014-03-26,37.09,37.25,36.61,36.61,8.538
2014-03-27,36.65,37.05,36.51,36.66,8.159
2014-03-28,36.79,37.06,36.64,36.77,5.987
2014-03-31,37.0,37.1,36.72,36.93,6.357
2014-04-01,37.01,37.39,37.01,37.19,7.399
2014-04-02,37.35,37.5,37.16,37.27,7.615
2014-04-03,37.28,37.59,36.91,36.99,8.255
2014-04-04,37.19,37.25,36.26,36.42,9.72
2014-04-07,36.4,36.47,35.3,35.42,13.854
2014-04-08,36.11,36.56,35.95,36.46,12.66
2014-04-09,36.63,36.8,36.26,36.78,7.078
2014-04-10,36.88,37.08,36.12,36.22,8.377
2014-04-11,36.0,36.33,35.61,35.62,8.698
2014-04-14,35.85,36.23,35.65,36.19,7.265
2014-04-15,36.19,36.44,35.87,36.14,7.777
2014-04-16,36.42,36.59,36.25,36.55,4.611
2014-04-17,36.67,37.22,36.65,37.01,9.042
2014-04-21,36.96,37.03,36.66,36.95,6.812
2014-04-22,36.85,37.35,36.85,37.17,5.122
2014-04-23,37.27,37.43,37.01,37.05,4.719
2014-04-24,37.01,37.19,36.55,36.69,6.785
2014-04-25,36.54,36.85,36.26,36.35,6.481
2014-04-28,36.68,36.85,35.55,35.83,11.447
2014-04-29,35.86,36.36,35.83,36.24,6.236
2014-04-30,36.17,36.53,36.04,36.47,6.174
2014-05-01,36.4,36.69,36.29,36.46,4.818
2014-05-02,36.47,36.76,36.42,36.49,4.048
2014-05-05,36.33,36.72,36.13,36.65,4.656
2014-05-06,36.49,36.58,36.1,36.12,4.585
2014-05-07,36.35,36.42,35.76,36.09,5.605
2014-05-08,36.14,36.67,36.12,36.53,7.965
2014-05-09,36.44,36.79,36.35,36.72,4.817
2014-05-12,36.81,37.33,36.69,37.31,6.636
2014-05-13,37.33,37.5,37.26,37.29,4.53
2014-05-14,37.24,37.33,36.75,36.79,6.281
2014-05-15,36.71,36.81,36.19,36.47,6.04
2014-05-16,36.48,36.97,36.42,36.97,5.377
2014-05-19,37.01,37.28,36.87,37.24,4.682
2014-05-20,37.02,37.05,36.56,36.63,5.921
2014-05-21,36.69,37.13,36.63,37.1,4.672
2014-05-22,37.21,37.47,37.0,37.44,4.866
2014-05-23,37.56,38.16,37.48,37.92,7.335
2014-05-27,38.22,38.42,38.11,38.31,6.698
2014-05-28,38.26,38.31,37.96,38.13,4.73
2014-05-29,38.1,38.32,37.99,38.19,3.988
2014-05-30,38.2,38.47,38.15,38.46,5.192
2014-06-02,38.49,38.49,38.15,38.36,3.81
2014-06-03,38.21,38.31,37.74,37.78,6.793
2014-06-04,37.72,38.18,37.71,38.06,7.357
2014-06-05,38.15,38.27,37.66,37.94,7.326
2014-06-06,38.08,38.44,38.08,38.12,6.638
2014-06-09,38.05,38.46,38.05,38.33,5.029
2014-06-10,38.17,38.46,38.12,38.15,5.15
2014-06-11,37.83,37.9,37.45,37.57,9.25
2014-06-12,37.6,37.72,37.29,37.38,6.331
2014-06-13,37.37,37.47,36.57,37.31,7.712
2014-06-16,37.4,37.65,37.2,37.28,6.531
2014-06-17,37.38,37.58,37.12,37.54,6.122
2014-06-18,37.62,38.18,37.36,38.1,9.852
2014-06-19,38.22,38.22,37.6,37.82,4.978
2014-06-20,38.04,38.06,37.53,37.55,11.386
2014-06-23,37.55,37.81,37.2,37.72,9.069
2014-06-24,37.69,37.99,37.47,37.49,7.617
2014-06-25,37.51,38.27,37.51,38.24,7.172
2014-06-26,38.28,38.46,37.83,38.43,10.523
2014-06-27,39.26,39.58,38.84,38.84,18.138
2014-06-30,38.76,38.87,38.54,38.78,8.536
2014-07-01,38.87,39.27,38.87,39.0,7.129
2014-07-02,39.03,39.21,38.85,38.9,5.577
2014-07-03,38.76,39.31,38.5,39.22,4.569
2014-07-07,39.0,39.42,38.97,39.33,5.465
2014-07-08,39.15,39.21,38.53,38.83,8.044
2014-07-09,38.89,39.38,38.85,39.35,7.029
2014-07-10,38.63,38.9,38.4,38.75,6.357
2014-07-11,38.64,38.79,38.38,38.65,5.758
2014-07-14,38.97,39.1,38.79,38.97,5.503
2014-07-15,38.76,39.1,38.74,39.01,6.506
2014-07-16,38.92,39.12,38.38,38.46,7.45
2014-07-17,38.22,38.49,38.15,38.26,7.462
2014-07-18,38.42,38.85,38.33,38.76,6.065
2014-07-21,38.42,38.65,38.35,38.41,4.209
2014-07-22,38.56,38.82,38.5,38.52,5.036
2014-07-23,38.63,38.72,38.42,38.69,4.092
2014-07-24,38.97,39.38,38.93,39.3,8.03
2014-07-25,39.17,39.39,38.81,38.86,4.54
2014-07-28,38.97,39.3,38.76,39.2,4.065
2014-07-29,39.21,39.43,39.05,39.05,4.67
2014-07-30,39.19,39.97,39.14,39.81,9.048
2014-07-31,39.33,39.51,38.49,38.56,7.797
2014-08-01,38.27,38.62,38.19,38.39,5.826
2014-08-04,38.44,38.71,38.15,38.58,4.839
2014-08-05,38.38,38.82,38.26,38.46,4.866
2014-08-06,38.26,38.62,38.22,38.57,5.074
2014-08-07,38.85,38.87,37.99,38.17,6.737
2014-08-08,38.15,38.55,37.95,38.53,6.715
2014-08-11,38.74,38.75,38.49,38.53,7.829
2014-08-12,38.5,38.72,38.24,38.37,9.142
2014-08-13,38.54,38.9,38.27,38.62,6.4
2014-08-14,38.76,38.9,38.48,38.65,3.935
2014-08-15,38.86,39.0,38.24,38.56,4.49
2014-08-18,38.87,39.35,38.78,39.28,5.697
2014-08-19,39.35,39.54,39.17,39.26,4.424
2014-08-20,39.1,39.54,39.1,39.46,3.966
2014-08-21,39.52,39.7,39.33,39.47,4.002
2014-08-22,39.62,39.87,39.46,39.65,5.807
2014-08-25,39.8,40.15,39.75,40.01,5.074
2014-08-26,40.01,40.05,39.71,39.74,5.216
2014-08-27,39.99,39.99,39.71,39.86,3.679
2014-08-28,39.51,39.61,39.33,39.41,5.169
2014-08-29,39.42,39.47,39.13,39.28,6.423
2014-09-02,39.17,39.76,39.17,39.64,8.164
2014-09-03,39.9,39.94,39.27,39.41,4.41
2014-09-04,39.6,40.11,39.59,39.96,6.023
2014-09-05,39.77,41.06,39.67,41.02,12.381
2014-09-08,40.96,41.4,40.54,41.2,11.728
2014-09-09,41.13,41.27,40.76,40.92,8.119
2014-09-10,40.87,41.31,40.75,41.24,6.742
2014-09-11,41.08,41.29,40.77,40.91,7.46
2014-09-12,40.99,41.0,40.71,40.92,5.926
2014-09-15,41.05,41.09,40.51,40.81,6.729
2014-09-16,40.62,40.77,40.42,40.6,9.393
2014-09-17,40.78,40.92,40.5,40.76,7.443
2014-09-18,40.92,41.0,40.62,40.99,6.393
2014-09-19,41.32,41.37,40.67,40.9,19.704
2014-09-22,40.84,40.94,40.1,40.35,8.138
2014-09-23,40.26,40.29,39.94,40.06,6.047
2014-09-24,40.07,40.44,39.96,40.42,6.754
2014-09-25,40.34,40.34,39.63,39.88,14.138
2014-09-26,43.99,44.99,43.65,44.75,35.09
2014-09-29,44.13,45.05,44.13,44.56,14.834
2014-09-30,44.35,45.15,44.2,44.6,11.583
2014-10-01,44.46,44.5,43.76,43.85,9.472
2014-10-02,43.83,44.76,43.44,44.65,8.739
2014-10-03,44.88,45.22,44.58,45.15,8.79
2014-10-06,45.15,45.25,44.28,44.61,7.031
2014-10-07,44.3,44.6,44.01,44.03,5.486
2014-10-08,44.06,44.58,43.76,44.42,7.481
2014-10-09,44.22,44.49,43.55,43.62,7.462
2014-10-10,43.72,44.1,43.51,43.6,9.048
2014-10-13,43.48,43.56,42.62,42.69,8.005
2014-10-14,42.89,42.96,42.42,42.54,9.853
2014-10-15,42.56,43.55,42.05,42.59,17.572
2014-10-16,42.1,43.62,41.92,43.52,13.644
2014-10-17,43.9,44.17,43.47,43.59,11.397
2014-10-20,43.4,44.47,43.38,44.45,6.743
2014-10-21,44.65,45.35,44.51,45.32,6.46
2014-10-22,45.33,45.76,44.9,44.93,7.088
2014-10-23,45.06,45.66,44.97,45.19,6.192
2014-10-24,44.97,45.49,44.96,45.45,4.931
2014-10-27,45.46,45.89,45.22,45.82,5.819
2014-10-28,45.76,46.22,45.65,46.22,6.358
2014-10-29,46.08,46.27,45.71,45.97,4.999
2014-10-30,45.88,46.5,45.78,46.5,4.585
2014-10-31,47.06,47.07,46.33,46.49,6.464
2014-11-03,46.67,46.74,46.44,46.72,4.863
2014-11-04,46.53,47.01,46.31,46.97,4.441
2014-11-05,47.42,47.42,46.85,47.34,6.514
2014-11-06,47.42,47.54,47.27,47.3,5.482
2014-11-07,47.38,47.38,46.77,46.89,4.91
2014-11-10,47.02,47.53,47.02,47.48,5.898
2014-11-11,47.6,47.65,47.29,47.44,4.563
2014-11-12,47.22,47.96,47.12,47.9,5.018
2014-11-13,48.09,48.28,47.78,48.06,5.417
2014-11-14,47.9,47.94,47.51,47.75,6.407
2014-11-17,47.69,48.1,47.52,48.03,5.931
2014-11-18,47.99,48.42,47.88,48.24,4.803
2014-11-19,48.25,48.55,48.17,48.47,4.586
2014-11-20,48.31,48.85,48.15,48.65,4.822
2014-11-21,49.35,49.48,48.33,48.71,7.016
2014-11-24,48.9,49.25,48.87,48.97,5.082
2014-11-25,49.15,49.25,48.63,48.65,6.177
2014-11-26,48.65,48.94,48.55,48.9,3.949
2014-11-28,49.17,49.88,49.12,49.65,3.609
2014-12-01,49.33,49.69,48.83,48.85,5.139
2014-12-02,49.03,49.36,48.85,49.02,4.384
2014-12-03,49.08,49.3,48.76,49.25,3.792
2014-12-04,49.25,49.69,49.03,49.53,4.128
2014-12-05,49.63,49.75,49.42,49.67,3.408
2014-12-08,49.53,49.53,48.65,48.86,5.155
2014-12-09,48.53,48.7,47.99,48.51,5.989
2014-12-10,48.24,49.12,48.23,48.83,6.458
2014-12-11,48.74,49.3,48.42,48.47,8.724
2014-12-12,48.33,48.94,48.08,48.08,8.244
2014-12-15,48.22,48.47,47.39,47.72,10.153
2014-12-16,47.67,47.71,46.49,46.6,14.614
2014-12-17,46.87,47.38,46.45,47.25,11.205
2014-12-18,48.13,48.54,47.53,48.54,18.961
2014-12-19,47.75,48.14,46.42,47.42,27.002
2014-12-22,47.56,47.97,47.51,47.97,7.662
2014-12-23,48.0,48.26,47.79,47.99,5.242
2014-12-24,48.2,48.67,48.04,48.15,2.44
2014-12-26,48.26,48.6,48.12,48.42,3.144
