Date,Open,High,Low,Close,Volume
2014-01-02,55.57,56.71,55.15,55.69,0.917
2014-01-03,54.67,55.7,54.36,55.18,0.668
2014-01-06,55.1,56.47,55.1,55.73,1.144
2014-01-07,56.07,58.85,56.04,57.78,2.306
2014-01-08,58.26,59.08,57.55,57.89,1.545
2014-01-09,58.9,59.08,57.45,57.66,1.8
2014-01-10,58.02,59.5,57.51,59.38,1.291
2014-01-13,59.68,59.98,56.76,57.09,1.979
2014-01-14,57.45,58.04,56.45,57.63,1.433
2014-01-15,58.0,60.49,58.0,60.31,1.53
2014-01-16,60.0,62.23,59.69,61.89,1.533
2014-01-17,61.67,63.04,61.58,62.05,1.199
2014-01-21,62.24,62.77,60.65,60.8,1.689
2014-01-22,60.8,61.68,60.49,61.48,0.932
2014-01-23,61.09,62.48,60.65,62.46,0.796
2014-01-24,62.59,62.82,58.06,58.56,1.951
2014-01-27,59.06,59.17,56.07,58.0,2.477
2014-01-28,58.27,59.49,57.99,58.96,1.528
2014-01-29,58.19,58.22,56.44,57.6,1.999
2014-01-30,68.45,70.48,65.27,65.61,6.922
2014-01-31,63.99,64.69,62.31,63.43,3.253
2014-02-03,63.07,65.19,61.46,62.96,2.942
2014-02-04,63.61,64.63,63.14,64.15,2.262
2014-02-05,64.34,64.69,61.87,63.53,1.994
2014-02-06,63.68,63.91,61.99,62.65,1.54
2014-02-07,62.02,67.71,62.02,66.29,2.964
2014-02-10,65.96,66.08,65.21,65.84,1.524
2014-02-11,65.5,66.53,65.04,66.13,0.862
2014-02-12,66.18,66.84,65.51,66.19,0.817
2014-02-13,65.39,68.48,65.14,67.65,1.212
2014-02-14,67.55,68.0,66.67,67.53,0.972
2014-02-18,67.1,67.89,67.0,67.52,1.268
2014-02-19,67.28,67.46,66.02,66.75,0.818
2014-02-20,67.0,67.38,66.04,67.08,0.79
2014-02-21,67.45,71.1,67.23,69.28,2.324
2014-02-24,68.88,69.85,68.51,68.9,0.93
2014-02-25,69.0,69.3,67.81,68.76,0.886
2014-02-26,68.63,70.42,68.2,68.68,1.378
2014-02-27,68.92,71.8,68.92,70.12,2.123
2014-02-28,69.69,70.2,65.78,68.06,1.804
2014-03-03,66.78,67.98,65.58,67.95,1.638
2014-03-04,68.78,71.34,68.74,70.81,1.781
2014-03-05,70.72,71.46,69.43,70.03,1.323
2014-03-06,70.25,70.4,68.33,68.57,1.451
2014-03-07,69.25,69.32,66.26,67.14,1.374
2014-03-10,66.94,67.22,65.41,66.9,1.53
2014-03-11,67.18,68.18,66.23,66.94,1.215
2014-03-12,66.44,68.99,65.8,68.82,1.224
2014-03-13,69.29,69.41,66.01,67.74,1.233
2014-03-14,67.64,68.04,66.07,66.18,1.151
2014-03-17,66.8,67.97,66.35,66.99,0.751
2014-03-18,67.08,69.45,66.51,68.46,1.334
2014-03-19,68.46,68.89,67.0,67.44,0.826
2014-03-20,66.87,68.58,66.43,66.6,1.11
2014-03-21,66.64,66.64,62.53,62.56,2.996
2014-03-24,62.63,63.06,59.58,61.54,2.765
2014-03-25,61.8,62.25,57.57,59.21,3.397
2014-03-26,60.0,60.71,57.39,57.55,1.893
2014-03-27,57.2,59.25,55.14,59.01,3.128
2014-03-28,59.28,59.69,57.8,57.91,1.526
2014-03-31,58.38,59.95,57.86,59.92,1.877
2014-04-01,60.07,62.55,59.71,62.53,2.254
2014-04-02,63.23,63.96,60.5,61.27,1.637
2014-04-03,61.08,61.33,53.77,54.68,5.284
2014-04-04,55.5,55.8,51.87,52.32,5.89
2014-04-07,51.75,52.68,49.21,50.94,4.198
2014-04-08,51.21,52.25,50.26,50.86,8.369
2014-04-09,52.03,55.0,51.15,54.88,4.494
2014-04-10,54.74,54.89,49.84,50.63,4.07
2014-04-11,49.91,50.84,49.1,49.67,2.564
2014-04-14,50.12,51.14,48.8,49.65,2.13
2014-04-15,49.94,51.99,48.63,51.71,2.538
2014-04-16,52.12,53.51,50.95,53.29,3.21
2014-04-17,53.15,53.97,51.9,53.26,1.716
2014-04-21,52.1,53.37,51.3,53.15,1.807
2014-04-22,53.47,55.33,53.16,55.23,2.329
2014-04-23,55.09,55.15,52.52,53.07,3.319
2014-04-24,54.7,54.7,45.07,49.88,10.441
2014-04-25,49.59,49.86,47.04,47.23,4.432
2014-04-28,47.6,49.08,44.17,46.42,5.747
2014-04-29,46.4,50.42,46.4,49.17,4.09
2014-04-30,49.15,50.1,47.84,49.72,3.084
2014-05-01,49.25,53.04,49.02,50.48,3.002
2014-05-02,50.73,51.94,49.32,51.18,2.653
2014-05-05,50.56,52.24,49.82,52.22,2.522
2014-05-06,52.24,52.74,49.46,49.49,2.2
2014-05-07,49.64,49.74,45.53,47.06,6.097
2014-05-08,46.49,48.17,45.67,46.74,3.065
2014-05-09,46.5,47.53,45.87,46.46,2.415
2014-05-12,46.83,48.94,46.08,48.51,2.209
2014-05-13,48.28,49.0,47.31,47.33,1.92
2014-05-14,47.17,48.75,46.81,47.57,1.196
2014-05-15,47.19,48.04,45.96,47.82,2.179
2014-05-16,48.0,48.11,46.34,47.39,2.116
2014-05-19,47.18,48.93,46.8,48.4,1.605
2014-05-20,48.4,49.26,47.01,48.49,1.717
2014-05-21,48.63,49.43,47.7,48.37,1.192
2014-05-22,48.43,50.81,48.0,50.44,1.716
2014-05-23,50.5,52.96,49.86,52.53,2.624
2014-05-27,52.75,54.45,52.6,54.3,3.131
2014-05-28,54.21,54.38,52.13,53.81,3.028
2014-05-29,53.98,54.78,53.52,54.39,1.647
2014-05-30,54.06,54.36,51.51,52.31,2.385
2014-06-02,52.33,52.34,49.46,50.26,3.069
2014-06-03,49.9,50.75,48.67,50.41,2.854
2014-06-04,50.1,51.42,49.28,51.39,1.399
2014-06-05,51.43,53.98,50.79,53.89,2.884
2014-06-06,54.07,56.99,53.91,56.61,3.493
2014-06-09,56.77,57.49,55.64,55.94,1.555
2014-06-10,55.88,56.85,54.95,55.97,1.235
2014-06-11,55.63,57.85,55.22,57.8,1.757
2014-06-12,57.23,58.9,56.24,57.48,2.378
2014-06-13,57.56,59.21,56.96,59.2,1.869
2014-06-16,58.96,60.12,58.36,59.96,1.63
2014-06-17,59.76,60.43,58.87,60.0,1.787
2014-06-18,60.26,60.71,59.25,60.52,1.267
2014-06-19,60.75,60.75,59.21,60.02,1.037
2014-06-20,60.2,60.52,59.09,60.47,1.214
2014-06-23,60.07,61.3,59.52,61.23,1.543
2014-06-24,60.94,62.81,60.94,61.09,1.353
2014-06-25,60.89,62.02,60.6,61.93,0.885
2014-06-26,61.78,62.18,60.83,61.63,1.236
2014-06-27,61.51,62.51,60.65,61.4,4.466
2014-06-30,61.4,62.34,61.4,61.96,1.522
2014-07-01,62.36,64.61,62.19,63.58,2.406
2014-07-02,63.17,63.48,61.7,62.12,1.193
2014-07-03,62.33,62.33,61.19,61.6,0.598
2014-07-07,61.33,61.71,59.67,59.93,1.3
2014-07-08,59.64,59.73,55.52,55.88,3.241
2014-07-09,56.17,56.88,55.31,56.64,1.249
2014-07-10,55.68,58.3,54.12,57.5,1.512
2014-07-11,57.59,58.02,56.29,57.02,1.026
2014-07-14,57.72,59.0,57.08,57.55,1.068
2014-07-15,57.67,58.15,55.77,56.02,1.433
2014-07-16,56.65,57.16,55.62,56.32,1.175
2014-07-17,55.95,57.22,55.95,56.61,2.247
2014-07-18,56.94,58.41,56.85,57.52,1.458
2014-07-21,57.03,59.04,56.69,58.88,1.508
2014-07-22,59.28,60.31,58.36,58.55,1.358
2014-07-23,59.08,59.17,57.87,58.23,0.976
2014-07-24,58.37,59.62,58.12,59.43,1.169
2014-07-25,59.02,59.98,58.52,59.73,0.654
2014-07-28,59.56,59.97,57.65,58.33,2.004
2014-07-29,58.27,59.85,57.88,59.7,1.222
2014-07-30,60.0,63.17,59.72,62.64,3.376
2014-07-31,57.37,61.45,57.06,58.8,3.004
2014-08-01,58.35,59.05,56.03,56.67,1.96
2014-08-04,56.83,57.93,56.47,57.71,1.196
2014-08-05,57.06,58.11,56.42,56.63,1.166
2014-08-06,56.04,56.69,55.19,55.37,1.618
2014-08-07,55.77,56.16,54.89,55.36,1.036
2014-08-08,55.77,55.77,54.51,55.0,1.058
2014-08-11,55.41,56.07,54.89,55.99,0.795
2014-08-12,56.0,56.27,54.35,54.61,0.928
2014-08-13,55.0,55.39,54.53,55.31,1.439
2014-08-14,55.41,55.47,54.56,54.89,0.726
2014-08-15,55.1,55.46,54.11,54.7,0.937
2014-08-18,55.35,56.1,55.22,56.0,1.45
2014-08-19,56.14,57.78,56.14,57.71,1.741
2014-08-20,57.81,58.52,57.14,57.53,1.246
2014-08-21,57.64,57.93,56.57,56.9,0.834
2014-08-22,56.97,60.4,56.62,59.62,2.081
2014-08-25,60.0,60.0,58.47,58.82,0.994
2014-08-26,58.88,59.99,58.22,59.73,1.039
2014-08-27,60.11,60.67,59.56,60.08,1.346
2014-08-28,60.0,60.0,59.36,59.53,0.885
2014-08-29,59.78,61.58,59.76,61.13,1.67
2014-09-02,61.27,62.88,60.51,62.85,1.569
2014-09-03,63.32,63.75,62.26,62.74,1.522
2014-09-04,62.8,62.99,60.89,61.26,1.116
2014-09-05,61.21,62.68,60.68,62.47,0.883
2014-09-08,62.75,64.98,62.72,64.31,1.962
2014-09-09,63.84,63.97,61.96,62.23,1.19
2014-09-10,62.2,62.66,61.44,62.48,1.483
2014-09-11,62.25,63.39,61.63,63.36,1.5
2014-09-12,63.15,63.16,61.14,61.61,1.45
2014-09-15,62.43,62.43,57.89,58.98,1.442
2014-09-16,58.46,60.26,58.2,59.91,1.516
2014-09-17,59.8,61.47,59.69,61.01,1.418
2014-09-18,61.02,61.45,60.23,61.31,0.847
2014-09-19,61.76,63.67,61.64,62.34,3.001
2014-09-22,61.96,61.96,60.11,60.6,0.867
2014-09-23,60.23,60.68,59.16,59.17,1.231
2014-09-24,59.17,60.36,58.88,60.07,0.874
2014-09-25,59.96,60.15,58.25,58.4,0.933
2014-09-26,58.43,59.79,58.31,59.56,0.608
2014-09-29,58.9,59.8,58.74,59.79,0.531
2014-09-30,59.86,60.22,58.17,58.78,1.108
2014-10-01,58.49,58.49,56.6,57.3,1.079
2014-10-02,57.44,58.09,55.8,57.92,0.875
2014-10-03,58.25,60.38,58.21,60.29,1.002
2014-10-06,60.25,61.89,59.96,60.53,1.11
2014-10-07,60.05,60.05,57.72,57.82,0.714
2014-10-08,57.99,59.51,56.3,59.36,0.795
2014-10-09,59.28,60.81,58.34,58.36,1.276
2014-10-10,57.91,58.66,56.47,56.47,1.02
2014-10-13,56.83,57.52,54.11,54.2,1.933
2014-10-14,54.93,56.48,54.13,56.03,1.943
2014-10-15,55.04,57.97,54.05,57.4,1.27
2014-10-16,55.87,58.2,55.56,57.25,1.209
2014-10-17,58.21,61.1,57.75,60.38,1.557
2014-10-20,60.23,61.13,58.93,59.28,1.046
2014-10-21,59.62,61.3,59.54,60.48,1.519
2014-10-22,60.48,60.67,57.87,58.07,1.799
2014-10-23,59.75,65.48,59.52,64.54,5.352
2014-10-24,63.9,66.49,63.7,65.45,2.321
2014-10-27,65.14,65.44,63.97,64.09,1.146
2014-10-28,64.49,67.15,64.21,66.97,1.629
2014-10-29,66.84,66.97,64.95,65.03,1.241
2014-10-30,64.69,66.94,63.86,66.42,1.12
2014-10-31,67.46,69.87,67.19,67.93,1.712
2014-11-03,67.44,67.99,66.01,66.21,1.29
2014-11-04,66.13,67.08,65.96,66.88,0.839
2014-11-05,67.15,67.24,65.24,65.55,0.922
2014-11-06,65.69,67.51,65.62,66.85,1.409
2014-11-07,66.66,68.28,66.12,67.79,0.772
2014-11-10,67.4,69.34,67.09,68.91,1.336
2014-11-11,68.62,69.0,67.94,68.15,0.808
2014-11-12,67.77,68.64,67.35,67.68,1.248
2014-11-13,67.62,68.26,66.51,66.97,0.773
2014-11-14,66.77,67.61,66.51,67.51,0.614
2014-11-17,67.01,67.4,64.37,65.32,1.13
2014-11-18,65.21,65.98,64.62,64.98,0.919
2014-11-19,64.94,65.07,62.69,63.72,0.803
2014-11-20,63.28,64.6,62.69,64.13,1.195
2014-11-21,65.06,65.75,63.74,63.98,0.924
2014-11-24,64.36,64.57,63.51,63.97,0.925
2014-11-25,63.9,63.98,62.76,62.98,0.849
2014-11-26,63.02,64.55,62.86,63.97,0.83
2014-11-28,62.67,64.66,62.0,63.96,0.478
2014-12-01,63.41,63.44,61.16,61.85,1.114
2014-12-02,61.78,61.98,60.48,61.73,1.43
2014-12-03,61.67,62.1,60.58,61.83,1.118
2014-12-04,61.4,62.68,61.15,62.5,0.888
2014-12-05,62.66,62.81,61.98,62.63,0.768
2014-12-08,61.99,63.24,61.32,61.69,1.136
2014-12-09,60.89,62.18,59.58,62.03,0.725
2014-12-10,62.53,63.48,60.97,61.26,1.402
2014-12-11,61.89,62.58,61.15,61.35,0.924
2014-12-12,60.75,61.83,60.51,61.25,1.216
2014-12-15,62.75,63.8,62.09,63.44,1.606
2014-12-16,63.9,65.44,62.65,63.58,1.754
2014-12-17,64.05,66.02,63.0,65.69,1.314
2014-12-18,66.75,68.12,66.68,68.08,1.467
2014-12-19,68.22,69.34,68.06,69.1,1.555
2014-12-22,69.0,70.54,68.99,69.71,1.004
2014-12-23,70.0,70.64,69.52,69.57,0.977
2014-12-24,69.61,70.45,69.33,69.69,0.269
2014-12-26,69.77,70.9,69.53,70.12,0.387
2014-12-29,69.96,69.96,68.25,68.86,0.461
2014-12-30,68.45,69.17,67.09,67.88,0.809
2014-12-31,67.94,68.93,67.62,67.85,0.574
2015-01-02,67.81,68.49,66.27,67.38,0.816
2015-01-05,66.57,68.37,66.43,67.15,0.8
2015-01-06,67.18,67.87,65.17,66.33,0.856
2015-01-07,66.91,67.47,66.0,67.09,0.623
2015-01-08,67.87,69.08,67.44,68.89,0.637
2015-01-09,69.28,69.28,66.23,67.11,1.037
2015-01-12,67.12,68.44,66.5,68.19,0.799
2015-01-13,67.8,69.44,66.46,67.27,0.628
