Date,Open,High,Low,Close,Volume
2014-01-02,28.74,28.78,28.5,28.58,3.896
2014-01-03,28.58,28.85,28.58,28.66,2.473
2014-01-06,28.79,29.3,28.66,28.71,3.808
2014-01-07,28.75,29.05,28.52,28.65,5.67
2014-01-08,28.64,28.84,28.41,28.45,6.504
2014-01-09,28.49,28.58,27.82,28.07,4.995
2014-01-10,28.26,28.41,27.93,28.06,4.682
2014-01-13,27.94,28.08,27.37,27.46,4.146
2014-01-14,27.42,27.8,27.4,27.79,3.155
2014-01-15,27.78,28.14,27.71,28.03,3.043
2014-01-16,28.04,28.12,27.86,28.08,4.885
2014-01-17,28.14,28.14,27.71,28.07,5.668
2014-01-21,28.06,28.25,27.86,28.07,2.433
2014-01-22,28.12,28.39,27.86,27.89,4.934
2014-01-23,27.7,27.74,27.14,27.34,6.312
2014-01-24,27.04,27.48,26.77,26.82,7.038
2014-01-27,26.86,26.97,26.57,26.75,4.163
2014-01-28,26.79,27.21,26.73,27.2,3.093
2014-01-29,27.04,27.47,26.9,27.19,3.48
2014-01-30,27.16,27.68,27.16,27.63,2.798
2014-01-31,27.36,28.05,27.32,27.85,3.629
2014-02-03,27.9,27.98,27.33,27.43,4.993
2014-02-04,27.47,27.58,27.17,27.39,3.882
2014-02-05,27.18,27.5,27.08,27.36,4.631
2014-02-06,27.44,27.68,27.36,27.65,2.636
2014-02-07,27.82,28.03,27.57,27.61,3.85
2014-02-10,27.69,27.73,27.43,27.58,2.893
2014-02-11,27.54,27.82,27.5,27.75,5.459
2014-02-12,27.78,27.84,27.43,27.48,3.176
2014-02-13,27.41,28.28,27.4,28.28,4.296
2014-02-14,28.3,28.66,28.25,28.43,3.181
2014-02-18,28.43,28.79,28.43,28.72,2.46
2014-02-19,28.71,28.92,28.47,28.53,3.529
2014-02-20,28.5,28.79,28.22,28.72,3.336
2014-02-21,28.67,28.85,28.43,28.56,2.665
2014-02-24,28.66,29.1,28.55,28.88,4.171
2014-02-25,28.9,29.01,28.65,28.81,2.861
2014-02-26,28.88,28.9,28.57,28.71,2.884
2014-02-27,28.64,28.79,28.54,28.65,2.466
2014-02-28,28.65,29.33,28.57,29.07,3.844
2014-03-03,28.73,28.91,28.45,28.58,4.06
2014-03-04,28.84,29.14,28.57,28.86,3.623
2014-03-05,28.89,28.98,28.66,28.87,2.446
2014-03-06,28.88,29.17,28.74,28.76,2.453
2014-03-07,28.83,28.86,28.43,28.7,3.437
2014-03-10,28.72,29.1,28.7,29.02,2.934
2014-03-11,29.0,29.58,28.84,29.33,4.239
2014-03-12,29.11,29.92,28.99,29.92,3.751
2014-03-13,29.97,30.14,29.68,29.79,3.558
2014-03-14,29.77,29.99,29.68,29.97,2.45
2014-03-17,30.06,30.08,29.75,29.89,1.473
2014-03-18,29.87,30.22,29.74,30.16,2.172
2014-03-19,30.2,30.64,29.63,29.79,3.597
2014-03-20,30.19,30.48,29.78,30.47,3.384
2014-03-21,30.77,30.93,30.36,30.38,3.732
2014-03-24,30.53,30.7,30.27,30.36,2.229
2014-03-25,30.44,30.77,30.12,30.76,3.128
2014-03-26,30.94,31.05,30.53,30.86,5.051
2014-03-27,30.9,31.31,30.69,31.28,3.363
2014-03-28,31.39,31.56,31.29,31.55,1.921
2014-03-31,31.64,32.04,31.57,31.8,4.807
2014-04-01,31.78,32.02,31.6,31.68,3.608
2014-04-02,31.84,32.2,31.5,32.15,4.934
2014-04-03,32.17,32.43,31.7,31.93,6.289
2014-04-04,32.05,32.74,32.04,32.66,7.8
2014-04-07,32.62,32.78,32.08,32.11,4.462
2014-04-08,32.12,32.44,31.93,32.34,2.888
2014-04-09,32.4,33.03,32.33,32.88,4.146
2014-04-10,32.87,33.02,32.28,32.4,4.004
2014-04-11,32.29,32.4,31.7,31.72,4.295
2014-04-14,31.99,32.24,31.83,32.02,2.196
2014-04-15,31.77,32.75,31.77,32.36,4.006
2014-04-16,32.52,32.74,32.46,32.65,2.971
2014-04-17,32.57,32.79,32.14,32.21,2.223
2014-04-21,32.23,32.6,31.67,32.34,4.34
2014-04-22,32.3,32.4,32.11,32.35,2.403
2014-04-23,32.44,32.74,32.44,32.64,3.992
2014-04-24,32.69,33.05,32.51,32.97,3.524
2014-04-25,32.97,33.23,32.82,33.16,2.085
2014-04-28,33.32,33.45,32.76,32.97,4.165
2014-04-29,32.84,33.07,32.59,32.81,3.558
2014-04-30,32.72,33.01,32.55,32.72,3.443
2014-05-01,32.83,33.58,32.83,33.54,3.316
2014-05-02,33.14,33.94,33.14,33.57,4.508
2014-05-05,33.61,33.77,33.34,33.75,4.311
2014-05-06,34.14,34.55,33.76,34.23,7.169
2014-05-07,34.29,35.15,34.25,35.08,9.309
2014-05-08,34.97,35.14,34.39,34.5,6.501
2014-05-09,34.5,34.62,34.04,34.11,4.807
2014-05-12,34.28,34.42,33.79,34.1,4.408
2014-05-13,34.18,34.28,33.56,33.68,3.941
2014-05-14,33.73,34.24,33.6,34.07,3.802
2014-05-15,34.03,34.09,33.64,33.68,3.546
2014-05-16,33.75,33.81,33.38,33.78,3.747
2014-05-19,33.57,33.81,33.27,33.42,4.073
2014-05-20,33.4,33.63,33.34,33.56,3.259
2014-05-21,33.54,33.74,33.28,33.63,2.96
2014-05-22,33.59,33.83,33.47,33.65,1.971
2014-05-23,33.61,33.9,33.39,33.72,3.267
2014-05-27,34.94,35.33,34.75,35.31,6.466
2014-05-28,35.2,35.43,34.87,35.16,3.308
2014-05-29,35.4,35.57,35.21,35.55,3.581
2014-05-30,35.5,35.7,35.36,35.64,2.96
2014-06-02,35.7,35.9,35.51,35.63,3.053
2014-06-03,35.6,36.07,35.55,36.06,3.962
2014-06-04,36.27,36.36,35.95,36.06,2.517
2014-06-05,36.07,36.48,35.97,36.47,2.42
2014-06-06,36.47,36.48,36.04,36.1,2.597
2014-06-09,36.12,36.47,36.03,36.45,2.383
2014-06-10,36.29,36.51,36.12,36.24,1.835
2014-06-11,36.25,36.48,36.04,36.28,2.226
2014-06-12,36.2,36.37,35.77,35.93,3.578
2014-06-13,36.0,36.81,35.89,36.71,2.402
2014-06-16,36.49,37.02,36.35,36.96,3.083
2014-06-17,36.81,37.09,36.57,36.74,1.957
2014-06-18,36.83,37.57,36.83,37.53,2.858
2014-06-19,37.6,38.09,37.57,37.66,4.883
2014-06-20,37.77,37.86,37.19,37.24,6.264
2014-06-23,37.32,37.44,36.74,37.04,2.706
2014-06-24,37.1,37.39,36.66,36.75,2.38
2014-06-25,36.71,36.93,36.55,36.83,2.728
2014-06-26,36.86,37.03,36.56,36.67,2.488
2014-06-27,36.62,37.09,36.55,37.05,3.003
2014-06-30,37.06,37.42,37.03,37.2,2.675
2014-07-01,37.29,37.39,36.21,36.34,3.603
2014-07-02,36.3,36.44,35.59,35.76,4.134
2014-07-03,35.43,35.68,35.22,35.51,1.993
2014-07-07,35.6,35.68,34.84,34.99,4.588
2014-07-08,35.03,35.47,35.0,35.45,3.187
2014-07-09,35.48,35.83,35.26,35.55,3.015
2014-07-10,35.1,35.54,35.06,35.36,1.989
2014-07-11,35.27,35.4,34.39,34.55,3.596
2014-07-14,34.54,34.57,33.66,33.69,5.98
2014-07-15,33.83,33.92,33.16,33.23,7.456
2014-07-16,33.45,33.5,32.85,32.9,4.173
2014-07-17,32.9,33.0,31.77,31.79,7.401
2014-07-18,31.9,32.4,31.59,32.29,7.311
2014-07-21,32.13,32.2,31.79,31.81,5.65
2014-07-22,31.98,32.01,31.32,31.39,4.892
2014-07-23,31.35,31.82,31.23,31.58,5.699
2014-07-24,31.58,31.85,31.39,31.68,4.114
2014-07-25,31.54,31.8,31.34,31.35,2.829
2014-07-28,31.04,31.98,31.0,31.77,4.078
2014-07-29,31.76,31.85,31.12,31.13,4.9
2014-07-30,30.98,31.3,30.7,30.82,4.476
2014-07-31,30.27,31.2,30.27,30.96,5.949
2014-08-01,30.08,31.16,30.08,30.73,4.386
2014-08-04,30.75,31.08,30.17,31.03,5.096
2014-08-05,31.07,31.23,30.52,30.72,6.272
2014-08-06,30.51,30.58,30.08,30.11,5.793
2014-08-07,30.19,30.54,29.54,29.83,6.225
2014-08-08,29.81,29.81,29.17,29.62,6.636
2014-08-11,29.71,29.84,29.3,29.33,3.684
2014-08-12,29.35,29.52,29.07,29.2,3.917
2014-08-13,29.31,29.34,29.09,29.3,2.444
2014-08-14,29.32,29.58,29.13,29.42,3.17
2014-08-15,29.47,29.63,29.03,29.16,3.841
2014-08-18,29.23,29.32,28.97,29.06,2.638
2014-08-19,29.15,29.71,29.0,29.63,4.951
2014-08-20,29.62,29.87,29.39,29.76,2.547
2014-08-21,29.85,30.35,29.84,30.01,3.052
2014-08-22,30.0,30.06,29.55,29.6,1.914
2014-08-25,29.67,29.86,29.52,29.73,2.654
2014-08-26,29.72,30.0,29.62,29.74,2.488
2014-08-27,29.8,30.48,29.67,30.39,4.188
2014-08-28,30.45,30.53,30.2,30.48,2.48
2014-08-29,30.45,30.82,30.4,30.78,2.454
2014-09-02,30.82,30.88,30.29,30.47,3.325
2014-09-03,30.44,30.65,30.15,30.52,3.819
2014-09-04,30.49,30.61,30.2,30.3,2.216
2014-09-05,30.35,31.18,30.3,30.89,4.68
2014-09-08,30.92,30.96,30.53,30.8,2.216
2014-09-09,30.69,30.83,30.47,30.51,2.987
2014-09-10,30.55,30.83,30.38,30.71,2.772
2014-09-11,30.72,31.01,30.53,30.98,2.926
2014-09-12,30.84,30.91,30.17,30.28,2.763
2014-09-15,30.4,30.5,30.02,30.2,2.477
2014-09-16,30.2,30.74,30.11,30.67,3.959
2014-09-17,30.82,30.99,30.51,30.56,3.449
2014-09-18,30.6,30.89,30.52,30.8,2.871
2014-09-19,30.95,31.29,30.8,31.25,5.386
2014-09-22,31.14,31.28,30.85,30.95,3.534
2014-09-23,31.02,31.05,30.58,30.76,5.841
2014-09-24,30.78,30.81,30.07,30.07,3.121
2014-09-25,30.02,30.26,29.74,29.77,4.1
2014-09-26,29.65,29.85,29.4,29.8,2.923
2014-09-29,29.62,30.48,29.62,30.41,3.928
2014-09-30,30.43,30.69,30.14,30.48,4.08
2014-10-01,30.68,31.35,30.68,31.19,7.929
