Date,Open,High,Low,Close,Volume
2014-01-02,92.33,92.59,91.07,91.31,1.32
2014-01-03,91.8,92.53,91.14,91.37,1.016
2014-01-06,91.49,92.14,89.95,90.0,1.69
2014-01-07,90.4,90.74,90.08,90.54,1.672
2014-01-08,90.54,90.63,89.19,89.91,1.436
2014-01-09,90.3,91.38,90.06,91.31,1.451
2014-01-10,91.0,91.83,90.77,91.59,0.893
2014-01-13,91.64,92.04,89.91,90.19,1.284
2014-01-14,90.25,91.17,89.69,90.76,1.422
2014-01-15,90.83,91.18,90.41,91.16,1.344
2014-01-16,88.49,88.98,87.14,87.76,3.841
2014-01-17,87.63,89.88,87.61,88.99,2.862
2014-01-21,89.26,89.74,88.25,88.71,2.42
2014-01-22,91.54,94.75,91.31,92.94,5.877
2014-01-23,93.81,95.1,93.24,93.66,3.195
2014-01-24,92.02,92.14,89.59,89.61,3.062
2014-01-27,89.8,91.17,89.4,90.32,2.963
2014-01-28,90.24,92.0,90.11,91.26,1.66
2014-01-29,90.53,90.77,89.33,89.8,2.195
2014-01-30,90.64,93.27,90.62,92.76,2.081
2014-01-31,91.52,93.28,91.31,92.59,2.541
2014-02-03,93.13,93.7,89.46,89.58,2.961
2014-02-04,91.33,92.5,89.58,91.79,8.301
2014-02-05,91.39,92.12,89.91,91.76,3.273
2014-02-06,91.9,93.75,91.68,93.57,2.506
2014-02-07,93.7,94.93,92.8,94.74,2.643
2014-02-10,94.52,94.65,92.73,92.92,2.523
2014-02-11,93.25,93.76,92.96,93.11,2.346
2014-02-12,93.46,93.68,92.67,93.6,2.372
2014-02-13,92.57,92.75,91.96,92.47,2.076
2014-02-14,92.43,93.15,92.22,92.84,1.847
2014-02-18,92.87,92.88,90.43,91.4,3.352
2014-02-19,91.15,91.56,90.28,90.32,3.1
2014-02-20,90.48,91.47,90.13,91.02,2.112
2014-02-21,91.26,91.64,90.3,90.47,2.484
2014-02-24,90.86,92.05,90.41,91.27,2.31
2014-02-25,91.11,91.21,89.92,90.64,2.15
2014-02-26,90.75,91.69,90.43,90.69,1.681
2014-02-27,90.41,90.71,89.76,90.61,1.929
2014-02-28,90.69,92.48,90.57,91.91,1.923
2014-03-03,90.96,92.12,90.9,91.76,2.409
2014-03-04,92.93,94.93,92.82,94.15,2.544
2014-03-05,94.46,95.25,93.75,93.99,2.337
