Date,Open,High,Low,Close,Volume
2014-01-02,41.01,41.01,40.42,40.42,2.427
2014-01-03,40.38,40.62,40.22,40.33,1.476
2014-01-06,40.52,40.61,40.06,40.15,2.703
2014-01-07,40.2,40.83,40.09,40.82,2.745
2014-01-08,40.88,41.06,40.69,41.05,2.94
2014-01-09,40.98,41.14,40.51,40.65,3.477
2014-01-10,40.71,40.8,40.27,40.37,2.042
2014-01-13,40.27,40.49,39.61,39.7,3.916
2014-01-14,39.68,40.38,39.6,40.19,4.946
2014-01-15,40.63,43.51,40.33,43.51,11.07
2014-01-16,43.23,43.84,43.18,43.28,5.182
2014-01-17,43.04,44.72,42.79,44.49,6.671
2014-01-21,44.68,45.52,44.51,44.89,5.726
2014-01-22,44.96,45.7,44.8,45.45,6.43
2014-01-23,44.92,45.96,44.92,45.85,4.338
2014-01-24,45.72,45.72,43.92,43.96,5.372
2014-01-27,44.09,44.44,43.67,43.71,2.941
2014-01-28,43.88,43.99,43.39,43.74,4.573
2014-01-29,43.38,43.61,42.7,42.76,3.969
2014-01-30,43.24,43.28,42.63,43.14,2.223
2014-01-31,42.61,42.84,41.92,42.34,3.324
2014-02-03,43.32,43.64,41.7,41.94,5.791
2014-02-04,42.23,42.48,41.41,42.1,2.693
2014-02-05,41.65,41.95,40.69,41.57,4.508
2014-02-06,41.57,42.09,41.45,41.71,4.737
2014-02-07,41.94,42.99,41.55,42.82,3.794
2014-02-10,42.72,43.56,42.59,43.27,4.456
2014-02-11,43.5,43.93,43.11,43.69,6.736
2014-02-12,43.66,44.28,42.46,42.59,9.309
2014-02-13,40.39,41.25,39.85,41.1,11.234
2014-02-14,41.05,41.34,40.68,40.72,5.22
2014-02-18,40.68,40.9,40.58,40.62,3.773
2014-02-19,40.47,40.9,40.46,40.53,3.192
2014-02-20,40.52,40.67,39.8,40.18,5.2
2014-02-21,40.03,40.17,39.65,39.89,4.415
2014-02-24,39.89,40.27,39.73,40.09,3.237
2014-02-25,40.16,40.31,39.65,39.85,3.228
2014-02-26,40.35,40.43,39.73,40.28,3.864
2014-02-27,40.17,40.7,40.06,40.62,3.019
2014-02-28,40.65,40.89,40.17,40.41,2.851
2014-03-03,40.1,40.65,39.85,40.5,3.69
2014-03-04,40.88,41.03,40.0,40.18,4.336
2014-03-05,40.24,40.32,39.66,39.81,4.946
2014-03-06,39.99,40.08,38.55,39.03,7.863
2014-03-07,39.22,39.22,37.53,37.9,11.456
2014-03-10,37.94,38.03,37.6,37.81,6.784
2014-03-11,38.0,38.02,37.4,37.44,6.816
2014-03-12,37.35,37.89,36.99,37.85,6.745
2014-03-13,37.28,37.62,36.62,37.16,10.204
2014-03-14,37.16,37.81,36.53,36.57,8.98
2014-03-17,36.93,37.5,36.62,37.3,9.347
2014-03-18,37.36,37.63,37.19,37.46,4.971
2014-03-19,37.48,37.63,37.01,37.09,4.465
2014-03-20,37.06,37.54,36.98,37.1,9.153
2014-03-21,37.47,37.99,37.14,37.8,7.786
2014-03-24,36.63,36.98,36.04,36.58,8.001
2014-03-25,36.7,37.17,36.63,37.09,4.47
2014-03-26,37.32,37.6,36.69,36.69,6.27
2014-03-27,36.73,36.99,36.26,36.26,10.477
2014-03-28,36.33,36.81,36.1,36.18,5.171
2014-03-31,36.75,37.11,36.23,36.9,4.297
2014-04-01,36.92,37.2,36.58,37.12,3.094
2014-04-02,37.22,37.71,37.1,37.64,3.026
2014-04-03,37.61,37.81,37.35,37.52,2.839
2014-04-04,37.91,38.3,37.32,37.53,8.189
2014-04-07,37.4,37.62,36.29,36.3,5.007
2014-04-08,36.26,37.05,36.14,37.0,3.735
2014-04-09,37.02,37.7,36.89,37.66,3.796
2014-04-10,37.43,37.95,36.42,36.44,4.353
2014-04-11,36.2,36.5,35.88,35.97,3.638
2014-04-14,36.28,36.82,36.08,36.79,3.584
2014-04-15,37.0,37.31,36.58,36.99,4.028
2014-04-16,36.81,36.89,35.74,36.24,4.0
2014-04-17,36.1,36.24,35.53,35.87,3.864
2014-04-21,35.87,36.19,35.8,35.94,2.95
2014-04-22,35.91,36.28,35.91,36.05,4.65
2014-04-23,35.87,36.07,35.45,35.87,3.546
2014-04-24,36.28,36.48,35.59,35.62,6.518
2014-04-25,35.59,35.59,34.95,35.0,2.261
2014-04-28,35.17,35.4,34.21,35.16,3.622
2014-04-29,35.38,35.63,35.21,35.42,2.664
2014-04-30,35.28,35.72,35.1,35.61,2.586
2014-05-01,35.69,36.28,35.32,35.54,2.965
2014-05-02,35.68,35.9,35.26,35.54,2.138
2014-05-05,35.53,35.87,35.26,35.84,1.913
2014-05-06,35.67,35.67,34.87,34.98,3.536
2014-05-07,34.37,34.6,33.34,33.7,7.317
2014-05-08,33.67,34.21,33.49,33.84,3.978
2014-05-09,33.87,34.24,33.58,34.19,3.104
2014-05-12,33.72,34.05,33.39,33.59,4.887
2014-05-13,33.81,34.88,33.63,34.8,5.942
2014-05-14,34.57,35.0,34.4,34.57,3.841
2014-05-15,34.53,34.78,33.99,34.7,5.309
2014-05-16,34.61,34.86,33.41,33.72,7.406
2014-05-19,33.63,34.38,33.63,34.29,4.562
2014-05-20,34.07,34.25,33.66,33.95,4.339
2014-05-21,34.13,34.63,34.02,34.49,4.728
2014-05-22,34.83,36.67,34.82,36.16,10.436
2014-05-23,36.34,36.44,35.16,35.76,8.484
2014-05-27,35.86,36.64,35.73,36.63,4.492
2014-05-28,36.58,36.98,36.27,36.84,5.289
2014-05-29,37.0,37.17,36.65,37.05,3.562
2014-05-30,37.01,37.11,36.68,37.01,4.354
2014-06-02,36.19,37.69,36.19,37.51,5.458
2014-06-03,37.31,37.41,36.34,36.59,4.817
