Date,Open,High,Low,Close,Volume
2014-01-02,61.76,61.95,60.67,60.89,1.011
2014-01-03,61.2,61.6,60.99,61.3,0.873
2014-01-06,61.47,61.79,60.58,60.92,1.518
2014-01-07,61.11,61.91,60.77,61.7,1.156
2014-01-08,61.57,62.14,61.25,62.02,2.321
2014-01-09,62.16,62.38,61.29,61.49,0.909
2014-01-10,61.06,61.49,60.85,61.12,0.862
2014-01-13,61.04,61.23,60.26,60.43,1.026
2014-01-14,60.65,60.97,60.42,60.6,1.118
2014-01-15,60.94,61.39,60.81,61.2,1.33
2014-01-16,61.04,61.35,60.73,61.05,1.08
2014-01-17,61.19,61.33,60.33,60.71,1.569
2014-01-21,61.16,61.59,60.4,60.61,1.525
2014-01-22,61.78,63.0,60.76,62.61,4.2
2014-01-23,62.76,62.95,61.75,62.6,1.984
2014-01-24,61.16,62.18,61.09,61.13,1.936
2014-01-27,61.24,61.49,60.51,60.55,1.436
2014-01-28,60.39,61.08,60.32,60.76,1.448
2014-01-29,60.32,61.17,60.24,60.7,1.562
2014-01-30,61.09,61.34,60.42,61.12,0.955
2014-01-31,60.28,60.78,59.83,60.22,1.26
2014-02-03,60.3,60.4,58.31,58.4,1.452
2014-02-04,58.6,59.93,58.31,59.78,1.51
2014-02-05,59.65,59.98,59.13,59.16,0.938
2014-02-06,59.22,59.95,58.98,59.75,0.795
2014-02-07,60.0,60.93,59.8,60.73,0.96
2014-02-10,60.72,60.89,60.38,60.85,0.556
2014-02-11,60.8,61.99,60.42,61.77,0.839
2014-02-12,61.81,62.39,61.61,61.87,1.156
2014-02-13,61.53,62.11,61.36,62.04,0.896
2014-02-14,61.89,62.39,61.75,62.25,0.769
2014-02-18,62.0,62.46,61.58,62.22,0.788
2014-02-19,61.86,62.34,61.4,61.43,1.066
2014-02-20,61.54,61.97,60.98,61.54,0.927
2014-02-21,61.67,62.29,61.12,61.9,0.86
2014-02-24,61.83,62.84,61.83,62.45,0.948
2014-02-25,62.53,62.53,61.76,61.86,0.676
2014-02-26,62.01,62.16,61.27,61.72,0.87
2014-02-27,61.48,62.19,61.47,62.18,0.84
2014-02-28,62.05,62.49,61.55,61.85,1.548
2014-03-03,61.43,62.0,60.78,61.33,1.185
2014-03-04,62.01,62.38,61.81,62.29,0.991
2014-03-05,61.67,62.15,61.59,62.13,0.711
2014-03-06,62.37,63.0,62.07,62.82,0.813
2014-03-07,62.96,64.26,62.9,64.02,1.549
2014-03-10,63.85,64.4,63.55,64.12,0.781
2014-03-11,63.01,63.88,62.91,63.14,0.726
2014-03-12,62.67,63.02,62.34,62.7,0.729
2014-03-13,63.0,63.0,61.71,61.8,1.014
2014-03-14,61.91,62.28,61.65,62.04,0.906
2014-03-17,62.5,62.99,62.32,62.75,0.646
2014-03-18,62.7,63.16,62.45,63.08,0.984
2014-03-19,63.12,64.01,62.69,63.92,1.403
2014-03-20,63.67,66.1,63.43,65.58,2.497
2014-03-21,66.47,67.17,65.67,65.77,2.363
2014-03-24,65.97,66.41,65.03,65.65,1.439
2014-03-25,66.09,66.36,64.84,65.31,1.02
2014-03-26,65.75,65.79,64.65,64.67,0.852
2014-03-27,64.66,64.93,63.68,64.32,1.297
2014-03-28,64.61,65.4,64.32,64.91,0.761
2014-03-31,65.44,65.76,64.94,65.56,0.787
2014-04-01,65.78,65.98,65.29,65.75,0.833
2014-04-02,65.71,65.84,65.34,65.64,2.18
2014-04-03,65.9,65.94,65.19,65.47,1.543
2014-04-04,65.77,65.86,64.01,64.16,1.541
2014-04-07,64.2,64.36,62.57,62.83,1.726
2014-04-08,62.79,63.25,62.1,62.58,1.888
2014-04-09,62.84,62.9,62.27,62.78,1.106
2014-04-10,62.87,62.88,61.4,61.56,1.621
2014-04-11,60.97,61.29,60.58,60.59,1.282
2014-04-14,61.37,61.62,60.62,61.22,1.495
2014-04-15,58.38,60.16,58.3,59.63,3.197
2014-04-16,60.53,60.58,58.55,59.04,3.107
2014-04-17,58.92,59.77,58.85,59.39,1.923
2014-04-21,59.65,60.18,59.48,59.91,1.354
2014-04-22,59.69,60.7,59.19,60.29,1.181
2014-04-23,60.15,61.02,60.15,60.84,1.142
2014-04-24,61.19,61.23,60.2,60.24,1.378
2014-04-25,60.05,60.18,59.39,59.47,1.433
2014-04-28,59.63,59.69,58.69,59.2,1.401
2014-04-29,59.61,60.28,59.4,60.02,0.859
2014-04-30,59.85,60.41,58.62,60.25,0.917
2014-05-01,60.27,60.94,59.87,60.06,0.932
2014-05-02,59.97,61.27,58.61,60.49,0.788
2014-05-05,60.04,60.33,59.62,60.15,0.422
2014-05-06,59.82,60.05,59.38,59.44,0.806
2014-05-07,59.77,60.71,59.31,60.64,0.803
2014-05-08,60.72,61.63,59.88,61.04,1.212
2014-05-09,61.32,61.7,60.45,61.11,0.982
2014-05-12,61.26,61.83,61.21,61.76,0.601
2014-05-13,61.7,61.92,61.43,61.72,0.765
2014-05-14,61.68,61.75,60.72,60.88,0.732
2014-05-15,60.79,61.01,58.72,59.62,1.622
2014-05-16,59.76,59.97,58.99,59.81,1.078
2014-05-19,59.58,60.25,59.58,60.08,0.747
2014-05-20,59.98,60.37,59.42,59.57,0.6
2014-05-21,59.85,60.26,59.61,59.88,0.811
2014-05-22,59.86,60.49,59.76,60.33,0.604
2014-05-23,60.25,60.51,60.01,60.36,0.677
2014-05-27,60.58,61.11,60.47,60.84,0.874
2014-05-28,60.96,61.15,60.43,60.78,0.832
2014-05-29,60.87,60.94,60.21,60.49,0.712
2014-05-30,60.5,60.63,60.24,60.4,0.794
2014-06-02,60.46,60.88,60.2,60.83,0.441
2014-06-03,60.57,60.98,60.5,60.94,0.561
2014-06-04,60.54,61.37,60.52,61.29,0.667
2014-06-05,61.34,61.84,60.96,61.63,0.503
2014-06-06,61.92,62.49,61.73,62.21,0.887
2014-06-09,62.07,62.89,62.07,62.64,0.799
2014-06-10,62.37,62.76,62.27,62.69,0.456
2014-06-11,62.34,62.37,61.98,62.1,0.431
2014-06-12,62.15,62.62,61.79,62.2,0.778
2014-06-13,62.3,62.77,61.98,62.21,0.639
2014-06-16,62.02,62.56,61.65,62.25,1.0
2014-06-17,61.97,64.97,61.81,63.89,2.331
2014-06-18,63.83,64.72,63.43,64.39,2.22
2014-06-19,64.54,64.57,63.72,64.12,1.019
2014-06-20,64.51,64.51,63.83,64.29,1.743
2014-06-23,64.16,64.47,63.75,64.11,0.778
2014-06-24,63.9,64.62,63.78,63.88,1.001
2014-06-25,63.63,64.2,63.32,64.15,0.666
2014-06-26,64.04,64.19,63.09,64.07,0.72
2014-06-27,63.91,64.52,63.69,64.45,0.944
2014-06-30,64.47,64.9,64.11,64.21,1.246
2014-07-01,64.51,64.99,64.23,64.5,1.08
2014-07-02,64.31,64.92,63.98,64.06,0.992
2014-07-03,64.39,65.28,64.14,64.89,0.654
2014-07-07,64.6,64.83,64.08,64.8,0.627
2014-07-08,64.52,64.56,63.84,64.12,0.615
2014-07-09,64.48,64.71,63.76,64.02,0.974
2014-07-10,63.54,64.05,63.11,63.83,0.627
2014-07-11,63.83,64.49,63.36,64.41,0.853
2014-07-14,64.95,65.23,64.23,64.43,1.164
2014-07-15,64.47,65.2,64.33,64.48,1.521
2014-07-16,64.9,65.74,63.92,64.48,1.506
2014-07-17,64.15,64.68,63.9,64.34,1.415
2014-07-18,64.7,65.19,64.27,65.02,1.294
2014-07-21,64.56,65.53,64.56,65.49,1.127
2014-07-22,65.5,66.19,65.41,66.07,1.46
2014-07-23,66.01,66.63,65.76,66.39,1.442
2014-07-24,66.4,67.26,66.37,67.11,1.116
2014-07-25,67.11,67.37,66.95,67.13,1.144
2014-07-28,67.15,67.45,66.81,67.18,1.05
2014-07-29,66.63,67.7,66.63,67.11,0.994
2014-07-30,67.5,68.11,66.84,67.88,1.368
2014-07-31,67.64,67.92,66.89,66.89,1.46
2014-08-01,66.8,66.94,65.99,66.14,1.293
2014-08-04,66.14,66.64,65.93,66.5,1.049
2014-08-05,66.12,66.5,65.45,65.68,0.814
2014-08-06,65.53,66.62,65.41,65.9,1.118
2014-08-07,66.24,66.47,65.45,65.69,2.076
