Date,Open,High,Low,Close,Volume
2014-01-02,53.29,53.38,52.51,52.73,1.604
2014-01-03,52.75,52.94,52.51,52.78,0.849
2014-01-06,52.92,53.0,52.2,52.53,1.46
2014-01-07,52.62,53.12,52.59,52.79,1.726
2014-01-08,52.77,53.4,52.44,53.07,2.121
2014-01-09,53.32,53.36,52.52,52.74,1.684
2014-01-10,52.88,52.99,52.38,52.95,1.411
2014-01-13,52.78,53.05,51.43,51.54,2.299
2014-01-14,51.46,51.72,50.82,51.57,2.686
2014-01-15,51.53,51.88,51.29,51.54,1.577
2014-01-16,51.63,51.95,51.49,51.82,1.502
2014-01-17,51.92,52.1,51.3,51.38,3.29
2014-01-21,51.57,51.58,50.42,50.75,2.352
2014-01-22,50.9,51.08,50.39,50.7,2.034
2014-01-23,50.54,50.61,49.93,50.16,1.848
2014-01-24,49.79,49.81,48.62,48.76,3.21
2014-01-27,48.78,49.08,48.03,48.42,2.667
2014-01-28,49.0,50.96,48.25,48.99,3.536
2014-01-29,48.36,48.86,47.82,48.43,3.126
2014-01-30,48.67,48.8,47.84,48.59,1.977
2014-01-31,48.18,48.84,47.77,48.35,1.873
2014-02-03,48.25,48.46,46.55,46.62,2.358
2014-02-04,46.95,47.07,46.39,46.78,2.315
2014-02-05,46.83,47.32,46.65,47.19,2.135
2014-02-06,47.21,48.42,47.16,48.32,3.528
2014-02-07,48.59,48.77,47.83,48.45,2.212
2014-02-10,48.46,48.5,48.03,48.21,1.848
2014-02-11,48.29,49.07,48.18,48.9,4.272
2014-02-12,49.12,50.5,49.12,50.23,3.052
2014-02-13,49.76,50.58,49.73,50.55,1.619
2014-02-14,50.54,51.4,50.45,51.33,1.593
2014-02-18,51.3,51.55,51.04,51.33,1.828
2014-02-19,51.05,51.49,50.63,50.67,2.038
2014-02-20,50.64,51.15,50.46,51.09,1.426
2014-02-21,51.18,51.23,50.38,50.42,1.933
2014-02-24,50.52,50.52,49.69,49.7,1.853
2014-02-25,49.54,49.67,48.66,49.24,2.133
2014-02-26,49.36,49.85,49.21,49.56,1.25
2014-02-27,49.64,50.44,49.64,50.36,1.184
2014-02-28,50.31,50.6,49.85,50.24,1.181
2014-03-03,49.89,50.22,49.29,49.56,1.814
2014-03-04,50.05,50.69,50.0,50.59,1.552
2014-03-05,50.49,50.88,50.27,50.78,1.187
2014-03-06,50.97,51.44,50.49,50.59,2.488
2014-03-07,50.72,50.77,49.93,50.15,2.197
2014-03-10,49.87,50.06,49.37,49.58,1.833
2014-03-11,49.89,49.91,49.31,49.37,1.649
2014-03-12,49.24,49.66,48.92,48.95,1.938
2014-03-13,49.08,49.43,48.24,48.65,2.472
2014-03-14,48.12,48.52,47.88,48.5,3.051
2014-03-17,48.79,49.89,48.79,49.47,2.087
2014-03-18,49.31,50.0,49.04,49.89,2.469
2014-03-19,49.86,49.86,49.29,49.57,1.882
2014-03-20,49.28,49.8,49.09,49.78,1.381
2014-03-21,50.13,51.72,49.94,51.23,5.484
2014-03-24,51.29,51.42,50.41,50.91,2.029
2014-03-25,51.24,51.71,51.12,51.32,1.836
2014-03-26,51.72,51.98,50.71,50.71,1.976
2014-03-27,50.33,50.52,49.96,50.19,1.41
2014-03-28,50.42,50.51,49.83,50.06,1.452
2014-03-31,50.37,50.78,50.23,50.54,1.46
2014-04-01,50.8,50.97,50.43,50.63,1.584
2014-04-02,50.61,51.23,50.56,51.12,1.378
2014-04-03,51.2,51.98,51.08,51.55,1.48
2014-04-04,51.89,52.18,50.86,51.1,1.75
2014-04-07,51.09,51.45,50.46,50.86,1.485
2014-04-08,51.07,51.91,50.92,51.57,2.282
2014-04-09,51.81,52.73,51.79,52.51,1.837
2014-04-10,52.48,52.48,51.09,51.2,2.116
2014-04-11,50.8,51.13,50.35,50.69,2.166
2014-04-14,51.24,52.1,51.13,51.83,2.035
2014-04-15,51.69,51.71,50.58,51.68,1.701
2014-04-16,51.99,52.21,51.33,52.21,1.988
2014-04-17,51.95,52.58,51.79,52.14,3.07
2014-04-21,52.1,52.46,51.82,52.05,1.704
2014-04-22,52.54,52.54,51.84,52.24,1.83
2014-04-23,52.18,52.66,51.85,52.54,2.336
2014-04-24,52.54,52.54,51.11,51.49,2.63
2014-04-25,51.1,51.8,50.83,51.11,1.922
2014-04-28,51.1,51.14,50.26,50.73,1.722
2014-04-29,51.03,51.7,50.8,51.66,1.907
2014-04-30,51.47,51.84,51.36,51.75,1.322
2014-05-01,51.65,52.16,51.39,51.89,1.182
2014-05-02,52.0,52.83,51.87,52.35,1.305
2014-05-05,52.14,52.22,51.4,51.72,1.211
2014-05-06,51.77,51.9,51.36,51.4,0.757
2014-05-07,51.5,52.5,51.5,52.46,1.607
2014-05-08,52.39,52.89,51.81,52.03,1.026
2014-05-09,51.88,52.03,51.41,51.66,1.045
2014-05-12,52.14,53.19,52.1,53.16,1.431
2014-05-13,53.11,53.22,52.51,52.62,1.226
2014-05-14,52.78,53.37,52.68,52.95,1.379
2014-05-15,52.9,52.93,51.7,52.17,1.152
2014-05-16,52.09,52.37,51.51,52.14,1.166
2014-05-19,52.04,52.48,52.02,52.43,1.167
2014-05-20,52.08,52.38,51.08,51.3,1.31
2014-05-21,51.5,51.81,50.93,51.36,1.953
2014-05-22,51.5,51.57,50.86,50.94,1.782
2014-05-23,51.06,51.52,50.86,51.47,1.0
2014-05-27,51.56,52.03,51.43,51.91,0.852
2014-05-28,51.93,52.1,51.22,51.27,1.008
2014-05-29,51.37,51.77,50.99,51.7,1.189
2014-05-30,51.26,51.35,50.44,50.63,1.892
2014-06-02,50.74,50.76,50.21,50.39,1.559
2014-06-03,50.13,50.39,49.85,50.38,1.492
2014-06-04,50.18,50.75,50.1,50.2,1.877
2014-06-05,50.41,51.25,50.2,50.97,1.444
2014-06-06,51.02,51.48,50.7,51.23,1.555
2014-06-09,51.24,51.42,50.62,50.79,1.585
2014-06-10,50.7,50.94,50.47,50.69,0.926
2014-06-11,50.6,50.88,50.42,50.79,1.133
2014-06-12,50.65,50.68,50.12,50.3,1.124
2014-06-13,50.4,50.95,50.29,50.84,1.302
2014-06-16,50.85,51.06,50.29,50.39,1.283
2014-06-17,50.3,51.41,50.07,51.18,1.461
2014-06-18,51.45,51.99,51.24,51.96,1.51
2014-06-19,51.93,52.22,51.55,51.68,1.105
2014-06-20,50.47,51.15,50.16,50.52,3.455
2014-06-23,50.42,50.43,49.59,50.16,2.709
2014-06-24,50.15,50.37,49.81,49.89,2.178
2014-06-25,49.89,50.38,49.72,50.31,1.774
2014-06-26,50.03,50.22,49.65,49.85,1.575
2014-06-27,49.64,49.83,48.98,49.09,2.504
2014-06-30,49.0,49.34,48.72,49.25,1.876
2014-07-01,49.43,49.69,49.14,49.15,1.461
2014-07-02,49.23,49.73,49.2,49.66,1.383
2014-07-03,49.74,50.75,49.72,50.53,1.748
2014-07-07,50.14,50.24,49.58,49.68,2.32
2014-07-08,49.91,50.0,49.32,49.84,1.368
2014-07-09,49.93,50.47,49.89,50.2,1.932
2014-07-10,49.85,50.1,49.58,49.68,1.318
2014-07-11,49.26,49.72,49.19,49.42,1.809
2014-07-14,49.7,49.75,49.03,49.23,1.52
2014-07-15,49.39,49.73,49.18,49.6,1.68
2014-07-16,49.99,50.66,49.96,50.5,2.014
2014-07-17,50.09,50.45,49.71,49.8,1.516
2014-07-18,49.92,50.49,49.86,50.27,1.975
2014-07-21,50.19,50.64,49.92,50.45,1.536
2014-07-22,50.65,50.88,50.56,50.69,1.329
2014-07-23,50.73,51.05,50.41,51.0,2.709
2014-07-24,51.83,52.94,50.91,51.11,1.858
2014-07-25,51.1,51.35,50.85,51.33,1.342
2014-07-28,51.22,51.61,50.96,51.24,1.208
2014-07-29,51.41,51.61,51.0,51.02,1.128
2014-07-30,51.66,51.81,51.14,51.24,1.87
2014-07-31,50.8,51.26,50.15,50.22,1.65
2014-08-01,49.89,50.69,49.52,49.81,1.518
2014-08-04,50.04,50.27,49.55,50.19,1.203
2014-08-05,49.91,50.57,49.7,49.97,1.143
2014-08-06,49.79,50.83,49.79,50.63,1.398
2014-08-07,50.74,50.87,49.88,50.09,1.243
2014-08-08,50.07,51.09,50.01,51.07,0.956
2014-08-11,51.3,51.49,50.94,50.97,1.181
2014-08-12,50.95,51.13,50.67,51.04,0.927
2014-08-13,51.21,52.52,51.17,52.49,2.239
2014-08-14,52.62,52.67,51.99,52.19,1.731
2014-08-15,52.53,52.65,51.94,52.0,1.396
2014-08-18,52.34,53.66,52.31,53.65,2.672
2014-08-19,53.81,54.28,53.63,54.0,2.076
2014-08-20,53.9,54.39,53.75,54.07,1.181
2014-08-21,53.95,54.02,53.59,53.75,1.205
2014-08-22,53.59,53.92,53.47,53.75,1.174
2014-08-25,54.06,54.3,53.81,54.03,0.94
2014-08-26,54.17,54.6,54.11,54.36,1.066
2014-08-27,54.36,54.6,54.04,54.31,0.905
2014-08-28,53.84,54.01,53.54,53.96,0.842
2014-08-29,54.15,54.38,53.91,54.32,0.849
2014-09-02,54.32,54.45,53.91,53.92,1.483
2014-09-03,54.51,55.26,54.51,55.02,1.812
2014-09-04,55.0,56.09,54.97,55.79,2.394
2014-09-05,55.69,56.07,55.48,56.04,1.24
2014-09-08,56.0,56.05,55.14,55.43,1.599
2014-09-09,55.38,55.6,54.99,55.2,1.304
2014-09-10,55.19,55.24,54.57,54.85,1.165
2014-09-11,54.68,55.17,54.64,55.17,0.979
2014-09-12,55.01,55.17,54.72,54.96,1.659
2014-09-15,55.75,56.58,55.25,55.35,2.552
2014-09-16,55.07,55.88,54.92,55.62,1.822
2014-09-17,57.9,58.76,57.25,57.81,6.157
2014-09-18,58.3,58.34,57.54,58.09,2.814
2014-09-19,58.29,58.31,57.5,57.64,2.782
2014-09-22,57.24,57.56,56.7,56.96,2.311
2014-09-23,56.96,57.24,56.6,56.7,1.621
2014-09-24,56.87,56.89,55.81,56.17,3.38
2014-09-25,55.94,56.0,54.82,55.25,2.629
2014-09-26,55.25,55.29,54.63,55.23,1.619
2014-09-29,54.79,55.03,54.47,54.56,1.678
2014-09-30,54.55,54.91,53.84,54.28,1.782
2014-10-01,54.28,54.29,52.57,52.83,2.357
2014-10-02,52.85,52.96,51.54,52.38,2.383
2014-10-03,52.34,52.86,51.82,51.98,2.003
2014-10-06,52.31,52.48,51.2,51.45,2.617
2014-10-07,51.15,51.68,50.52,50.53,2.618
2014-10-08,50.56,51.4,49.8,51.35,2.864
2014-10-09,51.31,51.31,49.57,49.63,2.197
2014-10-10,49.39,49.97,48.69,48.71,2.606
2014-10-13,49.07,49.74,48.16,48.22,3.238
2014-10-14,48.72,49.73,48.45,49.01,2.461
2014-10-15,48.22,49.32,47.27,49.07,3.136
2014-10-16,47.91,50.02,47.91,49.55,2.141
2014-10-17,49.97,50.69,49.67,49.91,2.673
