Date,Open,High,Low,Close,Volume
2014-01-02,995.01,1017.75,995.01,1017.1,0.059
2014-01-03,1017.21,1022.45,1013.61,1019.35,0.042
2014-01-06,1016.01,1027.99,1013.0,1025.63,0.055
2014-01-07,1025.0,1025.0,1009.01,1013.88,0.034
2014-01-08,1012.98,1019.17,1004.08,1009.9,0.042
2014-01-09,1019.0,1022.93,1000.0,1015.0,0.055
2014-01-10,1018.07,1026.79,1005.34,1010.22,0.054
2014-01-13,1004.01,1009.61,991.05,997.49,0.034
2014-01-14,995.05,1011.02,993.0,1011.02,0.032
2014-01-15,1005.27,1025.0,1000.01,1017.1,0.036
2014-01-16,1008.34,1016.43,1000.0,1016.17,0.035
2014-01-17,1015.63,1020.35,1008.34,1014.32,0.023
2014-01-21,1038.85,1038.85,1009.01,1015.91,0.026
2014-01-22,1017.47,1029.98,1015.0,1025.6,0.04
2014-01-23,1013.05,1022.98,1009.05,1020.05,0.055
2014-01-24,1016.9,1016.9,1004.0,1008.36,0.067
2014-01-27,1008.0,1090.49,1008.0,1061.29,0.096
2014-01-28,1050.1,1116.54,1050.1,1112.59,0.088
2014-01-29,1094.0,1123.68,1082.1,1112.35,0.089
2014-01-30,1112.0,1134.95,1104.98,1120.2,0.086
2014-01-31,1103.3,1197.45,1103.3,1153.41,0.124
2014-02-03,1142.51,1155.76,1126.16,1137.0,0.114
2014-02-04,1140.01,1172.83,1135.0,1164.02,0.068
2014-02-05,1159.86,1174.0,1147.01,1170.15,0.074
2014-02-06,1160.0,1178.0,1159.64,1175.99,0.044
2014-02-07,1176.0,1188.65,1170.99,1187.57,0.028
2014-02-10,1184.21,1185.49,1170.1,1178.74,0.083
2014-02-11,1170.01,1181.97,1159.33,1161.11,0.051
2014-02-12,1153.01,1163.44,1142.01,1154.49,0.076
2014-02-13,1154.0,1172.67,1140.17,1172.67,0.034
2014-02-14,1167.01,1182.45,1167.01,1182.45,0.025
2014-02-18,1180.0,1181.95,1161.14,1169.65,0.042
2014-02-19,1169.0,1169.35,1153.68,1156.84,0.073
