Date,Open,High,Low,Close,Volume
2014-01-02,18.05,18.17,17.82,17.95,3.673
2014-01-03,17.93,18.01,17.78,17.82,2.017
2014-01-06,17.88,17.96,17.48,17.58,3.388
2014-01-07,17.65,17.65,17.33,17.4,3.266
2014-01-08,17.35,17.4,17.15,17.29,4.11
2014-01-09,17.38,17.48,17.27,17.34,2.853
2014-01-10,17.41,17.52,17.28,17.4,2.064
2014-01-13,17.41,17.44,17.07,17.15,2.656
2014-01-14,17.2,17.35,17.13,17.3,1.935
2014-01-15,17.24,17.33,17.1,17.21,2.209
2014-01-16,17.2,17.26,17.05,17.08,2.833
2014-01-17,17.09,17.18,16.94,17.08,2.103
2014-01-21,17.15,17.15,16.69,16.76,4.665
2014-01-22,16.75,16.99,16.56,16.65,3.11
2014-01-23,16.5,16.58,16.36,16.53,3.085
2014-01-24,16.27,16.33,16.01,16.17,6.996
2014-01-27,16.25,16.56,16.19,16.39,6.241
2014-01-28,16.38,16.46,16.23,16.24,4.468
2014-01-29,16.09,16.28,16.01,16.22,5.574
2014-01-30,16.28,16.3,16.16,16.2,9.436
2014-01-31,16.14,16.24,15.95,15.96,3.04
2014-02-03,16.0,16.06,15.48,15.52,4.73
2014-02-04,15.55,15.72,15.44,15.52,8.118
2014-02-05,15.56,15.9,15.55,15.61,5.806
2014-02-06,15.64,16.11,15.61,16.02,4.985
2014-02-07,17.48,18.0,17.07,17.41,13.192
2014-02-10,17.03,17.59,16.97,17.51,6.085
2014-02-11,17.53,18.0,17.41,17.93,6.908
2014-02-12,17.93,18.05,17.6,17.65,3.31
2014-02-13,17.55,17.82,17.41,17.66,2.169
2014-02-14,17.62,17.84,17.54,17.68,1.828
2014-02-18,17.72,17.82,17.56,17.75,2.359
2014-02-19,17.7,17.86,17.56,17.59,2.218
2014-02-20,17.6,17.64,17.31,17.5,2.55
2014-02-21,17.45,17.76,17.44,17.68,3.194
2014-02-24,17.75,18.05,17.74,17.94,2.473
2014-02-25,17.93,18.11,17.9,17.96,2.397
2014-02-26,17.95,18.14,17.83,18.03,2.276
2014-02-27,17.95,18.06,17.86,18.02,2.363
2014-02-28,18.06,18.4,17.92,18.33,2.515
2014-03-03,18.19,18.34,17.95,18.12,3.592
2014-03-04,18.2,18.41,18.15,18.4,3.161
2014-03-05,18.43,18.53,18.13,18.3,2.322
2014-03-06,18.32,18.43,18.19,18.28,1.898
2014-03-07,18.3,18.36,17.84,17.91,2.501
2014-03-10,17.96,18.0,17.71,17.76,1.938
2014-03-11,17.76,17.81,17.52,17.71,1.971
2014-03-12,17.7,17.89,17.4,17.83,2.782
2014-03-13,17.82,17.91,17.31,17.34,2.515
2014-03-14,17.37,17.64,17.25,17.43,2.372
2014-03-17,17.55,17.81,17.29,17.39,1.707
2014-03-18,17.42,17.74,17.38,17.71,3.081
2014-03-19,17.67,17.8,17.46,17.55,2.406
2014-03-20,17.45,17.57,17.32,17.51,1.291
2014-03-21,17.73,17.73,17.33,17.58,4.658
2014-03-24,17.6,17.67,17.39,17.47,2.296
2014-03-25,17.57,17.59,17.27,17.36,2.259
2014-03-26,17.37,17.42,17.02,17.03,3.216
2014-03-27,17.09,17.23,16.99,17.02,4.11
2014-03-28,17.01,17.28,17.0,17.03,2.012
2014-03-31,17.15,17.25,17.0,17.22,2.399
2014-04-01,17.34,17.5,17.2,17.44,3.303
2014-04-02,17.4,17.52,17.27,17.44,2.374
2014-04-03,17.47,17.52,17.09,17.11,3.713
2014-04-04,17.23,17.54,17.11,17.12,2.829
2014-04-07,17.11,17.38,17.0,17.08,3.029
2014-04-08,17.18,17.21,16.92,17.05,2.52
2014-04-09,17.06,17.22,16.96,17.2,1.704
2014-04-10,17.23,17.32,16.83,16.83,2.395
2014-04-11,16.78,17.16,16.47,16.54,3.203
2014-04-14,16.66,16.81,16.5,16.77,2.453
2014-04-15,16.78,16.95,16.32,16.63,2.192
2014-04-16,16.72,16.9,16.45,16.79,1.6
2014-04-17,16.72,17.02,16.72,16.88,1.113
2014-04-21,16.87,17.04,16.55,16.95,1.777
2014-04-22,16.94,17.05,16.73,17.01,1.297
2014-04-23,17.03,17.24,16.93,17.23,1.563
2014-04-24,17.29,17.44,17.01,17.28,1.958
2014-04-25,17.26,17.26,17.08,17.13,1.167
2014-04-28,17.17,17.22,16.82,17.13,1.787
2014-04-29,17.25,17.42,17.11,17.21,2.23
2014-04-30,17.2,17.2,16.78,17.02,2.781
2014-05-01,17.21,17.39,17.06,17.3,2.418
2014-05-02,17.23,17.44,17.02,17.31,2.118
2014-05-05,17.26,17.43,17.14,17.4,1.564
2014-05-06,17.32,17.34,17.13,17.14,1.909
2014-05-07,17.14,17.2,16.92,17.08,2.509
2014-05-08,17.09,17.17,16.88,17.11,3.886
2014-05-09,17.51,18.02,17.27,18.0,4.624
2014-05-12,18.05,18.18,17.76,17.85,2.926
2014-05-13,17.84,17.94,17.65,17.72,2.205
