Date,Open,High,Low,Close,Volume
2014-01-02,44.7,44.7,43.62,43.92,3.773
2014-01-03,44.11,44.34,43.08,43.56,3.634
2014-01-06,43.93,44.0,42.77,43.12,2.58
2014-01-07,43.29,43.58,42.68,42.97,3.207
2014-01-08,43.15,43.92,42.9,43.83,2.239
2014-01-09,43.95,44.21,42.9,43.06,3.617
2014-01-10,43.32,43.45,42.7,43.0,4.832
2014-01-13,43.06,43.49,42.42,42.94,4.312
2014-01-14,43.21,44.21,43.0,44.12,6.31
2014-01-15,44.64,45.67,44.42,45.39,2.821
2014-01-16,45.54,46.06,45.12,46.0,2.142
2014-01-17,45.85,47.2,45.85,46.72,3.245
2014-01-21,47.75,47.8,46.36,46.66,2.398
2014-01-22,46.62,47.88,46.5,47.85,1.876
2014-01-23,47.32,47.9,47.09,47.85,2.816
2014-01-24,47.79,47.85,45.38,45.58,3.619
2014-01-27,45.93,46.42,45.46,46.0,3.347
2014-01-28,46.0,47.15,45.68,46.69,2.218
2014-01-29,46.75,47.94,46.67,47.26,3.643
2014-01-30,47.76,48.35,47.46,47.85,1.696
2014-01-31,47.5,48.55,47.14,48.35,2.619
2014-02-03,48.63,48.65,45.22,45.82,3.868
2014-02-04,46.72,47.02,45.7,47.0,2.372
2014-02-05,46.63,47.12,46.3,47.0,4.924
2014-02-06,47.26,49.88,46.56,49.6,6.894
2014-02-07,49.18,52.06,49.18,52.05,6.753
2014-02-10,51.38,52.45,51.31,52.24,4.085
2014-02-11,52.42,52.59,51.99,52.08,2.586
2014-02-12,52.08,53.17,52.08,52.63,2.734
2014-02-13,52.2,54.07,52.1,53.62,5.198
2014-02-14,55.0,56.24,54.18,55.6,6.878
2014-02-18,56.0,56.88,55.27,56.79,4.098
2014-02-19,56.93,57.38,56.57,56.79,3.589
2014-02-20,57.1,57.8,56.58,56.74,4.482
2014-02-21,57.16,57.17,55.55,56.15,3.42
2014-02-24,56.44,56.76,55.54,55.55,2.982
2014-02-25,55.92,56.1,55.07,56.02,2.727
2014-02-26,56.1,56.77,55.44,55.55,3.704
2014-02-27,55.75,56.77,55.44,56.6,2.548
2014-02-28,56.7,56.83,55.8,56.23,2.294
2014-03-03,55.74,55.99,54.92,55.91,1.922
2014-03-04,56.86,57.93,56.39,57.84,2.49
2014-03-05,57.99,58.17,56.95,57.58,2.667
2014-03-06,57.9,59.93,57.81,59.91,4.944
2014-03-07,60.0,60.37,57.84,58.56,4.781
2014-03-10,58.48,58.88,56.95,57.14,2.924
2014-03-11,58.09,58.91,56.47,56.81,2.913
2014-03-12,56.51,57.71,55.9,57.53,2.153
2014-03-13,57.85,58.4,56.43,57.35,3.242
2014-03-14,57.01,58.2,57.01,57.62,2.814
2014-03-17,57.94,59.36,57.94,58.41,2.698
2014-03-18,58.56,59.1,57.93,58.73,2.658
2014-03-19,58.9,59.22,58.34,58.86,2.326
2014-03-20,58.74,59.85,58.31,59.85,2.192
2014-03-21,60.34,60.48,57.58,57.97,3.589
2014-03-24,58.19,58.63,56.13,56.44,3.255
2014-03-25,57.19,58.1,56.54,56.95,2.87
2014-03-26,59.12,60.31,57.43,58.09,5.298
2014-03-27,58.47,58.47,56.02,57.26,3.208
2014-03-28,57.83,59.05,57.31,57.66,2.553
2014-03-31,58.31,59.58,57.88,58.81,2.407
2014-04-01,58.99,61.28,58.81,60.93,4.07
2014-04-02,61.99,62.31,60.69,61.34,3.661
2014-04-03,62.53,63.35,61.41,61.91,4.303
2014-04-04,62.68,62.74,57.04,57.33,7.04
2014-04-07,56.48,57.29,54.8,55.72,5.889
2014-04-08,57.25,58.37,55.9,58.24,4.19
2014-04-09,60.12,60.8,58.61,59.33,3.437
2014-04-10,59.7,59.7,57.29,57.37,2.823
2014-04-11,56.1,57.95,55.52,56.22,3.302
2014-04-14,56.59,57.53,55.68,56.4,2.652
2014-04-15,56.96,58.31,56.19,57.63,2.737
2014-04-16,58.56,58.56,56.5,57.91,1.988
2014-04-17,57.95,59.14,57.51,58.2,2.446
2014-04-21,59.25,60.25,57.61,60.09,3.425
2014-04-22,60.47,61.27,59.7,60.62,3.117
2014-04-23,61.0,61.09,60.01,60.52,3.163
2014-04-24,62.1,62.5,59.4,62.0,5.078
2014-04-25,61.45,61.55,58.55,58.87,4.21
2014-04-28,59.35,59.42,56.61,58.02,4.083
2014-04-29,58.5,59.38,57.69,59.24,2.221
2014-04-30,59.09,59.65,58.12,59.62,2.235
2014-05-01,59.68,61.53,59.62,60.46,2.748
2014-05-02,61.16,62.28,60.39,61.78,2.552
2014-05-05,61.78,61.78,60.61,61.22,1.594
2014-05-06,61.24,61.52,60.42,60.54,1.704
2014-05-07,60.56,61.09,59.43,60.22,1.993
2014-05-08,60.1,62.17,59.8,60.71,1.993
2014-05-09,60.39,60.66,59.22,59.77,1.718
2014-05-12,60.5,63.41,60.37,62.62,2.93
2014-05-13,62.86,63.85,60.45,60.71,3.633
