Date,Open,High,Low,Close,Volume
2014-01-02,35.31,35.34,34.69,34.82,0.689
2014-01-03,34.88,35.17,34.78,35.03,0.511
2014-01-06,35.29,35.31,34.69,34.71,0.611
2014-01-07,34.92,35.27,34.69,35.15,0.523
2014-01-08,35.17,35.35,34.87,35.24,0.658
2014-01-09,35.29,35.82,35.25,35.79,0.878
2014-01-10,36.81,37.69,36.35,36.85,1.931
2014-01-13,36.87,37.13,36.5,36.67,1.292
2014-01-14,36.84,36.97,36.63,36.93,0.965
2014-01-15,36.93,37.21,36.89,37.21,0.422
2014-01-16,37.06,37.17,36.75,37.06,0.617
2014-01-17,36.69,36.98,36.37,36.92,0.648
2014-01-21,37.09,37.43,37.0,37.43,0.476
2014-01-22,37.4,38.0,37.33,38.0,0.476
2014-01-23,37.89,37.89,37.33,37.57,0.71
2014-01-24,37.36,37.73,36.57,36.77,0.648
2014-01-27,36.95,36.95,35.19,35.23,1.915
2014-01-28,35.24,35.68,35.23,35.55,1.221
2014-01-29,35.33,35.79,35.17,35.63,0.782
2014-01-30,35.92,36.24,35.81,36.2,0.498
2014-01-31,35.83,36.46,35.65,36.16,0.666
2014-02-03,36.23,36.39,34.23,34.68,1.992
2014-02-04,34.98,35.25,34.45,35.14,0.927
2014-02-05,34.9,35.3,34.57,35.11,1.542
2014-02-06,34.67,35.37,33.17,35.0,2.899
2014-02-07,35.1,35.7,34.71,35.05,0.884
2014-02-10,34.99,35.05,34.54,34.92,0.776
2014-02-11,34.89,35.42,34.81,35.25,0.669
2014-02-12,35.25,35.5,35.04,35.49,0.672
2014-02-13,35.27,35.75,35.13,35.61,0.423
2014-02-14,35.62,35.99,35.5,35.97,0.416
2014-02-18,36.02,36.16,35.51,35.57,0.704
2014-02-19,35.42,35.79,34.85,34.87,0.824
2014-02-20,34.97,35.3,34.59,35.29,0.628
2014-02-21,35.31,35.66,35.11,35.31,0.627
2014-02-24,35.41,35.61,35.19,35.2,0.538
2014-02-25,35.2,35.36,34.89,35.3,0.65
2014-02-26,35.45,35.87,35.44,35.82,0.872
2014-02-27,35.87,35.98,35.08,35.2,0.898
2014-02-28,35.19,35.72,35.18,35.49,0.739
2014-03-03,35.25,35.55,34.89,35.25,0.635
2014-03-04,35.5,35.96,35.47,35.86,0.681
2014-03-05,35.87,36.77,35.63,36.6,0.963
2014-03-06,36.64,37.39,36.63,37.37,0.839
2014-03-07,37.43,37.7,37.34,37.61,0.825
2014-03-10,37.58,38.0,37.34,37.85,1.283
2014-03-11,37.83,37.97,37.41,37.49,0.658
2014-03-12,37.39,37.74,37.19,37.63,0.592
2014-03-13,37.73,37.91,37.01,37.28,0.473
2014-03-14,37.2,37.87,36.93,37.74,0.751
2014-03-17,37.97,38.32,37.8,38.01,1.212
2014-03-18,38.16,38.27,37.77,38.01,0.826
2014-03-19,38.11,38.22,37.74,37.99,0.827
2014-03-20,37.88,37.99,37.54,37.69,0.475
2014-03-21,37.71,38.21,37.6,37.79,1.264
2014-03-24,37.93,38.14,37.09,37.43,0.829
2014-03-25,37.59,37.89,37.09,37.2,0.589
2014-03-26,37.27,37.42,36.43,36.45,0.738
2014-03-27,36.34,36.52,36.17,36.29,0.731
2014-03-28,36.31,37.04,36.17,36.94,0.743
2014-03-31,37.25,37.88,37.03,37.83,0.945
2014-04-01,37.93,38.15,37.55,37.85,0.644
2014-04-02,37.93,38.09,37.65,37.85,0.796
2014-04-03,37.9,38.17,37.68,37.85,0.463
2014-04-04,37.98,38.27,37.16,37.36,0.309
2014-04-07,37.34,37.57,36.76,36.83,0.683
2014-04-08,36.71,36.98,36.48,36.51,0.918
2014-04-09,36.64,37.14,36.47,37.13,0.399
2014-04-10,37.11,37.31,36.27,36.35,0.765
2014-04-11,36.09,36.56,35.79,36.32,0.694
2014-04-14,36.54,36.94,36.06,36.33,0.766
2014-04-15,36.37,36.58,35.75,36.17,0.807
2014-04-16,36.3,36.79,36.19,36.69,0.663
2014-04-17,36.73,37.04,36.51,36.87,0.66
2014-04-21,36.91,37.31,36.81,37.23,0.851
2014-04-22,37.3,38.05,37.25,37.99,0.777
2014-04-23,38.02,38.07,37.57,37.64,0.842
2014-04-24,37.97,39.58,37.97,39.1,1.473
2014-04-25,39.31,39.7,39.13,39.51,0.968
2014-04-28,39.77,40.12,39.27,39.67,0.964
2014-04-29,39.85,39.96,39.27,39.35,0.846
2014-04-30,39.41,40.44,39.34,40.42,1.0
2014-05-01,40.71,40.71,39.57,40.21,0.977
2014-05-02,40.44,40.91,40.11,40.49,0.84
2014-05-05,40.49,40.49,39.83,39.98,0.774
2014-05-06,39.91,40.11,39.65,39.91,1.357
2014-05-07,39.96,40.33,39.69,39.99,1.223
2014-05-08,39.94,40.65,39.84,40.07,0.762
2014-05-09,40.02,40.06,39.62,39.85,0.964
2014-05-12,40.15,40.79,40.03,40.69,0.814
2014-05-13,40.82,41.15,40.73,41.07,0.578
2014-05-14,40.97,41.17,40.69,40.81,0.433
2014-05-15,40.77,40.8,40.0,40.73,0.7
2014-05-16,40.73,41.02,40.57,41.01,0.493
2014-05-19,40.9,41.75,40.83,41.6,0.815
2014-05-20,41.57,41.77,40.8,41.25,0.683
2014-05-21,41.29,41.55,41.11,41.53,0.601
2014-05-22,41.45,41.71,41.33,41.52,0.7
2014-05-23,41.54,41.72,41.33,41.69,0.486
2014-05-27,41.87,42.4,41.7,42.12,0.955
2014-05-28,42.48,42.61,42.01,42.05,1.17
2014-05-29,42.09,42.43,41.87,42.4,0.694
2014-05-30,42.58,42.82,42.41,42.64,0.738
2014-06-02,42.7,43.02,42.28,42.53,0.545
2014-06-03,42.41,42.46,41.98,42.02,0.732
2014-06-04,41.95,42.29,41.91,42.08,0.483
2014-06-05,42.24,42.71,42.09,42.66,0.364
2014-06-06,42.73,43.21,42.6,43.05,0.667
2014-06-09,43.03,43.57,42.87,42.99,0.624
2014-06-10,43.06,43.07,42.44,42.99,0.698
2014-06-11,42.83,43.17,42.71,43.11,0.484
2014-06-12,42.95,42.95,42.31,42.55,0.47
2014-06-13,42.43,42.63,42.05,42.26,0.505
2014-06-16,42.17,42.33,41.79,42.03,0.728
2014-06-17,42.09,42.52,41.83,42.01,0.707
2014-06-18,42.17,42.49,41.96,42.15,0.681
2014-06-19,42.24,42.24,41.99,42.2,0.47
2014-06-20,42.23,42.7,42.23,42.53,0.689
2014-06-23,42.45,42.59,41.86,41.91,0.692
2014-06-24,41.78,42.49,41.54,41.55,0.651
2014-06-25,41.54,41.84,41.45,41.83,0.686
2014-06-26,41.97,42.13,41.55,42.03,0.759
2014-06-27,41.95,42.15,41.71,41.84,1.757
2014-06-30,41.73,42.53,41.53,42.45,0.875
2014-07-01,42.43,43.26,42.43,42.91,0.728
2014-07-02,42.83,43.33,42.8,42.82,0.405
2014-07-03,42.86,43.15,42.72,43.05,0.263
2014-07-07,41.95,42.62,41.72,42.27,0.775
2014-07-08,42.21,42.42,41.61,41.83,0.669
2014-07-09,41.94,42.06,41.63,41.91,0.482
