Date,Open,High,Low,Close,Volume
2014-01-02,8.0,8.02,7.82,8.01,11.105
2014-01-03,8.01,8.1,7.95,8.05,4.825
2014-01-06,8.05,8.08,7.97,8.03,3.523
2014-01-07,8.04,8.19,7.97,8.1,11.341
2014-01-08,8.18,8.64,8.13,8.54,18.824
2014-01-09,8.58,8.64,8.4,8.48,6.068
2014-01-10,8.49,8.71,8.48,8.61,7.814
2014-01-13,8.75,8.75,8.62,8.64,9.22
2014-01-14,8.88,8.97,8.75,8.8,14.206
2014-01-15,8.84,8.92,8.8,8.86,7.294
2014-01-16,8.85,8.89,8.73,8.86,4.993
2014-01-17,8.96,8.96,8.75,8.79,4.588
2014-01-21,8.88,8.89,8.76,8.83,3.729
2014-01-22,8.82,8.9,8.8,8.85,8.658
2014-01-23,8.8,8.86,8.68,8.71,7.085
2014-01-24,8.69,8.76,8.4,8.42,7.51
2014-01-27,8.41,8.52,8.31,8.41,5.663
2014-01-28,8.39,8.49,8.35,8.45,4.156
2014-01-29,8.4,8.6,8.39,8.41,5.951
2014-01-30,8.48,8.56,8.41,8.55,3.447
2014-01-31,8.47,8.58,8.33,8.36,5.29
2014-02-03,8.37,8.39,8.02,8.07,4.94
2014-02-04,8.1,8.3,8.03,8.21,4.826
2014-02-05,8.15,8.19,8.03,8.11,2.621
2014-02-06,8.14,8.38,8.08,8.32,8.872
2014-02-07,9.05,9.27,8.92,9.04,29.478
2014-02-10,8.87,9.11,8.85,8.88,9.199
2014-02-11,8.87,9.03,8.76,8.97,9.452
2014-02-12,9.02,9.02,8.87,8.94,7.214
2014-02-13,8.93,9.38,8.91,9.28,9.759
2014-02-14,9.32,9.43,9.28,9.42,7.217
2014-02-18,9.45,9.47,9.35,9.45,7.556
2014-02-19,9.49,9.56,9.37,9.46,7.212
2014-02-20,9.48,9.57,9.41,9.47,6.588
2014-02-21,9.67,9.67,9.3,9.38,8.448
2014-02-24,9.4,9.54,9.37,9.42,4.503
