Date,Open,High,Low,Close,Volume
2014-01-02,90.55,90.86,89.49,89.91,2.873
2014-01-03,89.97,90.3,88.98,89.6,2.973
2014-01-06,89.92,90.16,89.29,89.87,3.316
2014-01-07,90.6,91.68,90.14,91.54,3.853
2014-01-08,91.01,91.4,90.25,90.81,3.675
2014-01-09,90.86,91.13,90.12,90.86,3.267
2014-01-10,91.06,91.09,89.49,89.91,3.556
2014-01-13,89.44,90.15,87.61,87.7,5.376
2014-01-14,88.07,88.49,87.63,88.44,4.575
2014-01-15,88.87,88.98,86.93,87.62,5.104
2014-01-16,87.5,88.08,87.24,87.92,3.942
2014-01-17,87.89,88.1,86.75,86.77,4.104
2014-01-21,87.39,87.68,85.63,86.2,5.197
2014-01-22,86.72,87.45,85.89,87.15,4.097
2014-01-23,86.86,86.86,85.43,85.67,4.565
2014-01-24,85.04,85.1,83.92,84.31,4.941
2014-01-27,84.26,84.44,83.16,83.44,3.743
2014-01-28,83.62,84.84,83.52,84.61,3.094
2014-01-29,83.63,84.68,83.35,84.14,4.274
2014-01-30,85.02,85.49,82.87,84.6,5.765
2014-01-31,84.1,85.01,83.17,83.9,6.052
2014-02-03,84.12,84.64,83.51,83.58,6.501
2014-02-04,83.75,84.35,82.95,83.49,6.458
2014-02-05,83.74,84.1,82.3,83.63,5.835
2014-02-06,83.94,85.23,83.94,84.77,5.611
2014-02-07,85.08,87.1,84.64,86.79,5.158
2014-02-10,86.66,87.3,86.38,86.89,4.536
2014-02-11,86.99,88.24,86.92,87.76,3.937
2014-02-12,88.22,88.81,88.0,88.32,3.496
2014-02-13,87.58,88.63,87.33,88.4,3.87
2014-02-14,90.69,92.03,90.32,91.74,9.164
2014-02-18,92.07,92.48,91.31,92.24,6.053
2014-02-19,92.02,92.45,90.89,90.96,5.606
2014-02-20,91.02,91.58,90.78,91.4,3.995
2014-02-21,91.32,91.95,90.93,91.39,3.858
2014-02-24,92.14,92.53,91.7,92.04,4.829
2014-02-25,91.85,92.02,91.12,91.8,3.022
2014-02-26,91.97,91.97,90.66,91.21,3.915
2014-02-27,91.1,91.54,90.71,91.52,2.966
