Date,Open,High,Low,Close,Volume
2014-01-02,18.9,18.99,18.23,18.55,3.777
2014-01-03,18.72,19.29,18.69,19.15,4.415
2014-01-06,19.09,19.49,19.09,19.28,4.125
2014-01-07,19.88,20.16,19.45,20.0,6.908
2014-01-08,19.88,20.09,19.56,20.02,3.443
2014-01-09,20.02,20.25,19.89,20.21,2.747
2014-01-10,20.22,20.42,19.92,20.22,2.793
2014-01-13,20.08,20.08,18.99,19.69,5.7
2014-01-14,19.73,20.22,19.73,20.21,2.851
2014-01-15,20.24,21.28,20.18,20.97,7.176
2014-01-16,20.97,21.45,20.86,21.22,2.781
2014-01-17,21.27,21.64,20.88,20.96,2.91
2014-01-21,20.94,21.0,20.41,20.49,2.731
2014-01-22,20.6,20.78,20.37,20.67,3.372
2014-01-23,21.03,21.03,20.37,20.59,2.985
2014-01-24,20.57,20.65,20.01,20.13,2.269
2014-01-27,20.09,20.27,19.24,19.9,3.01
2014-01-28,20.03,20.61,19.87,20.48,2.031
2014-01-29,20.4,20.41,19.88,19.89,1.989
2014-01-30,19.88,21.11,19.88,20.71,4.881
2014-01-31,20.54,20.54,19.61,19.82,4.503
2014-02-03,20.36,20.39,19.01,19.24,3.672
2014-02-04,19.53,20.29,19.48,20.06,6.503
2014-02-05,20.16,20.16,19.47,19.98,2.995
2014-02-06,20.03,22.54,19.76,22.31,15.072
2014-02-07,22.38,23.32,21.11,21.92,9.023
2014-02-10,21.92,22.65,21.86,22.59,3.845
2014-02-11,22.67,23.11,22.38,22.96,3.361
2014-02-12,22.47,23.23,22.43,22.92,2.468
2014-02-13,22.93,24.33,22.85,24.16,7.984
2014-02-14,24.23,24.65,23.89,24.27,2.993
2014-02-18,24.33,24.64,24.18,24.55,3.54
2014-02-19,24.44,24.69,23.8,23.97,5.315
2014-02-20,24.12,24.43,23.77,24.38,3.683
2014-02-21,24.47,24.76,24.15,24.54,5.172
2014-02-24,26.17,26.66,25.52,25.59,11.438
2014-02-25,25.56,25.69,24.94,24.98,4.549
2014-02-26,24.55,25.62,24.52,25.35,7.466
2014-02-27,25.1,25.16,24.1,24.16,7.01
2014-02-28,24.23,24.45,23.36,23.72,7.031
2014-03-03,23.26,23.28,22.13,22.6,8.489
2014-03-04,23.14,23.7,23.09,23.54,5.918
2014-03-05,22.91,23.83,22.89,23.13,5.197
2014-03-06,23.1,23.55,22.76,23.15,7.474
2014-03-07,23.38,26.2,22.7,25.71,22.7
2014-03-10,25.6,26.19,25.4,26.09,10.254
2014-03-11,26.12,26.52,25.55,25.72,5.006
2014-03-12,25.4,25.98,24.46,25.97,4.004
2014-03-13,25.96,26.33,25.27,25.48,4.123
2014-03-14,25.4,26.08,25.2,25.6,3.798
2014-03-17,25.85,26.81,25.54,26.17,6.815
2014-03-18,26.08,26.95,25.83,26.61,3.573
2014-03-19,26.6,26.93,26.0,26.22,2.808
2014-03-20,26.22,26.7,25.67,26.17,2.272
2014-03-21,26.44,26.44,25.25,25.52,5.303
2014-03-24,25.8,26.0,23.76,24.38,6.504
2014-03-25,25.0,25.26,24.03,24.23,5.188
2014-03-26,24.59,24.74,23.11,23.13,5.888
2014-03-27,23.2,24.12,22.62,23.75,3.593
2014-03-28,23.57,23.57,22.33,23.25,7.835
2014-03-31,23.55,23.77,22.8,22.87,4.23
2014-04-01,23.5,23.85,23.28,23.65,5.951
2014-04-02,23.77,24.14,23.36,23.68,4.354
2014-04-03,23.51,23.75,21.7,21.76,9.416
2014-04-04,21.95,22.0,20.27,21.02,10.279
2014-04-07,20.85,21.29,19.73,20.08,8.006
2014-04-08,20.35,21.55,20.23,21.16,7.456
2014-04-09,21.26,22.81,21.26,22.71,9.152
2014-04-10,22.77,23.32,20.94,21.27,9.87
2014-04-11,20.78,21.82,20.59,21.43,7.574
2014-04-14,22.0,22.91,21.49,21.98,7.98
2014-04-15,22.09,22.95,21.49,22.79,7.811
2014-04-16,23.0,23.37,22.43,23.28,5.635
2014-04-17,23.27,23.58,22.92,23.32,4.119
2014-04-21,23.35,23.54,22.59,22.79,3.563
2014-04-22,22.61,24.17,22.33,23.73,5.467
2014-04-23,23.64,23.64,22.63,23.02,3.02
2014-04-24,23.5,23.5,21.57,22.67,4.42
2014-04-25,22.62,23.02,21.96,22.05,3.728
2014-04-28,22.2,22.39,20.65,21.44,6.019
2014-04-29,21.34,21.82,21.0,21.45,4.668
2014-04-30,21.43,21.47,21.0,21.19,3.147
2014-05-01,21.3,22.91,21.29,21.76,4.836
2014-05-02,21.79,22.34,21.21,21.69,3.282
2014-05-05,21.41,22.37,21.35,22.34,2.676
2014-05-06,22.17,22.62,21.76,21.9,4.784
2014-05-07,21.35,21.47,19.43,20.0,10.508
2014-05-08,19.83,20.9,19.53,19.87,4.386
2014-05-09,19.78,20.09,19.3,19.5,7.504
2014-05-12,19.78,21.0,19.46,20.74,4.516
2014-05-13,20.75,21.53,20.53,20.63,3.571
2014-05-14,20.55,20.81,20.03,20.04,3.229
2014-05-15,20.14,20.19,19.16,19.87,4.772
2014-05-16,19.99,20.49,19.55,20.44,2.962
2014-05-19,20.27,20.95,20.18,20.89,2.804
2014-05-20,21.0,21.52,20.46,21.01,3.736
2014-05-21,21.0,21.4,20.79,21.17,2.745
2014-05-22,21.15,22.31,21.12,22.21,4.756
2014-05-23,22.22,22.42,21.33,22.33,3.159
2014-05-27,22.82,23.36,22.26,23.2,6.308
2014-05-28,23.28,23.52,22.68,23.17,7.707
2014-05-29,25.85,26.0,24.29,24.39,26.657
2014-05-30,24.47,25.62,24.33,24.97,10.384
2014-06-02,25.04,25.06,24.0,24.56,6.11
2014-06-03,24.43,24.98,24.2,24.75,4.6
2014-06-04,24.63,25.5,24.5,25.11,5.527
2014-06-05,25.37,26.22,24.71,25.67,8.75
2014-06-06,25.93,26.26,25.57,25.99,4.876
2014-06-09,25.99,26.21,25.57,25.8,3.717
2014-06-10,25.74,26.17,25.54,26.05,2.658
2014-06-11,25.76,26.22,25.67,26.07,2.935
2014-06-12,25.92,27.33,25.87,26.17,9.74
2014-06-13,26.08,26.5,25.42,26.27,3.296
2014-06-16,26.19,27.08,25.95,26.88,5.35
2014-06-17,26.95,27.42,26.69,26.89,4.73
2014-06-18,27.04,27.12,26.48,26.83,3.801
2014-06-19,26.97,27.26,26.51,26.73,3.036
2014-06-20,26.69,26.93,26.27,26.75,4.004
2014-06-23,26.68,27.26,26.54,26.72,3.698
2014-06-24,26.58,26.8,26.08,26.26,5.927
2014-06-25,26.24,26.67,25.98,26.58,7.294
2014-06-26,26.98,27.4,26.48,26.96,6.556
2014-06-27,26.94,27.29,26.73,27.07,5.59
2014-06-30,27.72,28.59,27.61,27.95,9.225
2014-07-01,28.08,28.53,27.22,27.42,10.698
2014-07-02,27.79,27.79,27.21,27.29,4.341
2014-07-03,27.35,27.47,26.82,27.41,2.319
2014-07-07,27.32,27.33,26.38,26.52,4.059
2014-07-08,26.5,26.52,24.57,25.12,10.795
2014-07-09,25.2,25.58,24.92,25.39,3.856
2014-07-10,24.71,25.62,24.37,25.57,4.789
2014-07-11,25.46,26.06,25.19,25.64,4.095
2014-07-14,25.82,25.86,25.13,25.41,3.051
2014-07-15,25.5,25.69,25.01,25.33,2.388
2014-07-16,26.01,26.54,25.63,25.86,4.562
2014-07-17,25.8,26.31,25.5,25.75,4.672
2014-07-18,25.77,26.54,25.77,26.4,4.054
2014-07-21,26.23,26.7,26.03,26.68,2.79
2014-07-22,26.73,27.5,26.65,27.25,4.276
2014-07-23,27.2,27.38,26.97,27.16,2.46
2014-07-24,27.2,28.11,27.15,28.04,6.203
2014-07-25,28.0,28.01,27.37,27.68,5.251
2014-07-28,27.72,27.83,26.88,27.37,2.818
2014-07-29,27.56,27.59,27.33,27.37,1.973
2014-07-30,27.56,28.08,27.46,28.07,2.709
2014-07-31,27.71,27.8,26.7,26.95,2.734
2014-08-01,26.79,26.8,25.62,26.22,4.236
2014-08-04,26.42,26.83,26.26,26.75,2.731
2014-08-05,26.59,26.99,26.22,26.59,2.239
2014-08-06,26.26,26.7,26.21,26.44,1.479
2014-08-07,26.68,27.2,26.5,26.65,1.997
2014-08-08,26.65,26.95,26.22,26.73,2.017
2014-08-11,27.06,27.76,26.98,27.31,2.337
2014-08-12,27.27,27.37,26.85,27.09,1.864
2014-08-13,27.55,28.84,27.38,28.26,8.104
2014-08-14,28.79,29.26,28.27,28.5,5.827
2014-08-15,29.07,29.17,27.7,28.21,4.786
2014-08-18,28.5,28.82,28.11,28.53,3.413
2014-08-19,29.23,29.23,28.21,28.46,3.098
2014-08-20,28.24,28.46,28.07,28.32,1.645
2014-08-21,28.3,28.48,28.06,28.31,1.765
2014-08-22,28.23,28.66,27.75,28.34,3.251
2014-08-25,28.59,28.66,28.04,28.19,1.558
2014-08-26,28.33,28.64,28.1,28.53,2.601
2014-08-27,28.51,28.51,27.44,27.47,4.743
2014-08-28,27.33,27.74,26.57,27.42,5.251
2014-08-29,27.7,28.54,27.57,28.33,3.979
2014-09-02,28.47,30.0,28.45,29.91,13.54
2014-09-03,30.64,30.9,29.39,29.79,6.554
2014-09-04,29.92,30.09,28.95,29.09,5.154
2014-09-05,29.08,29.72,29.04,29.68,3.243
2014-09-08,29.99,30.61,29.68,29.99,7.347
2014-09-09,30.17,30.43,29.56,29.76,7.359
2014-09-10,31.08,33.3,30.84,32.92,25.778
2014-09-11,32.74,34.15,32.43,33.5,15.878
2014-09-12,33.62,33.62,32.92,33.33,7.75
2014-09-15,33.24,33.26,32.24,32.49,7.81
2014-09-16,32.33,32.93,31.7,32.78,7.738
2014-09-17,32.73,33.58,32.73,32.87,5.387
2014-09-18,33.15,33.19,32.61,32.98,3.383
2014-09-19,33.14,33.15,32.6,33.09,6.313
2014-09-22,33.17,33.74,32.22,32.64,6.956
2014-09-23,32.35,32.83,32.03,32.48,4.252
2014-09-24,32.86,33.25,32.64,33.05,3.284
2014-09-25,32.89,33.12,31.94,32.1,3.62
2014-09-26,32.22,32.72,32.12,32.65,3.159
2014-09-29,32.2,33.22,32.11,33.09,4.404
2014-09-30,33.08,33.64,32.22,32.7,4.945
2014-10-01,32.6,32.6,31.0,31.8,7.54
2014-10-02,31.8,33.3,31.69,32.73,7.628
2014-10-03,34.01,35.6,33.74,34.9,14.948
2014-10-06,34.89,34.89,33.47,34.08,7.275
2014-10-07,33.71,34.58,33.17,33.26,5.749
2014-10-08,33.52,34.17,32.37,34.08,6.764
2014-10-09,34.06,34.64,33.59,34.24,6.876
2014-10-10,34.08,34.33,31.33,31.45,12.826
2014-10-13,31.55,31.69,29.28,29.8,11.5
2014-10-14,30.24,31.5,29.5,31.42,7.816
2014-10-15,30.41,32.88,30.33,32.48,8.777
2014-10-16,31.69,33.39,31.67,32.63,6.999
2014-10-17,33.21,34.16,32.87,33.11,5.71
2014-10-20,33.14,34.0,33.03,33.63,6.286
2014-10-21,34.19,34.96,33.77,34.89,6.506
2014-10-22,34.87,35.2,34.05,34.19,5.422
2014-10-23,34.83,36.07,34.63,35.82,7.243
2014-10-24,35.56,36.17,35.43,36.02,3.8
2014-10-27,33.67,34.63,33.37,34.56,9.496
2014-10-28,34.83,35.67,34.66,35.14,5.399
2014-10-29,35.05,35.11,33.47,34.52,6.103
2014-10-30,34.69,35.13,34.27,34.98,3.51
2014-10-31,35.44,35.8,35.06,35.23,3.539
2014-11-03,35.24,35.59,34.86,35.32,3.969
2014-11-04,35.27,35.66,34.77,35.57,3.007
2014-11-05,35.39,35.75,34.01,34.17,5.101
2014-11-06,34.67,35.37,34.57,35.37,3.347
2014-11-07,35.37,35.78,35.22,35.67,3.058
2014-11-10,35.66,36.72,35.3,36.34,5.217
2014-11-11,36.59,36.61,35.87,36.1,3.049
2014-11-12,35.97,36.46,35.93,36.3,2.206
2014-11-13,36.45,37.15,36.38,36.53,3.974
2014-11-14,36.59,36.97,36.0,36.93,3.375
2014-11-17,36.95,37.37,36.28,36.45,3.651
2014-11-18,36.48,36.91,36.21,36.33,2.539
2014-11-19,36.33,36.51,35.5,35.78,3.184
2014-11-20,35.79,36.42,35.61,36.35,4.653
2014-11-21,36.92,37.13,36.03,36.31,4.48
2014-11-24,37.25,37.79,36.84,37.75,9.979
2014-11-25,38.28,40.08,38.09,40.06,22.656
2014-11-26,39.78,40.23,39.34,40.2,6.205
2014-11-28,40.22,41.07,40.08,41.0,2.901
2014-12-01,41.0,41.02,39.59,39.9,7.145
2014-12-02,39.99,40.2,39.12,39.23,5.302
2014-12-03,39.38,39.83,39.12,39.53,3.508
2014-12-04,39.53,40.13,39.31,39.43,2.731
2014-12-05,39.54,39.76,39.23,39.63,3.037
2014-12-08,39.63,40.28,38.58,38.95,3.648
2014-12-09,38.32,39.82,37.41,39.61,4.094
2014-12-10,39.61,39.83,38.82,39.05,3.462
2014-12-11,39.44,40.14,39.15,39.64,3.379
2014-12-12,39.27,39.92,39.05,39.36,2.387
2014-12-15,39.63,40.47,39.18,39.36,4.08
2014-12-16,39.11,39.33,38.32,38.88,3.573
