Date,Open,High,Low,Close,Volume
2014-01-02,63.25,63.73,62.41,63.25,6.723
2014-01-03,63.19,63.42,62.79,63.14,2.226
2014-01-06,63.71,63.83,62.89,63.01,3.663
2014-01-07,63.29,63.84,63.1,63.38,2.259
2014-01-08,63.22,63.33,62.46,62.74,2.653
2014-01-09,63.0,63.09,61.38,62.49,3.566
2014-01-10,62.5,63.28,62.07,62.99,3.755
2014-01-13,62.49,62.69,60.65,60.94,5.463
2014-01-14,61.55,61.55,60.3,60.65,5.846
2014-01-15,60.83,61.37,60.47,61.0,7.617
2014-01-16,61.02,61.31,60.59,60.8,3.944
2014-01-17,60.79,61.17,60.03,60.49,5.014
2014-01-21,61.23,61.23,59.29,59.7,5.797
2014-01-22,60.01,60.95,59.71,60.77,3.58
2014-01-23,60.1,60.5,59.16,59.7,4.422
2014-01-24,59.56,59.69,58.03,58.39,7.373
2014-01-27,58.38,58.85,57.51,58.18,5.827
2014-01-28,58.39,59.04,58.24,58.7,4.131
2014-01-29,58.25,58.43,57.37,57.72,5.709
2014-01-30,59.0,60.17,58.66,59.17,7.783
2014-01-31,58.19,59.08,57.9,58.72,6.94
2014-02-03,58.59,58.72,55.71,56.31,11.595
2014-02-04,56.73,58.16,56.47,57.87,8.234
2014-02-05,57.42,59.04,56.75,58.94,8.279
2014-02-06,59.18,61.04,58.79,60.29,6.707
2014-02-07,60.55,60.85,60.0,60.5,4.72
2014-02-10,60.55,60.7,60.19,60.59,4.312
2014-02-11,60.58,61.15,60.37,60.9,6.748
2014-02-12,61.6,62.04,61.13,61.85,6.713
2014-02-13,63.91,64.9,63.43,64.61,12.806
2014-02-14,64.14,65.93,63.85,64.96,7.916
2014-02-18,65.23,66.45,65.17,66.29,6.013
2014-02-19,65.79,66.58,65.49,65.82,7.185
2014-02-20,65.95,66.08,64.66,65.91,6.617
2014-02-21,66.07,66.6,65.74,66.06,5.038
2014-02-24,66.38,67.29,66.29,66.46,4.823
2014-02-25,66.09,66.33,65.6,65.76,4.439
2014-02-26,65.9,66.45,65.4,65.54,4.727
2014-02-27,65.38,66.54,65.17,66.4,4.732
2014-02-28,66.41,67.47,66.41,67.08,5.577
2014-03-03,65.82,66.35,64.64,65.95,4.303
2014-03-04,66.91,67.62,66.91,67.42,6.202
2014-03-05,67.53,67.87,67.12,67.38,4.321
2014-03-06,67.58,67.72,67.21,67.55,3.758
2014-03-07,67.8,67.97,67.13,67.4,3.45
2014-03-10,67.13,67.43,66.67,66.76,3.201
2014-03-11,68.09,68.1,65.78,66.09,4.481
2014-03-12,65.61,66.08,65.26,65.9,4.097
2014-03-13,66.3,66.59,64.69,64.96,5.671
2014-03-14,64.79,66.02,64.79,65.37,5.456
2014-03-17,66.0,66.43,65.63,65.84,4.099
2014-03-18,65.82,66.71,65.7,66.3,3.027
2014-03-19,66.34,66.82,65.72,65.94,4.308
2014-03-20,65.77,66.5,65.5,66.17,3.249
2014-03-21,66.81,67.22,65.55,65.69,6.118
2014-03-24,65.82,66.17,63.99,64.26,5.897
2014-03-25,65.18,65.18,63.02,63.14,9.995
2014-03-26,63.67,63.7,61.89,61.96,10.428
2014-03-27,62.0,62.0,60.76,61.47,10.079
2014-03-28,61.79,62.93,61.61,62.03,5.791
2014-03-31,62.38,62.69,61.67,61.8,6.177
2014-04-01,62.25,63.63,62.23,63.19,6.713
2014-04-02,63.41,63.96,63.22,63.35,5.538
2014-04-03,63.53,63.71,62.2,62.62,6.165
2014-04-04,63.01,63.3,61.5,61.56,7.99
2014-04-07,61.4,61.42,58.95,60.45,12.214
2014-04-08,60.41,60.79,59.23,60.48,8.043
2014-04-09,60.69,62.52,60.69,62.36,8.257
2014-04-10,62.28,62.39,59.88,59.98,9.618
2014-04-11,59.53,60.23,58.59,58.68,10.666
2014-04-14,59.25,59.56,58.33,58.79,6.78
2014-04-15,59.08,59.58,57.74,59.17,7.32
2014-04-16,59.65,60.72,58.95,60.3,9.144
2014-04-17,59.99,60.74,58.99,60.64,7.947
2014-04-21,60.64,60.65,58.9,59.71,6.263
2014-04-22,60.0,60.2,59.16,59.77,7.538
2014-04-23,59.89,59.99,58.16,58.39,10.212
2014-04-24,58.72,59.02,58.11,58.27,8.03
2014-04-25,58.16,58.36,57.69,58.05,8.56
2014-04-28,58.62,58.71,56.5,57.02,8.078
2014-04-29,56.65,57.56,56.65,57.45,5.67
2014-04-30,57.2,58.27,56.75,57.76,9.322
2014-05-01,57.85,58.15,57.33,57.48,4.689
2014-05-02,57.42,57.83,57.17,57.23,5.292
2014-05-05,57.08,58.2,56.72,58.19,4.281
2014-05-06,57.85,58.35,56.71,56.79,5.328
2014-05-07,57.0,57.35,56.29,56.65,7.416
2014-05-08,56.65,58.41,56.4,58.01,9.02
2014-05-09,56.55,57.19,55.01,56.74,15.272
2014-05-12,56.98,57.94,56.98,57.4,8.219
2014-05-13,57.41,57.78,56.51,57.0,7.511
2014-05-14,56.79,57.41,55.57,55.94,10.258
2014-05-15,56.15,56.42,55.51,56.39,10.271
2014-05-16,56.47,57.09,55.87,57.03,5.846
2014-05-19,56.86,57.69,56.59,57.36,9.107
2014-05-20,57.22,57.54,56.73,57.09,12.851
2014-05-21,57.3,59.25,57.24,59.02,8.707
2014-05-22,58.97,59.31,58.39,59.29,7.47
2014-05-23,59.41,60.98,59.17,60.75,8.458
2014-05-27,60.93,61.26,60.42,60.46,5.051
2014-05-28,60.47,60.77,60.03,60.48,4.068
2014-05-29,60.81,60.9,59.73,60.15,4.876
2014-05-30,60.07,60.14,59.38,59.61,5.25
2014-06-02,59.62,60.43,59.62,60.32,4.202
2014-06-03,60.17,60.31,59.58,59.62,5.67
2014-06-04,59.52,60.07,59.25,59.84,2.721
2014-06-05,60.03,60.53,59.49,60.48,3.086
2014-06-06,60.52,60.99,60.13,60.49,3.178
2014-06-09,60.54,61.18,60.49,60.74,3.42
2014-06-10,60.55,61.15,60.17,61.13,3.959
2014-06-11,62.0,63.08,61.69,61.8,21.62
2014-06-12,61.59,61.65,60.72,60.88,12.542
2014-06-13,60.9,60.98,60.04,60.45,8.536
2014-06-16,60.15,60.92,59.93,60.7,13.12
2014-06-17,60.53,60.72,60.09,60.11,6.471
2014-06-18,60.18,61.36,59.89,61.23,8.785
2014-06-19,61.12,61.54,59.91,60.37,6.956
2014-06-20,60.3,60.3,57.76,59.04,20.042
2014-06-23,58.92,59.29,58.5,59.0,7.434
2014-06-24,58.9,59.8,58.61,58.84,7.007
2014-06-25,58.48,63.75,58.31,62.48,32.708
2014-06-26,62.75,62.75,61.51,61.99,11.582
2014-06-27,61.63,62.0,61.15,61.23,10.856
2014-06-30,61.3,62.4,61.27,62.14,11.779
2014-07-01,62.34,63.33,62.22,62.92,22.981
2014-07-02,63.05,64.53,62.92,64.3,40.695
2014-07-03,64.3,64.54,64.12,64.3,14.829
2014-07-07,63.87,65.24,63.45,63.61,48.454
2014-07-08,63.42,63.72,62.59,63.39,51.074
2014-07-09,63.41,64.14,62.51,63.93,78.585
2014-07-10,61.89,62.35,61.31,61.8,90.001
2014-07-11,61.97,62.2,61.22,61.35,8.577
2014-07-14,61.79,61.85,60.6,60.68,15.333
2014-07-15,60.82,60.85,59.33,59.5,16.899
2014-07-16,60.94,61.09,59.94,60.85,16.021
2014-07-17,60.39,63.14,60.36,61.63,31.087
2014-07-18,61.6,61.68,60.6,61.5,23.21
2014-07-21,61.38,61.43,60.41,60.43,10.389
2014-07-22,60.59,60.76,59.25,59.4,13.347
2014-07-23,59.69,59.69,58.88,58.97,15.472
2014-07-24,58.99,59.15,58.47,58.51,14.116
2014-07-25,58.19,58.47,57.43,57.73,13.274
2014-07-28,57.75,57.97,57.37,57.71,6.626
2014-07-29,57.71,58.05,57.44,57.48,8.277
2014-07-30,57.88,58.23,57.51,57.71,7.126
2014-07-31,57.3,57.71,56.81,56.83,6.108
2014-08-01,56.47,57.43,56.45,57.03,6.156
2014-08-04,57.2,58.01,57.05,57.68,6.505
2014-08-05,57.3,57.64,56.73,56.99,5.132
2014-08-06,57.6,58.0,56.96,57.65,7.642
2014-08-07,58.06,58.19,56.74,56.9,6.719
2014-08-08,58.0,59.5,57.88,59.23,11.75
2014-08-11,59.74,60.4,59.33,60.18,7.529
2014-08-12,59.88,60.29,58.82,58.91,6.64
2014-08-13,59.17,59.42,58.76,59.34,4.971
2014-08-14,59.29,59.63,59.14,59.46,4.332
2014-08-15,59.74,60.25,59.33,59.99,5.842
2014-08-18,60.55,60.73,60.11,60.23,5.928
2014-08-19,60.48,60.94,60.15,60.74,3.628
2014-08-20,60.47,60.72,60.19,60.43,3.844
2014-08-21,60.55,60.6,60.16,60.36,4.269
2014-08-22,60.24,60.83,60.24,60.5,3.23
2014-08-25,60.77,61.37,60.37,60.63,4.52
2014-08-26,60.56,60.7,59.93,60.02,4.702
2014-08-27,60.21,60.58,60.1,60.42,3.253
2014-08-28,60.04,60.37,59.55,59.55,5.041
2014-08-29,59.68,59.74,59.13,59.29,4.831
2014-09-02,59.3,59.65,58.66,58.83,6.485
2014-09-03,59.1,59.19,58.19,58.53,5.908
2014-09-04,59.02,59.7,58.9,59.43,7.604
2014-09-05,59.48,59.57,58.56,59.4,7.014
2014-09-08,59.15,59.24,58.76,59.06,4.046
2014-09-09,58.83,58.94,57.79,57.86,7.181
2014-09-10,58.0,58.16,57.1,57.64,5.973
2014-09-11,57.4,58.67,57.32,58.13,4.798
2014-09-12,57.41,57.42,56.31,57.26,11.472
2014-09-15,57.27,57.28,56.7,56.74,6.361
