Date,Open,High,Low,Close,Volume
2014-01-02,,,,,
2014-01-03,,,,,
2014-01-06,,,,,
2014-01-07,,,,,
2014-01-08,,,,,
2014-01-09,,,,,
2014-01-10,,,,,
2014-01-13,,,,,
2014-01-14,,,,,
2014-01-15,,,,,
2014-01-16,,,,,
2014-01-17,,,,,
2014-01-21,,,,,
2014-01-22,,,,,
2014-01-23,,,,,
2014-01-24,,,,,
2014-01-27,,,,,
2014-01-28,,,,,
2014-01-29,,,,,
2014-01-30,,,,,
2014-01-31,,,,,
2014-02-03,,,,,
2014-02-04,,,,,
2014-02-05,,,,,
2014-02-06,,,,,
2014-02-07,,,,,
2014-02-10,,,,,
2014-02-11,,,,,
2014-02-12,,,,,
2014-02-13,,,,,
2014-02-14,,,,,
2014-02-18,,,,,
2014-02-19,,,,,
2014-02-20,,,,,
2014-02-21,,,,,
2014-02-24,,,,,
2014-02-25,,,,,
2014-02-26,,,,,
2014-02-27,,,,,
2014-02-28,,,,,
2014-03-03,,,,,
2014-03-04,,,,,
2014-03-05,,,,,
2014-03-06,,,,,
2014-03-07,,,,,
2014-03-10,,,,,
2014-03-11,,,,,
2014-03-12,,,,,
2014-03-13,,,,,
2014-03-14,,,,,
2014-03-17,,,,,
2014-03-18,,,,,
2014-03-19,,,,,
2014-03-20,,,,,
2014-03-21,,,,,
2014-03-24,,,,,
2014-03-25,,,,,
2014-03-26,,,,,
2014-03-27,,,,,
2014-03-28,,,,,
2014-03-31,,,,,
2014-04-01,,,,,
2014-04-02,,,,,
2014-04-03,,,,,
2014-04-04,,,,,
2014-04-07,,,,,
2014-04-08,,,,,
2014-04-09,,,,,
2014-04-10,,,,,
2014-04-11,,,,,
2014-04-14,,,,,
2014-04-15,17.9,17.92,15.15,15.35,3.532
2014-04-16,15.35,16.09,15.21,15.62,0.266
2014-04-17,15.95,16.55,15.71,16.25,0.262
2014-04-21,16.59,16.59,16.01,16.1,0.078
2014-04-22,16.2,16.69,15.76,15.98,0.096
2014-04-23,15.82,16.18,15.8,16.07,0.056
2014-04-24,16.28,16.3,15.75,15.75,0.043
2014-04-25,15.75,15.75,15.25,15.3,0.072
2014-04-28,15.43,15.66,14.51,14.97,0.198
2014-04-29,15.01,15.45,15.01,15.28,0.068
2014-04-30,15.17,15.51,15.06,15.41,0.054
2014-05-01,15.29,15.9,15.29,15.67,0.04
2014-05-02,15.69,16.06,15.69,15.8,0.022
2014-05-05,15.69,15.99,15.68,15.68,0.013
2014-05-06,15.63,15.63,15.25,15.31,0.032
2014-05-07,15.26,15.29,14.95,15.05,0.093
2014-05-08,15.25,15.33,15.18,15.18,0.019
2014-05-09,15.12,15.17,14.12,14.51,0.076
2014-05-12,14.73,14.87,14.09,14.09,0.111
2014-05-13,14.57,14.87,13.68,13.87,0.091
2014-05-14,14.15,14.29,13.91,14.07,0.106
2014-05-15,14.0,14.31,13.61,14.29,0.11
2014-05-16,14.29,14.68,13.57,13.81,0.12
2014-05-19,13.85,13.85,13.1,13.24,0.202
2014-05-20,13.5,14.3,13.37,14.0,0.141
2014-05-21,14.25,14.25,13.87,14.0,0.047
